11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-huitième extrait>,<>,<>
secrets,secret,21
sont,être,17
à,à,81
vous,vous,51
",",",",p
ma,mon,73
chère,cher,30
/.,/.,P
le,le,71
livre,livre,21
restait,rester,18
sur,sur,81
le,le,71
meuble,meuble,21
",",",",p
et,et,82
j',je,51
avais,avoir,18
beau,beau,60
faire,faire,14
",",",",p
je,je,51
ne,ne,60
le,le,52
quittais,quitter,18
pas,pas,60
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
j',je,51
entendis,entendre,19
tout,tout,60
à,à,81
coup,coup,21
comme,comme,83
une,un,71
voix,voix,22
qui,qui,52
me,je,51
chuchotait,chuchoter,18
à,à,81
l',le,71
oreille,oreille,22
",",",",p
et,et,82
je,je,51
crus,croire,19
voir,voir,14
grimacer,grimacer,14
devant,devant,81
moi,moi,51
",",",",p
avec,avec,81
son,son,73
sourire,sourire,21
glacial,glacial,30
",",",",p
la,le,71
figure,figure,22
sèche,sec,30
de,de,81
Desgenais,Desgenais,20
/.,/.,P
-,-,p
que,que,52
vient,venir,17
faire,faire,14
Desgenais,Desgenais,20
ici,ici,60
?,?,p
me,je,51
demandai,demander,19
je,je,51
à,à,81
moi-même,moi-même,51
",",",",p
comme,comme,83
si,si,83
je,je,51
l',le,52
eusse,avoir,18
vu,voir,12
réellement,réellement,60
/.,/.,P
il,il,51
m',je,51
avait,avoir,18
apparu,apparaître,12
tel,tel,75
qu',que,83
il,il,51
était,être,18
un,un,71
soir,soir,21
",",",",p
le,le,71
front,front,21
incliné,incliné,31
sous,sous,81
ma,mon,73
lampe,lampe,22
",",",",p
quand,quand,83
il,il,51
me,je,51
débitait,débiter,18
de,de,81
sa,son,73
voix,voix,22
aiguë,aigu,30
son,son,73
catéchisme,catéchisme,21
de,de,81
libertin,libertin,21
/.,/.,P
j',je,51
avais,avoir,18
toujours,toujours,60
les,le,71
yeux,oeil,21
sur,sur,81
le,le,71
livre,livre,21
",",",",p
et,et,82
je,je,51
sentais,sentir,18
vaguement,vaguement,60
dans,dans,81
ma,mon,73
mémoire,mémoire,22
je,je,51
ne,ne,60
sais,savoir,17
quelles,quel,75
paroles,parole,22
oubliées,oublié,31
",",",",p
entendues,entendu,31
autrefois,autrefois,60
",",",",p
mais,mais,82
qui,qui,52
m',je,51
avaient,avoir,18
serré,serrer,12
le,le,71
coeur,coeur,21
/.,/.,P
l',le,71
esprit,esprit,21
du,de,81
du,le,71
doute,doute,21
",",",",p
suspendu,suspendu,31
sur,sur,81
ma,mon,73
tête,tête,22
",",",",p
venait,venir,18
de,de,81
me,je,51
verser,verser,14
dans,dans,81
les,le,71
veines,veine,22
une,un,71
goutte,goutte,22
de,de,81
poison,poison,21
;,;,p
la,le,71
vapeur,vapeur,22
m',je,51
en,en,52
montait,monter,18
au,à,81
au,le,71
cerveau,cerveau,21
",",",",p
et,et,82
je,je,51
chancelais,chanceler,18
à,à,81
demi,demi,30
dans,dans,81
un,un,71
commencement,commencement,21
d',de,81
ivresse,ivresse,22
malfaisante,malfaisant,30
/.,/.,P
quel,quel,75
secret,secret,21
me,je,51
cachait,cacher,18
Brigitte,Brigitte,20
/?,/?,P
je,je,51
savais,savoir,18
bien,bien,60
que,que,83
je,je,51
n',ne,60
avais,avoir,18
qu',que,83
à,à,81
me,je,51
baisser,baisser,14
et,et,82
à,à,81
ouvrir,ouvrir,14
le,le,71
livre,livre,21
;,;,p
mais,mais,82
à,à,81
quel,quel,75
endroit,endroit,21
/?,/?,P
comment,comment,60
reconnaître,reconnaître,14
la,le,71
feuille,feuille,22
sur,sur,81
laquelle,lequel,52
le,le,71
hasard,hasard,21
m',je,51
avait,avoir,18
fait,faire,12
tomber,tomber,14
/?,/?,P
mon,mon,73
orgueil,orgueil,21
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
ne,ne,60
voulait,vouloir,18
pas,pas,60
que,que,83
je,je,51
prisse,prendre,18
le,le,71
livre,livre,21
;,;,p
était,être,18
ce,ce,52
donc,donc,82
vraiment,vraiment,60
mon,mon,73
orgueil,orgueil,21
/?,/?,P
o,oh,93
dieu,dieu,21
!,!,p
me,je,51
dis,dire,17
je,je,51
avec,avec,81
une,un,71
tristesse,tristesse,22
affreuse,affreux,30
",",",",p
est,être,17
ce,ce,52
que,que,83
le,le,71
passé,passé,21
est,être,17
un,un,71
spectre,spectre,21
/?,/?,P
est,être,17
ce,ce,52
qu',que,83
il,il,51
sort,sortir,17
de,de,81
son,son,73
tombeau,tombeau,21
/?,/?,P
ah,ah,93
!,!,p
misérable,misérable,21
",",",",p
est,être,17
ce,ce,52
que,que,83
je,je,51
vais,aller,17
ne,ne,60
pas,pas,60
pouvoir,pouvoir,14
aimer,aimer,14
/?,/?,P
toutes,tout,75
mes,mon,73
idées,idée,22
de,de,81
mépris,mépris,21
pour,pour,81
les,le,71
femmes,femme,22
",",",",p
toutes,tout,75
ces,ce,74
phrases,phrase,22
de,de,81
fatuité,fatuité,22
moqueuse,moqueur,30
que,que,52
j',je,51
avais,avoir,18
répétées,répéter,12
comme,comme,83
une,un,71
leçon,leçon,22
et,et,82
comme,comme,83
un,un,71
rôle,rôle,21
pendant,pendant,81
le,le,71
temps,temps,21
de,de,81
mes,mon,73
désordres,désordre,21
",",",",p
me,je,51
traversèrent,traverser,19
l',le,71
esprit,esprit,21
subitement,subitement,60
;,;,p
et,et,82
",",",",p
chose,chose,22
étrange,étrange,30
!,!,p
tandis qu',tandis que,83
autrefois,autrefois,60
je,je,51
n',ne,60
y,y,52
croyais,croire,18
pas,pas,60
en,en,81
en,en,81
faisant,faire,13
parade,parade,22
",",",",p
il,il,51
me,je,51
semblait,sembler,18
maintenant,maintenant,60
qu',que,83
elles,ils,51
étaient,être,18
réelles,réel,30
",",",",p
ou,ou,82
que,que,83
du,de,81
du,le,71
moins,moins,60
elles,ils,51
l',le,52
avaient,avoir,18
été,être,12
/.,/.,P
je,je,51
connaissais,connaître,18
madame,madame,22
Pierson,Pierson,20
depuis,depuis,81
quatre,quatre,72
mois,mois,21
",",",",p
mais,mais,82
je,je,51
ne,ne,60
savais,savoir,18
rien,rien,52
de,de,81
sa,son,73
vie,vie,22
passée,passé,31
et,et,82
ne,ne,60
lui,lui,51
en,en,52
avais,avoir,18
rien,rien,52
demandé,demander,12
/.,/.,P
je,je,51
m',je,51
étais,être,18
livré,livrer,12
à,à,81
mon,mon,73
amour,amour,21
pour,pour,81
elle,il,51
avec,avec,81
une,un,71
confiance,confiance,22
et,et,82
un,un,71
entraînement,entraînement,21
sans,sans,81
bornes,borne,22
/.,/.,P
j',je,51
avais,avoir,18
trouvé,trouver,12
une,un,71
sorte,sorte,22
de,de,81
jouissance,jouissance,22
à,à,81
ne,ne,60
faire,faire,14
aucune,aucun,75
question,question,22
sur,sur,81
elle,il,51
à,à,81
personne,personne,52
ni,ni,82
à,à,81
elle-même,lui-même,51
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
soupçons,soupçon,21
et,et,82
la,le,71
jalousie,jalousie,22
sont,être,17
si,si,83
peu,peu,60
dans,dans,81
mon,mon,73
caractère,caractère,21
que,que,83
j',je,51
étais,être,18
plus,plus,60
étonné,étonner,12
d',de,81
en,en,52
ressentir,ressentir,14
que,que,83
Brigitte,Brigitte,20
d',de,81
en,en,52
trouver,trouver,14
en,en,81
moi,moi,51
/.,/.,P
jamais,jamais,60
",",",",p
dans,dans,81
mes,mon,73
premiers,premier,72
amours,amour,21
ni,ni,82
dans,dans,81
le,le,71
commerce,commerce,21
habituel,habituel,30
de,de,81
la,le,71
vie,vie,22
",",",",p
je,je,51
n',ne,60
avais,avoir,18
été,être,12
défiant,défiant,30
",",",",p
mais,mais,82
plutôt,plutôt,60
hardi,hardi,30
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
et,et,82
ne,ne,60
doutant,douter,13
pour,pour,81
ainsi,ainsi,60
dire,dire,14
de,de,81
rien,rien,52
/.,/.,P
il,il,51
avait,avoir,18
fallu,falloir,12
que,que,83
je,je,51
visse,voir,18
de,de,81
mes,mon,73
propres,propre,30
yeux,oeil,21
la,le,71
trahison,trahison,22
de,de,81
ma,mon,73
maîtresse,maîtresse,22
pour,pour,81
croire,croire,14
qu',que,83
elle,il,51
pouvait,pouvoir,18
me,je,51
tromper,tromper,14
;,;,p
Desgenais,Desgenais,20
lui-même,lui-même,51
",",",",p
tout,tout,60
en,en,81
me,je,51
sermonnant,sermonner,13
à,à,81
sa,son,73
manière,manière,22
",",",",p
me,je,51
plaisantait,plaisanter,18
continuellement,continuellement,60
sur,sur,81
ma,mon,73
facilité,facilité,22
à,à,81
me,je,51
laisser,laisser,14
duper,duper,14
/.,/.,P
l',le,71
histoire,histoire,22
de,de,81
ma,mon,73
vie,vie,22
entière,entier,30
était,être,18
une,un,71
preuve,preuve,22
que,que,52
j',je,51
étais,être,18
plutôt,plutôt,60
crédule,crédule,30
que,que,83
soupçonneux,soupçonneux,30
;,;,p
aussi,aussi,60
",",",",p
quand,quand,83
la,le,71
vue,vue,22
de,de,81
ce,ce,74
livre,livre,21
me,je,51
frappa,frapper,19
ainsi,ainsi,60
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
me,je,51
sembla,sembler,19
que,que,83
je,je,51
sentais,sentir,18
en,en,81
moi,moi,51
un,un,71
nouvel,nouveau,30
être,être,21
et,et,82
une,un,71
sorte,sorte,22
d',de,81
inconnu,inconnu,21
;,;,p
ma,mon,73
raison,raison,22
se,se,51
révoltait,révolter,18
contre,contre,81
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
",",",",p
et,et,82
je,je,51
n',ne,60
osais,oser,18
me,je,51
demander,demander,14
où,où,60
tout,tout,52
cela,cela,52
allait,aller,18
me,je,51
conduire,conduire,14
/.,/.,P
mais,mais,82
les,le,71
souffrances,souffrance,22
que,que,52
j',je,51
avais,avoir,18
endurées,endurer,12
",",",",p
le,le,71
souvenir,souvenir,21
des,de,81
des,le,71
perfidies,perfidie,22
dont,dont,52
j',je,51
avais,avoir,18
été,être,12
le,le,71
témoin,témoin,21
",",",",p
l',le,71
affreuse,affreux,30
guérison,guérison,22
que,que,52
je,je,51
m',je,51
étais,être,18
imposée,imposer,12
",",",",p
les,le,71
discours,discours,21
de,de,81
mes,mon,73
amis,ami,21
",",",",p
le,le,71
monde,monde,21
corrompu,corrompu,31
que,que,52
j',je,51
avais,avoir,18
traversé,traverser,12
",",",",p
les,le,71
tristes,triste,30
vérités,vérité,22
que,que,52
j',je,51
y,y,52
avais,avoir,18
vues,voir,12
",",",",p
celles,celui,52
que,que,52
",",",",p
sans,sans,81
les,le,52
connaître,connaître,14
",",",",p
j',je,51
avais,avoir,18
comprises,comprendre,12
et,et,82
devinées,deviner,12
par,par,81
une,un,71
funeste,funeste,30
intelligence,intelligence,22
",",",",p
la,le,71
débauche,débauche,22
enfin,enfin,60
",",",",p
le,le,71
mépris,mépris,21
de,de,81
l',le,71
amour,amour,21
",",",",p
l',le,71
abus,abus,21
de,de,81
tout,tout,52
",",",",p
voilà,voilà,81
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
dans,dans,81
le,le,71
coeur,coeur,21
sans,sans,81
m',je,51
en,en,52
douter,douter,14
encore,encore,60
",",",",p
et,et,82
au,à,81
au,le,71
moment,moment,21
où,où,60
je,je,51
croyais,croire,18
renaître,renaître,14
à,à,81
l',le,71
espérance,espérance,22
et,et,82
à,à,81
la,le,71
vie,vie,22
",",",",p
toutes,tout,75
ces,ce,74
furies,furie,22
engourdies,engourdi,31
me,je,51
prenaient,prendre,18
à,à,81
la,le,71
gorge,gorge,22
et,et,82
me,je,51
criaient,crier,18
qu',que,83
elles,ils,51
étaient,être,18
là,là,60
/.,/.,P
je,je,51
me,je,51
baissai,baisser,19
et,et,82
ouvris,ouvrir,19
le,le,71
livre,livre,21
",",",",p
puis,puis,60
je,je,51
le,le,52
fermai,fermer,19
aussitôt,aussitôt,60
et,et,82
le,le,52
rejetai,rejeter,19
sur,sur,81
la,le,71
table,table,22
/.,/.,P
Brigitte,Brigitte,20
me,je,51
regardait,regarder,18
;,;,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
dans,dans,81
ses,son,73
beaux,beau,30
yeux,oeil,21
ni,ni,82
orgueil,orgueil,21
blessé,blessé,31
ni,ni,82
colère,colère,22
;,;,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
qu',que,83
une,un,71
tendre,tendre,30
inquiétude,inquiétude,22
",",",",p
comme,comme,83
si,si,83
j',je,51
eusse,avoir,18
été,être,12
malade,malade,30
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
croyez,croire,17
que,que,83
j',je,51
ai,avoir,17
des,de,81
des,le,71
secrets,secret,21
?,?,p
demanda,demander,19
t,t,94
elle,il,51
en,en,81
m',je,51
embrassant,embrasser,13
/.,/.,P
-,-,p
non,non,60
",",",",p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
je,je,51
ne,ne,60
crois,croire,17
rien,rien,52
",",",",p
sinon,sinon,83
que,que,83
tu,tu,51
es,être,17
belle,beau,30
",",",",p
et,et,82
que,que,52
je,je,51
veux,vouloir,17
mourir,mourir,14
en,en,81
t',tu,51
aimant,aimer,13
/.,/.,P
rentré,rentré,31
chez,chez,81
moi,moi,51
",",",",p
comme,comme,83
j',je,51
étais,être,18
en,en,81
train,train,21
de,de,81
dîner,dîner,14
",",",",p
je,je,51
demandai,demander,19
à,à,81
Larive,Larive,20
:,:,p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
que,que,83
cette,ce,74
madame,madame,22
Pierson,Pierson,20
/?,/?,P
il,il,51
se,se,51
retourna,retourner,19
tout,tout,60
étonné,étonné,31
/.,/.,P
-,-,p
tu,tu,51
es,être,17
",",",",p
lui,lui,51
dis,dire,17
je,je,51
",",",",p
dans,dans,81
le,le,71
pays,pays,21
depuis,depuis,81
nombre,nombre,21
d',de,81
années,année,22
;,;,p
tu,tu,51
dois,devoir,17
la,le,52
connaître,connaître,14
mieux,mieux,60
que,que,83
moi,moi,51
/.,/.,P
que,que,52
dit,dire,17
on,on,51
d',de,81
elle,il,51
ici,ici,60
?,?,p
qu',que,52
en,en,52
pense,penser,17
t,t,94
on,on,51
dans,dans,81
le,le,71
village,village,21
?,?,p
quelle,quel,75
vie,vie,22
menait,mener,18
elle,il,51
avant,avant,81
que,que,83
je,je,51
la,le,52
connusse,connaître,18
?,?,p
quelles,quel,75
gens,gens,21
voyait,voir,18
elle,il,51
/?,/?,P
ma,mon,73
foi,foi,22
!,!,p
monsieur,monsieur,21
",",",",p
je,je,51
ne,ne,60
lui,lui,51
ai,avoir,17
vu,voir,12
faire,faire,14
que,que,83
ce,ce,52
qu',que,52
elle,il,51
fait,faire,17
tous,tout,75
les,le,71
jours,jour,21
",",",",p
c'est-à-dire,c'est-à-dire,91
se,se,51
promener,promener,14
dans,dans,81
la,le,71
vallée,vallée,22
",",",",p
jouer,jouer,14
au,à,81
au,le,71
piquet,piquet,21
avec,avec,81
sa,son,73
tante,tante,22
",",",",p
et,et,82
faire,faire,14
la,le,71
charité,charité,22
aux,à,81
aux,le,71
pauvres,pauvre,21
/.,/.,P
les,le,71
paysans,paysan,21
l',le,52
appellent,appeler,17
Brigitte,Brigitte,20
la,le,71
Rose,Rose,20
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
entendu,entendre,12
dire,dire,14
un,un,71
mot,mot,21
contre,contre,81
elle,il,51
à,à,81
qui,qui,52
que,que,52
ce,ce,52
soit,être,17
",",",",p
sinon,sinon,83
qu',que,83
elle,il,51
court,courir,17
les,le,71
champs,champ,21
toute,tout,60
seule,seul,30
",",",",p
à,à,81
toute,tout,75
heure,heure,22
du,de,81
du,le,71
jour,jour,21
et,et,82
de,de,81
la,le,71
nuit,nuit,22
;,;,p
mais,mais,82
c',ce,52
est,être,17
dans,dans,81
un,un,71
but,but,21
si,si,60
louable,louable,30
/!,/!,P
elle,il,51
est,être,17
la,le,71
providence,providence,22
du,de,81
du,le,71
pays,pays,21
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
gens,gens,21
qu',que,52
elle,il,51
voit,voir,17
",",",",p
ce,ce,52
n',ne,60
est,être,17
guère,guère,60
que,que,83
le,le,71
curé,curé,21
",",",",p
et,et,82
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
",",",",p
aux,à,81
aux,le,71
vacances,vacance,22
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
/?,/?,P
c',ce,52
est,être,17
le,le,71
propriétaire,propriétaire,21
d',de,81
un,un,71
château,château,21
qui,qui,52
est,être,17
là-bas,là-bas,60
",",",",p
derrière,derrière,81
la,le,71
montagne,montagne,22
;,;,p
il,il,51
ne,ne,60
vient,venir,17
ici,ici,60
que,que,83
pour,pour,81
la,le,71
chasse,chasse,22
/.,/.,P
-,-,p
est,être,17
il,il,51
jeune,jeune,30
/?,/?,P
oui,oui,60
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
est,être,17
il,il,51
parent,parent,21
de,de,81
madame,madame,22
Pierson,Pierson,20
/?,/?,P
non,non,60
/.,/.,P
il,il,51
était,être,18
ami,ami,30
de,de,81
son,son,73
mari,mari,21
/.,/.,P
-,-,p
y,y,52
a,avoir,17
t,t,94
il,il,51
longtemps,longtemps,60
que,que,83
son,son,73
mari,mari,21
est,être,17
mort,mourir,12
/?,/?,P
cinq,cinq,72
ans,an,21
à,à,81
la,le,71
Toussaint,Toussaint,20
;,;,p
c',ce,52
était,être,18
un,un,71
digne,digne,30
homme,homme,21
/.,/.,P
-,-,p
et,et,82
ce,ce,74
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
",",",",p
dit,dire,17
on,on,51
qu',que,83
il,il,51
lui,lui,51
ait,avoir,17
fait,faire,12
la,le,71
cour,cour,22
/?,/?,P
à,à,81
la,le,71
veuve,veuve,22
",",",",p
monsieur,monsieur,21
/?,/?,P
dame,dame,22
!,!,p
à,à,81
vrai,vrai,60
dire,dire,14
…,…,p
(,(,p
il,il,51
s',se,51
arrêta,arrêter,19
d',de,81
un,un,71
air,air,21
embarrassé,embarrassé,31
/.,/.,P
),),p
-,-,p
parleras,parler,15
tu,tu,51
/?,/?,P
on,on,51
l',le,52
a,avoir,17
dit,dire,12
",",",",p
et,et,82
on,on,51
ne,ne,60
l',le,52
a,avoir,17
pas,pas,60
dit,dire,12
/…,/…,P
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
",",",",p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
rien,rien,52
vu,voir,12
/.,/.,P
-,-,p
et,et,82
tu,tu,51
me,je,51
disais,dire,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
qu',que,83
on,on,51
ne,ne,60
parlait,parler,18
pas,pas,60
d',de,81
elle,il,51
dans,dans,81
le,le,71
pays,pays,21
/?,/?,P
on,on,51
n',ne,60
a,avoir,17
jamais,jamais,60
rien,rien,52
dit,dire,12
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
et,et,82
je,je,51
pensais,penser,18
que,que,83
monsieur,monsieur,21
savait,savoir,18
cela,cela,52
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
le,le,52
dit,dire,19
on,on,51
",",",",p
oui,oui,60
ou,ou,82
non,non,60
/?,/?,P
oui,oui,60
monsieur,monsieur,21
",",",",p
je,je,51
le,le,52
crois,croire,17
",",",",p
du,de,81
du,le,71
moins,moins,60
/.,/.,P
je,je,51
me,je,51
levai,lever,19
de,de,81
table,table,22
et,et,82
descendis,descendre,19
sur,sur,81
la,le,71
promenade,promenade,22
/.,/.,P
Mercanson,Mercanson,20
y,y,52
était,être,18
;,;,p
je,je,51
m',je,51
attendais,attendre,18
qu',que,83
il,il,51
allait,aller,18
m',je,51
éviter,éviter,14
;,;,p
tout,tout,60
au,à,81
au,le,71
contraire,contraire,21
",",",",p
il,il,51
m',je,51
aborda,aborder,19
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
me,je,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
avez,avoir,17
l',le,71
autre,autre,75
jour,jour,21
donné,donner,12
des,de,81
des,le,71
marques,marque,22
de,de,81
colère,colère,22
dont,dont,52
un,un,71
homme,homme,21
de,de,81
mon,mon,73
caractère,caractère,21
ne,ne,60
saurait,savoir,16
conserver,conserver,14
la,le,71
mémoire,mémoire,22
/.,/.,P
je,je,51
vous,vous,51
exprime,exprimer,17
mon,mon,73
regret,regret,21
de,de,81
m',je,51
être,être,14
chargé,charger,12
d',de,81
une,un,71
commission,commission,22
intempestive,intempestif,30
(,(,p
c',ce,52
était,être,18
sa,son,73
manière,manière,22
que,que,83
les,le,71
longs,long,30
mots,mot,21
),),p
et,et,82
de,de,81
m',je,51
être,être,14
mis,mettre,12
en,en,81
travers,travers,21
des,de,81
des,le,71
roues,roue,22
avec,avec,81
tant,tant,60
soit,être,17
peu,peu,60
d',de,81
importunité,importunité,22
/.,/.,P
je,je,51
lui,lui,51
rendis,rendre,19
son,son,73
compliment,compliment,21
",",",",p
croyant,croire,13
qu',que,83
il,il,51
me,je,51
quitterait,quitter,16
là-dessus,là-dessus,60
;,;,p
mais,mais,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
à,à,81
côté,côté,21
de,de,81
moi,moi,51
/.,/.,P
-,-,p
Dalens,Dalens,20
/!,/!,P
Dalens,Dalens,20
!,!,p
répétais,répéter,18
je,je,51
entre,entre,81
mes,mon,73
dents,dent,22
;,;,p
qui,qui,52
me,je,51
parlera,parler,15
de,de,81
Dalens,Dalens,20
?,?,p
car,car,82
Larive,Larive,20
ne,ne,60
m',je,51
avait,avoir,18
rien,rien,52
dit,dire,12
que,que,83
ce,ce,52
que,que,52
peut,pouvoir,17
dire,dire,14
un,un,71
valet,valet,21
/.,/.,P
par,par,81
qui,qui,52
le,le,52
savait,savoir,18
il,il,51
?,?,p
par,par,81
quelque,quelque,75
servante,servante,22
ou,ou,82
quelque,quelque,75
paysan,paysan,21
/.,/.,P
il,il,51
me,je,51
fallait,falloir,18
un,un,71
témoin,témoin,21
qui,qui,52
pût,pouvoir,18
avoir,avoir,14
vu,voir,12
Dalens,Dalens,20
chez,chez,81
madame,madame,22
Pierson,Pierson,20
",",",",p
et,et,82
qui,qui,52
sût,savoir,18
à,à,81
quoi,quoi,52
s',se,51
en,en,52
tenir,tenir,14
/.,/.,P
ce,ce,74
Dalens,Dalens,20
ne,ne,60
me,je,51
sortait,sortir,18
pas,pas,60
de,de,81
la,le,71
tête,tête,22
",",",",p
et,et,82
",",",",p
ne,ne,60
pouvant,pouvoir,13
parler,parler,14
d',de,81
autre,autre,75
chose,chose,22
",",",",p
j',je,51
en,en,52
parlai,parler,19
tout,tout,60
de,de,81
suite,suite,22
à,à,81
Mercanson,Mercanson,20
/.,/.,P
si,si,83
Mercanson,Mercanson,20
était,être,18
un,un,71
méchant,méchant,30
homme,homme,21
",",",",p
s',si,83
il,il,51
était,être,18
niais,niais,30
ou,ou,82
rusé,rusé,31
",",",",p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
jamais,jamais,60
distingué,distinguer,12
clairement,clairement,60
;,;,p
il,il,51
est,être,17
certain,certain,30
qu',que,83
il,il,51
devait,devoir,18
me,je,51
haïr,haïr,14
",",",",p
et,et,82
qu',que,52
il,il,51
en,en,52
agit,agir,17
avec,avec,81
moi,moi,51
aussi,aussi,60
méchamment,méchamment,60
que,que,83
possible,possible,30
/.,/.,P
madame,madame,22
Pierson,Pierson,20
",",",",p
qui,qui,52
avait,avoir,18
la,le,71
plus,plus,60
grande,grand,30
amitié,amitié,22
pour,pour,81
le,le,71
curé,curé,21
(,(,p
et,et,82
c',ce,52
était,être,18
à,à,81
juste,juste,30
titre,titre,21
),),p
",",",",p
avait,avoir,18
fini,finir,12
",",",",p
presque,presque,60
malgré,malgré,81
elle,il,51
",",",",p
par,par,81
en,en,52
avoir,avoir,14
pour,pour,81
le,le,71
neveu,neveu,21
/.,/.,P
il,il,51
en,en,52
était,être,18
fier,fier,30
",",",",p
par,par,81
conséquent,conséquent,30
jaloux,jaloux,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
que,que,83
l',le,71
amour,amour,21
seul,seul,30
qui,qui,52
donne,donner,17
de,de,81
la,le,71
jalousie,jalousie,22
;,;,p
une,un,71
faveur,faveur,22
",",",",p
un,un,71
mot,mot,21
bienveillant,bienveillant,30
",",",",p
un,un,71
sourire,sourire,21
d',de,81
une,un,71
belle,beau,30
bouche,bouche,22
",",",",p
peuvent,pouvoir,17
l',le,52
inspirer,inspirer,14
jusqu',jusque,81
à,à,81
la,le,71
rage,rage,22
à,à,81
certaines,certain,75
gens,gens,21
/.,/.,P
Mercanson,Mercanson,20
parut,paraître,19
d'abord,d'abord,60
étonné,étonné,31
",",",",p
aussi,aussi,60
bien,bien,60
que,que,83
Larive,Larive,20
",",",",p
des,de,81
des,le,71
questions,question,22
que,que,52
je,je,51
lui,lui,51
adressais,adresser,18
/.,/.,P
j',je,51
en,en,52
étais,être,18
moi-même,moi-même,51
plus,plus,60
étonné,étonner,12
encore,encore,60
/.,/.,P
mais,mais,82
qui,qui,52
se,se,51
connaît,connaître,17
ici-bas,ici-bas,60
/?,/?,P
aux,à,81
aux,le,71
premières,premier,72
réponses,réponse,22
du,de,81
du,le,71
prêtre,prêtre,21
",",",",p
je,je,51
le,le,52
vis,voir,19
comprendre,comprendre,14
ce,ce,52
que,que,52
je,je,51
voulais,vouloir,18
savoir,savoir,14
",",",",p
et,et,82
décidé,décidé,31
à,à,81
ne,ne,60
pas,pas,60
me,je,51
le,le,52
dire,dire,14
/.,/.,P
-,-,p
comment,comment,60
se,se,51
fait,faire,17
il,il,51
",",",",p
monsieur,monsieur,21
",",",",p
que,que,83
vous,vous,51
qui,qui,52
connaissez,connaître,17
madame,madame,22
Pierson,Pierson,20
depuis,depuis,81
longtemps,longtemps,60
",",",",p
et,et,82
qui,qui,52
êtes,être,17
reçu,recevoir,12
chez,chez,81
elle,il,51
d',de,81
une,un,71
façon,façon,22
assez,assez,60
intime,intime,30
(,(,p
je,je,51
le,le,52
pense,penser,17
du,de,81
du,le,71
moins,moins,60
),),p
",",",",p
vous,vous,51
n',ne,60
y,y,52
ayez,avoir,17
point,point,60
rencontré,rencontrer,12
monsieur,monsieur,21
de,de,81
Dalens,Dalens,20
/?,/?,P
mais,mais,82
",",",",p
apparemment,apparemment,60
",",",",p
vous,vous,51
avez,avoir,17
quelque,quelque,75
raison,raison,22
",",",",p
qu',que,52
il,il,51
ne,ne,60
m',je,51
appartient,appartenir,17
point,point,60
de,de,81
connaître,connaître,14
",",",",p
pour,pour,81
vous,vous,51
enquérir,enquérir,14
de,de,81
lui,lui,51
aujourd'hui,aujourd'hui,60
/.,/.,P
ce,ce,52
que,que,52
j',je,51
en,en,52
puis,pouvoir,17
dire,dire,14
pour,pour,81
ma,mon,73
part,part,22
",",",",p
c',ce,52
est,être,17
que,que,83
c',ce,52
était,être,18
un,un,71
honnête,honnête,30
gentilhomme,gentilhomme,21
",",",",p
plein,plein,30
de,de,81
bonté,bonté,22
et,et,82
de,de,81
charité,charité,22
;,;,p
il,il,51
était,être,18
",",",",p
comme,comme,83
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
fort,fort,60
intime,intime,30
chez,chez,81
madame,madame,22
Pierson,Pierson,20
;,;,p
il,il,51
a,avoir,17
