11953
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-septième extrait>,<>,<>
le,le,71
bal,bal,21
d',de,81
inauguration,inauguration,22
du,de,81
du,le,71
casino,casino,21
",",",",p
Gontran,Gontran,20
s',se,51
était,être,18
attaché,attacher,12
à,à,81
la,le,71
robe,robe,22
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
il,il,51
avait,avoir,18
pour,pour,81
elle,il,51
",",",",p
en,en,81
public,public,21
",",",",p
tous,tout,75
les,le,71
menus,menu,30
soins,soin,21
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
veulent,vouloir,17
plaire,plaire,14
sans,sans,81
cacher,cacher,14
leurs,leur,73
vues,vue,22
;,;,p
et,et,82
leurs,leur,73
relations,relation,22
ordinaires,ordinaire,30
prenaient,prendre,18
en,en,81
même,même,75
temps,temps,21
un,un,71
caractère,caractère,21
de,de,81
galanterie,galanterie,22
enjouée,enjoué,30
et,et,82
naturelle,naturel,30
qui,qui,52
devait,devoir,18
les,le,52
conduire,conduire,14
au,à,81
au,le,71
sentiment,sentiment,21
/.,/.,P
ils,ils,51
se,se,51
voyaient,voir,18
presque,presque,60
chaque,chaque,75
jour,jour,21
",",",",p
car,car,82
les,le,71
fillettes,fillette,22
s',se,51
étaient,être,18
prises,prendre,12
pour,pour,81
Christiane,Christiane,20
d',de,81
une,un,71
excessive,excessif,30
amitié,amitié,22
",",",",p
où,où,60
entrait,entrer,18
sans,sans,81
doute,doute,21
beaucoup,beaucoup,60
de,de,81
vanité,vanité,22
flattée,flatté,31
/.,/.,P
Gontran,Gontran,20
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
ne,ne,60
quitta,quitter,19
plus,plus,60
sa,son,73
soeur,soeur,22
;,;,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
organiser,organiser,14
des,de,81
des,le,71
parties,partie,22
pour,pour,81
le,le,71
matin,matin,21
et,et,82
des,de,81
des,le,71
jeux,jeu,21
pour,pour,81
le,le,71
soir,soir,21
",",",",p
dont,dont,52
s',se,51
étonnèrent,étonner,19
beaucoup,beaucoup,60
Christiane,Christiane,20
et,et,82
Paul,Paul,20
/.,/.,P
puis,puis,60
on,on,51
s',se,51
aperçut,apercevoir,19
qu',que,83
il,il,51
s',se,51
occupait,occuper,18
de,de,81
Charlotte,Charlotte,20
;,;,p
il,il,51
la,le,52
taquinait,taquiner,18
avec,avec,81
gaîté,gaieté,22
",",",",p
la,le,52
complimentait,complimenter,18
sans,sans,81
en,en,52
avoir,avoir,14
l',le,71
air,air,21
",",",",p
lui,lui,51
montrait,montrer,18
ces,ce,74
mille,mille,72
attentions,attention,22
légères,léger,30
qui,qui,52
nouent,nouer,17
entre,entre,81
deux,deux,72
êtres,être,21
des,de,81
des,le,71
liens,lien,21
de,de,81
tendresse,tendresse,22
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
accoutumée,accoutumé,31
déjà,déjà,60
aux,à,81
aux,le,71
manières,manière,22
libres,libre,30
et,et,82
familières,familier,30
de,de,81
ce,ce,74
gamin,gamin,21
du,de,81
du,le,71
monde,monde,21
parisien,parisien,30
",",",",p
ne,ne,60
remarqua,remarquer,19
rien,rien,52
d'abord,d'abord,60
",",",",p
et,et,82
se,se,51
laissant,laisser,13
aller,aller,14
à,à,81
sa,son,73
nature,nature,22
confiante,confiant,30
et,et,82
droite,droit,30
",",",",p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
et,et,82
à,à,81
jouer,jouer,14
avec,avec,81
lui,lui,51
",",",",p
comme,comme,83
elle,il,51
eût,avoir,19
fait,faire,12
avec,avec,81
un,un,71
frère,frère,21
/.,/.,P
or,or,82
",",",",p
elle,il,51
rentrait,rentrer,18
avec,avec,81
sa,son,73
soeur,soeur,22
aînée,aîné,30
",",",",p
après,après,81
une,un,71
soirée,soirée,22
à,à,81
l',le,71
hôtel,hôtel,21
",",",",p
où,où,60
Gontran,Gontran,20
",",",",p
plusieurs,plusieurs,75
fois,fois,22
",",",",p
avait,avoir,18
essayé,essayer,12
de,de,81
l',le,52
embrasser,embrasser,14
à,à,81
la,le,71
suite,suite,22
de,de,81
gages,gage,21
donnés,donné,31
dans,dans,81
une,un,71
partie,partie,22
de,de,81
pigeon,pigeon,21
vole,voler,17
",",",",p
quand,quand,83
Louise,Louise,20
",",",",p
qui,qui,52
semblait,sembler,18
soucieuse,soucieux,30
et,et,82
nerveuse,nerveux,30
depuis,depuis,81
quelque,quelque,75
temps,temps,21
",",",",p
lui,lui,51
dit,dire,19
",",",",p
d',de,81
un,un,71
ton,ton,21
brusque,brusque,30
:,:,p
“,“,p
tu,tu,51
ferais,faire,16
bien,bien,60
de,de,81
veiller,veiller,14
un,un,71
peu,peu,60
à,à,81
ta,ton,73
tenue,tenue,22
/.,/.,P
monsieur,monsieur,21
Gontran,Gontran,20
n',ne,60
est,être,17
pas,pas,60
convenable,convenable,30
avec,avec,81
toi,toi,51
/.,/.,P
-,-,p
pas,pas,60
convenable,convenable,30
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
dit,dire,12
/?,/?,P
tu,tu,51
le,le,52
sais,savoir,17
bien,bien,60
",",",",p
ne,ne,60
fais,faire,17
pas,pas,60
la,le,71
niaise,niais,30
/.,/.,P
il,il,51
ne,ne,60
faudrait,falloir,16
pas,pas,60
longtemps,longtemps,60
pour,pour,81
te,tu,51
laisser,laisser,14
compromettre,compromettre,14
",",",",p
de,de,81
cette,ce,74
façon,façon,22
là,là,60
/!,/!,P
et,et,82
si,si,83
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
veiller,veiller,14
sur,sur,81
ta,ton,73
conduite,conduite,22
",",",",p
c',ce,52
est,être,17
à,à,81
moi,moi,51
d',de,81
y,y,52
faire,faire,14
attention,attention,22
/.,/.,P
“,“,p
Charlotte,Charlotte,20
",",",",p
confuse,confus,30
",",",",p
honteuse,honteux,30
",",",",p
balbutia,balbutier,19
:,:,p
“,“,p
mais,mais,82
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
…,…,p
je,je,51
t',tu,51
assure,assurer,17
…,…,p
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
vu,voir,12
/…,/…,P
“,“,p
sa,son,73
soeur,soeur,22
reprit,reprendre,19
avec,avec,81
sévérité,sévérité,22
:,:,p
“,“,p
écoute,écoute,22
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
que,que,83
ça,ça,52
continue,continuer,17
ainsi,ainsi,60
/!,/!,P
s',si,83
il,il,51
veut,vouloir,17
t',tu,51
épouser,épouser,14
",",",",p
c',ce,52
est,être,17
à,à,81
papa,papa,21
de,de,81
réfléchir,réfléchir,14
et,et,82
de,de,81
répondre,répondre,14
;,;,p
mais,mais,82
s',si,83
il,il,51
veut,vouloir,17
seulement,seulement,60
plaisanter,plaisanter,14
",",",",p
il,il,51
faut,falloir,17
qu',que,83
il,il,51
cesse,cesser,17
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
“,“,p
alors,alors,60
",",",",p
brusquement,brusquement,60
",",",",p
Charlotte,Charlotte,20
se,se,51
fâcha,fâcher,19
",",",",p
sans,sans,81
savoir,savoir,14
pourquoi,pourquoi,60
",",",",p
sans,sans,81
savoir,savoir,14
de,de,81
quoi,quoi,52
/.,/.,P
elle,il,51
était,être,18
révoltée,révolter,12
maintenant,maintenant,60
que,que,83
sa,son,73
soeur,soeur,22
se,se,51
mêlât,mêler,18
de,de,81
la,le,52
diriger,diriger,14
et,et,82
de,de,81
la,le,52
réprimander,réprimander,14
;,;,p
et,et,82
elle,il,51
lui,lui,51
déclara,déclarer,19
",",",",p
la,le,71
voix,voix,22
tremblante,tremblant,30
et,et,82
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
qu',que,83
elle,il,51
eût,avoir,19
à,à,81
ne,ne,60
jamais,jamais,60
s',se,51
occuper,occuper,14
de,de,81
ce,ce,52
qui,qui,52
ne,ne,60
la,le,52
regardait,regarder,18
pas,pas,60
/.,/.,P
elle,il,51
bégayait,bégayer,18
",",",",p
exaspérée,exaspéré,31
",",",",p
prévenue,prévenu,22
par,par,81
un,un,71
instinct,instinct,21
vague,vague,30
et,et,82
sûr,sûr,30
de,de,81
la,le,71
jalousie,jalousie,22
éveillée,éveillé,31
dans,dans,81
le,le,71
coeur,coeur,21
aigri,aigri,31
de,de,81
Louise,Louise,20
/.,/.,P
elles,ils,51
se,se,51
quittèrent,quitter,19
sans,sans,81
s',se,51
embrasser,embrasser,14
et,et,82
Charlotte,Charlotte,20
pleura,pleurer,19
dans,dans,81
son,son,73
lit,lit,21
en,en,81
pensant,penser,13
à,à,81
des,de,81
des,le,71
choses,chose,22
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
prévues,prévoir,12
ni,ni,82
devinées,deviner,12
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
ses,son,73
larmes,larme,22
s',se,51
arrêtèrent,arrêter,19
et,et,82
elle,il,51
réfléchit,réfléchir,19
/.,/.,P
c',ce,52
était,être,18
vrai,vrai,30
pourtant,pourtant,60
que,que,83
les,le,71
manières,manière,22
de,de,81
Gontran,Gontran,20
étaient,être,18
changées,changer,12
/.,/.,P
elle,il,51
l',le,52
avait,avoir,18
senti,sentir,12
jusqu'ici,jusqu'ici,81
sans,sans,81
le,le,52
comprendre,comprendre,14
/.,/.,P
elle,il,51
le,le,52
comprenait,comprendre,18
à,à,81
présent,présent,21
/.,/.,P
il,il,51
lui,lui,51
disait,dire,18
",",",",p
à,à,81
tout,tout,75
propos,propos,21
",",",",p
des,de,81
des,le,71
choses,chose,22
gentilles,gentil,30
",",",",p
délicates,délicat,30
/.,/.,P
il,il,51
lui,lui,51
avait,avoir,18
baisé,baiser,12
la,le,71
main,main,22
",",",",p
une,un,71
fois,fois,22
/.,/.,P
que,que,52
voulait,vouloir,18
il,il,51
/?,/?,P
elle,il,51
lui,lui,51
plaisait,plaire,18
",",",",p
mais,mais,82
jusqu',jusque,81
à,à,81
quel,quel,75
point,point,21
/?,/?,P
est,être,17
ce,ce,52
que,que,83
",",",",p
par,par,81
hasard,hasard,21
",",",",p
il,il,51
se,se,51
pourrait,pouvoir,16
qu',que,83
il,il,51
l',le,52
épousât,épouser,18
/?,/?,P
et,et,82
aussitôt,aussitôt,60
il,il,51
lui,lui,51
sembla,sembler,19
entendre,entendre,14
",",",",p
dans,dans,81
l',le,71
air,air,21
",",",",p
quelque,quelque,75
part,part,22
",",",",p
dans,dans,81
la,le,71
nuit,nuit,22
vide,vide,30
où,où,60
commençaient,commencer,18
à,à,81
voltiger,voltiger,14
ses,son,73
rêves,rêve,21
",",",",p
une,un,71
voix,voix,22
qui,qui,52
criait,crier,18
:,:,p
“,“,p
comtesse,comtesse,22
de,de,81
Ravenel,Ravenel,20
/.,/.,P
“,“,p
l',le,71
émotion,émotion,22
fut,être,19
si,si,60
forte,fort,30
qu',que,83
elle,il,51
s',se,51
assit,asseoir,19
dans,dans,81
son,son,73
lit,lit,21
;,;,p
puis,puis,60
elle,il,51
chercha,chercher,19
",",",",p
avec,avec,81
ses,son,73
pieds,pied,21
nus,nu,30
",",",",p
ses,son,73
pantoufles,pantoufle,22
sous,sous,81
la,le,71
chaise,chaise,22
où,où,60
elle,il,51
avait,avoir,18
jeté,jeter,12
ses,son,73
robes,robe,22
et,et,82
elle,il,51
alla,aller,19
ouvrir,ouvrir,14
la,le,71
fenêtre,fenêtre,22
",",",",p
sans,sans,81
savoir,savoir,14
ce,ce,52
qu',que,52
elle,il,51
faisait,faire,18
",",",",p
pour,pour,81
donner,donner,14
de,de,81
l',le,71
espace,espace,21
à,à,81
ses,son,73
espérances,espérance,22
/.,/.,P
elle,il,51
entendit,entendre,19
qu',que,83
on,on,51
parlait,parler,18
dans,dans,81
la,le,71
salle,salle,22
du,de,81
du,le,71
bas,bas,21
",",",",p
et,et,82
la,le,71
voix,voix,22
de,de,81
Colosse,Colosse,20
s',se,51
éleva,élever,19
:,:,p
“,“,p
laiche,laisser,17
",",",",p
laiche,laisser,17
/.,/.,P
y,y,52
chera,être,17
temps,temps,21
de,de,81
voir,voir,14
/.,/.,P
le,le,71
païré,père,21
arrangera,arranger,15
cha,ça,52
/.,/.,P
y,y,52
a,avoir,17
pas,pas,60
de,de,81
mal,mal,21
jusqu'ici,jusqu'ici,81
/.,/.,P
ch',ce,52
est,être,17
le,le,71
païré,père,21
qui,qui,52
fera,faire,15
la,le,71
chose,chose,22
/.,/.,P
“,“,p
elle,il,51
voyait,voir,18
sur,sur,81
la,le,71
maison,maison,22
d',de,81
en,en,81
face,face,22
le,le,71
carré,carré,21
blanc,blanc,30
de,de,81
la,le,71
fenêtre,fenêtre,22
éclairée,éclairé,31
au-dessous,au-dessous,60
d',de,81
elle,il,51
/.,/.,P
elle,il,51
se,se,51
demandait,demander,18
:,:,p
“,“,p
qui,qui,52
donc,donc,82
est,être,17
là,là,60
/?,/?,P
de,de,81
quoi,quoi,52
parlent,parler,17
ils,ils,51
/?,/?,P
une,un,71
ombre,ombre,22
passa,passer,19
sur,sur,81
le,le,71
mur,mur,21
lumineux,lumineux,30
/.,/.,P
c',ce,52
était,être,18
sa,son,73
soeur,soeur,22
/!,/!,P
elle,il,51
n',ne,60
était,être,18
donc,donc,82
pas,pas,60
couchée,coucher,12
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
mais,mais,82
la,le,71
lumière,lumière,22
s',se,51
éteignit,éteindre,19
",",",",p
et,et,82
Charlotte,Charlotte,20
se,se,51
remit,remettre,19
à,à,81
songer,songer,14
aux,à,81
aux,le,71
choses,chose,22
nouvelles,nouveau,30
qui,qui,52
remuaient,remuer,18
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
elle,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
s',se,51
endormir,endormir,14
maintenant,maintenant,60
/.,/.,P
l',le,52
aimait,aimer,18
il,il,51
/?,/?,P
oh,oh,93
",",",",p
non,non,60
/!,/!,P
pas,pas,60
encore,encore,60
/!,/!,P
mais,mais,82
il,il,51
pouvait,pouvoir,18
l',le,52
aimer,aimer,14
puisqu',puisque,83
elle,il,51
lui,lui,51
plaisait,plaire,18
/!,/!,P
et,et,82
s',si,83
il,il,51
arrivait,arriver,18
à,à,81
l',le,52
aimer,aimer,14
beaucoup,beaucoup,60
",",",",p
éperdument,éperdument,60
",",",",p
comme,comme,83
on,on,51
aime,aimer,17
dans,dans,81
le,le,71
monde,monde,21
",",",",p
il,il,51
l',le,52
épouserait,épouser,16
sans,sans,81
aucun,aucun,75
doute,doute,21
/.,/.,P
née,né,31
dans,dans,81
une,un,71
maison,maison,22
de,de,81
vignerons,vigneron,21
",",",",p
elle,il,51
avait,avoir,18
gardé,garder,12
",",",",p
bien,bien,60
qu',que,83
élevée,élevé,31
dans,dans,81
le,le,71
couvent,couvent,21
des,de,81
des,le,71
demoiselles,demoiselle,22
de,de,81
Clermont,Clermont,20
",",",",p
une,un,71
modestie,modestie,22
et,et,82
une,un,71
humilité,humilité,22
de,de,81
paysanne,paysanne,22
/.,/.,P
elle,il,51
pensait,penser,18
qu',que,83
elle,il,51
aurait,avoir,16
pour,pour,81
mari,mari,21
un,un,71
notaire,notaire,21
peut-être,peut-être,60
ou,ou,82
un,un,71
avocat,avocat,21
",",",",p
ou,ou,82
un,un,71
médecin,médecin,21
;,;,p
mais,mais,82
l',le,71
envie,envie,22
de,de,81
devenir,devenir,14
une,un,71
vraie,vrai,30
dame,dame,22
du,de,81
du,le,71
grand,grand,30
monde,monde,21
",",",",p
avec,avec,81
un,un,71
titre,titre,21
de,de,81
noblesse,noblesse,22
devant,devant,81
son,son,73
nom,nom,21
",",",",p
ne,ne,60
l',le,52
avait,avoir,18
jamais,jamais,60
pénétrée,pénétrer,12
/.,/.,P
à,à,81
peine,peine,22
en,en,81
achevant,achever,13
un,un,52
roman,roman,30
d',de,81
amour,amour,21
avait,avoir,18
elle,il,51
rêvassé,rêvasser,12
quelques,quelque,75
minutes,minute,22
sous,sous,81
l',le,71
effleurement,effleurement,21
de,de,81
ce,ce,74
joli,joli,30
désir,désir,21
",",",",p
qui,qui,52
s',se,51
était,être,18
aussitôt,aussitôt,60
envolé,envoler,12
de,de,81
son,son,73
âme,âme,22
",",",",p
comme,comme,83
s',se,51
envolent,envoler,17
les,le,71
chimères,chimère,22
/.,/.,P
or,or,82
",",",",p
voilà,voilà,81
que,que,83
cette,ce,74
chose,chose,22
imprévue,imprévu,30
",",",",p
impossible,impossible,30
",",",",p
évoquée,évoqué,31
tout,tout,60
à,à,81
coup,coup,21
par,par,81
quelques,quelque,75
paroles,parole,22
de,de,81
sa,son,73
soeur,soeur,22
",",",",p
lui,lui,51
semblait,sembler,18
se,se,51
rapprocher,rapprocher,14
d',de,81
elle,il,51
",",",",p
à,à,81
la,le,71
façon,façon,22
d',de,81
une,un,71
voile,voile,22
de,de,81
navire,navire,21
que,que,52
pousse,pousser,17
le,le,71
vent,vent,21
/.,/.,P
elle,il,51
murmurait,murmurer,18
entre,entre,81
ses,son,73
lèvres,lèvre,22
",",",",p
avec,avec,81
chaque,chaque,75
souffle,souffle,21
en,en,81
respirant,respirer,13
:,:,p
“,“,p
comtesse,comtesse,22
de,de,81
Ravenel,Ravenel,20
/.,/.,P
“,“,p
et,et,82
le,le,71
noir,noir,21
de,de,81
ses,son,73
paupières,paupière,22
fermées,fermé,31
dans,dans,81
la,le,71
nuit,nuit,22
s',se,51
éclairait,éclairer,18
de,de,81
visions,vision,22
/.,/.,P
elle,il,51
voyait,voir,18
de,de,81
beaux,beau,30
salons,salon,21
illuminés,illuminé,31
",",",",p
de,de,81
belles,beau,30
dames,dame,22
qui,qui,52
lui,lui,51
souriaient,sourire,18
",",",",p
de,de,81
belles,beau,30
voitures,voiture,22
qui,qui,52
l',le,52
attendaient,attendre,18
devant,devant,81
le,le,71
perron,perron,21
d',de,81
un,un,71
château,château,21
",",",",p
et,et,82
de,de,81
grands,grand,30
domestiques,domestique,21
en,en,81
livrée,livrée,22
inclinés,incliné,31
sur,sur,81
son,son,73
passage,passage,21
/.,/.,P
elle,il,51
avait,avoir,18
chaud,chaud,21
dans,dans,81
son,son,73
lit,lit,21
;,;,p
son,son,73
coeur,coeur,21
battait,battre,18
/!,/!,P
elle,il,51
se,se,51
releva,relever,19
une,un,71
seconde,second,72
fois,fois,22
pour,pour,81
boire,boire,14
un,un,71
verre,verre,21
d',de,81
eau,eau,22
",",",",p
et,et,82
rester,rester,14
debout,debout,60
quelques,quelque,75
instants,instant,21
",",",",p
nu-pieds,nu-pieds,21
",",",",p
sur,sur,81
le,le,71
pavé,pavé,21
froid,froid,30
de,de,81
sa,son,73
chambre,chambre,22
/.,/.,P
puis,puis,60
",",",",p
un,un,71
peu,peu,60
calmée,calmé,31
",",",",p
elle,il,51
finit,finir,19
par,par,81
s',se,51
endormir,endormir,14
/.,/.,P
mais,mais,82
elle,il,51
s',se,51
éveilla,éveiller,19
dès,dès,81
l',le,71
aurore,aurore,22
",",",",p
tant,tant,60
l',le,71
agitation,agitation,22
de,de,81
son,son,73
esprit,esprit,21
avait,avoir,18
passé,passer,12
dans,dans,81
ses,son,73
veines,veine,22
/.,/.,P
elle,il,51
eut,avoir,19
honte,honte,22
de,de,81
sa,son,73
petite,petit,30
chambre,chambre,22
aux,à,81
aux,le,71
murs,mur,21
blancs,blanc,30
",",",",p
peints,peint,31
à,à,81
l',le,71
eau,eau,22
par,par,81
le,le,71
vitrier,vitrier,21
du,de,81
du,le,71
pays,pays,21
",",",",p
de,de,81
ses,son,73
pauvres,pauvre,30
rideaux,rideau,21
d',de,81
indienne,indienne,22
",",",",p
et,et,82
des,de,81
des,le,71
deux,deux,72
chaises,chaise,22
de,de,81
paille,paille,22
qui,qui,52
ne,ne,60
quittaient,quitter,18
jamais,jamais,60
leur,leur,73
place,place,22
aux,à,81
aux,le,71
deux,deux,72
coins,coin,21
de,de,81
sa,son,73
commode,commode,22
/.,/.,P
elle,il,51
se,se,51
sentait,sentir,18
paysanne,paysan,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
meubles,meuble,21
de,de,81
rustres,rustre,21
qui,qui,52
disaient,dire,18
son,son,73
origine,origine,22
",",",",p
elle,il,51
se,se,51
sentait,sentir,18
humble,humble,30
",",",",p
indigne,indigne,30
de,de,81
ce,ce,74
beau,beau,30
garçon,garçon,21
moqueur,moqueur,30
dont,dont,52
la,le,71
figure,figure,22
blonde,blond,30
et,et,82
rieuse,rieur,30
flottait,flotter,18
devant,devant,81
ses,son,73
yeux,oeil,21
",",",",p
s',se,51
effaçait,effacer,18
puis,puis,60
revenait,revenir,18
",",",",p
s',se,51
emparait,emparer,18
d',de,81
elle,il,51
peu,peu,60
à,à,81
peu,peu,60
",",",",p
se,se,51
logeait,loger,18
déjà,déjà,60
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
alors,alors,60
elle,il,51
sauta,sauter,19
du,de,81
du,le,71
lit,lit,21
et,et,82
courut,courir,19
chercher,chercher,14
sa,son,73
glace,glace,22
",",",",p
sa,son,73
petite,petite,22
glace,glacer,17
de,de,81
toilette,toilette,22
",",",",p
grande,grand,30
comme,comme,83
le,le,71
fond,fond,21
d',de,81
une,un,71
assiette,assiette,22
;,;,p
puis,puis,60
elle,il,51
revint,revenir,19
se,se,51
coucher,coucher,14
",",",",p
son,son,73
miroir,miroir,21
entre,entre,81
les,le,71
mains,main,22
;,;,p
et,et,82
elle,il,51
regarda,regarder,19
son,son,73
visage,visage,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ses,son,73
cheveux,cheveu,21
défaits,défait,31
",",",",p
sur,sur,81
le,le,71
fond,fond,21
blanc,blanc,30
de,de,81
l',le,71
oreiller,oreiller,21
/.,/.,P
parfois,parfois,60
elle,il,51
posait,poser,18
sur,sur,81
ses,son,73
draps,drap,21
le,le,71
léger,léger,30
morceau,morceau,21
de,de,81
verre,verre,21
qui,qui,52
lui,lui,51
montrait,montrer,18
son,son,73
image,image,22
",",",",p
et,et,82
elle,il,51
songeait,songer,18
combien,combien,60
ce,ce,74
mariage,mariage,21
serait,être,16
difficile,difficile,30
",",",",p
tant,tant,60
étaient,être,18
grandes,grand,30
les,le,71
distances,distance,22
entre,entre,81
eux,ils,51
/.,/.,P
alors,alors,60
un,un,71
gros,gros,21
chagrin,chagrin,30
lui,lui,51
serrait,serrer,18
la,le,71
gorge,gorge,22
/.,/.,P
mais,mais,82
aussitôt,aussitôt,60
elle,il,51
se,se,51
regardait,regarder,18
de,de,81
nouveau,nouveau,21
en,en,81
se,se,51
souriant,sourire,13
pour,pour,81
se,se,51
plaire,plaire,14
",",",",p
et,et,82
comme,comme,83
elle,il,51
se,se,51
jugeait,juger,18
gentille,gentil,30
les,le,71
difficultés,difficulté,22
disparaissaient,disparaître,18
/.,/.,P
quand,quand,83
elle,il,51
descendit,descendre,19
pour,pour,81
déjeuner,déjeuner,14
",",",",p
sa,son,73
soeur,soeur,22
",",",",p
qui,qui,52
avait,avoir,18
l',le,71
air,air,21
irrité,irrité,31
",",",",p
lui,lui,51
demanda,demander,19
:,:,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
comptes,compter,17
faire,faire,14
aujourd'hui,aujourd'hui,60
/?,/?,P
Charlotte,Charlotte,20
répondit,répondre,19
sans,sans,81
hésiter,hésiter,14
:,:,p
“,“,p
est,être,17
ce,ce,52
que,que,83
nous,nous,51
n',ne,60
allons,aller,17
pas,pas,60
en,en,81
voiture,voiture,22
à,à,81
Royat,Royat,20
avec,avec,81
madame,madame,22
Andermatt,Andermatt,20
/?,/?,P
Louise,Louise,20
reprit,reprendre,19
:,:,p
“,“,p
tu,tu,51
iras,aller,15
seule,seul,30
",",",",p
alors,alors,60
",",",",p
mais,mais,82
tu,tu,51
ferais,faire,16
mieux,mieux,60
",",",",p
après,après,81
ce,ce,52
que,que,52
je,je,51
t',tu,51
ai,avoir,17
dit,dire,12
hier,hier,60
soir,soir,21
/…,/…,P
“,“,p
la,le,71
petite,petite,22
lui,lui,51
coupa,couper,19
la,le,71
parole,parole,22
:,:,p
“,“,p
je,je,51
ne,ne,60
te,tu,51
demande,demander,17
pas,pas,60
de,de,81
conseils,conseil,21
…,…,p
mêle,mêler,17
toi,toi,51
de,de,81
ce,ce,52
qui,qui,52
te,tu,51
regarde,regarder,17
/.,/.,P
“,“,p
et,et,82
elles,ils,51
ne,ne,60
se,se,51
parlèrent,parler,19
plus,plus,60
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
et,et,82
Jacques,Jacques,20
arrivèrent,arriver,19
et,et,82
se,se,51
mirent,mettre,19
à,à,81
table,table,22
/.,/.,P
le,le,71
vieux,vieux,21
demanda,demander,19
presque,presque,60
aussitôt,aussitôt,60
:,:,p
“,“,p
qué,que,83
che,ce,52
que,que,52
vous,vous,51
faites,faire,17
aujourd'hui,aujourd'hui,60
",",",",p
petites,petite,22
/?,/?,P
Charlotte,Charlotte,20
n',ne,60
attendit,attendre,19
point,point,60
que,que,83
sa,son,73
soeur,soeur,22
répondît,répondre,18
:,:,p
“,“,p
moi,moi,51
",",",",p
je,je,51
vais,aller,17
à,à,81
Royat,Royat,20
avec,avec,81
madame,madame,22
Andermatt,Andermatt,20
/.,/.,P
“,“,p
les,le,71
deux,deux,72
hommes,homme,21
la,le,52
regardèrent,regarder,19
d',de,81
un,un,71
air,air,21
satisfait,satisfait,31
",",",",p
et,et,82
le,le,71
père,père,21
murmura,murmurer,19
avec,avec,81
ce,ce,74
sourire,sourire,21
engageant,engageant,30
qu',que,83
il,il,51
avait,avoir,18
en,en,81
traitant,traiter,13
les,le,71
affaires,affaire,22
avantageuses,avantageux,30
:,:,p
“,“,p
ch',ce,52
est,être,17
bon,bon,30
",",",",p
ch',ce,52
est,être,17
bon,bon,30
/.,/.,P
“,“,p
elle,il,51
fut,être,19
plus,plus,60
surprise,surprendre,12
de,de,81
ce,ce,74
contentement,contentement,21
secret,secret,30
",",",",p
deviné,deviné,31
dans,dans,81
toute,tout,75
leur,leur,73
allure,allure,22
",",",",p
que,que,52
de,de,81
la,le,71
colère,colère,22
visible,visible,30
de,de,81
Louise,Louise,20
;,;,p
et,et,82
elle,il,51
se,se,51
demanda,demander,19
",",",",p
un,un,71
peu,peu,60
troublée,troublé,31
:,:,p
“,“,p
est,être,17
ce,ce,52
qu',que,83
ils,ils,51
auraient,avoir,16
causé,causer,12
de,de,81
ça,ça,52
tous,tout,52
ensemble,ensemble,60
/?,/?,P
aussitôt,aussitôt,60
le,le,71
repas,repas,21
fini,fini,31
elle,il,51
remonta,remonter,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
mit,mettre,19
son,son,73
chapeau,chapeau,21
",",",",p
prit,prendre,19
son,son,73
ombrelle,ombrelle,22
",",",",p
jeta,jeter,19
sur,sur,81
son,son,73
bras,bras,21
un,un,71
manteau,manteau,21
léger,léger,30
",",",",p
et,et,82
elle,il,51
s',se,51
en,en,52
alla,aller,19
vers,vers,81
l',le,71
hôtel,hôtel,21
",",",",p
car,car,82
on,on,51
devait,devoir,18
partir,partir,14
dès,dès,81
une,un,71
heure,heure,22
et,et,82
demie,demi,30
/.,/.,P
Christiane,Christiane,20
s',se,51
étonna,étonner,19
que,que,83
Louise,Louise,20
ne,ne,60
vînt,venir,18
point,point,60
/.,/.,P
Charlotte,Charlotte,20
se,se,51
sentit,sentir,19
rougir,rougir,14
en,en,81
