12334
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-deuxième extrait>,<>,<>
que,que,83
le,le,71
trottinement,trottinement,21
des,de,81
des,le,71
souris,souris,22
",",",",p
la,le,71
lumière,lumière,22
qui,qui,52
tombait,tomber,18
du,de,81
du,le,71
plafond,plafond,21
",",",",p
et,et,82
jusqu',jusque,81
au,à,81
au,le,71
ronflement,ronflement,21
du,de,81
du,le,71
poêle,poêle,21
",",",",p
tout,tout,52
le,le,52
plongeait,plonger,18
d'abord,d'abord,60
dans,dans,81
une,un,71
sorte,sorte,22
de,de,81
bien-être,bien-être,21
intellectuel,intellectuel,30
/.,/.,P
puis,puis,60
ses,son,73
yeux,oeil,21
",",",",p
abandonnant,abandonner,13
son,son,73
ouvrage,ouvrage,21
",",",",p
se,se,51
portaient,porter,18
sur,sur,81
les,le,71
écaillures,écaillure,22
de,de,81
la,le,71
muraille,muraille,22
",",",",p
parmi,parmi,81
les,le,71
bibelots,bibelot,21
de,de,81
l',le,71
étagère,étagère,22
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
torses,torses,21
où,où,60
la,le,71
poussière,poussière,22
amassée,amassé,31
faisait,faire,18
comme,comme,83
des,de,81
des,le,71
lambeaux,lambeau,21
de,de,81
velours,velours,21
;,;,p
et,et,82
",",",",p
tel,tel,75
un,un,71
voyageur,voyageur,21
perdu,perdu,31
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
bois,bois,21
et,et,82
que,que,52
tous,tout,75
les,le,71
chemins,chemin,21
ramènent,ramener,17
à,à,81
la,le,71
même,même,75
place,place,22
",",",",p
continuellement,continuellement,60
",",",",p
il,il,51
retrouvait,retrouver,18
au,à,81
au,le,71
fond,fond,21
de,de,81
chaque,chaque,75
idée,idée,22
le,le,71
souvenir,souvenir,21
de,de,81
madame,madame,22
Arnoux,Arnoux,20
/.,/.,P
il,il,51
se,se,51
fixait,fixer,18
des,de,81
des,le,71
jours,jour,21
pour,pour,81
aller,aller,14
chez,chez,81
elle,il,51
;,;,p
arrivé,arrivé,31
au,à,81
au,le,71
second,second,72
étage,étage,21
",",",",p
devant,devant,81
sa,son,73
porte,porte,22
",",",",p
il,il,51
hésitait,hésiter,18
à,à,81
sonner,sonner,14
/.,/.,P
des,de,81
des,le,71
pas,pas,21
se,se,51
rapprochaient,rapprocher,18
;,;,p
on,on,51
ouvrait,ouvrir,18
",",",",p
et,et,82
",",",",p
à,à,81
ces,ce,74
mots,mot,21
:,:,p
“,“,p
madame,madame,22
est,être,17
sortie,sortir,12
“,“,p
",",",",p
c',ce,52
était,être,18
une,un,71
délivrance,délivrance,22
",",",",p
et,et,82
comme,comme,83
un,un,71
fardeau,fardeau,21
de,de,81
moins,moins,60
sur,sur,81
son,son,73
coeur,coeur,21
/.,/.,P
il,il,51
la,le,52
rencontra,rencontrer,19
",",",",p
pourtant,pourtant,60
/.,/.,P
la,le,71
première,premier,72
fois,fois,22
",",",",p
il,il,51
y,y,52
avait,avoir,18
trois,trois,72
dames,dame,22
avec,avec,81
elle,il,51
;,;,p
une,un,71
autre,autre,75
après-midi,après-midi,21
",",",",p
le,le,71
maître,maître,21
d',de,81
écriture,écriture,22
de,de,81
mademoiselle,mademoiselle,22
Marthe,Marthe,20
survint,survenir,19
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
hommes,homme,21
que,que,52
recevait,recevoir,18
madame,madame,22
Arnoux,Arnoux,20
ne,ne,60
lui,lui,51
faisaient,faire,18
point,point,60
de,de,81
visites,visite,22
/.,/.,P
il,il,51
n',ne,60
y,y,52
retourna,retourner,19
plus,plus,60
",",",",p
par,par,81
discrétion,discrétion,22
/.,/.,P
mais,mais,82
il,il,51
ne,ne,60
manquait,manquer,18
pas,pas,60
",",",",p
pour,pour,81
qu',que,83
on,on,51
l',le,52
invitât,inviter,18
aux,à,81
aux,le,71
dîners,dîner,21
du,de,81
du,le,71
jeudi,jeudi,21
",",",",p
de,de,81
se,se,51
présenter,présenter,14
à,à,81
l',le,71
art,art,21
industriel,industriel,30
",",",",p
chaque,chaque,75
mercredi,mercredi,21
",",",",p
régulièrement,régulièrement,60
;,;,p
et,et,82
il,il,51
y,y,52
restait,rester,18
après,après,81
tous,tout,75
les,le,71
autres,autre,52
",",",",p
plus,plus,60
longtemps,longtemps,60
que,que,83
Regimbart,Regimbart,20
",",",",p
jusqu',jusque,81
à,à,81
la,le,71
dernière,dernier,30
minute,minute,22
",",",",p
en,en,81
feignant,feindre,13
de,de,81
regarder,regarder,14
une,un,71
gravure,gravure,22
",",",",p
de,de,81
parcourir,parcourir,14
un,un,71
journal,journal,21
/.,/.,P
enfin,enfin,60
Arnoux,Arnoux,20
lui,lui,51
disait,dire,18
:,:,p
-,-,p
“,“,p
êtes,être,17
vous,vous,51
libre,libre,30
",",",",p
demain,demain,60
soir,soir,21
?,?,p
“,“,p
il,il,51
acceptait,accepter,18
avant,avant,81
que,que,83
la,le,71
phrase,phrase,22
fût,être,19
achevée,achever,12
/.,/.,P
Arnoux,Arnoux,20
semblait,sembler,18
le,le,52
prendre,prendre,14
en,en,81
affection,affection,22
/.,/.,P
il,il,51
lui,lui,51
montra,montrer,19
l',le,71
art,art,21
de,de,81
reconnaître,reconnaître,14
les,le,71
vins,vin,21
",",",",p
à,à,81
brûler,brûler,14
le,le,71
punch,punch,21
",",",",p
à,à,81
faire,faire,14
des,de,81
des,le,71
salmis,salmis,21
de,de,81
bécasses,bécasse,22
;,;,p
Frédéric,Frédéric,20
suivait,suivre,18
docilement,docilement,60
ses,son,73
conseils,conseil,21
",",",",p
-,-,p
aimant,aimer,13
tout,tout,52
ce,ce,52
qui,qui,52
dépendait,dépendre,18
de,de,81
madame,madame,22
Arnoux,Arnoux,20
",",",",p
ses,son,73
meubles,meuble,21
",",",",p
ses,son,73
domestiques,domestique,21
",",",",p
sa,son,73
maison,maison,22
",",",",p
sa,son,73
rue,rue,22
/.,/.,P
il,il,51
ne,ne,60
parlait,parler,18
guère,guère,60
pendant,pendant,81
ces,ce,74
dîners,dîner,21
;,;,p
il,il,51
la,le,52
contemplait,contempler,18
/.,/.,P
elle,il,51
avait,avoir,18
à,à,81
droite,droite,22
",",",",p
contre,contre,81
la,le,71
tempe,tempe,22
",",",",p
un,un,71
petit,petit,30
grain,grain,21
de,de,81
beauté,beauté,22
;,;,p
ses,son,73
bandeaux,bandeau,21
étaient,être,18
plus,plus,60
noirs,noir,30
que,que,83
le,le,71
reste,reste,21
de,de,81
sa,son,73
chevelure,chevelure,22
et,et,82
toujours,toujours,60
comme,comme,83
un,un,71
peu,peu,60
humides,humide,30
sur,sur,81
les,le,71
bords,bord,21
;,;,p
elle,il,51
les,le,52
flattait,flatter,18
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
avec,avec,81
deux,deux,72
doigts,doigt,21
seulement,seulement,60
/.,/.,P
il,il,51
connaissait,connaître,18
la,le,71
forme,forme,22
de,de,81
chacun,chacun,52
de,de,81
ses,son,73
ongles,ongle,21
",",",",p
il,il,51
se,se,51
délectait,délecter,18
à,à,81
écouter,écouter,14
le,le,71
sifflement,sifflement,21
de,de,81
sa,son,73
robe,robe,22
de,de,81
soie,soie,22
quand,quand,83
elle,il,51
passait,passer,18
auprès,auprès,60
des,de,81
des,le,71
portes,porte,22
",",",",p
il,il,51
humait,humer,18
en,en,81
cachette,cachette,22
la,le,71
senteur,senteur,22
de,de,81
son,son,73
mouchoir,mouchoir,21
;,;,p
son,son,73
peigne,peigne,21
",",",",p
ses,son,73
gants,gant,21
",",",",p
ses,son,73
bagues,bague,22
étaient,être,18
pour,pour,81
lui,lui,51
des,de,81
des,le,71
choses,chose,22
particulières,particulier,30
",",",",p
importantes,important,30
comme,comme,83
des,de,81
des,le,71
oeuvres,oeuvre,22
d',de,81
art,art,21
",",",",p
presque,presque,60
animées,animé,31
comme,comme,83
des,de,81
des,le,71
personnes,personne,22
;,;,p
toutes,tout,52
lui,lui,51
prenaient,prendre,18
le,le,71
coeur,coeur,21
et,et,82
augmentaient,augmenter,18
sa,son,73
passion,passion,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
eu,avoir,12
la,le,71
force,force,22
de,de,81
la,le,52
cacher,cacher,14
à,à,81
Deslauriers,Deslauriers,20
/.,/.,P
quand,quand,83
il,il,51
revenait,revenir,18
de,de,81
chez,chez,81
madame,madame,22
Arnoux,Arnoux,20
",",",",p
il,il,51
le,le,52
réveillait,réveiller,18
comme,comme,83
par,par,81
mégarde,mégarde,22
",",",",p
afin,afin,81
de,de,81
pouvoir,pouvoir,14
causer,causer,14
d',de,81
elle,il,51
/.,/.,P
Deslauriers,Deslauriers,20
",",",",p
qui,qui,52
couchait,coucher,18
dans,dans,81
le,le,71
cabinet,cabinet,21
au,à,81
au,le,71
bois,bois,21
",",",",p
près,près,81
de,de,81
la,le,71
fontaine,fontaine,22
",",",",p
poussait,pousser,18
un,un,71
long,long,30
bâillement,bâillement,21
/.,/.,P
Frédéric,Frédéric,20
s',se,51
asseyait,asseoir,18
au,à,81
au,le,71
pied,pied,21
de,de,81
son,son,73
lit,lit,21
/.,/.,P
d'abord,d'abord,60
il,il,51
parlait,parler,18
du,de,81
du,le,71
dîner,dîner,21
",",",",p
puis,puis,60
il,il,51
racontait,raconter,18
mille,mille,72
détails,détail,21
insignifiants,insignifiant,30
",",",",p
où,où,60
il,il,51
voyait,voir,18
des,de,81
des,le,71
marques,marque,22
de,de,81
mépris,mépris,21
ou,ou,82
d',de,81
affection,affection,22
/.,/.,P
une,un,71
fois,fois,22
",",",",p
par,par,81
exemple,exemple,21
",",",",p
elle,il,51
avait,avoir,18
refusé,refuser,12
son,son,73
bras,bras,21
",",",",p
pour,pour,81
prendre,prendre,14
celui,celui,52
de,de,81
Dittmer,Dittmer,20
",",",",p
et,et,82
Frédéric,Frédéric,20
se,se,51
désolait,désoler,18
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
quelle,quel,75
bêtise,bêtise,22
!,!,p
“,“,p
ou,ou,82
bien,bien,60
elle,il,51
l',le,52
avait,avoir,18
appelé,appeler,12
son,son,73
“,“,p
ami,ami,21
“,“,p
/.,/.,P
-,-,p
“,“,p
vas,aller,17
y,y,52
gaiement,gaiement,60
",",",",p
alors,alors,60
!,!,p
“,“,p
-,-,p
“,“,p
mais,mais,82
je,je,51
n',ne,60
ose,oser,17
pas,pas,60
“,“,p
disait,dire,18
Frédéric,Frédéric,20
/.,/.,P
-,-,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
n',ne,60
y,y,52
pense,penser,17
plus,plus,60
bonsoir,bonsoir,21
/.,/.,P
“,“,p
/.,/.,P
Deslauriers,Deslauriers,20
se,se,51
retournait,retourner,18
vers,vers,81
la,le,71
ruelle,ruelle,22
et,et,82
s',se,51
endormait,endormir,18
/.,/.,P
il,il,51
ne,ne,60
comprenait,comprendre,18
rien,rien,52
à,à,81
cet,ce,74
amour,amour,21
",",",",p
qu',que,52
il,il,51
regardait,regarder,18
comme,comme,83
une,un,71
dernière,dernier,30
faiblesse,faiblesse,22
d',de,81
adolescence,adolescence,22
;,;,p
et,et,82
",",",",p
son,son,73
intimité,intimité,22
ne,ne,60
lui,lui,51
suffisant,suffire,13
plus,plus,60
",",",",p
sans,sans,81
doute,doute,21
",",",",p
il,il,51
imagina,imaginer,19
de,de,81
réunir,réunir,14
leurs,leur,73
amis,ami,21
communs,commun,30
une,un,71
fois,fois,22
la,le,71
semaine,semaine,22
/.,/.,P
ils,ils,51
arrivaient,arriver,18
le,le,71
samedi,samedi,21
",",",",p
vers,vers,81
neuf,neuf,72
heures,heure,22
/.,/.,P
les,le,71
trois,trois,72
rideaux,rideau,21
d',de,81
algérienne,algérien,30
étaient,être,18
soigneusement,soigneusement,60
tirés,tirer,12
;,;,p
la,le,71
lampe,lampe,22
et,et,82
quatre,quatre,72
bougies,bougie,22
brûlaient,brûler,18
;,;,p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
table,table,22
",",",",p
le,le,71
pot,pot,21
à,à,81
tabac,tabac,21
",",",",p
tout,tout,60
plein,plein,30
de,de,81
pipes,pipe,22
",",",",p
s',se,51
étalait,étaler,18
entre,entre,81
les,le,71
bouteilles,bouteille,22
de,de,81
bière,bière,22
",",",",p
la,le,71
théière,théière,22
",",",",p
un,un,71
flacon,flacon,21
de,de,81
rhum,rhum,21
et,et,82
des,de,81
des,le,71
petits,petit,30
fours,four,21
/.,/.,P
on,on,51
discutait,discuter,18
sur,sur,81
l',le,71
immortalité,immortalité,22
de,de,81
l',le,71
âme,âme,22
",",",",p
on,on,51
faisait,faire,18
des,de,81
des,le,71
parallèles,parallèle,21
entre,entre,81
les,le,71
professeurs,professeur,21
/.,/.,P
Hussonnet,Hussonnet,20
",",",",p
un,un,71
soir,soir,21
",",",",p
introduisit,introduire,19
un,un,71
grand,grand,30
jeune,jeune,30
homme,homme,21
habillé,habillé,31
d',de,81
une,un,71
redingote,redingote,22
trop,trop,60
courte,court,30
des,de,81
des,le,71
poignets,poignet,21
",",",",p
et,et,82
la,le,71
contenance,contenance,22
embarrassée,embarrassé,31
/.,/.,P
c',ce,52
était,être,18
le,le,71
garçon,garçon,21
qu',que,52
ils,ils,51
avaient,avoir,18
réclamé,réclamer,12
au,à,81
au,le,71
poste,poste,21
",",",",p
l',le,71
année,année,22
dernière,dernier,30
/.,/.,P
n',ne,60
ayant,avoir,13
pu,pouvoir,12
rendre,rendre,14
à,à,81
son,son,73
maître,maître,21
le,le,71
carton,carton,21
de,de,81
dentelles,dentelle,22
perdu,perdu,31
dans,dans,81
la,le,71
bagarre,bagarre,22
",",",",p
celui-ci,celui-ci,52
l',le,52
avait,avoir,18
accusé,accuser,12
de,de,81
vol,vol,21
",",",",p
menacé,menacer,12
des,de,81
des,le,71
tribunaux,tribunal,21
;,;,p
maintenant,maintenant,60
",",",",p
il,il,51
était,être,18
commis,commettre,12
dans,dans,81
une,un,71
maison,maison,22
de,de,81
roulage,roulage,21
/.,/.,P
Hussonnet,Hussonnet,20
",",",",p
le,le,71
matin,matin,21
",",",",p
l',le,52
avait,avoir,18
rencontré,rencontrer,12
au,à,81
au,le,71
coin,coin,21
d',de,81
une,un,71
rue,rue,22
;,;,p
et,et,82
il,il,51
l',le,52
amenait,amener,18
",",",",p
car,car,82
Dussardier,Dussardier,20
",",",",p
par,par,81
reconnaissance,reconnaissance,22
",",",",p
voulait,vouloir,18
voir,voir,14
“,“,p
l',le,71
autre,autre,52
“,“,p
/.,/.,P
il,il,51
tendit,tendre,19
à,à,81
Frédéric,Frédéric,20
le,le,71
porte-cigares,porte-cigares,21
encore,encore,60
plein,plein,30
",",",",p
et,et,82
qu',que,52
il,il,51
avait,avoir,18
gardé,garder,12
religieusement,religieusement,60
avec,avec,81
l',le,71
espoir,espoir,21
de,de,81
le,le,52
rendre,rendre,14
/.,/.,P
les,le,71
jeunes,jeune,30
gens,gens,21
l',le,52
invitèrent,inviter,19
à,à,81
revenir,revenir,14
/.,/.,P
il,il,51
n',ne,60
y,y,52
manqua,manquer,19
pas,pas,60
/.,/.,P
tous,tout,52
sympathisaient,sympathiser,18
/.,/.,P
d'abord,d'abord,60
",",",",p
leur,leur,73
haine,haine,22
du,de,81
du,le,71
gouvernement,gouvernement,21
avait,avoir,18
la,le,71
hauteur,hauteur,22
d',de,81
un,un,71
dogme,dogme,21
indiscutable,indiscutable,30
/.,/.,P
Martinon,Martinon,20
seul,seul,30
tâchait,tâcher,18
de,de,81
défendre,défendre,14
Louis-Philippe,Louis-Philippe,20
/.,/.,P
on,on,51
l',le,52
accablait,accabler,18
sous,sous,81
les,le,71
lieux,lieu,21
communs,commun,30
traînant,traîner,13
dans,dans,81
les,le,71
journaux,journal,21
:,:,p
l',le,71
embastillement,embastillement,21
de,de,81
Paris,Paris,20
",",",",p
les,le,71
lois,loi,22
de,de,81
septembre,septembre,21
",",",",p
Pritchard,Pritchard,20
",",",",p
lord,lord,21
Guizot,Guizot,20
",",",",p
-,-,p
si,si,60
bien,bien,60
que,que,83
Martinon,Martinon,20
se,se,51
taisait,taire,18
",",",",p
craignant,craindre,13
d',de,81
offenser,offenser,14
quelqu'un,quelqu'un,52
/.,/.,P
en,en,81
sept,sept,72
ans,an,21
de,de,81
collège,collège,21
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
mérité,mériter,12
de,de,81
pensum,pensum,21
",",",",p
et,et,82
",",",",p
à,à,81
l',le,71
école,école,22
de,de,81
droit,droit,21
",",",",p
il,il,51
savait,savoir,18
plaire,plaire,14
aux,à,81
aux,le,71
professeurs,professeur,21
/.,/.,P
il,il,51
portait,porter,18
ordinairement,ordinairement,60
une,un,71
grosse,gros,30
redingote,redingote,22
couleur,couleur,22
mastic,mastic,21
",",",",p
avec,avec,81
des,de,81
des,le,71
claques,claque,22
en,en,81
caoutchouc,caoutchouc,21
;,;,p
mais,mais,82
il,il,51
apparut,apparaître,19
un,un,71
soir,soir,21
dans,dans,81
une,un,71
toilette,toilette,22
de,de,81
marié,marié,21
:,:,p
gilet,gilet,21
de,de,81
velours,velours,21
à,à,81
châle,châle,21
",",",",p
cravate,cravate,22
blanche,blanc,30
",",",",p
chaîne,chaîne,22
d',de,81
or,or,21
/.,/.,P
l',le,71
étonnement,étonnement,21
redoubla,redoubler,19
quand,quand,83
on,on,51
sut,savoir,19
qu',que,83
il,il,51
sortait,sortir,18
de,de,81
chez,chez,81
monsieur,monsieur,21
Dambreuse,Dambreuse,20
/.,/.,P
en,en,81
effet,effet,21
",",",",p
le,le,71
banquier,banquier,21
Dambreuse,Dambreuse,20
venait,venir,18
d',de,81
acheter,acheter,14
au,à,81
au,le,71
père,père,21
Martinon,Martinon,20
une,un,71
partie,partie,22
de,de,81
bois,bois,21
considérable,considérable,30
;,;,p
le,le,71
bonhomme,bonhomme,21
lui,lui,51
ayant,avoir,13
présenté,présenter,12
son,son,73
fils,fils,21
",",",",p
il,il,51
les,le,52
avait,avoir,18
invités,inviter,12
à,à,81
dîner,dîner,14
tous,tout,75
les,le,71
deux,deux,72
/.,/.,P
-,-,p
“,“,p
y,y,52
avait,avoir,18
il,il,51
beaucoup,beaucoup,60
de,de,81
truffes,truffe,22
“,“,p
",",",",p
demanda,demander,19
Deslauriers,Deslauriers,20
",",",",p
“,“,p
et,et,82
as,avoir,17
tu,tu,51
pris,prendre,12
la,le,71
taille,taille,22
à,à,81
son,son,73
épouse,épouse,22
",",",",p
entre,entre,81
deux,deux,72
portes,porte,22
",",",",p
sicut,sicut,92
decet,decet,92
?,?,p
“,“,p
alors,alors,60
",",",",p
la,le,71
conversation,conversation,22
s',se,51
engagea,engager,19
sur,sur,81
les,le,71
femmes,femme,22
/.,/.,P
Pellerin,Pellerin,20
n',ne,60
admettait,admettre,18
pas,pas,60
qu',que,83
il,il,51
y,y,52
eût,avoir,19
de,de,81
belles,beau,30
femmes,femme,22
(,(,p
il,il,51
préférait,préférer,18
les,le,71
tigres,tigre,21
),),p
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
la,le,71
femelle,femelle,22
de,de,81
l',le,71
homme,homme,21
était,être,18
une,un,71
créature,créature,22
inférieure,inférieur,30
dans,dans,81
la,le,71
hiérarchie,hiérarchie,22
esthétique,esthétique,30
/.,/.,P
-,-,p
“,“,p
ce,ce,52
qui,qui,52
vous,vous,51
séduit,séduire,17
est,être,17
particulièrement,particulièrement,60
ce,ce,52
qui,qui,52
la,le,52
dégrade,dégrader,17
comme,comme,83
idée,idée,22
;,;,p
je,je,51
veux,vouloir,17
dire,dire,14
les,le,71
seins,sein,21
",",",",p
les,le,71
cheveux,cheveu,21
/.,/.,P
“,“,p
/…,/…,P
-,-,p
“,“,p
cependant,cependant,82
“,“,p
",",",",p
objecta,objecter,19
Frédéric,Frédéric,20
",",",",p
“,“,p
de,de,81
longs,long,30
cheveux,cheveu,21
noirs,noir,30
",",",",p
avec,avec,81
de,de,81
grands,grand,30
yeux,oeil,21
noirs,noir,30
/…,/…,P
“,“,p
-,-,p
“,“,p
oh,oh,93
!,!,p
connu,connu,31
!,!,p
“,“,p
s',se,51
écria,écrier,19
Hussonnet,Hussonnet,20
/.,/.,P
“,“,p
assez,assez,60
d',de,81
Andalouses,Andalous,20
sur,sur,81
la,le,71
pelouse,pelouse,22
!,!,p
des,de,81
des,le,71
choses,chose,22
antiques,antique,30
?,?,p
serviteur,serviteur,21
/!,/!,P
car,car,82
enfin,enfin,60
",",",",p
voyons,voir,17
",",",",p
pas,pas,60
de,de,81
blagues,blague,22
!,!,p
une,un,71
lorette,lorette,22
est,être,17
plus,plus,60
amusante,amusant,30
que,que,83
la,le,71
Vénus,Vénus,20
de,de,81
Milo,Milo,20
/!,/!,P
soyons,être,17
Gaulois,Gaulois,20
",",",",p
nom,nom,21
d',de,81
un,un,71
petit,petit,30
bonhomme,bonhomme,21
!,!,p
et,et,82
Régence,Régence,20
si,si,83
nous,nous,51
pouvons,pouvoir,17
/!,/!,P
-,-,p
“,“,p
coulez,couler,17
",",",",p
bons,bon,30
vins,vin,21
;,;,p
femmes,femme,22
",",",",p
daignez,daigner,17
sourire,sourire,14
/!,/!,P
-,-,p
“,“,p
il,il,51
faut,falloir,17
passer,passer,14
de,de,81
la,le,71
brune,brune,22
à,à,81
la,le,71
blonde,blonde,22
!,!,p
-,-,p
est,être,17
ce,ce,52
votre,votre,73
avis,avis,21
",",",",p
père,père,21
Dussardier,Dussardier,20
?,?,p
“,“,p
Dussardier,Dussardier,20
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
tous,tout,52
le,le,52
pressèrent,presser,19
pour,pour,81
connaître,connaître,14
ses,son,73
goûts,goût,21
/.,/.,P
-,-,p
“,“,p
eh,eh,93
bien,bien,60
“,“,p
",",",",p
fit,faire,19
il,il,51
en,en,81
rougissant,rougir,13
",",",",p
“,“,p
moi,moi,51
",",",",p
je,je,51
voudrais,vouloir,16
aimer,aimer,14
la,le,71
même,même,52
",",",",p
toujours,toujours,60
!,!,p
“,“,p
cela,cela,52
fut,être,19
dit,dire,12
d',de,81
une,un,71
telle,tel,75
façon,façon,22
",",",",p
qu',que,83
il,il,51
y,y,52
eut,avoir,19
un,un,71
moment,moment,21
de,de,81
silence,silence,21
",",",",p
les,le,71
uns,un,52
étant,être,13
surpris,surprendre,12
de,de,81
cette,ce,74
candeur,candeur,22
",",",",p
et,et,82
les,le,71
autres,autre,52
y,y,52
découvrant,découvrir,13
",",",",p
peut-être,peut-être,60
",",",",p
la,le,71
secrète,secret,30
convoitise,convoitise,22
de,de,81
leur,leur,73
âme,âme,22
/.,/.,P
Sénécal,Sénécal,20
posa,poser,19
sur,sur,81
le,le,71
chambranle,chambranle,21
sa,son,73
chope,chope,22
de,de,81
bière,bière,22
et,et,82
déclara,déclarer,19
dogmatiquement,dogmatiquement,60
que,que,83
",",",",p
la,le,71
prostitution,prostitution,22
étant,être,13
une,un,71
tyrannie,tyrannie,22
et,et,82
le,le,71
mariage,mariage,21
une,un,71
immoralité,immoralité,22
",",",",p
il,il,51
valait,valoir,18
mieux,mieux,60
s',se,51
abstenir,abstenir,14
/.,/.,P
Deslauriers,Deslauriers,20
prenait,prendre,18
les,le,71
femmes,femme,22
comme,comme,83
une,un,71
distraction,distraction,22
",",",",p
rien,rien,52
de,de,81
plus,plus,60
/.,/.,P
monsieur,monsieur,21
de,de,81
Cisy,Cisy,20
avait,avoir,18
à,à,81
leur,leur,73
endroit,endroit,21
toute,tout,75
espèce,espèce,22
de,de,81
crainte,crainte,22
/.,/.,P
élevé,élevé,31
sous,sous,81
les,le,71
yeux,oeil,21
d',de,81
une,un,71
grand-mère,grand-mère,22
dévote,dévot,30
",",",",p
il,il,51
trouvait,trouver,18
la,le,71
compagnie,compagnie,22
de,de,81
ces,ce,74
jeunes,jeune,30
gens,gens,21
alléchante,alléchant,30
comme,comme,83
un,un,71
mauvais,mauvais,30
lieu,lieu,21
et,et,82
instructive,instructif,30
comme,comme,83
une,un,71
Sorbonne,Sorbonne,20
/.,/.,P
on,on,51
ne,ne,60
lui,lui,51
ménageait,ménager,18
pas,pas,60
les,le,71
leçons,leçon,22
;,;,p
et,et,82
il,il,51
se,se,51
montrait,montrer,18
plein,plein,30
de,de,81
zèle,zèle,21
",",",",p
jusqu',jusque,81
à,à,81
vouloir,vouloir,14
fumer,fumer,14
",",",",p
en,en,81
dépit,dépit,21
des,de,81
des,le,71
maux,mal,21
de,de,81
coeur,coeur,21
qui,qui,52
le,le,52
tourmentaient,tourmenter,18
chaque,chaque,75
fois,fois,22
",",",",p
régulièrement,régulièrement,60
/.,/.,P
Frédéric,Frédéric,20
l',le,52
entourait,entourer,18
de,de,81
soins,soin,21
/.,/.,P
il,il,51
admirait,admirer,18
la,le,71
nuance,nuance,22
de,de,81
ses,son,73
cravates,cravate,22
",",",",p
la,le,71
fourrure,fourrure,22
de,de,81
son,son,73
paletot,paletot,21
et,et,82
surtout,surtout,60
ses,son,73
bottes,botte,22
",",",",p
minces,mince,30
comme,comme,83
des,de,81
des,le,71
gants,gant,21
et,et,82
qui,qui,52
semblaient,sembler,18
insolentes,insolent,30
de,de,81
netteté,netteté,22
et,et,82
de,de,81
délicatesse,délicatesse,22
;,;,p
sa,son,73
voiture,voiture,22
l',le,52
attendait,attendre,18
en,en,81
bas,bas,21
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
un,un,71
soir,soir,21
qu',que,52
il,il,51
venait,venir,18
de,de,81
partir,partir,14
",",",",p
et,et,82
que,que,83
la,le,71
neige,neige,22
tombait,tomber,18
",",",",p
Sénécal,Sénécal,20
se,se,51
mit,mettre,19
à,à,81
plaindre,plaindre,14
son,son,73
cocher,cocher,21
/.,/.,P
puis,puis,60
il,il,51
déclama,déclamer,19
contre,contre,81
les,le,71
gants,gant,21
jaunes,jaune,30
",",",",p
le,le,71
Jockey-Club,Jockey Club,20
/.,/.,P
il,il,51
faisait,faire,18
plus,plus,60
de,de,81
cas,cas,21
d',de,81
un,un,71
ouvrier,ouvrier,21
que,que,83
de,de,81
ces,ce,74
messieurs,monsieur,21
/.,/.,P
-,-,p
“,“,p
moi,moi,51
",",",",p
je,je,51
travaille,travailler,17
",",",",p
au,à,81
au,le,71
moins,moins,60
!,!,p
je,je,51
suis,être,17
pauvre,pauvre,30
!,!,p
“,“,p
-,-,p
“,“,p
cela,cela,52
se,se,51
voit,voir,17
“,“,p
",",",",p
dit,dire,19
à,à,81
la,le,71
fin,fin,22
Frédéric,Frédéric,20
",",",",p
impatienté,impatienté,31
/.,/.,P
le,le,71
répétiteur,répétiteur,21
lui,lui,51
garda,garder,19
rancune,rancune,22
pour,pour,81
cette,ce,74
parole,parole,22
/.,/.,P
mais,mais,82
",",",",p
Regimbart,Regimbart,20
ayant,avoir,13
dit,dire,12
qu',que,83
il,il,51
connaissait,connaître,18
un,un,71
peu,peu,60
Sénécal,Sénécal,20
",",",",p
Frédéric,Frédéric,20
",",",",p
voulant,vouloir,13
faire,faire,14
une,un,71
politesse,politesse,22
à,à,81
l',le,71
ami,ami,21
d',de,81
Arnoux,Arnoux,20
",",",",p
le,le,52
pria,prier,19
de,de,81
venir,venir,14
aux,à,81
aux,le,71
réunions,réunion,22
du,de,81
du,le,71
samedi,samedi,21
",",",",p
et,et,82
la,le,71
rencontre,rencontre,22
fut,être,19
agréable,agréable,30
aux,à,81
aux,le,71
deux,deux,72
patriotes,patriote,21
/.,/.,P
ils,ils,51
différaient,différer,18
cependant,cependant,82
/.,/.,P
Sénécal,Sénécal,20
-,-,p
qui,qui,52
avait,avoir,18
un,un,71
crâne,crâne,21
