11885
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarantième extrait>,<>,<>
à,à,81
sangloter,sangloter,14
/.,/.,P
Germinie,Germinie,20
s',se,51
était,être,18
sauvée,sauver,12
/.,/.,P
de,de,81
la,le,71
journée,journée,22
elle,il,51
ne,ne,60
put,pouvoir,19
tenir,tenir,14
en,en,81
place,place,22
/.,/.,P
à,à,81
tout,tout,75
moment,moment,21
",",",",p
elle,il,51
montait,monter,18
dans,dans,81
sa,son,73
chambre,chambre,22
préparer,préparer,14
les,le,71
petites,petit,30
affaires,affaire,22
qu',que,52
elle,il,51
voulait,vouloir,18
apporter,apporter,14
à,à,81
sa,son,73
petite,petite,22
le,le,71
lendemain,lendemain,21
",",",",p
pour,pour,81
la,le,52
mettre,mettre,14
“,“,p
blanchement,blanchement,60
",",",",p
“,“,p
lui,lui,51
faire,faire,14
une,un,71
petite,petit,30
toilette,toilette,22
de,de,81
ressuscitée,ressuscité,31
/.,/.,P
comme,comme,83
elle,il,51
redescendait,redescendre,18
le,le,71
soir,soir,21
pour,pour,81
aller,aller,14
coucher,coucher,14
mademoiselle,mademoiselle,22
",",",",p
Adèle,Adèle,20
lui,lui,51
remit,remettre,19
une,un,71
lettre,lettre,22
qu',que,52
elle,il,51
avait,avoir,18
trouvée,trouver,12
pour,pour,81
elle,il,51
en,en,81
bas,bas,21
/.,/.,P
<XXIII.>,<>,<>
mademoiselle,mademoiselle,22
avait,avoir,18
commencé,commencer,12
à,à,81
se,se,51
déshabiller,déshabiller,14
",",",",p
quand,quand,83
Germinie,Germinie,20
entra,entrer,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
fit,faire,19
quelques,quelque,75
pas,pas,21
",",",",p
se,se,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
et,et,82
presque,presque,60
aussitôt,aussitôt,60
",",",",p
après,après,81
deux,deux,72
ou,ou,82
trois,trois,72
soupirs,soupir,21
",",",",p
longs,long,30
",",",",p
profonds,profond,30
",",",",p
arrachés,arraché,31
et,et,82
douloureux,douloureux,30
",",",",p
mademoiselle,mademoiselle,22
la,le,52
vit,voir,19
",",",",p
se,se,51
renversant,renverser,13
et,et,82
se,se,51
tordant,tordre,13
",",",",p
rouler,rouler,14
à,à,81
bas,bas,60
de,de,81
la,le,71
chaise,chaise,22
et,et,82
tomber,tomber,14
à,à,81
terre,terre,22
/.,/.,P
elle,il,51
voulut,vouloir,19
la,le,52
relever,relever,14
;,;,p
mais,mais,82
Germinie,Germinie,20
était,être,18
agitée,agiter,12
de,de,81
mouvements,mouvement,21
convulsifs,convulsif,30
si,si,60
violents,violent,30
que,que,83
la,le,71
vieille,vieux,30
femme,femme,22
fut,être,19
obligée,obliger,12
de,de,81
laisser,laisser,14
retomber,retomber,14
sur,sur,81
le,le,71
parquet,parquet,21
ce,ce,74
corps,corps,21
furieux,furieux,30
dont,dont,52
tous,tout,75
les,le,71
membres,membre,21
contractés,contracté,31
et,et,82
ramassés,ramassé,31
un,un,71
moment,moment,21
sur,sur,81
eux-mêmes,eux-mêmes,51
se,se,51
lançaient,lancer,18
à,à,81
droite,droite,22
",",",",p
à,à,81
gauche,gauche,22
",",",",p
au,à,81
au,le,71
hasard,hasard,21
",",",",p
partaient,partir,18
avec,avec,81
le,le,71
bruit,bruit,21
sec,sec,30
de,de,81
la,le,71
détente,détente,22
d',de,81
un,un,71
ressort,ressort,21
",",",",p
jetaient,jeter,18
à,à,81
bas,bas,21
tout,tout,52
ce,ce,52
qu',que,52
ils,ils,51
cognaient,cogner,18
/.,/.,P
aux,à,81
aux,le,71
cris,cri,21
de,de,81
mademoiselle,mademoiselle,22
sur,sur,81
le,le,71
carré,carré,21
",",",",p
une,un,71
bonne,bonne,22
courut,courir,19
chez,chez,81
un,un,71
médecin,médecin,21
d',de,81
à,à,81
côté,côté,21
qu',que,83
elle,il,51
ne,ne,60
trouva,trouver,19
pas,pas,60
;,;,p
quatre,quatre,72
autres,autre,75
femmes,femme,22
de,de,81
la,le,71
maison,maison,22
aidèrent,aider,19
mademoiselle,mademoiselle,22
à,à,81
enlever,enlever,14
Germinie,Germinie,20
et,et,82
à,à,81
la,le,52
porter,porter,14
sur,sur,81
le,le,71
lit,lit,21
de,de,81
sa,son,73
chambre,chambre,22
",",",",p
où,où,60
on,on,51
l',le,52
étendit,étendre,19
",",",",p
après,après,81
lui,lui,51
avoir,avoir,14
coupé,couper,12
les,le,71
lacets,lacet,21
de,de,81
son,son,73
corset,corset,21
/.,/.,P
les,le,71
terribles,terrible,30
secousses,secousse,22
",",",",p
les,le,71
détentes,détente,22
nerveuses,nerveux,30
des,de,81
des,le,71
membres,membre,21
",",",",p
les,le,71
craquements,craquement,21
de,de,81
tendons,tendon,21
avaient,avoir,18
cessé,cesser,12
;,;,p
mais,mais,82
sur,sur,81
le,le,71
cou,cou,21
",",",",p
sur,sur,81
la,le,71
poitrine,poitrine,22
que,que,52
découvrait,découvrir,18
la,le,71
robe,robe,22
dégrafée,dégrafé,31
",",",",p
passaient,passer,18
des,de,81
des,le,71
mouvements,mouvement,21
ondulatoires,ondulatoire,30
pareils,pareil,30
à,à,81
des,de,81
des,le,71
vagues,vague,30
levées,levée,22
sous,sous,81
la,le,71
peau,peau,22
et,et,82
que,que,83
l',l',94
on,on,51
voyait,voir,18
courir,courir,14
jusqu',jusque,81
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
dans,dans,81
un,un,71
frémissement,frémissement,21
de,de,81
jupe,jupe,22
/.,/.,P
la,le,71
tête,tête,22
renversée,renversé,31
",",",",p
la,le,71
figure,figure,22
rouge,rouge,30
",",",",p
les,le,71
yeux,oeil,21
pleins,plein,30
d',de,81
une,un,71
tendresse,tendresse,22
triste,triste,30
",",",",p
de,de,81
cette,ce,74
angoisse,angoisse,22
douce,doux,30
qu',que,52
ont,avoir,17
les,le,71
yeux,oeil,21
des,de,81
des,le,71
blessés,blessé,21
",",",",p
de,de,81
grosses,gros,30
veines,veine,22
se,se,51
dessinant,dessiner,13
sous,sous,81
le,le,71
menton,menton,21
",",",",p
haletante,haletant,30
et,et,82
ne,ne,60
répondant,répondre,13
pas,pas,60
aux,à,81
aux,le,71
questions,question,22
",",",",p
Germinie,Germinie,20
portait,porter,18
les,le,71
deux,deux,72
mains,main,22
à,à,81
sa,son,73
gorge,gorge,22
",",",",p
à,à,81
son,son,73
cou,cou,21
",",",",p
et,et,82
les,le,52
égratignait,égratigner,18
;,;,p
elle,il,51
semblait,sembler,18
vouloir,vouloir,14
arracher,arracher,14
de,de,81
là,là,60
la,le,71
sensation,sensation,22
de,de,81
quelque,quelque,75
chose,chose,22
montant,monter,13
et,et,82
descendant,descendre,13
au dedans,au-dedans,60
d',de,81
elle,il,51
/.,/.,P
vainement,vainement,60
on,on,51
lui,lui,51
faisait,faire,18
respirer,respirer,14
de,de,81
l',le,71
éther,éther,21
",",",",p
voire,voire,60
de,de,81
l',le,71
eau,eau,22
de,de,81
fleur,fleur,22
d',de,81
oranger,oranger,21
:,:,p
les,le,71
ondes,onde,22
de,de,81
douleur,douleur,22
qui,qui,52
passaient,passer,18
dans,dans,81
son,son,73
corps,corps,21
continuaient,continuer,18
à,à,81
le,le,52
parcourir,parcourir,14
;,;,p
et,et,82
dans,dans,81
son,son,73
visage,visage,21
persistait,persister,18
cette,ce,74
même,même,75
expression,expression,22
de,de,81
douceur,douceur,22
mélancolique,mélancolique,30
et,et,82
d',de,81
anxiété,anxiété,22
sentimentale,sentimental,30
qui,qui,52
semblait,sembler,18
mettre,mettre,14
une,un,71
souffrance,souffrance,22
d',de,81
âme,âme,22
sur,sur,81
la,le,71
souffrance,souffrance,22
de,de,81
chair,chair,22
de,de,81
tous,tout,75
ses,son,73
traits,trait,21
/.,/.,P
longtemps,longtemps,60
",",",",p
tout,tout,52
parut,paraître,19
blesser,blesser,14
ses,son,73
sens,sens,21
et,et,82
les,le,52
affecter,affecter,14
douloureusement,douloureusement,60
",",",",p
l',le,71
éclat,éclat,21
de,de,81
la,le,71
lumière,lumière,22
",",",",p
le,le,71
bruit,bruit,21
des,de,81
des,le,71
voix,voix,22
",",",",p
le,le,71
parfum,parfum,21
des,de,81
des,le,71
choses,chose,22
/.,/.,P
enfin,enfin,60
",",",",p
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
heure,heure,22
",",",",p
tout,tout,60
à,à,81
coup,coup,21
des,de,81
des,le,71
pleurs,pleur,21
",",",",p
un,un,71
déluge,déluge,21
s',se,51
échappant,échapper,13
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
emportait,emporter,18
la,le,71
terrible,terrible,30
crise,crise,22
/.,/.,P
ce,ce,52
ne,ne,60
fut,être,19
plus,plus,60
qu',que,83
un,un,71
tressaillement,tressaillement,21
de,de,81
loin,loin,60
en,en,81
loin,loin,60
",",",",p
dans,dans,81
ce,ce,74
corps,corps,21
accablé,accablé,31
",",",",p
bientôt,bientôt,60
apaisé,apaisé,31
par,par,81
la,le,71
lassitude,lassitude,22
",",",",p
par,par,81
un,un,71
brisement,brisement,21
général,général,30
/.,/.,P
il,il,51
fallut,falloir,19
porter,porter,14
Germinie,Germinie,20
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
la,le,71
lettre,lettre,22
que,que,52
lui,lui,51
avait,avoir,18
remise,remettre,12
Adèle,Adèle,20
",",",",p
était,être,18
la,le,71
nouvelle,nouvelle,22
de,de,81
la,le,71
mort,mort,22
de,de,81
sa,son,73
fille,fille,22
/.,/.,P
<XXIV.>,<>,<>
à,à,81
la,le,71
suite,suite,22
de,de,81
cette,ce,74
crise,crise,22
",",",",p
Germinie,Germinie,20
tomba,tomber,19
dans,dans,81
un,un,71
abrutissement,abrutissement,21
de,de,81
douleur,douleur,22
/.,/.,P
pendant,pendant,81
des,de,81
des,le,71
mois,mois,21
",",",",p
elle,il,51
resta,rester,19
insensible,insensible,30
à,à,81
tout,tout,52
;,;,p
pendant,pendant,81
des,de,81
des,le,71
mois,mois,21
",",",",p
envahie,envahi,31
et,et,82
remplie,rempli,31
tout,tout,60
entière,entier,30
par,par,81
la,le,71
pensée,pensée,22
du,de,81
du,le,71
petit,petit,30
être,être,21
qui,qui,52
n',ne,60
était,être,18
plus,plus,60
",",",",p
elle,il,51
porta,porter,19
dans,dans,81
ses,son,73
entrailles,entraille,22
la,le,71
mort,mort,22
de,de,81
son,son,73
enfant,enfant,21
comme,comme,83
elle,il,51
avait,avoir,18
porté,porter,12
sa,son,73
vie,vie,22
/.,/.,P
tous,tout,75
les,le,71
soirs,soir,21
",",",",p
quand,quand,83
elle,il,51
remontait,remonter,18
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
tirait,tirer,18
de,de,81
la,le,71
malle,malle,22
placée,placé,31
au,à,81
au,le,71
pied,pied,21
de,de,81
son,son,73
lit,lit,21
le,le,71
béguin,béguin,21
et,et,82
la,le,71
brassière,brassière,22
de,de,81
sa,son,73
pauvre,pauvre,30
chérie,chérie,22
/.,/.,P
elle,il,51
les,le,52
regardait,regarder,18
",",",",p
elle,il,51
les,le,52
touchait,toucher,18
;,;,p
elle,il,51
les,le,52
étendait,étendre,18
sur,sur,81
sa,son,73
couverture,couverture,22
;,;,p
elle,il,51
restait,rester,18
des,de,81
des,le,71
heures,heure,22
à,à,81
pleurer,pleurer,14
dessus,dessus,60
",",",",p
à,à,81
les,le,52
baiser,baiser,14
",",",",p
à,à,81
leur,leur,52
parler,parler,14
",",",",p
à,à,81
leur,leur,52
dire,dire,14
les,le,71
mots,mot,21
qui,qui,52
font,faire,17
causer,causer,14
le,le,71
chagrin,chagrin,21
d',de,81
une,un,71
mère,mère,22
avec,avec,81
l',le,71
ombre,ombre,22
d',de,81
une,un,71
petite,petit,30
fille,fille,22
/.,/.,P
pleurant,pleurer,13
sa,son,73
fille,fille,22
",",",",p
la,le,71
malheureuse,malheureux,30
se,se,51
pleurait,pleurer,18
elle-même,lui-même,51
/.,/.,P
une,un,71
voix,voix,22
lui,lui,51
murmurait,murmurer,18
que,que,83
",",",",p
cet,ce,74
enfant,enfant,21
vivant,vivant,30
",",",",p
elle,il,51
était,être,18
sauvée,sauver,12
;,;,p
que,que,52
cet,ce,74
enfant,enfant,21
à,à,81
aimer,aimer,14
",",",",p
c',ce,52
était,être,18
sa,son,73
providence,providence,22
;,;,p
que,que,83
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
redoutait,redouter,18
d',de,81
elle-même,lui-même,51
irait,aller,16
sur,sur,81
cette,ce,74
tête,tête,22
et,et,82
s',se,51
y,y,52
sanctifierait,sanctifier,16
",",",",p
ses,son,73
tendresses,tendresse,22
",",",",p
ses,son,73
élancements,élancement,21
",",",",p
ses,son,73
ardeurs,ardeur,22
",",",",p
tous,tout,75
les,le,71
feux,feu,21
de,de,81
sa,son,73
nature,nature,22
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
sentir,sentir,14
d',de,81
avance,avance,22
son,son,73
coeur,coeur,21
de,de,81
mère,mère,22
apaiser,apaiser,14
et,et,82
purifier,purifier,14
son,son,73
coeur,coeur,21
de,de,81
femme,femme,22
/.,/.,P
dans,dans,81
sa,son,73
fille,fille,22
",",",",p
elle,il,51
voyait,voir,18
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
céleste,céleste,30
qui,qui,52
la,le,52
rachèterait,racheter,16
et,et,82
la,le,52
guérirait,guérir,16
",",",",p
comme,comme,83
un,un,71
petit,petit,30
ange,ange,21
de,de,81
délivrance,délivrance,22
",",",",p
sorti,sorti,31
de,de,81
ses,son,73
fautes,faute,22
pour,pour,81
la,le,52
disputer,disputer,14
et,et,82
la,le,52
reprendre,reprendre,14
aux,à,81
aux,le,71
influences,influence,22
mauvaises,mauvais,30
qui,qui,52
la,le,52
poursuivaient,poursuivre,18
et,et,82
dont,dont,52
elle,il,51
se,se,51
croyait,croire,18
parfois,parfois,60
possédée,possédé,31
/.,/.,P
quand,quand,83
elle,il,51
commença,commencer,19
à,à,81
sortir,sortir,14
de,de,81
ce,ce,74
premier,premier,72
anéantissement,anéantissement,21
de,de,81
son,son,73
désespoir,désespoir,21
",",",",p
quand,quand,83
",",",",p
la,le,71
perception,perception,22
de,de,81
la,le,71
vie,vie,22
et,et,82
la,le,71
sensation,sensation,22
des,de,81
des,le,71
choses,chose,22
lui,lui,51
revenant,revenir,13
",",",",p
elle,il,51
regarda,regarder,19
autour,autour,60
d',de,81
elle,il,51
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
qui,qui,52
voyaient,voir,18
",",",",p
elle,il,51
fut,être,19
réveillée,réveiller,12
de,de,81
sa,son,73
douleur,douleur,22
par,par,81
une,un,71
amertume,amertume,22
plus,plus,60
aiguë,aigu,30
/.,/.,P
devenue,devenu,31
trop,trop,60
grosse,gros,30
",",",",p
trop,trop,60
lourde,lourd,30
pour,pour,81
le,le,71
service,service,21
de,de,81
sa,son,73
crèmerie,crèmerie,92
",",",",p
et,et,82
trouvant,trouver,13
qu',que,83
elle,il,51
avait,avoir,18
encore,encore,60
trop,trop,60
à,à,81
faire,faire,14
malgré,malgré,81
tout,tout,52
ce,ce,52
que,que,52
faisait,faire,18
Germinie,Germinie,20
",",",",p
madame,madame,22
Jupillon,Jupillon,20
avait,avoir,18
fait,faire,12
venir,venir,14
pour,pour,81
l',le,52
aider,aider,14
une,un,71
nièce,nièce,22
de,de,81
son,son,73
pays,pays,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
jeunesse,jeunesse,22
de,de,81
la,le,71
campagne,campagne,22
que,que,52
cette,ce,74
petite,petite,22
",",",",p
une,un,71
femme,femme,22
où,où,60
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
de,de,81
l',le,71
enfant,enfant,21
",",",",p
vive,vif,30
et,et,82
vivace,vivace,30
",",",",p
les,le,71
yeux,oeil,21
noirs,noir,30
et,et,82
pleins,plein,30
de,de,81
soleil,soleil,21
",",",",p
les,le,71
lèvres,lèvre,22
comme,comme,83
une,un,71
chair,chair,22
de,de,81
cerise,cerise,22
",",",",p
pleines,plein,30
",",",",p
rondes,rond,30
et,et,82
rouges,rouge,30
",",",",p
l',le,71
été,été,21
de,de,81
son,son,73
pays,pays,21
dans,dans,81
le,le,71
teint,teint,21
",",",",p
la,le,71
chaleur,chaleur,22
de,de,81
la,le,71
santé,santé,22
dans,dans,81
le,le,71
sang,sang,21
/.,/.,P
ardente,ardent,30
et,et,82
naïve,naïf,30
",",",",p
la,le,71
jeune,jeune,30
fille,fille,22
était,être,18
allée,aller,12
",",",",p
aux,à,81
aux,le,71
premiers,premier,72
jours,jour,21
",",",",p
vers,vers,81
son,son,73
cousin,cousin,21
",",",",p
simplement,simplement,60
",",",",p
naturellement,naturellement,60
",",",",p
par,par,81
cette,ce,74
pente,pente,22
d',de,81
un,un,71
même,même,75
âge,âge,21
qui,qui,52
fait,faire,17
chercher,chercher,14
la,le,71
jeunesse,jeunesse,22
à,à,81
la,le,71
jeunesse,jeunesse,22
/.,/.,P
elle,il,51
s',se,51
était,être,18
jetée,jeter,12
au-devant,au-devant,60
de,de,81
lui,lui,51
avec,avec,81
l',le,71
impudeur,impudeur,22
de,de,81
l',le,71
innocence,innocence,22
",",",",p
une,un,71
effronterie,effronterie,22
candide,candide,30
",",",",p
les,le,71
libertés,liberté,22
qu',que,52
apprennent,apprendre,17
les,le,71
champs,champ,21
",",",",p
la,le,71
folie,folie,22
heureuse,heureux,30
d',de,81
une,un,71
riche,riche,30
nature,nature,22
",",",",p
toutes,tout,75
sortes,sorte,22
d',de,81
audaces,audace,22
",",",",p
d',de,81
ignorances,ignorance,22
",",",",p
d',de,81
ingénuités,ingénuité,22
hardies,hardi,30
et,et,82
de,de,81
coquetteries,coquetterie,22
rustiques,rustique,30
contre,contre,81
lesquelles,lequel,52
la,le,71
vanité,vanité,22
de,de,81
son,son,73
cousin,cousin,21
n',ne,60
avait,avoir,18
point,point,60
su,savoir,12
se,se,51
défendre,défendre,14
/.,/.,P
à,à,81
côté,côté,21
de,de,81
cette,ce,74
enfant,enfant,21
",",",",p
Germinie,Germinie,20
n',ne,60
eut,avoir,19
plus,plus,60
de,de,81
repos,repos,21
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
la,le,52
blessait,blesser,18
à,à,81
toutes,tout,75
les,le,71
minutes,minute,22
",",",",p
par,par,81
sa,son,73
présence,présence,22
",",",",p
son,son,73
contact,contact,21
",",",",p
ses,son,73
caresses,caresse,22
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
avouait,avouer,18
l',le,71
amour,amour,21
dans,dans,81
son,son,73
corps,corps,21
amoureux,amoureux,30
/.,/.,P
l',le,71
occupation,occupation,22
qu',que,52
elle,il,51
avait,avoir,18
de,de,81
Jupillon,Jupillon,20
",",",",p
le,le,71
service,service,21
qui,qui,52
l',le,52
approchait,approcher,18
de,de,81
lui,lui,51
",",",",p
les,le,71
émerveillements,émerveillement,21
de,de,81
provinciale,provinciale,22
qu',que,83
elle,il,51
lui,lui,51
montrait,montrer,18
",",",",p
les,le,71
demi-confidences,demi-confidence,22
qu',que,83
elle,il,51
laissait,laisser,18
venir,venir,14
à,à,81
ses,son,73
lèvres,lèvre,22
",",",",p
le,le,71
jeune,jeune,30
homme,homme,21
sorti,sorti,31
",",",",p
sa,son,73
gaîté,gaieté,22
",",",",p
ses,son,73
plaisanteries,plaisanterie,22
",",",",p
sa,son,73
bonne,bon,30
humeur,humeur,22
bien,bien,60
portante,portant,30
",",",",p
tout,tout,52
exaspérait,exaspérer,18
Germinie,Germinie,20
",",",",p
tout,tout,52
soulevait,soulever,18
en,en,81
elle,il,51
de,de,81
sourdes,sourd,30
colères,colère,22
;,;,p
tout,tout,52
blessait,blesser,18
ce,ce,74
coeur,coeur,21
entier,entier,30
et,et,82
si,si,60
jaloux,jaloux,30
que,que,83
les,le,71
animaux,animal,21
mêmes,même,30
le,le,52
faisaient,faire,18
souffrir,souffrir,14
en,en,81
paraissant,paraître,13
aimer,aimer,14
quelqu'un,quelqu'un,52
qu',que,52
il,il,51
aimait,aimer,18
/.,/.,P
elle,il,51
n',ne,60
osait,oser,18
parler,parler,14
à,à,81
la,le,71
mère,mère,22
Jupillon,Jupillon,20
",",",",p
lui,lui,51
dénoncer,dénoncer,14
la,le,71
petite,petite,22
",",",",p
de,de,81
peur,peur,22
de,de,81
se,se,51
trahir,trahir,14
;,;,p
mais,mais,82
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
elle,il,51
se,se,51
trouvait,trouver,18
seule,seul,30
avec,avec,81
Jupillon,Jupillon,20
",",",",p
elle,il,51
éclatait,éclater,18
en,en,81
récriminations,récrimination,22
",",",",p
en,en,81
plaintes,plainte,22
",",",",p
en,en,81
querelles,querelle,22
/.,/.,P
elle,il,51
lui,lui,51
rappelait,rappeler,18
une,un,71
circonstance,circonstance,22
",",",",p
un,un,71
mot,mot,21
",",",",p
quelque,quelque,75
chose,chose,22
qu',que,52
il,il,51
avait,avoir,18
fait,fait,21
",",",",p
dit,dit,31
",",",",p
répondu,répondu,31
",",",",p
un,un,71
rien,rien,21
oublié,oublié,31
par,par,81
lui,lui,51
",",",",p
et,et,82
qui,qui,52
saignait,saigner,18
toujours,toujours,60
en,en,81
elle,il,51
/.,/.,P
-,-,p
es,être,17
tu,tu,51
folle,fou,30
?,?,p
lui,lui,51
disait,dire,18
Jupillon,Jupillon,20
",",",",p
une,un,71
gamine,gamine,22
!,!,p
/…,/…,P
-,-,p
une,un,71
gamine,gamine,22
",",",",p
ça,ça,52
?,?,p
…,…,p
laisse,laisse,22
donc,donc,82
!,!,p
qu',que,52
elle,il,51
a,avoir,17
des,de,81
des,le,71
yeux,oeil,21
que,que,52
tous,tout,75
les,le,71
hommes,homme,21
la,le,52
regardent,regarder,17
dans,dans,81
la,le,71
rue,rue,22
!,!,p
/.,/.,P
l',le,71
autre,autre,75
jour,jour,21
je,je,51
suis,être,17
sortie,sortir,12
avec,avec,81
elle,il,51
…,…,p
j',je,51
étais,être,18
honteuse,honteux,30
/…,/…,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
comment,comment,60
elle,il,51
a,avoir,17
fait,faire,12
",",",",p
nous,nous,51
avons,avoir,17
été,être,12
suivies,suivre,12
tout,tout,75
le,le,71
temps,temps,21
par,par,81
un,un,71
monsieur,monsieur,21
/…,/…,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
/?,/?,P
elle,il,51
est,être,17
jolie,joli,30
",",",",p
voilà,voilà,81
/!,/!,P
-,-,p
jolie,joli,30
!,!,p
jolie,joli,30
/!,/!,P
et,et,82
sur,sur,81
ce,ce,74
mot,mot,21
Germinie,Germinie,20
se,se,51
jetait,jeter,18
",",",",p
comme,comme,83
coups,coup,21
de,de,81
griffes,griffe,22
",",",",p
sur,sur,81
la,le,71
figure,figure,22
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
et,et,82
la,le,52
déchirait,déchirer,18
en,en,81
paroles,parole,22
enragées,enragé,31
/.,/.,P
souvent,souvent,60
elle,il,51
finissait,finir,18
par,par,81
dire,dire,14
à,à,81
Jupillon,Jupillon,20
:,:,p
-,-,p
tiens,tenir,17
!,!,p
tu,tu,51
l',le,52
aimes,aimer,17
/!,/!,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
après,après,81
?,?,p
répondait,répondre,18
Jupillon,Jupillon,20
auquel,à,81
auquel,lequel,52
ne,ne,60
déplaisaient,déplaire,18
pas,pas,60
ces,ce,74
disputes,dispute,22
",",",",p
la,le,71
vue,vue,22
et,et,82
le,le,71
jeu,jeu,21
de,de,81
cette,ce,74
colère,colère,22
qu',que,52
il,il,51
piquait,piquer,18
avec,avec,81
des,de,81
des,le,71
taquineries,taquinerie,22
",",",",p
l',le,71
amusement,amusement,21
de,de,81
cette,ce,74
femme,femme,22
qu',que,52
il,il,51
voyait,voir,18
",",",",p
sous,sous,81
ses,son,73
sarcasmes,sarcasme,21
et,et,82
son,son,73
sang-froid,sang-froid,21
",",",",p
perdre,perdre,14
à,à,81
demi,demi,30
la,le,71
raison,raison,22
",",",",p
s',se,51
égarer,égarer,14
",",",",p
trébucher,trébucher,14
dans,dans,81
un,un,71
commencement,commencement,21
de,de,81
folie,folie,22
",",",",p
donner,donner,14
de,de,81
la,le,71
tête,tête,22
contre,contre,81
les,le,71
murs,mur,21
/.,/.,P
à,à,81
la,le,71
suite,suite,22
de,de,81
ces,ce,74
scènes,scène,22
",",",",p
qui,qui,52
se,se,51
répétaient,répéter,18
",",",",p
revenaient,revenir,18
presque,presque,60
chaque,chaque,75
jour,jour,21
",",",",p
une,un,71
révolution,révolution,22
se,se,51
faisait,faire,18
dans,dans,81
ce,ce,74
caractère,caractère,21
mobile,mobile,30
",",",",p
extrême,extrême,30
et,et,82
sans,sans,81
milieu,milieu,21
",",",",p
dans,dans,81
cette,ce,74
âme,âme,22
où,où,60
les,le,71
violences,violence,22
se,se,51
touchaient,toucher,18
/.,/.,P
longuement,longuement,60
empoisonné,empoisonné,31
",",",",p
l',le,71
amour,amour,21
se,se,51
décomposait,décomposer,18
et,et,82
se,se,51
tournait,tourner,18
en,en,81
haine,haine,22
/.,/.,P
Germinie,Germinie,20
se,se,51
mettait,mettre,18
à,à,81
détester,détester,14
son,son,73
amant,amant,21
",",",",p
à,à,81
chercher,chercher,14
tout,tout,52
ce,ce,52
qui,qui,52
pouvait,pouvoir,18
le,le,52
lui,lui,51
faire,faire,14
détester,détester,14
davantage,davantage,60
/.,/.,P
et,et,82
sa,son,73
pensée,pensée,22
revenant,revenir,13
à,à,81
sa,son,73
fille,fille,22
",",",",p
à,à,81
la,le,71
perte,perte,22
de,de,81
son,son,73
enfant,enfant,21
",",",",p
à,à,81
la,le,71
cause,cause,22
de,de,81
sa,son,73
mort,mort,22
",",",",p
elle,il,51
se,se,51
persuadait,persuader,18
que,que,83
c',ce,52
était,être,18
lui,lui,51
qui,qui,52
l',le,52
avait,avoir,18
tuée,tuer,12
/.,/.,P
elle,il,51
lui,lui,51
voyait,voir,18
des,de,81
des,le,71
mains,main,22
d',de,81
assassin,assassin,21
/.,/.,P
elle,il,51
le,le,52
prenait,prendre,18
en,en,81
horreur,horreur,22
",",",",p
elle,il,51
s',se,51
éloignait,éloigner,18
",",",",p
se,se,51
sauvait,sauver,18
de,de,81
lui,lui,51
comme,comme,83
de,de,81
la,le,71
malédiction,malédiction,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
avec,avec,81
l',le,71
épouvante,épouvante,22
qu',que,52
on,on,51
a,avoir,17
de,de,81
quelqu'un,quelqu'un,52
qui,qui,52
est,être,17
votre,votre,73
malheur,malheur,21
/!,/!,P
<XXV.>,<>,<>
un,un,71
matin,matin,21
",",",",p
après,après,81
une,un,71
nuit,nuit,22
où,où,60
elle,il,51
avait,avoir,18
retourné,retourner,12
en,en,81
elle,il,51
toutes,tout,75
ses,son,73
idées,idée,22
de,de,81
désolation,désolation,22
et,et,82
de,de,81
haine,haine,22
",",",",p
entrant,entrer,13
chez,chez,81
la,le,71
crémière,crémière,22
prendre,prendre,14
ses,son,73
quatre,quatre,72
sous,sou,21
de,de,81
lait,lait,21
",",",",p
Germinie,Germinie,20
trouva,trouver,19
dans,dans,81
l',le,71
arrière-boutique,arrière-boutique,22
deux,deux,72
ou,ou,82
trois,trois,72
bonnes,bonne,22
de,de,81
la,le,71
rue,rue,22
qui,qui,52
“,“,p
tuaient,tuer,18
le,le,71
ver,ver,21
/.,/.,P
“,“,p
