11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
grandes,grand,30
personnes,personne,22
s',se,51
anima,animer,19
quand,quand,83
le,le,71
juge,juge,21
Popinot,Popinot,20
laissa,laisser,19
tomber,tomber,14
un,un,71
mot,mot,21
sur,sur,81
la,le,71
fuite,fuite,22
de,de,81
Roguin,Roguin,20
",",",",p
en,en,81
faisant,faire,13
observer,observer,14
que,que,83
c',ce,52
était,être,18
le,le,71
second,second,72
notaire,notaire,21
qui,qui,52
manquait,manquer,18
",",",",p
et,et,82
que,que,83
pareil,pareil,30
crime,crime,21
était,être,18
jadis,jadis,60
inconnu,inconnu,30
/.,/.,P
madame,madame,22
Ragon,Ragon,20
",",",",p
au,à,81
au,le,71
mot,mot,21
de,de,81
Roguin,Roguin,20
",",",",p
avait,avoir,18
poussé,pousser,12
le,le,71
pied,pied,21
de,de,81
son,son,73
frère,frère,21
",",",",p
Pillerault,Pillerault,20
avait,avoir,18
couvert,couvrir,12
la,le,71
voix,voix,22
du,de,81
du,le,71
juge,juge,21
",",",",p
et,et,82
tous,tout,75
deux,deux,72
lui,lui,51
montraient,montrer,18
madame,madame,22
Birotteau,Birotteau,20
/.,/.,P
-,-,p
je,je,51
sais,savoir,17
tout,tout,52
",",",",p
dit,dire,19
Constance,Constance,20
d',de,81
une,un,71
voix,voix,22
à,à,81
la,le,71
fois,fois,22
douce,doux,30
et,et,82
peinée,peiné,31
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
madame,madame,22
Matifat,Matifat,20
à,à,81
Birotteau,Birotteau,20
qui,qui,52
baissait,baisser,18
humblement,humblement,60
la,le,71
tête,tête,22
",",",",p
combien,combien,60
vous,vous,51
emporte,emporter,17
t,t,94
il,il,51
?,?,p
s',si,83
il,il,51
fallait,falloir,18
écouter,écouter,14
les,le,71
bavardages,bavardage,21
",",",",p
vous,vous,51
seriez,être,16
ruiné,ruiner,12
/.,/.,P
-,-,p
il,il,51
avait,avoir,18
à,à,81
moi,moi,51
deux,deux,72
cent,cent,72
mille,mille,72
francs,franc,21
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
quarante,quarante,72
qu',que,52
il,il,51
m',je,51
a,avoir,17
fait,faire,12
imaginairement,imaginairement,60
prêter,prêter,14
par,par,81
un,un,52
de,de,81
ses,son,73
clients,client,21
dont,dont,52
l',le,71
argent,argent,21
était,être,18
dissipé,dissiper,12
",",",",p
nous,nous,51
sommes,être,17
en,en,81
procès,procès,21
/.,/.,P
-,-,p
vous,vous,51
le,le,52
verrez,voir,15
juger,juger,14
cette,ce,74
semaine,semaine,22
",",",",p
dit,dire,19
Popinot,Popinot,20
/.,/.,P
j',je,51
ai,avoir,17
pensé,penser,12
que,que,83
vous,vous,51
ne,ne,60
m',je,51
en,en,52
voudriez,vouloir,16
pas,pas,60
d',de,81
expliquer,expliquer,14
votre,votre,73
situation,situation,22
à,à,81
monsieur,monsieur,21
le,le,71
président,président,21
;,;,p
il,il,51
a,avoir,17
ordonné,ordonner,12
la,le,71
communication,communication,22
des,de,81
des,le,71
papiers,papier,21
de,de,81
Roguin,Roguin,20
dans,dans,81
la,le,71
chambre,chambre,22
du,de,81
du,le,71
conseil,conseil,21
",",",",p
afin,afin,81
d',de,81
examiner,examiner,14
depuis,depuis,81
quelle,quel,75
époque,époque,22
les,le,71
fonds,fonds,21
du,de,81
du,le,71
prêteur,prêteur,21
étaient,être,18
détournés,détourner,12
et,et,82
les,le,71
preuves,preuve,22
du,de,81
du,le,71
fait,fait,21
allégué,allégué,31
par,par,81
Derville,Derville,20
",",",",p
qui,qui,52
a,avoir,17
plaidé,plaider,12
lui-même,lui-même,51
pour,pour,81
vous,vous,51
éviter,éviter,14
des,de,81
des,le,71
frais,frais,21
/.,/.,P
-,-,p
gagnerons,gagner,15
nous,nous,51
?,?,p
dit,dire,19
madame,madame,22
Birotteau,Birotteau,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
sais,savoir,17
",",",",p
répondit,répondre,19
Popinot,Popinot,20
/.,/.,P
quoique,quoique,83
j',je,51
appartienne,appartenir,17
à,à,81
la,le,71
chambre,chambre,22
où,où,60
l',le,71
affaire,affaire,22
est,être,17
portée,porter,12
",",",",p
je,je,51
m',je,51
abstiendrai,abstenir,15
de,de,81
délibérer,délibérer,14
quand,quand,83
même,même,60
on,on,51
m',je,51
appellerait,appeler,16
/.,/.,P
-,-,p
mais,mais,82
peut,pouvoir,17
il,il,51
y,y,52
avoir,avoir,14
du,de,81
du,le,71
doute,doute,21
sur,sur,81
un,un,71
procès,procès,21
si,si,60
simple,simple,30
?,?,p
dit,dire,19
Pillerault,Pillerault,20
/.,/.,P
l',le,71
acte,acte,21
ne,ne,60
doit,devoir,17
il,il,51
pas,pas,60
faire,faire,14
mention,mention,22
de,de,81
la,le,71
livraison,livraison,22
des,de,81
des,le,71
espèces,espèce,22
",",",",p
et,et,82
les,le,71
notaires,notaire,21
déclarer,déclarer,14
les,le,52
avoir,avoir,14
vu,voir,12
remettre,remettre,14
par,par,81
le,le,71
prêteur,prêteur,21
à,à,81
l',le,71
emprunteur,emprunteur,21
/?,/?,P
Roguin,Roguin,20
irait,aller,16
aux,à,81
aux,le,71
galères,galère,22
s',si,83
il,il,51
était,être,18
sous,sous,81
la,le,71
main,main,22
de,de,81
la,le,71
justice,justice,22
/.,/.,P
-,-,p
selon,selon,81
moi,moi,51
",",",",p
répondit,répondre,19
le,le,71
juge,juge,21
",",",",p
le,le,71
prêteur,prêteur,21
doit,devoir,17
se,se,51
pourvoir,pourvoir,14
contre,contre,81
Roguin,Roguin,20
sur,sur,81
le,le,71
prix,prix,21
de,de,81
la,le,71
charge,charge,22
et,et,82
du,de,81
du,le,71
cautionnement,cautionnement,21
",",",",p
mais,mais,82
en,en,81
des,de,81
des,le,71
affaires,affaire,22
encore,encore,60
plus,plus,60
claires,clair,30
",",",",p
quelquefois,quelquefois,60
",",",",p
à,à,81
la,le,71
cour,cour,22
royale,royal,30
",",",",p
les,le,71
conseillers,conseiller,21
se,se,51
trouvent,trouver,17
six,six,72
contre,contre,81
six,six,72
/.,/.,P
-,-,p
comment,comment,60
",",",",p
mademoiselle,mademoiselle,22
",",",",p
monsieur,monsieur,21
Roguin,Roguin,20
s',se,51
est,être,17
enfui,enfuir,12
?,?,p
dit,dire,19
Popinot,Popinot,20
entendant,entendre,13
enfin,enfin,60
ce,ce,52
qui,qui,52
se,se,51
disait,dire,18
/.,/.,P
monsieur,monsieur,21
César,César,20
ne,ne,60
m',je,51
en,en,52
a,avoir,17
rien,rien,52
dit,dire,12
",",",",p
moi,moi,51
qui,qui,52
donnerais,donner,16
mon,mon,73
sang,sang,21
pour,pour,81
lui,lui,51
/…,/…,P
Césarine,Césarine,20
comprit,comprendre,19
que,que,83
toute,tout,75
la,le,71
famille,famille,22
tenait,tenir,18
dans,dans,81
ce,ce,52
pour,pour,81
lui,lui,51
",",",",p
car,car,82
si,si,83
l',le,71
innocente,innocent,30
fille,fille,22
eût,avoir,19
méconnu,méconnaître,12
l',le,71
accent,accent,21
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
se,se,51
tromper,tromper,14
au,à,81
au,le,71
regard,regard,21
qui,qui,52
l',le,52
enveloppa,envelopper,19
d',de,81
une,un,71
flamme,flamme,22
pourpre,pourpre,30
/.,/.,P
-,-,p
je,je,51
le,le,52
savais,savoir,18
bien,bien,60
",",",",p
et,et,82
je,je,51
le,le,52
lui,lui,51
disais,dire,18
",",",",p
mais,mais,82
il,il,51
a,avoir,17
tout,tout,52
caché,cacher,12
à,à,81
ma,mon,73
mère,mère,22
et,et,82
ne,ne,60
s',se,51
est,être,17
confié,confier,12
qu',que,83
à,à,81
moi,moi,51
/.,/.,P
-,-,p
vous,vous,51
lui,lui,51
avez,avoir,17
parlé,parler,12
de,de,81
moi,moi,51
dans,dans,81
cette,ce,74
circonstance,circonstance,22
",",",",p
dit,dire,19
Popinot,Popinot,20
;,;,p
vous,vous,51
lisez,lire,17
dans,dans,81
mon,mon,73
coeur,coeur,21
",",",",p
mais,mais,82
y,y,52
lisez,lire,17
vous,vous,51
tout,tout,52
/?,/?,P
peut-être,peut-être,60
/.,/.,P
-,-,p
je,je,51
suis,être,17
bien,bien,60
heureux,heureux,30
",",",",p
dit,dire,19
Popinot,Popinot,20
/.,/.,P
si,si,83
vous,vous,51
voulez,vouloir,17
m',je,51
ôter,ôter,14
toute,tout,75
crainte,crainte,22
",",",",p
dans,dans,81
un,un,71
an,an,21
je,je,51
serai,être,16
si,si,60
riche,riche,30
que,que,83
votre,votre,73
père,père,21
ne,ne,60
me,je,51
recevra,recevoir,15
plus,plus,60
si,si,60
mal,mal,60
quand,quand,83
je,je,51
lui,lui,51
parlerai,parler,15
de,de,81
notre,notre,73
mariage,mariage,21
/.,/.,P
je,je,51
ne,ne,60
vais,aller,17
plus,plus,60
dormir,dormir,14
que,que,83
cinq,cinq,72
heures,heure,22
par,par,81
nuit,nuit,22
/…,/…,P
ne,ne,60
vous,vous,51
faites,faire,17
pas,pas,60
mal,mal,60
",",",",p
dit,dire,19
Césarine,Césarine,20
avec,avec,81
un,un,71
accent,accent,21
inimitable,inimitable,30
en,en,81
jetant,jeter,13
à,à,81
Popinot,Popinot,20
un,un,71
regard,regard,21
où,où,60
se,se,51
lisait,lire,18
toute,tout,75
sa,son,73
pensée,pensée,22
/.,/.,P
-,-,p
ma,mon,73
femme,femme,22
",",",",p
dit,dire,19
César,César,20
en,en,81
sortant,sortir,13
de,de,81
table,table,22
",",",",p
je,je,51
crois,croire,17
que,que,83
ces,ce,74
jeunes,jeune,30
gens,gens,21
s',se,51
aiment,aimer,17
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
tant,tant,60
mieux,mieux,60
",",",",p
dit,dire,19
Constance,Constance,20
d',de,81
un,un,71
son,son,21
de,de,81
voix,voix,22
grave,grave,30
",",",",p
ma,mon,73
fille,fille,22
serait,être,16
la,le,71
femme,femme,22
d',de,81
un,un,71
homme,homme,21
de,de,81
tête,tête,22
et,et,82
plein,plein,30
d',de,81
énergie,énergie,22
/.,/.,P
le,le,71
talent,talent,21
est,être,17
la,le,71
plus,plus,60
belle,beau,30
dot,dot,22
d',de,81
un,un,71
prétendu,prétendu,31
/.,/.,P
elle,il,51
se,se,51
hâta,hâter,19
de,de,81
quitter,quitter,14
le,le,71
salon,salon,21
et,et,82
d',de,81
aller,aller,14
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
madame,madame,22
Ragon,Ragon,20
/.,/.,P
César,César,20
avait,avoir,18
dit,dire,12
pendant,pendant,81
le,le,71
dîner,dîner,21
quelques,quelque,75
phrases,phrase,22
qui,qui,52
avaient,avoir,18
fait,faire,12
sourire,sourire,14
Pillerault,Pillerault,20
et,et,82
le,le,71
juge,juge,21
",",",",p
tant,tant,60
elles,ils,51
accusaient,accuser,18
d',de,81
ignorance,ignorance,22
",",",",p
et,et,82
qui,qui,52
rappelèrent,rappeler,19
à,à,81
cette,ce,74
malheureuse,malheureux,30
femme,femme,22
combien,combien,60
son,son,73
pauvre,pauvre,30
mari,mari,21
se,se,51
trouvait,trouver,18
peu,peu,60
de,de,81
force,force,22
à,à,81
lutter,lutter,14
contre,contre,81
le,le,71
malheur,malheur,21
/.,/.,P
Constance,Constance,20
avait,avoir,18
des,de,81
des,le,71
larmes,larme,22
sur,sur,81
le,le,71
coeur,coeur,21
",",",",p
elle,il,51
se,se,51
défiait,défier,18
instinctivement,instinctivement,60
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
car,car,82
toutes,tout,75
les,le,71
mères,mère,22
savent,savoir,17
le,le,71
timeo,timeo,92
Danaos,Danaos,20
et,et,82
dona,dona,92
ferentes,ferentes,92
",",",",p
sans,sans,81
savoir,savoir,14
le,le,71
latin,latin,21
/.,/.,P
elle,il,51
pleura,pleurer,19
dans,dans,81
les,le,71
bras,bras,21
de,de,81
sa,son,73
fille,fille,22
et,et,82
de,de,81
madame,madame,22
Ragon,Ragon,20
sans,sans,81
vouloir,vouloir,14
avouer,avouer,14
la,le,52
cause,causer,17
de,de,81
sa,son,73
peine,peine,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
nerveux,nerveux,30
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
le,le,71
reste,reste,21
de,de,81
la,le,71
soirée,soirée,22
fut,être,19
donné,donner,12
aux,à,81
aux,le,71
cartes,carte,22
par,par,81
les,le,71
vieilles,vieux,30
gens,gens,21
",",",",p
et,et,82
par,par,81
les,le,71
jeunes,jeune,21
à,à,81
ces,ce,74
délicieux,délicieux,30
petits,petit,30
jeux,jeu,21
dits,dit,31
innocents,innocent,30
",",",",p
parce qu',parce que,83
ils,ils,51
couvrent,couvrir,17
les,le,71
innocentes,innocent,30
malices,malice,22
des,de,81
des,le,71
amours,amour,21
bourgeois,bourgeois,30
/.,/.,P
les,le,71
Matifat,Matifat,20
se,se,51
mêlèrent,mêler,19
des,de,81
des,le,71
petits,petit,30
jeux,jeu,21
/.,/.,P
-,-,p
César,César,20
",",",",p
dit,dire,19
Constance,Constance,20
en,en,81
revenant,revenir,13
",",",",p
va,aller,17
dès,dès,81
le,le,71
trois,trois,72
chez,chez,81
monsieur,monsieur,21
le,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
",",",",p
afin,afin,81
d',de,81
être,être,14
sûr,sûr,30
de,de,81
ton,ton,73
échéance,échéance,22
du,de,81
du,le,71
quinze,quinze,72
long-temps,longtemps,60
à,à,81
l',le,71
avance,avance,22
/.,/.,P
s',si,83
il,il,51
arrivait,arriver,18
quelque,quelque,75
anicroche,anicroche,22
",",",",p
est,être,17
ce,ce,52
du,de,81
du,le,71
jour,jour,21
au,à,81
au,le,71
lendemain,lendemain,21
que,que,52
tu,tu,51
trouverais,trouver,16
des,de,81
des,le,71
ressources,ressource,22
/?,/?,P
j',je,51
irai,aller,15
",",",",p
ma,mon,73
femme,femme,22
",",",",p
répondit,répondre,19
César,César,20
qui,qui,52
serra,serrer,19
la,le,71
main,main,22
de,de,81
Constance,Constance,20
et,et,82
celle,celui,52
de,de,81
sa,son,73
fille,fille,22
en,en,81
ajoutant,ajouter,13
:,:,p
mes,mon,73
chères,cher,30
biches,biche,22
blanches,blanc,30
",",",",p
je,je,51
vous,vous,51
ai,avoir,17
donné,donner,12
de,de,81
tristes,triste,30
étrennes,étrenne,22
/!,/!,P
dans,dans,81
l',le,71
obscurité,obscurité,22
du,de,81
du,le,71
fiacre,fiacre,21
",",",",p
ces,ce,74
deux,deux,72
femmes,femme,22
",",",",p
qui,qui,52
ne,ne,60
pouvaient,pouvoir,18
voir,voir,14
le,le,71
pauvre,pauvre,30
parfumeur,parfumeur,21
",",",",p
sentirent,sentir,19
des,de,81
des,le,71
larmes,larme,22
tombées,tombé,31
chaudes,chaud,30
sur,sur,81
leurs,leur,73
mains,main,22
/.,/.,P
-,-,p
espère,espérer,17
",",",",p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
Constance,Constance,20
/.,/.,P
-,-,p
tout,tout,52
ira,aller,15
bien,bien,60
",",",",p
papa,papa,21
",",",",p
monsieur,monsieur,21
Anselme,Anselme,20
Popinot,Popinot,20
m',je,51
a,avoir,17
dit,dire,12
qu',que,83
il,il,51
verserait,verser,16
son,son,73
sang,sang,21
pour,pour,81
toi,toi,51
/.,/.,P
-,-,p
pour,pour,81
moi,moi,51
",",",",p
reprit,reprendre,19
César,César,20
",",",",p
et,et,82
pour,pour,81
la,le,71
famille,famille,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
dit,dire,19
il,il,51
en,en,81
prenant,prendre,13
un,un,71
air,air,21
gai,gai,30
/.,/.,P
Césarine,Césarine,20
serra,serrer,19
la,le,71
main,main,22
de,de,81
son,son,73
père,père,21
",",",",p
de,de,81
manière,manière,22
à,à,81
lui,lui,51
dire,dire,14
qu',que,83
Anselme,Anselme,20
était,être,18
son,son,73
fiancé,fiancé,21
/.,/.,P
pendant,pendant,81
les,le,71
trois,trois,72
premiers,premier,72
jours,jour,21
de,de,81
l',le,71
année,année,22
",",",",p
il,il,51
fut,être,19
envoyé,envoyer,12
deux,deux,72
cents,cent,72
cartes,carte,22
chez,chez,81
Birotteau,Birotteau,20
/.,/.,P
cette,ce,74
affluence,affluence,22
d',de,81
amitiés,amitié,22
fausses,faux,30
",",",",p
ces,ce,74
témoignages,témoignage,21
de,de,81
faveur,faveur,22
sont,être,17
horribles,horrible,30
pour,pour,81
les,le,71
gens,gens,21
qui,qui,52
se,se,51
voient,voir,17
entraînés,entraîné,31
par,par,81
le,le,71
courant,courant,21
du,de,81
du,le,71
malheur,malheur,21
/.,/.,P
Birotteau,Birotteau,20
se,se,51
présenta,présenter,19
trois,trois,72
fois,fois,22
vainement,vainement,60
à,à,81
l',le,71
hôtel,hôtel,21
du,de,81
du,le,71
fameux,fameux,30
banquier,banquier,21
royaliste,royaliste,30
",",",",p
le,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
/.,/.,P
le,le,71
commencement,commencement,21
de,de,81
l',le,71
année,année,22
et,et,82
ses,son,73
fêtes,fête,22
justifiaient,justifier,18
assez,assez,60
l',le,71
absence,absence,22
du,de,81
du,le,71
financier,financier,21
/.,/.,P
la,le,71
dernière,dernier,30
fois,fois,22
",",",",p
le,le,71
parfumeur,parfumeur,21
pénétra,pénétrer,19
jusqu',jusque,81
au,à,81
au,le,71
cabinet,cabinet,21
du,de,81
du,le,71
banquier,banquier,21
",",",",p
où,où,60
le,le,71
premier,premier,72
commis,commis,21
lui,lui,51
dit,dire,19
que,que,83
monsieur,monsieur,21
de,de,81
Nucingen,Nucingen,20
",",",",p
rentré,rentré,31
à,à,81
cinq,cinq,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
d',de,81
un,un,71
bal,bal,21
donné,donné,31
par,par,81
les,le,71
Keller,Keller,20
",",",",p
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
être,être,14
visible,visible,30
à,à,81
neuf,neuf,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
Birotteau,Birotteau,20
sut,savoir,19
intéresser,intéresser,14
à,à,81
ses,son,73
affaires,affaire,22
le,le,71
premier,premier,72
commis,commis,21
",",",",p
auprès,auprès,60
duquel,de,81
duquel,lequel,52
il,il,51
resta,rester,19
près,près,81
d',de,81
une,un,71
demi-heure,demi-heure,22
à,à,81
causer,causer,14
/.,/.,P
dans,dans,81
la,le,71
journée,journée,22
",",",",p
ce,ce,74
ministre,ministre,21
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
lui,lui,51
écrivit,écrire,19
que,que,83
le,le,71
baron,baron,21
le,le,52
recevrait,recevoir,16
le,le,71
lendemain,lendemain,21
",",",",p
<Nombre 12>,<>,<>
douze,douze,72
<Fin nombre>,<>,<>
",",",",p
à,à,81
midi,midi,21
/.,/.,P
quoique,quoique,83
chaque,chaque,75
heure,heure,22
apportât,apporter,18
une,un,71
goutte,goutte,22
d',de,81
absinthe,absinthe,22
",",",",p
la,le,71
journée,journée,22
passa,passer,19
avec,avec,81
une,un,71
effrayante,effrayant,30
rapidité,rapidité,22
/.,/.,P
le,le,71
parfumeur,parfumeur,21
vint,venir,19
en,en,81
fiacre,fiacre,21
et,et,82
se,se,51
fit,faire,19
arrêter,arrêter,14
à,à,81
un,un,71
pas,pas,21
de,de,81
l',le,71
hôtel,hôtel,21
dont,dont,52
la,le,71
cour,cour,22
était,être,18
encombrée,encombrer,12
de,de,81
voitures,voiture,22
/.,/.,P
le,le,71
pauvre,pauvre,30
honnête,honnête,30
homme,homme,21
eut,avoir,19
le,le,71
coeur,coeur,21
bien,bien,60
serré,serré,31
à,à,81
l',le,71
aspect,aspect,21
des,de,81
des,le,71
splendeurs,splendeur,22
de,de,81
cette,ce,74
maison,maison,22
célèbre,célèbre,30
/.,/.,P
-,-,p
il,il,51
a,avoir,17
pourtant,pourtant,60
liquidé,liquider,12
deux,deux,72
fois,fois,22
",",",",p
se,se,51
dit,dire,19
il,il,51
en,en,81
montant,monter,13
le,le,71
superbe,superbe,30
escalier,escalier,21
garni,garni,31
de,de,81
fleurs,fleur,22
",",",",p
en,en,81
traversant,traverser,13
les,le,71
somptueux,somptueux,30
appartements,appartement,21
par,par,81
lesquels,lequel,52
la,le,71
baronne,baronne,22
Delphine,Delphine,20
de,de,81
Nucingen,Nucingen,20
s',se,51
était,être,18
rendue,rendre,12
célèbre,célèbre,30
/.,/.,P
la,le,71
baronne,baronne,22
avait,avoir,18
la,le,71
prétention,prétention,22
de,de,81
rivaliser,rivaliser,14
les,le,71
plus,plus,60
riches,riche,30
maisons,maison,22
du,de,81
du,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
",",",",p
où,où,60
elle,il,51
n',ne,60
était,être,18
pas,pas,60
encore,encore,60
admise,admettre,12
/.,/.,P
le,le,71
baron,baron,21
déjeunait,déjeuner,18
avec,avec,81
sa,son,73
femme,femme,22
/.,/.,P
malgré,malgré,81
le,le,71
nombre,nombre,21
de,de,81
gens,gens,21
qui,qui,52
l',le,52
attendaient,attendre,18
dans,dans,81
ses,son,73
bureaux,bureau,21
",",",",p
il,il,51
dit,dire,19
que,que,83
les,le,71
amis,ami,21
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
pouvaient,pouvoir,18
entrer,entrer,14
à,à,81
toute,tout,75
heure,heure,22
/.,/.,P
Birotteau,Birotteau,20
tressaillit,tressaillir,19
d',de,81
espérance,espérance,22
en,en,81
voyant,voir,13
le,le,71
changement,changement,21
qu',que,52
avait,avoir,18
produit,produire,12
le,le,71
mot,mot,21
du,de,81
du,le,71
baron,baron,21
sur,sur,81
la,le,71
figure,figure,22
d'abord,d'abord,60
insolente,insolent,30
du,de,81
du,le,71
valet,valet,21
de,de,81
chambre,chambre,22
/.,/.,P
-,-,p
<Bartonnez-moi - ma tchaire ->,<>,<>
dit,dire,19
le,le,71
baron,baron,21
à,à,81
sa,son,73
femme,femme,22
se,se,51
levant,lever,13
et,et,82
faisant,faire,13
une,un,71
petite,petit,30
inclination,inclination,22
de,de,81
tête,tête,22
à,à,81
Birotteau,Birotteau,20
",",",",p
<me meinnesir ête eine ponne reuyaliste hai l’ami drai eindime te ti Dilet. Taillurs - monsir hai atjouind ti tussième arrontussement et tonne tes palles d’ine manifissence hassiatique - ti feras sans titte son gonnaissance afec plésir.>,<>,<>
-,-,p
mais,mais,82
je,je,51
serais,être,16
très,très,60
flattée,flatter,12
d',de,81
aller,aller,14
prendre,prendre,14
des,de,81
des,le,71
leçons,leçon,22
chez,chez,81
madame,madame,22
Birotteau,Birotteau,20
",",",",p
car,car,82
Ferdinand,Ferdinand,20
…,…,p
(,(,p
allons,aller,17
",",",",p
pensa,penser,19
le,le,71
parfumeur,parfumeur,21
",",",",p
elle,il,51
le,le,52
nomme,nommer,17
Ferdinand,Ferdinand,20
tout,tout,60
court,court,30
),),p
nous,nous,51
a,avoir,17
parlé,parler,12
de,de,81
ce,ce,74
bal,bal,21
avec,avec,81
une,un,71
admiration,admiration,22
d'autant,d'autant,60
plus,plus,60
précieuse,précieux,30
qu',que,83
il,il,51
n',ne,60
admire,admirer,17
rien,rien,52
/.,/.,P
Ferdinand,Ferdinand,20
est,être,17
un,un,71
critique,critique,21
sévère,sévère,30
",",",",p
tout,tout,52
devait,devoir,18
être,être,14
parfait,parfaire,12
/.,/.,P
en,en,52
donnerez,donner,15
vous,vous,51
bientôt,bientôt,60
un,un,71
autre,autre,52
",",",",p
demanda,demander,19
t,t,94
elle,il,51
de,de,81
l',le,71
air,air,21
le,le,71
plus,plus,60
aimable,aimable,30
/.,/.,P
-,-,p
madame,madame,22
",",",",p
de,de,81
pauvres,pauvre,30
gens,gens,21
comme,comme,83
nous,nous,51
s',se,51
amusent,amuser,17
rarement,rarement,60
",",",",p
répondit,répondre,19
le,le,71
parfumeur,parfumeur,21
en,en,81
ignorant,ignorer,13
si,si,83
c',ce,52
était,être,18
raillerie,raillerie,22
ou,ou,82
compliment,compliment,21
banal,banal,30
/.,/.,P
<— Meinnesir Crintod - a tiriché la rezdoration te fos habbardements - dit le baron.>,<>,<>
-,-,p
ah,ah,93
/!,/!,P
Grindot,Grindot,20
!,!,p
un,un,71
joli,joli,30
petit,petit,30
architecte,architecte,21
qui,qui,52
revient,revenir,17
de,de,81
Rome,Rome,20
",",",",p
dit,dire,19
Delphine,Delphine,20
de,de,81
Nucingen,Nucingen,20
",",",",p
j',je,51
en,en,52
raffole,raffoler,17
",",",",p
il,il,51
me,je,51
fait,faire,17
des,de,81
des,le,71
dessins,dessin,21
délicieux,délicieux,30
sur,sur,81
mon,mon,73
album,album,21
/.,/.,P
aucun,aucun,75
conspirateur,conspirateur,21
géhenné,géhenné,31
par,par,81
le,le,71
questionnaire,questionnaire,21
à,à,81
Venise,Venise,20
ne,ne,60
fut,être,19
plus,plus,60
mal,mal,60
dans,dans,81
les,le,71
brodequins,brodequin,21
de,de,81
la,le,71
torture,torture,22
que,que,83
Birotteau,Birotteau,20
ne,ne,60
l',le,52
était,être,18
dans,dans,81
ses,son,73
vêtements,vêtement,21
/.,/.,P
il,il,51
trouvait,trouver,18
un,un,71
air,air,21
goguenard,goguenard,30
à,à,81
tous,tout,75
les,le,71
mots,mot,21
/.,/.,P
<— Nîs tonnons essi te bêtîs palles - dit le baron en jetant un regard inquisitif sur le parfumeur. Vis foyez ke tît lai monte san melle !>,<>,<>
-,-,p
monsieur,monsieur,21
Birotteau,Birotteau,20
veut,vouloir,17
il,il,51
déjeuner,déjeuner,14
sans,sans,81
cérémonie,cérémonie,22
avec,avec,81
nous,nous,51
?,?,p
dit,dire,19
Delphine,Delphine,20
en,en,81
montrant,montrer,13
sa,son,73
table,table,22
somptueusement,somptueusement,60
servie,servi,31
/.,/.,P
-,-,p
madame,madame,22
la,le,71
baronne,baronne,22
",",",",p
je,je,51
suis,être,17
venu,venir,12
pour,pour,81
affaires,affaire,22
et,et,82
suis,être,17
/…,/…,P
<— Ah ! dit le baron. Montame - bermeddez-vis te barler t’iffires ?>,<>,<>
Delphine,Delphine,20
fit,faire,19
un,un,71
petit,petit,30
mouvement,mouvement,21
d',de,81
assentiment,assentiment,21
en,en,81
disant,dire,13
au,à,81
au,le,71
baron,baron,21
:,:,p
-,-,p
allez,aller,17
vous,vous,51
acheter,acheter,14
de,de,81
la,le,71
parfumerie,parfumerie,22
/?,/?,P
le,le,71
baron,baron,21
haussa,hausser,19
les,le,71
épaules,épaule,22
et,et,82
se,se,51
retourna,retourner,19
vers,vers,81
César,César,20
au,à,81
au,le,71
désespoir,désespoir,21
/.,/.,P
<— Ti Dilet breind lei plis fiffve eindéred à vus - dit-il.>,<>,<>
-,-,p
enfin,enfin,60
",",",",p
pensa,penser,19
le,le,71
pauvre,pauvre,30
négociant,négociant,21
",",",",p
nous,nous,51
arrivons,arriver,17
à,à,81
la,le,71
question,question,22
/.,/.,P
<— Afec sa leddre - vis affez tan mâ messon eine grétid ki n’ai limidé ké bar lais pornes te ma brobre forteine…>,<>,<>
le,le,71
baume,baume,21
exhilarant,exhilarant,30
que,que,52
contenait,contenir,18
l',le,71
eau,eau,22
présentée,présenté,31
par,par,81
l',le,71
ange,ange,21
à,à,81
Agar,Agar,20
dans,dans,81
le,le,71
désert,désert,21
devait,devoir,18
ressembler,ressembler,14
à,à,81
la,le,71
rosée,rosée,22
que,que,52
répandirent,répandre,19
dans,dans,81
les,le,71
veines,veine,22
du,de,81
du,le,71
parfumeur,parfumeur,21
ces,ce,74
paroles,parole,22
