11421
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-deuxième extrait>,<>,<>
dit,dire,19
Jean,Jean,20
",",",",p
intérieurement,intérieurement,60
alarmé,alarmé,31
de,de,81
la,le,71
pâleur,pâleur,22
et,et,82
des,de,81
des,le,71
traits,trait,21
décomposés,décomposé,31
du,de,81
du,le,71
comte,comte,21
/.,/.,P
lorsque,lorsque,83
Jean,Jean,20
se,se,51
fut,être,19
retiré,retirer,12
après,après,81
avoir,avoir,14
allumé,allumer,12
les,le,71
bougies,bougie,22
",",",",p
le,le,71
comte,comte,21
s',se,51
élança,élancer,19
vers,vers,81
la,le,71
glace,glace,22
",",",",p
et,et,82
",",",",p
dans,dans,81
le,le,71
cristal,cristal,21
profond,profond,30
et,et,82
pur,pur,30
où,où,60
tremblait,trembler,18
la,le,71
scintillation,scintillation,22
des,de,81
des,le,71
lumières,lumière,22
",",",",p
il,il,51
vit,voir,19
une,un,71
tête,tête,22
jeune,jeune,30
",",",",p
douce,doux,30
et,et,82
triste,triste,30
",",",",p
aux,à,81
aux,le,71
abondants,abondant,30
cheveux,cheveu,21
noirs,noir,30
",",",",p
aux,à,81
aux,le,71
prunelles,prunelle,22
d',de,81
un,un,71
azur,azur,21
sombre,sombre,30
",",",",p
aux,à,81
aux,le,71
joues,joue,22
pâles,pâle,30
",",",",p
duvetées,duveté,30
d',de,81
une,un,71
barbe,barbe,22
soyeuse,soyeux,30
et,et,82
brune,brun,30
",",",",p
une,un,71
tête,tête,22
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
sienne,sien,52
",",",",p
et,et,82
qui,qui,52
du,de,81
du,le,71
fond,fond,21
du,de,81
du,le,71
miroir,miroir,21
le,le,52
regardait,regarder,18
avec,avec,81
un,un,71
air,air,21
surpris,surpris,31
/.,/.,P
il,il,51
s',se,51
efforça,efforcer,19
d'abord,d'abord,60
de,de,81
croire,croire,14
qu',que,83
un,un,71
mauvais,mauvais,30
plaisant,plaisant,30
encadrait,encadrer,18
son,son,73
masque,masque,21
dans,dans,81
la,le,71
bordure,bordure,22
incrustée,incrusté,31
de,de,81
cuivre,cuivre,21
et,et,82
de,de,81
burgau,burgau,21
de,de,81
la,le,71
glace,glace,22
à,à,81
biseaux,biseau,21
vénitiens,vénitien,30
/.,/.,P
il,il,51
passa,passer,19
la,le,71
main,main,22
derrière,derrière,81
;,;,p
il,il,51
ne,ne,60
sentit,sentir,19
que,que,83
les,le,71
planches,planche,22
du,de,81
du,le,71
parquet,parquet,21
;,;,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
personne,personne,52
/.,/.,P
ses,son,73
mains,main,22
",",",",p
qu',que,52
il,il,51
tâta,tâter,19
",",",",p
étaient,être,18
plus,plus,60
maigres,maigre,30
",",",",p
plus,plus,60
longues,long,30
",",",",p
plus,plus,60
veinées,veiné,31
;,;,p
au,à,81
au,le,71
doigt,doigt,21
annulaire,annulaire,21
saillait,saillir,18
en,en,81
bosse,bosse,22
une,un,71
grosse,gros,30
bague,bague,22
d',de,81
or,or,21
avec,avec,81
un,un,71
chaton,chaton,21
d',de,81
aventurine,aventurine,22
sur,sur,81
laquelle,lequel,52
un,un,71
blason,blason,21
était,être,18
gravé,graver,12
",",",",p
-,-,p
un,un,71
écu,écu,21
fascé,fascé,31
de,de,81
gueules,gueule,22
et,et,82
d',de,81
argent,argent,21
",",",",p
et,et,82
pour,pour,81
timbre,timbre,21
un,un,71
tortil,tortil,21
de,de,81
baron,baron,21
/.,/.,P
cet,ce,74
anneau,anneau,21
n',ne,60
avait,avoir,18
jamais,jamais,60
appartenu,appartenir,12
au,à,81
au,le,71
comte,comte,21
",",",",p
qui,qui,52
portait,porter,18
d',de,81
or,or,21
à,à,81
l',le,71
aigle,aigle,21
de,de,81
sable,sable,21
essorant,essorer,13
",",",",p
becqué,becqué,30
",",",",p
patté,patté,30
et,et,82
onglé,onglé,30
de,de,81
même,même,60
;,;,p
le,le,71
tout,tout,21
surmonté,surmonté,31
de,de,81
la,le,71
couronne,couronne,22
à,à,81
perles,perle,22
/.,/.,P
il,il,51
fouilla,fouiller,19
ses,son,73
poches,poche,22
",",",",p
il,il,51
y,y,52
trouva,trouver,19
un,un,71
petit,petit,30
portefeuille,portefeuille,21
contenant,contenir,13
des,de,81
des,le,71
cartes,carte,22
de,de,81
visite,visite,22
avec,avec,81
ce,ce,74
nom,nom,21
:,:,p
“,“,p
Octave,Octave,20
de,de,81
Saville,Saville,20
/.,/.,P
“,“,p
le,le,71
rire,rire,21
des,de,81
des,le,71
laquais,laquais,21
à,à,81
l',le,71
hôtel,hôtel,21
Labinski,Labinski,20
",",",",p
l',le,71
apparition,apparition,22
de,de,81
son,son,73
double,double,21
",",",",p
la,le,71
physionomie,physionomie,22
inconnue,inconnu,30
substituée,substitué,31
à,à,81
sa,son,73
réflexion,réflexion,22
dans,dans,81
le,le,71
miroir,miroir,21
pouvaient,pouvoir,18
être,être,14
",",",",p
à,à,81
la,le,71
rigueur,rigueur,22
",",",",p
les,le,71
illusions,illusion,22
d',de,81
un,un,71
cerveau,cerveau,21
malade,malade,30
;,;,p
mais,mais,82
ces,ce,74
habits,habit,21
différents,différent,30
",",",",p
cet,ce,74
anneau,anneau,21
qu',que,52
il,il,51
ôtait,ôter,18
de,de,81
son,son,73
doigt,doigt,21
",",",",p
étaient,être,18
des,de,81
des,le,71
preuves,preuve,22
matérielles,matériel,30
",",",",p
palpables,palpable,30
",",",",p
des,de,81
des,le,71
témoignages,témoignage,21
impossibles,impossible,30
à,à,81
récuser,récuser,14
/.,/.,P
une,un,71
métamorphose,métamorphose,22
complète,complet,30
s',se,51
était,être,18
opérée,opérer,12
en,en,81
lui,lui,51
à,à,81
son,son,73
insu,insu,21
",",",",p
un,un,71
magicien,magicien,21
",",",",p
à,à,81
coup,coup,21
sûr,sûr,30
",",",",p
un,un,71
démon,démon,21
peut-être,peut-être,60
",",",",p
lui,lui,51
avait,avoir,18
volé,voler,12
sa,son,73
forme,forme,22
",",",",p
sa,son,73
noblesse,noblesse,22
",",",",p
son,son,73
nom,nom,21
",",",",p
toute,tout,75
sa,son,73
personnalité,personnalité,22
",",",",p
en,en,81
ne,ne,60
lui,lui,51
laissant,laisser,13
que,que,83
son,son,73
âme,âme,22
sans,sans,81
moyens,moyen,21
de,de,81
la,le,52
manifester,manifester,14
/.,/.,P
les,le,71
historiens,historien,21
fantastiques,fantastique,30
de,de,81
Pierre,Pierre,20
Schelmil,Schelmil,20
et,et,82
de,de,81
la,le,71
nuit,nuit,22
de,de,81
saint,saint,30
Sylvestre,Sylvestre,20
lui,lui,51
revinrent,revenir,19
en,en,81
mémoire,mémoire,22
;,;,p
mais,mais,82
les,le,71
personnages,personnage,21
de,de,81
Lamotte,Lamotte,20
Fouqué,Fouqué,20
et,et,82
d',de,81
Hoffmann,Hoffmann,20
n',ne,60
avaient,avoir,18
perdu,perdre,12
",",",",p
l',le,71
un,un,52
que,que,52
son,son,73
ombre,ombre,22
",",",",p
l',le,71
autre,autre,75
son,son,73
reflet,reflet,21
",",",",p
et,et,82
si,si,83
cette,ce,74
privation,privation,22
bizarre,bizarre,30
d',de,81
une,un,71
projection,projection,22
que,que,52
tout,tout,75
le,le,71
monde,monde,21
possède,posséder,17
inspirait,inspirer,18
des,de,81
des,le,71
soupçons,soupçon,21
inquiétants,inquiétant,30
",",",",p
personne,personne,52
du,de,81
du,le,71
moins,moins,60
ne,ne,60
leur,leur,52
niait,nier,18
qu',que,83
ils,ils,51
ne,ne,60
fussent,être,18
eux-mêmes,eux-mêmes,51
/.,/.,P
sa,son,73
position,position,22
",",",",p
à,à,81
lui,lui,51
",",",",p
était,être,18
bien,bien,60
autrement,autrement,60
désastreuse,désastreux,30
:,:,p
il,il,51
ne,ne,60
pouvait,pouvoir,18
réclamer,réclamer,14
son,son,73
titre,titre,21
de,de,81
comte,comte,21
Labinski,Labinski,20
avec,avec,81
la,le,71
forme,forme,22
dans,dans,81
laquelle,lequel,52
il,il,51
se,se,51
trouvait,trouver,18
emprisonné,emprisonné,31
/.,/.,P
il,il,51
passerait,passer,16
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
tout,tout,75
le,le,71
monde,monde,21
pour,pour,81
un,un,71
impudent,impudent,30
imposteur,imposteur,21
",",",",p
ou,ou,82
tout,tout,60
au,à,81
au,le,71
moins,moins,60
pour,pour,81
un,un,71
fou,fou,30
/.,/.,P
sa,son,73
femme,femme,22
même,même,30
le,le,52
méconnaîtrait,méconnaître,16
affublé,affublé,31
de,de,81
cette,ce,74
apparence,apparence,22
mensongère,mensonger,30
/.,/.,P
-,-,p
comment,comment,60
prouver,prouver,14
son,son,73
identité,identité,22
/?,/?,P
certes,certes,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
mille,mille,72
circonstances,circonstance,22
intimes,intime,30
",",",",p
mille,mille,72
détails,détail,21
mystérieux,mystérieux,30
inconnus,inconnu,30
de,de,81
toute,tout,75
autre,autre,75
personne,personne,22
",",",",p
qui,qui,52
",",",",p
rappelés,rappelé,31
à,à,81
Prascovie,Prascovie,20
",",",",p
lui,lui,51
feraient,faire,16
reconnaître,reconnaître,14
l',le,71
âme,âme,22
de,de,81
son,son,73
mari,mari,21
sous,sous,81
ce,ce,74
déguisement,déguisement,21
;,;,p
mais,mais,82
que,que,52
vaudrait,valoir,16
cette,ce,74
conviction,conviction,22
isolée,isolé,31
",",",",p
au,à,81
au,le,71
cas,cas,21
où,où,60
il,il,51
l',le,52
obtiendrait,obtenir,16
",",",",p
contre,contre,81
l',le,71
unanimité,unanimité,22
de,de,81
l',le,71
opinion,opinion,22
/?,/?,P
il,il,51
était,être,18
bien,bien,60
réellement,réellement,60
et,et,82
bien,bien,60
absolument,absolument,60
dépossédé,déposséder,12
de,de,81
son,son,73
moi,moi,51
/.,/.,P
autre,autre,75
anxiété,anxiété,22
:,:,p
sa,son,73
transformation,transformation,22
se,se,51
bornait,borner,18
elle,il,51
au,à,81
au,le,71
changement,changement,21
extérieur,extérieur,30
de,de,81
la,le,71
taille,taille,22
et,et,82
des,de,81
des,le,71
traits,trait,21
",",",",p
ou,ou,82
habitait,habiter,18
il,il,51
en,en,81
réalité,réalité,22
le,le,71
corps,corps,21
d',de,81
un,un,71
autre,autre,52
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
qu',que,52
avait,avoir,18
on,on,51
fait,faire,12
du,de,81
du,le,71
sien,sien,52
/?,/?,P
un,un,71
puits,puits,21
de,de,81
chaux,chaux,22
l',le,52
avait,avoir,18
il,il,51
consumé,consumer,12
ou,ou,82
était,être,18
il,il,51
devenu,devenir,12
la,le,71
propriété,propriété,22
d',de,81
un,un,71
hardi,hardi,30
voleur,voleur,21
/?,/?,P
le,le,71
double,double,30
aperçu,aperçu,21
à,à,81
l',le,71
hôtel,hôtel,21
Labinski,Labinski,20
pouvait,pouvoir,18
être,être,14
un,un,71
spectre,spectre,21
",",",",p
une,un,71
vision,vision,22
",",",",p
mais,mais,82
aussi,aussi,60
un,un,71
être,être,21
physique,physique,30
",",",",p
vivant,vivant,30
",",",",p
installé,installé,31
dans,dans,81
cette,ce,74
peau,peau,22
que,que,83
lui,lui,51
aurait,avoir,16
dérobée,dérober,12
",",",",p
avec,avec,81
une,un,71
habileté,habileté,22
infernale,infernal,30
",",",",p
ce,ce,74
médecin,médecin,21
à,à,81
figure,figure,22
de,de,81
fakir,fakir,21
/.,/.,P
une,un,71
idée,idée,22
affreuse,affreux,30
lui,lui,51
mordit,mordre,19
le,le,71
coeur,coeur,21
de,de,81
ses,son,73
crochets,crochet,21
de,de,81
vipère,vipère,22
:,:,p
“,“,p
mais,mais,82
ce,ce,74
comte,comte,21
Labinski,Labinski,20
fictif,fictif,30
",",",",p
pétri,pétri,31
dans,dans,81
ma,mon,73
forme,forme,22
par,par,81
les,le,71
mains,main,22
du,de,81
du,le,71
démon,démon,21
",",",",p
ce,ce,74
vampire,vampire,21
qui,qui,52
habite,habiter,17
maintenant,maintenant,60
mon,mon,73
hôtel,hôtel,21
",",",",p
à,à,81
qui,qui,52
mes,mon,73
valets,valet,21
obéissent,obéir,17
contre,contre,81
moi,moi,51
",",",",p
peut-être,peut-être,60
à,à,81
cette,ce,74
heure,heure,22
met,mettre,17
il,il,51
son,son,73
pied,pied,21
fourchu,fourchu,30
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
cette,ce,74
chambre,chambre,22
où,où,60
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
pénétré,pénétrer,12
que,que,83
le,le,71
coeur,coeur,21
ému,ému,31
comme,comme,83
le,le,71
premier,premier,72
soir,soir,21
",",",",p
et,et,82
Prascovie,Prascovie,20
lui,lui,51
sourit,sourire,17
elle,il,51
doucement,doucement,60
et,et,82
penche,pencher,17
t,t,94
elle,il,51
avec,avec,81
une,un,71
rougeur,rougeur,22
divine,divin,30
sa,son,73
tête,tête,22
charmante,charmant,30
sur,sur,81
cette,ce,74
épaule,épaule,22
parafée,parafé,31
de,de,81
la,le,71
griffe,griffe,22
du,de,81
du,le,71
diable,diable,21
",",",",p
prenant,prendre,13
pour,pour,81
moi,moi,51
cette,ce,74
larve,larve,22
menteuse,menteur,30
",",",",p
ce,ce,74
brucolaque,brucolaque,21
",",",",p
cette,ce,74
empouse,empouse,22
",",",",p
ce,ce,74
hideux,hideux,30
fils,fils,21
de,de,81
la,le,71
nuit,nuit,22
et,et,82
de,de,81
l',le,71
enfer,enfer,21
/.,/.,P
si,si,83
je,je,51
courais,courir,18
à,à,81
l',le,71
hôtel,hôtel,21
",",",",p
si,si,83
j',je,51
y,y,52
mettais,mettre,18
le,le,71
feu,feu,21
pour,pour,81
crier,crier,14
",",",",p
dans,dans,81
les,le,71
flammes,flamme,22
",",",",p
à,à,81
Prascovie,Prascovie,20
:,:,p
on,on,51
te,tu,51
trompe,tromper,17
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
Olaf,Olaf,20
ton,ton,73
bien-aimé,bien-aimé,30
que,que,83
tu,tu,51
tiens,tenir,17
sur,sur,81
ton,ton,73
coeur,coeur,21
/!,/!,P
tu,tu,51
vas,aller,17
commettre,commettre,14
innocemment,innocemment,60
un,un,71
crime,crime,21
abominable,abominable,30
et,et,82
dont,dont,52
mon,mon,73
âme,âme,22
désespérée,désespéré,31
se,se,51
souviendra,souvenir,15
encore,encore,60
quand,quand,83
les,le,71
éternités,éternité,22
se,se,51
seront,être,15
fatigué,fatiguer,12
les,le,71
mains,main,22
à,à,81
retourner,retourner,14
leurs,leur,73
sabliers,sablier,21
/!,/!,P
des,de,81
des,le,71
vagues,vague,30
enflammées,enflammé,31
affluaient,affluer,18
au,à,81
au,le,71
cerveau,cerveau,21
du,de,81
du,le,71
comte,comte,21
",",",",p
il,il,51
poussait,pousser,18
des,de,81
des,le,71
cris,cri,21
de,de,81
rage,rage,22
inarticulés,inarticulé,30
",",",",p
se,se,51
mordait,mordre,18
les,le,71
poings,poing,21
",",",",p
tournait,tourner,18
dans,dans,81
la,le,71
chambre,chambre,22
comme,comme,83
une,un,71
bête,bête,22
fauve,fauve,30
/.,/.,P
la,le,71
folie,folie,22
allait,aller,18
submerger,submerger,14
l',le,71
obscure,obscur,30
conscience,conscience,22
qu',que,52
il,il,51
lui,lui,51
restait,rester,18
de,de,81
lui-même,lui-même,51
;,;,p
il,il,51
courut,courir,19
à,à,81
la,le,71
toilette,toilette,22
d',de,81
Octave,Octave,20
",",",",p
remplit,remplir,19
une,un,71
cuvette,cuvette,22
d',de,81
eau,eau,22
et,et,82
y,y,52
plongea,plonger,19
sa,son,73
tête,tête,22
",",",",p
qui,qui,52
sortit,sortir,19
fumante,fumant,30
de,de,81
ce,ce,74
bain,bain,21
glacé,glacé,31
/.,/.,P
le,le,71
sang-froid,sang-froid,21
lui,lui,51
revint,revenir,19
/.,/.,P
il,il,51
se,se,51
dit,dire,19
que,que,83
le,le,71
temps,temps,21
du,de,81
du,le,71
magisme,magisme,21
et,et,82
de,de,81
la,le,71
sorcellerie,sorcellerie,22
était,être,18
passé,passer,12
;,;,p
que,que,52
la,le,71
mort,mort,22
seule,seul,30
déliait,délier,18
l',le,71
âme,âme,22
du,de,81
du,le,71
corps,corps,21
;,;,p
qu',que,83
on,on,51
n',ne,60
escamotait,escamoter,18
pas,pas,60
de,de,81
la,le,71
sorte,sorte,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
Paris,Paris,20
",",",",p
un,un,71
comte,comte,21
polonais,polonais,30
accrédité,accrédité,31
de,de,81
plusieurs,plusieurs,75
millions,million,21
chez,chez,81
Rothschild,Rothschild,20
",",",",p
allié,allié,31
aux,à,81
aux,le,71
plus,plus,60
grandes,grand,30
familles,famille,22
",",",",p
mari,mari,21
aimé,aimé,31
d',de,81
une,un,71
femme,femme,22
à,à,81
la,le,71
mode,mode,22
",",",",p
décoré,décoré,31
de,de,81
l',le,71
ordre,ordre,21
de,de,81
Saint-André,Saint-André,20
de,de,81
première,premier,72
classe,classe,22
",",",",p
et,et,82
que,que,52
tout,tout,75
cela,cela,52
n',ne,60
était,être,18
sans,sans,81
doute,doute,21
qu',que,83
une,un,71
plaisanterie,plaisanterie,22
d',de,81
assez,assez,60
mauvais,mauvais,30
goût,goût,21
de,de,81
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
",",",",p
qui,qui,52
s',se,51
expliquerait,expliquer,16
le,le,71
plus,plus,60
naturellement,naturellement,60
du,de,81
du,le,71
monde,monde,21
",",",",p
comme,comme,83
les,le,71
épouvantails,épouvantail,21
des,de,81
des,le,71
romans,roman,21
d',de,81
Anne,Anne,20
Radcliffe,Radcliffe,20
/.,/.,P
comme,comme,83
il,il,51
était,être,18
brisé,briser,12
de,de,81
fatigue,fatigue,22
",",",",p
il,il,51
se,se,51
jeta,jeter,19
sur,sur,81
le,le,71
lit,lit,21
d',de,81
Octave,Octave,20
et,et,82
s',se,51
endormit,endormir,19
d',de,81
un,un,71
sommeil,sommeil,21
lourd,lourd,30
",",",",p
opaque,opaque,30
",",",",p
semblable,semblable,30
à,à,81
la,le,71
mort,mort,22
",",",",p
qui,qui,52
durait,durer,18
encore,encore,60
lorsque,lorsque,83
Jean,Jean,20
",",",",p
croyant,croyant,21
son,son,73
maître,maître,21
éveillé,éveillé,31
",",",",p
vint,venir,19
poser,poser,14
sur,sur,81
la,le,71
table,table,22
les,le,71
lettres,lettre,22
et,et,82
les,le,71
journaux,journal,21
/.,/.,P
VIII,VIII,20
le,le,71
comte,comte,21
ouvrit,ouvrir,19
les,le,71
yeux,oeil,21
",",",",p
et,et,82
promena,promener,19
autour,autour,60
de,de,81
lui,lui,51
un,un,71
regard,regard,21
investigateur,investigateur,21
;,;,p
il,il,51
vit,voir,19
une,un,71
chambre,chambre,22
à,à,81
coucher,coucher,14
confortable,confortable,30
",",",",p
mais,mais,82
simple,simple,30
;,;,p
un,un,71
tapis,tapis,21
ocellé,ocellé,30
",",",",p
imitant,imiter,13
la,le,71
peau,peau,22
de,de,81
léopard,léopard,21
",",",",p
couvrait,couvrir,18
le,le,71
plancher,plancher,21
;,;,p
des,de,81
des,le,71
rideaux,rideau,21
de,de,81
tapisserie,tapisserie,22
",",",",p
que,que,52
Jean,Jean,20
venait,venir,18
d',de,81
entrouvrir,entrouvrir,14
",",",",p
pendaient,pendre,18
aux,à,81
aux,le,71
fenêtres,fenêtre,22
et,et,82
masquaient,masquer,18
les,le,71
portes,porte,22
;,;,p
les,le,71
murs,mur,21
étaient,être,18
tendus,tendre,12
d',de,81
un,un,71
papier,papier,21
velouté,velouté,30
vert,vert,30
uni,uni,31
",",",",p
simulant,simuler,13
le,le,71
drap,drap,21
/.,/.,P
une,un,71
pendule,pendule,22
formée,formé,31
d',de,81
un,un,71
bloc,bloc,21
de,de,81
marbre,marbre,21
noir,noir,30
",",",",p
au,à,81
au,le,71
cadran,cadran,21
de,de,81
platine,platine,21
",",",",p
surmontée,surmonté,31
de,de,81
la,le,71
statuette,statuette,22
en,en,81
argent,argent,21
oxydé,oxydé,31
de,de,81
la,le,71
Diande,Diande,20
de,de,81
Gabies,Gabies,20
",",",",p
réduite,réduit,31
par,par,81
Barbedienne,Barbedienne,20
et,et,82
accompagnée,accompagné,31
de,de,81
deux,deux,72
couples,couple,21
antiques,antique,30
",",",",p
aussi,aussi,60
en,en,81
argent,argent,21
",",",",p
décorait,décorer,18
la,le,71
cheminée,cheminée,22
en,en,81
marbre,marbre,21
blanc,blanc,30
à,à,81
veines,veine,22
bleuâtres,bleuâtre,30
;,;,p
le,le,71
miroir,miroir,21
de,de,81
Venise,Venise,20
où,où,60
le,le,71
comte,comte,21
avait,avoir,18
découvert,découvrir,12
la,le,71
veille,veille,22
qu',que,83
il,il,51
ne,ne,60
possédait,posséder,18
plus,plus,60
sa,son,73
figure,figure,22
habituelle,habituel,30
",",",",p
et,et,82
un,un,71
portrait,portrait,21
de,de,81
femme,femme,22
âgée,âgé,30
",",",",p
peint,peint,31
par,par,81
Flandrin,Flandrin,20
",",",",p
sans,sans,81
doute,doute,21
celui,celui,52
de,de,81
la,le,71
mère,mère,22
d',de,81
Octave,Octave,20
",",",",p
étaient,être,18
les,le,71
seuls,seul,30
ornements,ornement,21
de,de,81
cette,ce,74
pièce,pièce,22
un,un,71
peu,peu,60
triste,triste,30
et,et,82
sévère,sévère,30
;,;,p
un,un,71
divan,divan,21
",",",",p
un,un,71
fauteuil,fauteuil,21
à,à,81
la,le,71
Voltaire,Voltaire,20
placé,placé,31
près,près,81
de,de,81
la,le,71
cheminée,cheminée,22
",",",",p
une,un,71
table,table,22
à,à,81
tiroirs,tiroir,21
",",",",p
couverte,couvert,31
de,de,81
papiers,papier,21
et,et,82
de,de,81
livres,livre,21
",",",",p
composaient,composer,18
un,un,71
ameublement,ameublement,21
commode,commode,30
",",",",p
mais,mais,82
qui,qui,52
ne,ne,60
rappelait,rappeler,18
en,en,81
rien,rien,52
les,le,71
somptuosités,somptuosité,22
de,de,81
l',le,71
hôtel,hôtel,21
Labinski,Labinski,20
/.,/.,P
“,“,p
monsieur,monsieur,21
se,se,51
lève,lever,17
t,t,94
il,il,51
?,?,p
dit,dire,19
Jean,Jean,20
de,de,81
cette,ce,74
voix,voix,22
ménagée,ménagé,31
qu',que,83
il,il,51
s',se,51
était,être,18
faite,faire,12
pendant,pendant,81
la,le,71
maladie,maladie,22
d',de,81
Octave,Octave,20
",",",",p
et,et,82
en,en,81
présentant,présenter,13
au,à,81
au,le,71
comte,comte,21
la,le,52
chemise,chemiser,17
de,de,81
couleur,couleur,22
",",",",p
le,le,71
pantalon,pantalon,21
de,de,81
flanelle,flanelle,22
à,à,81
pied,pied,21
et,et,82
la,le,71
gandoura,gandoura,22
d',de,81
Alger,Alger,20
",",",",p
vêtements,vêtement,21
du,de,81
du,le,71
matin,matin,21
de,de,81
son,son,73
maître,maître,21
/.,/.,P
quoique,quoique,83
il,il,51
répugnât,répugner,18
au,à,81
au,le,71
comte,comte,21
de,de,81
mettre,mettre,14
les,le,71
habits,habit,21
d',de,81
un,un,71
étranger,étranger,21
",",",",p
à,à,81
moins,moins,60
de,de,81
rester,rester,14
nu,nu,21
il,il,51
lui,lui,51
fallait,falloir,18
accepter,accepter,14
ceux,celui,52
que,que,52
lui,lui,51
présentait,présenter,18
Jean,Jean,20
",",",",p
et,et,82
il,il,51
posa,poser,19
ses,son,73
pieds,pied,21
sur,sur,81
la,le,71
peau,peau,22
d',de,81
ours,ours,21
soyeuse,soyeux,30
et,et,82
noire,noir,30
qui,qui,52
servait,servir,18
de,de,81
descente,descente,22
de,de,81
lit,lit,21
/.,/.,P
sa,son,73
toilette,toilette,22
fut,être,19
bientôt,bientôt,60
achevée,achever,12
",",",",p
et,et,82
Jean,Jean,20
",",",",p
sans,sans,81
paraître,paraître,14
concevoir,concevoir,14
le,le,71
moindre,moindre,30
doute,doute,21
sur,sur,81
l',le,71
identité,identité,22
du,de,81
du,le,71
faux,faux,30
Octave,Octave,20
de,de,81
Saville,Saville,20
qu',que,52
il,il,51
aidait,aider,18
à,à,81
s',se,51
habiller,habiller,14
",",",",p
lui,lui,51
dit,dire,19
:,:,p
“,“,p
à,à,81
quelle,quel,75
heure,heure,22
monsieur,monsieur,21
désire,désirer,17
t,t,94
il,il,51
déjeuner,déjeuner,14
/?,/?,P
à,à,81
l',le,71
heure,heure,22
ordinaire,ordinaire,30
“,“,p
",",",",p
répondit,répondre,19
le,le,71
comte,comte,21
",",",",p
qui,qui,52
",",",",p
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
éprouver,éprouver,14
d',de,81
empêchement,empêchement,21
dans,dans,81
les,le,71
démarches,démarche,22
qu',que,83
il,il,51
comptait,compter,18
faire,faire,14
pour,pour,81
recouvrer,recouvrer,14
sa,son,73
personnalité,personnalité,22
",",",",p
avait,avoir,18
résolu,résoudre,12
d',de,81
accepter,accepter,14
extérieurement,extérieurement,60
son,son,73
incompréhensible,incompréhensible,30
transformation,transformation,22
/.,/.,P
Jean,Jean,20
se,se,51
retira,retirer,19
",",",",p
et,et,82
Olaf,Olaf,20
de,de,81
Saville,Saville,20
ouvrit,ouvrir,19
les,le,71
deux,deux,72
lettres,lettre,22
qui,qui,52
avaient,avoir,18
été,être,12
apportées,apporter,12
avec,avec,81
les,le,71
journaux,journal,21
",",",",p
espérant,espérer,13
y,y,52
trouver,trouver,14
quelques,quelque,75
renseignements,renseignement,21
;,;,p
la,le,71
première,premier,72
contenait,contenir,18
des,de,81
des,le,71
reproches,reproche,21
amicaux,amical,30
",",",",p
et,et,82
se,se,51
plaignait,plaindre,18
de,de,81
bonnes,bon,30
relations,relation,22
de,de,81
camaraderie,camaraderie,22
interrompues,interrompu,31
sans,sans,81
motif,motif,21
;,;,p
un,un,71
nom,nom,21
inconnu,inconnu,30
pour,pour,81
lui,lui,51
la,le,52
signait,signer,18
/.,/.,P
la,le,71
seconde,seconde,22
était,être,18
du,de,81
du,le,71
notaire,notaire,21
d',de,81
Octave,Octave,20
",",",",p
et,et,82
le,le,52
pressait,presser,18
de,de,81
venir,venir,14
toucher,toucher,14
un,un,71
quartier,quartier,21
de,de,81
rente,rente,22
échu,échu,31
depuis,depuis,81
longtemps,longtemps,60
",",",",p
ou,ou,82
du,de,81
du,le,71
moins,moins,60
d',de,81
assigner,assigner,14
un,un,71
emploi,emploi,21
à,à,81
ses,son,73
capitaux,capital,21
qui,qui,52
restaient,rester,18
improductifs,improductif,30
/.,/.,P
“,“,p
ah,ah,93
çà,çà,60
",",",",p
il,il,51
paraît,paraître,17
",",",",p
se,se,51
dit,dire,19
le,le,71
comte,comte,21
",",",",p
que,que,83
l',le,71
Octave,Octave,20
de,de,81
Saville,Saville,20
dont,dont,52
j',je,51
occupe,occuper,17
la,le,71
peau,peau,22
bien,bien,60
contre,contre,81
mon,mon,73
gré,gré,21
existe,exister,17
réellement,réellement,60
;,;,p
ce,ce,52
n',ne,60
est,être,17
point,point,60
un,un,71
être,être,21
fantastique,fantastique,30
",",",",p
un,un,71
personnage,personnage,21
d',de,81
Achim,Achim,20
d',de,81
Arnim,Arnim,20
ou,ou,82
de,de,81
Clément,Clément,20
Brentano,Brentano,20
;,;,p
il,il,51
a,avoir,17
un,un,71
appartement,appartement,21
",",",",p
des,de,81
des,le,71
amis,ami,21
",",",",p
un,un,71
notaire,notaire,21
",",",",p
des,de,81
des,le,71
rentes,rente,22
à,à,81
émarger,émarger,14
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
constitue,constituer,17
l',le,71
état,état,21
civil,civil,30
d',de,81
un,un,71
gentleman,gentleman,21
/.,/.,P
il,il,51
