11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
arrivait,arriver,18
au,à,81
au,le,71
moins,moins,60
le,le,71
lundi,lundi,21
",",",",p
le,le,71
mardi,mardi,21
et,et,82
le,le,71
mercredi,mercredi,21
de,de,81
la,le,71
semaine,semaine,22
/.,/.,P
elle,il,51
partageait,partager,18
ses,son,73
nuits,nuit,22
/.,/.,P
même,même,60
",",",",p
elle,il,51
avait,avoir,18
fini,finir,12
",",",",p
lorsque,lorsque,83
le,le,71
zingueur,zingueur,21
simplement,simplement,60
ronflait,ronfler,18
trop,trop,60
fort,fort,60
",",",",p
par,par,81
le,le,52
lâcher,lâcher,14
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
du,de,81
du,le,71
sommeil,sommeil,21
",",",",p
et,et,82
allait,aller,18
continuer,continuer,14
son,son,73
dodo,dodo,21
tranquille,tranquille,30
sur,sur,81
l',le,71
oreiller,oreiller,21
du,de,81
du,le,71
voisin,voisin,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
qu',que,83
elle,il,51
éprouvât,éprouver,18
plus,plus,60
d',de,81
amitié,amitié,22
pour,pour,81
le,le,71
chapelier,chapelier,21
/.,/.,P
non,non,60
",",",",p
elle,il,51
le,le,52
trouvait,trouver,18
seulement,seulement,60
plus,plus,60
propre,propre,30
",",",",p
elle,il,51
se,se,51
reposait,reposer,18
mieux,mieux,60
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
où,où,60
elle,il,51
croyait,croire,18
prendre,prendre,14
un,un,71
bain,bain,21
/.,/.,P
enfin,enfin,60
",",",",p
elle,il,51
ressemblait,ressembler,18
aux,à,81
aux,le,71
chattes,chatte,22
qui,qui,52
aiment,aimer,17
à,à,81
se,se,51
coucher,coucher,14
en,en,81
rond,rond,21
sur,sur,81
le,le,71
linge,linge,21
blanc,blanc,30
/.,/.,P
maman,maman,22
Coupeau,Coupeau,20
n',ne,60
osa,oser,19
jamais,jamais,60
parler,parler,14
de,de,81
ça,ça,52
nettement,nettement,60
/.,/.,P
mais,mais,82
",",",",p
après,après,81
une,un,71
dispute,dispute,22
",",",",p
quand,quand,83
la,le,71
blanchisseuse,blanchisseuse,22
l',le,52
avait,avoir,18
secouée,secouer,12
",",",",p
la,le,71
vieille,vieille,22
ne,ne,60
ménageait,ménager,18
pas,pas,60
les,le,71
allusions,allusion,22
/.,/.,P
elle,il,51
disait,dire,18
connaître,connaître,14
des,de,81
des,le,71
hommes,homme,21
joliment,joliment,60
bêtes,bête,30
et,et,82
des,de,81
des,le,71
femmes,femme,22
joliment,joliment,60
coquines,coquin,30
;,;,p
et,et,82
elle,il,51
mâchait,mâcher,18
d',de,81
autres,autre,75
mots,mot,21
plus,plus,60
vifs,vif,30
",",",",p
avec,avec,81
la,le,71
verdeur,verdeur,22
de,de,81
parole,parole,22
d',de,81
une,un,71
ancienne,ancien,30
giletière,giletière,22
/.,/.,P
les,le,71
premières,premier,72
fois,fois,22
",",",",p
Gervaise,Gervaise,20
l',le,52
avait,avoir,18
regardée,regarder,12
fixement,fixement,60
",",",",p
sans,sans,81
répondre,répondre,14
/.,/.,P
puis,puis,60
",",",",p
tout,tout,60
en,en,81
évitant,éviter,13
elle,il,51
aussi,aussi,60
de,de,81
préciser,préciser,14
",",",",p
elle,il,51
se,se,51
défendit,défendre,19
",",",",p
par,par,81
des,de,81
des,le,71
raisons,raison,22
dites,dit,31
en,en,81
général,général,21
/.,/.,P
quand,quand,83
une,un,71
femme,femme,22
avait,avoir,18
pour,pour,81
homme,homme,21
un,un,71
soûlard,soûlard,30
",",",",p
un,un,71
saligaud,saligaud,21
qui,qui,52
vivait,vivre,18
dans,dans,81
la,le,71
pourriture,pourriture,22
",",",",p
cette,ce,74
femme,femme,22
était,être,18
bien,bien,60
excusable,excusable,30
de,de,81
chercher,chercher,14
de,de,81
la,le,71
propreté,propreté,22
ailleurs,ailleurs,60
/.,/.,P
elle,il,51
allait,aller,18
plus,plus,60
loin,loin,60
",",",",p
elle,il,51
laissait,laisser,18
entendre,entendre,14
que,que,83
Lantier,Lantier,20
était,être,18
son,son,73
mari,mari,21
autant,autant,60
que,que,83
Coupeau,Coupeau,20
",",",",p
peut-être,peut-être,60
même,même,60
davantage,davantage,60
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
elle,il,51
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
connu,connaître,12
à,à,81
quatorze,quatorze,72
ans,an,21
?,?,p
est,être,17
ce,ce,52
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
deux,deux,72
enfants,enfant,21
de,de,81
lui,lui,51
/?,/?,P
eh,eh,93
bien,bien,60
!,!,p
dans,dans,81
ces,ce,74
conditions,condition,22
",",",",p
tout,tout,52
se,se,51
pardonnait,pardonner,18
",",",",p
personne,personne,52
ne,ne,60
pouvait,pouvoir,18
lui,lui,51
jeter,jeter,14
la,le,71
pierre,pierre,22
/.,/.,P
elle,il,51
se,se,51
disait,dire,18
dans,dans,81
la,le,71
loi,loi,22
de,de,81
la,le,71
nature,nature,22
/.,/.,P
puis,puis,60
",",",",p
il,il,51
ne,ne,60
fallait,falloir,18
pas,pas,60
qu',que,83
on,on,51
l',le,52
ennuyât,ennuyer,18
/.,/.,P
elle,il,51
aurait,avoir,16
vite,vite,60
fait,faire,12
d',de,81
envoyer,envoyer,14
à,à,81
chacun,chacun,52
son,son,73
paquet,paquet,21
/.,/.,P
la,le,71
rue,rue,22
de,de,81
la,le,71
Goutte-d'Or,Goutte d'Or,20
n',ne,60
était,être,18
pas,pas,60
si,si,60
propre,propre,30
/!,/!,P
la,le,71
petite,petit,30
madame,madame,22
Vigouroux,Vigouroux,20
faisait,faire,18
la,le,71
cabriole,cabriole,22
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
dans,dans,81
son,son,73
charbon,charbon,21
/.,/.,P
madame,madame,22
Lehongre,Lehongre,20
",",",",p
la,le,71
femme,femme,22
de,de,81
l',le,71
épicier,épicier,21
",",",",p
couchait,coucher,18
avec,avec,81
son,son,73
beau-frère,beau-frère,21
",",",",p
un,un,71
grand,grand,60
baveux,baveux,30
qu',que,52
on,on,51
n',ne,60
aurait,avoir,16
pas,pas,60
ramassé,ramasser,12
sur,sur,81
une,un,71
pelle,pelle,22
/.,/.,P
l',le,71
horloger,horloger,21
d',de,81
en,en,81
face,face,22
",",",",p
ce,ce,74
monsieur,monsieur,21
pincé,pincé,31
",",",",p
avait,avoir,18
failli,faillir,12
passer,passer,14
aux,à,81
aux,le,71
assises,assise,22
",",",",p
pour,pour,81
une,un,71
abomination,abomination,22
;,;,p
il,il,51
allait,aller,18
avec,avec,81
sa,son,73
propre,propre,30
fille,fille,22
",",",",p
une,un,71
effrontée,effronté,30
qui,qui,52
roulait,rouler,18
les,le,71
boulevards,boulevard,21
/.,/.,P
et,et,82
",",",",p
le,le,71
geste,geste,21
élargi,élargi,31
",",",",p
elle,il,51
indiquait,indiquer,18
le,le,71
quartier,quartier,21
entier,entier,30
",",",",p
elle,il,51
en,en,52
avait,avoir,18
pour,pour,81
une,un,71
heure,heure,22
rien,rien,52
qu',que,83
à,à,81
étaler,étaler,14
le,le,71
linge,linge,21
sale,sale,30
de,de,81
tout,tout,75
ce,ce,74
peuple,peuple,21
",",",",p
les,le,71
gens,gens,21
couchés,couché,31
comme,comme,83
des,de,81
des,le,71
bêtes,bête,22
",",",",p
en,en,81
tas,tas,21
",",",",p
pères,père,21
",",",",p
mères,mère,22
",",",",p
enfants,enfant,21
",",",",p
se,se,51
roulant,rouler,13
dans,dans,81
leur,leur,73
ordure,ordure,22
/.,/.,P
ah,ah,93
!,!,p
elle,il,51
en,en,52
savait,savoir,18
",",",",p
la,le,71
cochonnerie,cochonnerie,22
pissait,pisser,18
de,de,81
partout,partout,60
",",",",p
ça,ça,52
empoisonnait,empoisonner,18
les,le,71
maisons,maison,22
d',de,81
alentour,alentour,21
/!,/!,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
propre,propre,30
que,que,52
l',le,71
homme,homme,21
et,et,82
la,le,71
femme,femme,22
",",",",p
dans,dans,81
ce,ce,74
coin,coin,21
de,de,81
Paris,Paris,20
",",",",p
où,où,60
l',l',94
on,on,51
est,être,17
les,le,71
uns,un,52
sur,sur,81
les,le,71
autres,autre,52
",",",",p
à,à,81
cause,cause,22
de,de,81
la,le,71
misère,misère,22
/!,/!,P
on,on,51
aurait,avoir,16
mis,mettre,12
les,le,71
deux,deux,72
sexes,sexe,21
dans,dans,81
un,un,71
mortier,mortier,21
",",",",p
qu',que,83
on,on,51
en,en,52
aurait,avoir,16
tiré,tirer,12
pour,pour,81
toute,tout,75
marchandise,marchandise,22
de,de,81
quoi,quoi,52
fumer,fumer,14
les,le,71
cerisiers,cerisier,21
de,de,81
la,le,71
plaine,plaine,22
Saint-Denis,Saint-Denis,20
/.,/.,P
-,-,p
ils,ils,51
feraient,faire,16
mieux,mieux,60
de,de,81
ne,ne,60
pas,pas,60
cracher,cracher,14
en,en,81
l',le,71
air,air,21
",",",",p
ça,ça,52
leur,leur,52
retombe,retomber,17
sur,sur,81
le,le,71
nez,nez,21
",",",",p
criait,crier,18
elle,il,51
",",",",p
quand,quand,83
on,on,51
la,le,52
poussait,pousser,18
à,à,81
bout,bout,21
/.,/.,P
chacun,chacun,52
dans,dans,81
son,son,73
trou,trou,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
qu',que,52
ils,ils,51
laissent,laisser,17
vivre,vivre,14
les,le,71
braves,brave,30
gens,gens,21
à,à,81
leur,leur,73
façon,façon,22
",",",",p
s',si,83
ils,ils,51
veulent,vouloir,17
vivre,vivre,14
à,à,81
la,le,71
leur,leur,52
/…,/…,P
moi,moi,51
",",",",p
je,je,51
trouve,trouver,17
que,que,83
tout,tout,52
est,être,17
bien,bien,60
",",",",p
mais,mais,82
à,à,81
la,le,71
condition,condition,22
de,de,81
ne,ne,60
pas,pas,60
être,être,14
traînée,traîner,12
dans,dans,81
le,le,71
ruisseau,ruisseau,21
par,par,81
des,de,81
des,le,71
gens,gens,21
qui,qui,52
s',se,51
y,y,52
promènent,promener,17
",",",",p
la,le,71
tête,tête,22
la,le,71
première,premier,72
/.,/.,P
et,et,82
maman,maman,22
Coupeau,Coupeau,20
s',se,51
étant,être,13
un,un,71
jour,jour,21
montrée,montrer,12
plus,plus,60
claire,clair,30
",",",",p
elle,il,51
lui,lui,51
avait,avoir,18
dit,dire,12
",",",",p
les,le,71
dents,dent,22
serrées,serré,31
:,:,p
-,-,p
vous,vous,51
êtes,être,17
dans,dans,81
votre,votre,73
lit,lit,21
",",",",p
vous,vous,51
profitez,profiter,17
de,de,81
ça,ça,52
/…,/…,P
écoutez,écouter,17
",",",",p
vous,vous,51
avez,avoir,17
tort,tort,21
",",",",p
vous,vous,51
voyez,voir,17
bien,bien,60
que,que,83
je,je,51
suis,être,17
gentille,gentil,30
",",",",p
car,car,82
jamais,jamais,60
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
jeté,jeter,12
à,à,81
la,le,71
figure,figure,22
votre,votre,73
vie,vie,22
",",",",p
à,à,81
vous,vous,51
/!,/!,P
oh,oh,93
!,!,p
je,je,51
sais,savoir,17
",",",",p
une,un,71
jolie,joli,30
vie,vie,22
",",",",p
des,de,81
des,le,71
deux,deux,72
ou,ou,82
trois,trois,72
hommes,homme,21
",",",",p
du,de,81
du,le,71
vivant,vivant,21
du,de,81
du,le,71
père,père,21
Coupeau,Coupeau,20
/…,/…,P
non,non,60
",",",",p
ne,ne,60
toussez,tousser,17
pas,pas,60
",",",",p
j',je,51
ai,avoir,17
fini,finir,12
de,de,81
causer,causer,14
/.,/.,P
c',ce,52
est,être,17
seulement,seulement,60
pour,pour,81
vous,vous,51
demander,demander,14
de,de,81
me,je,51
ficher,ficher,14
la,le,71
paix,paix,22
",",",",p
voilà,voilà,81
tout,tout,52
/!,/!,P
la,le,71
vieille,vieux,30
femme,femme,22
avait,avoir,18
manqué,manquer,12
étouffer,étouffer,14
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
Goujet,Goujet,20
étant,être,13
venu,venir,12
réclamer,réclamer,14
le,le,71
linge,linge,21
de,de,81
sa,son,73
mère,mère,22
pendant,pendant,81
une,un,71
absence,absence,22
de,de,81
Gervaise,Gervaise,20
",",",",p
maman,maman,22
Coupeau,Coupeau,20
l',le,52
appela,appeler,19
et,et,82
le,le,52
garda,garder,19
longtemps,longtemps,60
assis,assis,31
devant,devant,81
son,son,73
lit,lit,21
/.,/.,P
elle,il,51
connaissait,connaître,18
bien,bien,60
l',le,71
amitié,amitié,22
du,de,81
du,le,71
forgeron,forgeron,21
",",",",p
elle,il,51
le,le,52
voyait,voir,18
sombre,sombre,30
et,et,82
malheureux,malheureux,30
depuis,depuis,81
quelque,quelque,75
temps,temps,21
",",",",p
avec,avec,81
le,le,71
soupçon,soupçon,21
des,de,81
des,le,71
vilaines,vilain,30
choses,chose,22
qui,qui,52
se,se,51
passaient,passer,18
/.,/.,P
et,et,82
",",",",p
pour,pour,81
bavarder,bavarder,14
",",",",p
pour,pour,81
se,se,51
venger,venger,14
de,de,81
la,le,71
dispute,dispute,22
de,de,81
la,le,71
veille,veille,22
",",",",p
elle,il,51
lui,lui,51
apprit,apprendre,19
la,le,71
vérité,vérité,22
crûment,crûment,60
",",",",p
en,en,81
pleurant,pleurer,13
",",",",p
en,en,81
se,se,51
plaignant,plaindre,13
",",",",p
comme,comme,83
si,si,83
la,le,71
mauvaise,mauvais,30
conduite,conduite,22
de,de,81
Gervaise,Gervaise,20
lui,lui,51
faisait,faire,18
surtout,surtout,60
du,de,81
du,le,71
tort,tort,21
/.,/.,P
lorsque,lorsque,83
Goujet,Goujet,20
sortit,sortir,19
du,de,81
du,le,71
cabinet,cabinet,21
",",",",p
il,il,51
s',se,51
appuyait,appuyer,18
aux,à,81
aux,le,71
murs,mur,21
",",",",p
suffoquant,suffoquer,13
de,de,81
chagrin,chagrin,21
/.,/.,P
puis,puis,60
",",",",p
au,à,81
au,le,71
retour,retour,21
de,de,81
la,le,71
blanchisseuse,blanchisseuse,22
",",",",p
maman,maman,22
Coupeau,Coupeau,20
lui,lui,51
cria,crier,19
qu',que,83
on,on,51
la,le,52
demandait,demander,18
tout,tout,60
de,de,81
suite,suite,22
chez,chez,81
madame,madame,22
Goujet,Goujet,20
",",",",p
avec,avec,81
le,le,71
linge,linge,21
repassé,repassé,31
ou,ou,82
non,non,60
;,;,p
et,et,82
elle,il,51
était,être,18
si,si,60
animée,animer,12
",",",",p
que,que,83
Gervaise,Gervaise,20
flaira,flairer,19
les,le,71
cancans,cancan,21
",",",",p
devina,deviner,19
la,le,71
triste,triste,30
scène,scène,22
et,et,82
le,le,71
crève-coeur,crève-coeur,21
dont,dont,52
elle,il,51
se,se,51
trouvait,trouver,18
menacée,menacé,31
/.,/.,P
très,très,60
pâle,pâle,30
",",",",p
les,le,71
membres,membre,21
cassés,cassé,31
à,à,81
l',le,71
avance,avance,22
",",",",p
elle,il,51
mit,mettre,19
le,le,71
linge,linge,21
dans,dans,81
un,un,71
panier,panier,21
",",",",p
elle,il,51
partit,partir,19
/.,/.,P
depuis,depuis,81
des,de,81
des,le,71
années,année,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
rendu,rendre,12
un,un,71
sou,sou,21
aux,à,81
aux,le,71
Goujet,Goujet,20
/.,/.,P
la,le,71
dette,dette,22
montait,monter,18
toujours,toujours,60
à,à,81
quatre,quatre,72
cent,cent,72
vingt,vingt,72
cinq,cinq,72
francs,franc,21
/.,/.,P
chaque,chaque,75
fois,fois,22
",",",",p
elle,il,51
prenait,prendre,18
l',le,71
argent,argent,21
du,de,81
du,le,71
blanchissage,blanchissage,21
",",",",p
en,en,81
parlant,parler,13
de,de,81
sa,son,73
gêne,gêne,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
grande,grand,30
honte,honte,22
pour,pour,81
elle,il,51
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
l',le,71
air,air,21
de,de,81
profiter,profiter,14
de,de,81
l',le,71
amitié,amitié,22
du,de,81
du,le,71
forgeron,forgeron,21
pour,pour,81
le,le,52
jobarder,jobarder,14
/.,/.,P
Coupeau,Coupeau,20
",",",",p
moins,moins,60
scrupuleux,scrupuleux,30
maintenant,maintenant,60
",",",",p
ricanait,ricaner,18
",",",",p
disait,dire,18
qu',que,83
il,il,51
avait,avoir,18
bien,bien,60
dû,devoir,12
lui,lui,51
pincer,pincer,14
la,le,71
taille,taille,22
dans,dans,81
les,le,71
coins,coin,21
",",",",p
et,et,82
qu',que,83
alors,alors,60
il,il,51
était,être,18
payé,payer,12
/.,/.,P
mais,mais,82
elle,il,51
",",",",p
malgré,malgré,81
le,le,71
commerce,commerce,21
où,où,60
elle,il,51
était,être,18
tombée,tomber,12
avec,avec,81
Lantier,Lantier,20
",",",",p
se,se,51
révoltait,révolter,18
",",",",p
demandait,demander,18
à,à,81
son,son,73
mari,mari,21
s',si,83
il,il,51
voulait,vouloir,18
déjà,déjà,60
manger,manger,14
de,de,81
ce,ce,74
pain,pain,21
là,là,60
/.,/.,P
il,il,51
ne,ne,60
fallait,falloir,18
pas,pas,60
mal,mal,60
parler,parler,14
de,de,81
Goujet,Goujet,20
devant,devant,81
elle,il,51
;,;,p
sa,son,73
tendresse,tendresse,22
pour,pour,81
le,le,71
forgeron,forgeron,21
lui,lui,51
restait,rester,18
comme,comme,83
un,un,71
coin,coin,21
de,de,81
son,son,73
honneur,honneur,21
/.,/.,P
aussi,aussi,60
",",",",p
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
elle,il,51
reportait,reporter,18
le,le,71
linge,linge,21
chez,chez,81
ces,ce,74
braves,brave,30
gens,gens,21
",",",",p
se,se,51
trouvait,trouver,18
elle,il,51
prise,pris,31
d',de,81
un,un,71
serrement,serrement,21
au,à,81
au,le,71
coeur,coeur,21
",",",",p
dès,dès,81
la,le,71
première,premier,72
marche,marche,22
de,de,81
l',le,71
escalier,escalier,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
enfin,enfin,60
!,!,p
lui,lui,51
dit,dire,19
sèchement,sèchement,60
madame,madame,22
Goujet,Goujet,20
",",",",p
en,en,81
lui,lui,51
ouvrant,ouvrir,13
la,le,71
porte,porte,22
/.,/.,P
quand,quand,83
j',je,51
aurai,avoir,15
besoin,besoin,21
de,de,81
la,le,71
mort,mort,22
",",",",p
je,je,51
vous,vous,51
l',le,52
enverrai,envoyer,15
chercher,chercher,14
/.,/.,P
Gervaise,Gervaise,20
entra,entrer,19
",",",",p
embarrassée,embarrassé,31
",",",",p
sans,sans,81
oser,oser,14
même,même,60
balbutier,balbutier,14
une,un,71
excuse,excuse,22
/.,/.,P
elle,il,51
n',ne,60
était,être,18
plus,plus,60
exacte,exact,30
",",",",p
ne,ne,60
venait,venir,18
jamais,jamais,60
à,à,81
l',le,71
heure,heure,22
",",",",p
se,se,51
faisait,faire,18
attendre,attendre,14
des,de,81
des,le,71
huit,huit,72
jours,jour,21
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
elle,il,51
s',se,51
abandonnait,abandonner,18
à,à,81
un,un,71
grand,grand,30
désordre,désordre,21
/.,/.,P
-,-,p
voilà,voilà,81
une,un,71
semaine,semaine,22
que,que,83
je,je,51
compte,compter,17
sur,sur,81
vous,vous,51
",",",",p
continua,continuer,19
la,le,71
dentellière,dentellière,22
/.,/.,P
et,et,82
vous,vous,51
mentez,mentir,17
avec,avec,81
ça,ça,52
",",",",p
vous,vous,51
m',je,51
envoyez,envoyer,17
votre,votre,73
apprentie,apprentie,22
me,je,51
raconter,raconter,14
des,de,81
des,le,71
histoires,histoire,22
:,:,p
on,on,51
est,être,17
après,après,81
mon,mon,73
linge,linge,21
",",",",p
on,on,51
va,aller,17
me,je,51
le,le,52
livrer,livrer,14
le,le,71
soir,soir,21
même,même,30
",",",",p
ou,ou,82
bien,bien,60
c',ce,52
est,être,17
un,un,71
accident,accident,21
",",",",p
le,le,71
paquet,paquet,21
qui,qui,52
est,être,17
tombé,tomber,12
dans,dans,81
un,un,71
seau,seau,21
/.,/.,P
moi,moi,51
",",",",p
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
je,je,51
perds,perdre,17
ma,mon,73
journée,journée,22
",",",",p
je,je,51
ne,ne,60
vois,voir,17
rien,rien,52
arriver,arriver,14
et,et,82
je,je,51
me,je,51
tourmente,tourmenter,17
l',le,71
esprit,esprit,21
/.,/.,P
non,non,60
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
raisonnable,raisonnable,30
/…,/…,P
voyons,voir,17
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
",",",",p
dans,dans,81
ce,ce,74
panier,panier,21
/!,/!,P
est,être,17
ce,ce,52
tout,tout,52
",",",",p
au,à,81
au,le,71
moins,moins,60
/!,/!,P
m',je,51
apportez,apporter,17
vous,vous,51
la,le,71
paire,paire,22
de,de,81
draps,drap,21
que,que,83
vous,vous,51
me,je,51
gardez,garder,17
depuis,depuis,81
un,un,71
mois,mois,21
",",",",p
et,et,82
la,le,71
chemise,chemise,22
qui,qui,52
est,être,17
restée,rester,12
en,en,81
arrière,arrière,21
",",",",p
au,à,81
au,le,71
dernier,dernier,30
blanchissage,blanchissage,21
/?,/?,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
murmura,murmurer,19
Gervaise,Gervaise,20
",",",",p
la,le,71
chemise,chemise,22
y,y,52
est,être,17
/.,/.,P
la,le,52
voici,voici,81
/.,/.,P
mais,mais,82
madame,madame,22
Goujet,Goujet,20
se,se,51
récria,récrier,19
/.,/.,P
cette,ce,74
chemise,chemise,22
n',ne,60
était,être,18
pas,pas,60
à,à,81
elle,il,51
",",",",p
elle,il,51
n',ne,60
en,en,52
voulait,vouloir,18
pas,pas,60
/.,/.,P
on,on,51
lui,lui,51
changeait,changer,18
son,son,73
linge,linge,21
",",",",p
c',ce,52
était,être,18
le,le,71
comble,comble,21
/!,/!,P
déjà,déjà,60
",",",",p
l',le,71
autre,autre,75
semaine,semaine,22
",",",",p
elle,il,51
avait,avoir,18
eu,avoir,12
deux,deux,72
mouchoirs,mouchoir,21
qui,qui,52
ne,ne,60
portaient,porter,18
pas,pas,60
sa,son,73
marque,marque,22
/.,/.,P
ça,ça,52
ne,ne,60
la,le,52
ragoûtait,ragoûter,18
guère,guère,60
",",",",p
du,de,81
du,le,71
linge,linge,21
venu,venu,31
elle,il,51
ne,ne,60
savait,savoir,18
d',de,81
où,où,60
/.,/.,P
puis,puis,60
",",",",p
enfin,enfin,60
",",",",p
elle,il,51
tenait,tenir,18
à,à,81
ses,son,73
affaires,affaire,22
/.,/.,P
-,-,p
et,et,82
les,le,71
draps,drap,21
?,?,p
reprit,reprendre,19
elle,il,51
/.,/.,P
ils,ils,51
sont,être,17
perdus,perdre,12
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
eh,eh,93
bien,bien,60
!,!,p
ma,mon,73
petite,petite,22
",",",",p
il,il,51
faudra,falloir,15
vous,vous,51
arranger,arranger,14
",",",",p
mais,mais,82
je,je,51
les,le,52
veux,vouloir,17
quand,quand,83
même,même,60
demain,demain,60
matin,matin,21
",",",",p
entendez,entendre,17
vous,vous,51
/!,/!,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
silence,silence,21
/.,/.,P
ce,ce,52
qui,qui,52
achevait,achever,18
de,de,81
troubler,troubler,14
Gervaise,Gervaise,20
",",",",p
c',ce,52
était,être,18
de,de,81
sentir,sentir,14
",",",",p
derrière,derrière,81
elle,il,51
",",",",p
la,le,71
porte,porte,22
de,de,81
la,le,71
chambre,chambre,22
de,de,81
Goujet,Goujet,20
entr'ouverte,entr'ouvert,31
/.,/.,P
le,le,71
forgeron,forgeron,21
devait,devoir,18
être,être,14
là,là,60
",",",",p
elle,il,51
le,le,52
devinait,deviner,18
;,;,p
et,et,82
quel,quel,75
ennui,ennui,21
",",",",p
s',si,83
il,il,51
écoutait,écouter,18
tous,tout,75
ces,ce,74
reproches,reproche,21
mérités,mérité,31
",",",",p
auxquels,à,81
auxquels,lequel,52
elle,il,51
ne,ne,60
pouvait,pouvoir,18
rien,rien,52
répondre,répondre,14
/!,/!,P
elle,il,51
se,se,51
faisait,faire,18
très,très,60
souple,souple,30
",",",",p
très,très,60
douce,doux,30
",",",",p
courbant,courber,13
la,le,71
tête,tête,22
",",",",p
posant,poser,13
le,le,71
linge,linge,21
sur,sur,81
le,le,71
lit,lit,21
le,le,71
plus,plus,60
vivement,vivement,60
possible,possible,30
/.,/.,P
mais,mais,82
ça,ça,52
se,se,51
gâta,gâter,19
encore,encore,60
",",",",p
quand,quand,83
madame,madame,22
Goujet,Goujet,20
se,se,51
mit,mettre,19
à,à,81
examiner,examiner,14
les,le,71
pièces,pièce,22
une,un,52
à,à,81
une,un,52
/.,/.,P
elle,il,51
les,le,52
prenait,prendre,18
",",",",p
les,le,52
rejetait,rejeter,18
",",",",p
en,en,81
disant,dire,13
:,:,p
-,-,p
ah,ah,93
!,!,p
vous,vous,51
perdez,perdre,17
joliment,joliment,60
la,le,71
main,main,22
/.,/.,P
on,on,51
ne,ne,60
peut,pouvoir,17
plus,plus,60
vous,vous,51
faire,faire,14
des,de,81
des,le,71
compliments,compliment,21
tous,tout,75
les,le,71
jours,jour,21
/…,/…,P
oui,oui,60
",",",",p
vous,vous,51
salopez,saloper,17
",",",",p
vous,vous,51
cochonnez,cochonner,17
l',le,71
ouvrage,ouvrage,21
",",",",p
à,à,81
cette,ce,74
heure,heure,22
/…,/…,P
tenez,tenir,17
",",",",p
regardez,regarder,17
moi,moi,51
ce,ce,74
devant,devant,21
de,de,81
chemise,chemise,22
",",",",p
il,il,51
est,être,17
brûlé,brûler,12
",",",",p
le,le,71
fer,fer,21
a,avoir,17
marqué,marquer,12
sur,sur,81
les,le,71
plis,pli,21
/.,/.,P
et,et,82
les,le,71
boutons,bouton,21
",",",",p
ils,ils,51
sont,être,17
arrachés,arracher,12
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
comment,comment,60
vous,vous,51
vous,vous,51
arrangez,arranger,17
",",",",p
il,il,51
ne,ne,60
reste,rester,17
jamais,jamais,60
un,un,71
bouton,bouton,21
/…,/…,P
oh,oh,93
!,!,p
par,par,81
exemple,exemple,21
",",",",p
voilà,voilà,81
une,un,71
camisole,camisole,22
que,que,52
je,je,51
ne,ne,60
vous,vous,51
paierai,payer,15
pas,pas,60
/.,/.,P
voyez,voir,17
donc,donc,82
ça,ça,52
/?,/?,P
la,le,71
crasse,crasse,22
y,y,52
est,être,17
",",",",p
vous,vous,51
l',le,52
avez,avoir,17
étalée,étaler,12
simplement,simplement,60
/.,/.,P
merci,merci,21
!,!,p
si,si,83
le,le,71
linge,linge,21
n',ne,60
est,être,17
même,même,60
plus,plus,60
propre,propre,30
/…,/…,P
elle,il,51
s',se,51
arrêta,arrêter,19
",",",",p
comptant,compter,13
les,le,71
pièces,pièce,22
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
s',se,51
écria,écrier,19
:,:,p
-,-,p
comment,comment,60
!,!,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
apportez,apporter,17
?,?,p
il,il,51
manque,manquer,17
deux,deux,72
paires,paire,22
de,de,81
bas,bas,21
",",",",p
six,six,72
