11362
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatorzième extrait>,<>,<>
demain,demain,60
",",",",p
Fulgence,Fulgence,20
",",",",p
mon,mon,73
ancien,ancien,30
batelier,batelier,21
de,de,81
Grianta,Grianta,20
",",",",p
partira,partir,15
pour,pour,81
Genève,Genève,20
où,où,60
il,il,51
les,le,52
mettra,mettre,15
en,en,81
sûreté,sûreté,22
/.,/.,P
si,si,83
jamais,jamais,60
Fabrice,Fabrice,20
s',se,51
échappe,échapper,17
(,(,p
grand,grand,30
dieu,dieu,21
!,!,p
soyez,être,17
moi,moi,51
propice,propice,30
!,!,p
et,et,82
elle,il,51
fit,faire,19
un,un,71
signe,signe,21
de,de,81
croix,croix,22
),),p
",",",",p
l',le,71
incommensurable,incommensurable,30
lâcheté,lâcheté,22
du,de,81
du,le,71
marquis,marquis,21
del,del,92
Dongo,Dongo,20
trouvera,trouver,15
qu',que,83
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
péché,péché,21
à,à,81
envoyer,envoyer,14
du,de,81
du,le,71
pain,pain,21
à,à,81
un,un,71
homme,homme,21
poursuivi,poursuivi,31
par,par,81
un,un,71
prince,prince,21
légitime,légitime,30
",",",",p
alors,alors,60
il,il,51
trouvera,trouver,15
du,de,81
du,le,71
moins,moins,60
mes,mon,73
diamants,diamant,21
",",",",p
il,il,51
aura,avoir,15
du,de,81
du,le,71
pain,pain,21
/.,/.,P
renvoyer,renvoyer,14
le,le,71
comte,comte,21
…,…,p
me,je,51
trouver,trouver,14
seule,seul,30
avec,avec,81
lui,lui,51
",",",",p
après,après,81
ce,ce,52
qui,qui,52
vient,venir,17
d',de,81
arriver,arriver,14
",",",",p
c',ce,52
est,être,17
ce,ce,52
qui,qui,52
m',je,51
est,être,17
impossible,impossible,30
/.,/.,P
le,le,71
pauvre,pauvre,30
homme,homme,21
/!,/!,P
il,il,51
n',ne,60
est,être,17
point,point,60
méchant,méchant,30
",",",",p
au,à,81
au,le,71
contraire,contraire,21
;,;,p
il,il,51
n',ne,60
est,être,17
que,que,83
faible,faible,30
/.,/.,P
cette,ce,74
âme,âme,22
vulgaire,vulgaire,30
n',ne,60
est,être,17
point,point,60
à,à,81
la,le,71
hauteur,hauteur,22
des,de,81
des,le,71
nôtres,nôtre,52
/.,/.,P
pauvre,pauvre,30
Fabrice,Fabrice,20
!,!,p
que,que,52
ne,ne,60
peux,pouvoir,17
tu,tu,51
être,être,14
ici,ici,60
un,un,71
instant,instant,21
avec,avec,81
moi,moi,51
",",",",p
pour,pour,81
tenir,tenir,14
conseil,conseil,21
sur,sur,81
nos,notre,73
périls,péril,21
/!,/!,P
la,le,71
prudence,prudence,22
méticuleuse,méticuleux,30
du,de,81
du,le,71
comte,comte,21
gênerait,gêner,16
tous,tout,75
mes,mon,73
projets,projet,21
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
il,il,51
ne,ne,60
faut,falloir,17
point,point,60
l',le,52
entraîner,entraîner,14
dans,dans,81
ma,mon,73
perte,perte,22
/…,/…,P
car,car,82
pourquoi,pourquoi,60
la,le,71
vanité,vanité,22
de,de,81
ce,ce,74
tyran,tyran,21
ne,ne,60
me,je,51
jetterait,jeter,16
elle,il,51
pas,pas,60
en,en,81
prison,prison,22
/?,/?,P
j',je,51
aurai,avoir,15
conspiré,conspirer,12
…,…,p
quoi,quoi,52
de,de,81
plus,plus,60
facile,facile,30
à,à,81
prouver,prouver,14
/?,/?,P
si,si,83
c',ce,52
était,être,18
à,à,81
sa,son,73
citadelle,citadelle,22
qu',que,83
il,il,51
m',je,51
envoyât,envoyer,18
et,et,82
que,que,83
je,je,51
pusse,pouvoir,18
à,à,81
force,force,22
d',de,81
or,or,21
parler,parler,14
à,à,81
Fabrice,Fabrice,20
",",",",p
ne,ne,60
fût,être,19
ce,ce,52
qu',que,83
un,un,71
instant,instant,21
",",",",p
avec,avec,81
quel,quel,75
courage,courage,21
nous,nous,51
marcherions,marcher,16
ensemble,ensemble,21
à,à,81
la,le,71
mort,mort,22
/!,/!,P
mais,mais,82
laissons,laisser,17
ces,ce,74
folies,folie,22
;,;,p
son,son,73
Rassi,Rassi,20
lui,lui,51
conseillerait,conseiller,16
de,de,81
finir,finir,14
avec,avec,81
moi,moi,51
par,par,81
le,le,71
poison,poison,21
;,;,p
ma,mon,73
présence,présence,22
dans,dans,81
les,le,71
rues,rue,22
",",",",p
placée,placé,31
sur,sur,81
une,un,71
charrette,charrette,22
",",",",p
pourrait,pouvoir,16
émouvoir,émouvoir,14
la,le,71
sensibilité,sensibilité,22
de,de,81
ses,son,73
chers,cher,30
Parmesans,Parmesan,20
/…,/…,P
mais,mais,82
quoi,quoi,52
!,!,p
toujours,toujours,60
le,le,71
roman,roman,21
/!,/!,P
hélas,hélas,60
!,!,p
l',l',94
on,on,51
doit,devoir,17
pardonner,pardonner,14
ces,ce,74
folies,folie,22
à,à,81
une,un,71
pauvre,pauvre,30
femme,femme,22
dont,dont,52
le,le,71
sort,sort,21
réel,réel,30
est,être,17
si,si,60
triste,triste,30
/!,/!,P
le,le,71
vrai,vrai,30
de,de,81
tout,tout,75
ceci,ceci,52
",",",",p
c',ce,52
est,être,17
que,que,83
le,le,71
prince,prince,21
ne,ne,60
m',je,51
enverra,envoyer,15
point,point,60
à,à,81
la,le,71
mort,mort,22
;,;,p
mais,mais,82
rien,rien,52
de,de,81
plus,plus,60
facile,facile,30
que,que,83
de,de,81
me,je,51
jeter,jeter,14
en,en,81
prison,prison,22
et,et,82
de,de,81
m',je,51
y,y,52
retenir,retenir,14
;,;,p
il,il,51
fera,faire,15
cacher,cacher,14
dans,dans,81
un,un,71
coin,coin,21
de,de,81
mon,mon,73
palais,palais,21
toutes,tout,52
sortes,sortir,17
de,de,81
papiers,papier,21
suspects,suspect,30
comme,comme,83
on,on,51
a,avoir,17
fait,faire,12
pour,pour,81
ce,ce,74
pauvre,pauvre,30
L.,L,20
/…,/…,P
alors,alors,60
trois,trois,72
juges,juge,21
pas,pas,60
trop,trop,60
coquins,coquin,30
",",",",p
car,car,82
il,il,51
y,y,52
aura,avoir,15
ce,ce,52
qu',que,52
ils,ils,51
appellent,appeler,17
des,de,81
des,le,71
pièces,pièce,22
probantes,probant,30
",",",",p
et,et,82
une,un,71
douzaine,douzaine,22
de,de,81
faux,faux,30
témoins,témoin,21
suffisent,suffire,17
/.,/.,P
je,je,51
puis,pouvoir,17
donc,donc,82
être,être,14
condamnée,condamner,12
à,à,81
mort,mort,22
comme,comme,83
ayant,avoir,13
conspiré,conspirer,12
;,;,p
et,et,82
le,le,71
prince,prince,21
",",",",p
dans,dans,81
sa,son,73
clémence,clémence,22
infinie,infini,30
",",",",p
considérant,considérer,13
qu',que,83
autrefois,autrefois,60
j',je,51
ai,avoir,17
eu,avoir,12
l',le,71
honneur,honneur,21
d',de,81
être,être,14
admise,admettre,12
à,à,81
sa,son,73
cour,cour,22
",",",",p
commuera,commuer,15
ma,mon,73
peine,peine,22
en,en,81
dix,dix,72
ans,an,21
de,de,81
forteresse,forteresse,22
/.,/.,P
mais,mais,82
moi,moi,51
",",",",p
pour,pour,81
ne,ne,60
point,point,60
déchoir,déchoir,14
de,de,81
ce,ce,74
caractère,caractère,21
violent,violent,30
qui,qui,52
a,avoir,17
fait,faire,12
dire,dire,14
tant,tant,60
de,de,81
sottises,sottise,22
à,à,81
la,le,71
marquise,marquise,22
Raversi,Raversi,20
et,et,82
à,à,81
mes,mon,73
autres,autre,75
ennemis,ennemi,21
",",",",p
je,je,51
m',je,51
empoisonnerai,empoisonner,15
bravement,bravement,60
/.,/.,P
du,de,81
du,le,71
moins,moins,60
le,le,71
public,public,21
aura,avoir,15
la,le,71
bonté,bonté,22
de,de,81
le,le,52
croire,croire,14
;,;,p
mais,mais,82
je,je,51
gage,gager,17
que,que,83
le,le,71
Rassi,Rassi,20
paraîtra,paraître,15
dans,dans,81
mon,mon,73
cachot,cachot,21
pour,pour,81
m',je,51
apporter,apporter,14
galamment,galamment,60
",",",",p
de,de,81
la,le,71
part,part,22
du,de,81
du,le,71
prince,prince,21
",",",",p
un,un,71
petit,petit,30
flacon,flacon,21
de,de,81
strychnine,strychnine,22
ou,ou,82
de,de,81
l',le,71
opium,opium,21
de,de,81
Pérouse,Pérouse,20
/.,/.,P
oui,oui,60
",",",",p
il,il,51
faut,falloir,17
me,je,51
brouiller,brouiller,14
très,très,60
ostensiblement,ostensiblement,60
avec,avec,81
le,le,71
comte,comte,21
",",",",p
car,car,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
l',le,52
entraîner,entraîner,14
dans,dans,81
ma,mon,73
perte,perte,22
",",",",p
ce,ce,52
serait,être,16
une,un,71
infamie,infamie,22
;,;,p
le,le,71
pauvre,pauvre,30
homme,homme,21
m',je,51
a,avoir,17
aimée,aimer,12
avec,avec,81
tant,tant,60
de,de,81
candeur,candeur,22
/!,/!,P
ma,mon,73
sottise,sottise,22
a,avoir,17
été,être,12
de,de,81
croire,croire,14
qu',que,83
il,il,51
restait,rester,18
assez,assez,60
d',de,81
âme,âme,22
dans,dans,81
un,un,71
courtisan,courtisan,21
véritable,véritable,30
pour,pour,81
être,être,14
capable,capable,30
d',de,81
amour,amour,21
/.,/.,P
très,très,60
probablement,probablement,60
le,le,71
prince,prince,21
trouvera,trouver,15
quelque,quelque,75
prétexte,prétexte,21
pour,pour,81
me,je,51
jeter,jeter,14
en,en,81
prison,prison,22
;,;,p
il,il,51
craindra,craindre,15
que,que,83
je,je,51
ne,ne,60
pervertisse,pervertir,17
l',le,71
opinion,opinion,22
publique,public,30
relativement,relativement,60
à,à,81
Fabrice,Fabrice,20
/.,/.,P
le,le,71
comte,comte,21
est,être,17
plein,plein,30
d',de,81
honneur,honneur,21
;,;,p
à,à,81
l',le,71
instant,instant,21
il,il,51
fera,faire,15
ce,ce,52
que,que,52
les,le,71
cuistres,cuistre,21
de,de,81
cette,ce,74
cour,cour,22
",",",",p
dans,dans,81
leur,leur,73
étonnement,étonnement,21
profond,profond,30
",",",",p
appelleront,appeler,15
une,un,71
folie,folie,22
",",",",p
il,il,51
quittera,quitter,15
la,le,71
cour,cour,22
/.,/.,P
j',je,51
ai,avoir,17
bravé,braver,12
l',le,71
autorité,autorité,22
du,de,81
du,le,71
prince,prince,21
le,le,71
soir,soir,21
du,de,81
du,le,71
billet,billet,21
",",",",p
je,je,51
puis,pouvoir,17
m',je,51
attendre,attendre,14
à,à,81
tout,tout,52
de,de,81
la,le,71
part,part,22
de,de,81
sa,son,73
vanité,vanité,22
blessée,blessé,31
:,:,p
un,un,71
homme,homme,21
né,né,31
prince,prince,21
oublie,oublier,17
t,t,94
il,il,51
jamais,jamais,60
la,le,71
sensation,sensation,22
que,que,52
je,je,51
lui,lui,51
ai,avoir,17
donnée,donner,12
ce,ce,74
soir,soir,21
là,là,60
/?,/?,P
d',de,81
ailleurs,ailleurs,60
le,le,71
comte,comte,21
brouillé,brouillé,31
avec,avec,81
moi,moi,51
est,être,17
en,en,81
meilleure,meilleur,30
position,position,22
pour,pour,81
être,être,14
utile,utile,30
à,à,81
Fabrice,Fabrice,20
/.,/.,P
mais,mais,82
si,si,83
le,le,71
comte,comte,21
",",",",p
que,que,52
ma,mon,73
résolution,résolution,22
va,aller,17
mettre,mettre,14
au,à,81
au,le,71
désespoir,désespoir,21
",",",",p
se,se,51
vengeait,venger,18
?,?,p
/…,/…,P
voilà,voilà,81
",",",",p
par,par,81
exemple,exemple,21
",",",",p
une,un,71
idée,idée,22
qui,qui,52
ne,ne,60
lui,lui,51
viendra,venir,15
jamais,jamais,60
;,;,p
il,il,51
n',ne,60
a,avoir,17
point,point,60
l',le,71
âme,âme,22
foncièrement,foncièrement,60
basse,bas,30
du,de,81
du,le,71
prince,prince,21
:,:,p
le,le,71
comte,comte,21
peut,pouvoir,17
",",",",p
en,en,81
gémissant,gémir,13
",",",",p
contresigner,contresigner,14
un,un,71
décret,décret,21
infâme,infâme,30
",",",",p
mais,mais,82
il,il,51
a,avoir,17
de,de,81
l',le,71
honneur,honneur,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
de,de,81
quoi,quoi,52
se,se,51
venger,venger,14
?,?,p
de,de,81
ce,ce,52
que,que,52
",",",",p
après,après,81
l',le,52
avoir,avoir,14
aimé,aimer,12
cinq,cinq,72
ans,an,21
",",",",p
sans,sans,81
faire,faire,14
la,le,71
moindre,moindre,30
offense,offense,22
à,à,81
son,son,73
amour,amour,21
",",",",p
je,je,51
lui,lui,51
dis,dire,19
:,:,p
cher,cher,30
comte,comte,21
!,!,p
j',je,51
avais,avoir,18
le,le,71
bonheur,bonheur,21
de,de,81
vous,vous,51
aimer,aimer,14
;,;,p
eh,eh,93
bien,bien,60
",",",",p
cette,ce,74
flamme,flamme,22
s',se,51
éteint,éteindre,17
;,;,p
je,je,51
ne,ne,60
vous,vous,51
aime,aimer,17
plus,plus,60
!,!,p
mais,mais,82
je,je,51
connais,connaître,17
le,le,71
fond,fond,21
de,de,81
votre,votre,73
coeur,coeur,21
",",",",p
je,je,51
garde,garder,17
pour,pour,81
vous,vous,51
une,un,71
estime,estime,22
profonde,profond,30
",",",",p
et,et,82
vous,vous,51
serez,être,15
toujours,toujours,60
le,le,71
meilleur,meilleur,30
de,de,81
mes,mon,73
amis,ami,21
/.,/.,P
que,que,52
peut,pouvoir,17
répondre,répondre,14
un,un,71
galant,galant,30
homme,homme,21
à,à,81
une,un,71
déclaration,déclaration,22
aussi,aussi,60
sincère,sincère,30
/?,/?,P
je,je,51
prendrai,prendre,15
un,un,71
nouvel,nouveau,30
amant,amant,21
",",",",p
du,de,81
du,le,71
moins,moins,60
on,on,51
le,le,52
croira,croire,15
dans,dans,81
le,le,71
monde,monde,21
/.,/.,P
je,je,51
dirai,dire,15
à,à,81
cet,ce,74
amant,amant,21
:,:,p
au,à,81
au,le,71
fond,fond,21
le,le,71
prince,prince,21
a,avoir,17
raison,raison,22
de,de,81
punir,punir,14
l',le,71
étourderie,étourderie,22
de,de,81
Fabrice,Fabrice,20
;,;,p
mais,mais,82
le,le,71
jour,jour,21
de,de,81
sa,son,73
fête,fête,22
",",",",p
sans,sans,81
doute,doute,21
notre,notre,73
gracieux,gracieux,30
souverain,souverain,21
lui,lui,51
rendra,rendre,15
la,le,71
liberté,liberté,22
/.,/.,P
ainsi,ainsi,60
je,je,51
gagne,gagner,17
six,six,72
mois,mois,21
/.,/.,P
le,le,71
nouvel,nouveau,30
amant,amant,21
désigné,désigné,31
par,par,81
la,le,71
prudence,prudence,22
serait,être,16
ce,ce,74
juge,juge,21
vendu,vendu,31
",",",",p
cet,ce,74
infâme,infâme,30
bourreau,bourreau,21
",",",",p
ce,ce,74
Rassi,Rassi,20
…,…,p
il,il,51
se,se,51
trouverait,trouver,16
anobli,anobli,31
et,et,82
dans,dans,81
le,le,71
fait,fait,21
",",",",p
je,je,51
lui,lui,51
donnerais,donner,16
l',le,71
entrée,entrée,22
de,de,81
la,le,71
bonne,bon,30
compagnie,compagnie,22
/.,/.,P
pardonne,pardonner,17
",",",",p
cher,cher,30
Fabrice,Fabrice,20
!,!,p
un,un,71
tel,tel,75
effort,effort,21
est,être,17
pour,pour,81
moi,moi,51
au-delà,au-delà,60
du,de,81
du,le,71
possible,possible,21
/.,/.,P
quoi,quoi,52
!,!,p
ce,ce,74
monstre,monstre,21
",",",",p
encore,encore,60
tout,tout,60
couvert,couvert,31
du,de,81
du,le,71
sang,sang,21
du,de,81
du,le,71
comte,comte,21
P.,P,20
et,et,82
de,de,81
D.,D,20
!,!,p
il,il,51
me,je,51
ferait,faire,16
évanouir,évanouir,14
d',de,81
horreur,horreur,22
en,en,81
s',se,51
approchant,approcher,13
de,de,81
moi,moi,51
",",",",p
ou,ou,82
plutôt,plutôt,60
je,je,51
saisirais,saisir,16
un,un,71
couteau,couteau,21
et,et,82
le,le,52
plongerais,plonger,16
dans,dans,81
son,son,73
infâme,infâme,30
coeur,coeur,21
/.,/.,P
ne,ne,60
me,je,51
demande,demander,17
pas,pas,60
des,de,81
des,le,71
choses,chose,22
impossibles,impossible,30
/!,/!,P
oui,oui,60
",",",",p
surtout,surtout,60
oublier,oublier,14
Fabrice,Fabrice,20
!,!,p
et,et,82
pas,pas,60
l',le,71
ombre,ombre,22
de,de,81
colère,colère,22
contre,contre,81
le,le,71
prince,prince,21
",",",",p
reprendre,reprendre,14
ma,mon,73
gaieté,gaieté,22
ordinaire,ordinaire,30
",",",",p
qui,qui,52
paraîtra,paraître,15
plus,plus,60
aimable,aimable,30
à,à,81
ces,ce,74
âmes,âme,22
fangeuses,fangeux,30
",",",",p
premièrement,premièrement,60
",",",",p
parce que,parce que,83
j',je,51
aurai,avoir,15
l',le,71
air,air,21
de,de,81
me,je,51
soumettre,soumettre,14
de,de,81
bonne,bon,30
grâce,grâce,22
à,à,81
leur,leur,73
souverain,souverain,21
;,;,p
en,en,81
second,second,72
lieu,lieu,21
",",",",p
parce que,parce que,83
",",",",p
bien,bien,60
loin,loin,60
de,de,81
me,je,51
moquer,moquer,14
d',de,81
eux,ils,51
",",",",p
je,je,51
serai,être,16
attentive,attentif,30
à,à,81
faire,faire,14
ressortir,ressortir,14
leurs,leur,73
jolis,joli,30
petits,petit,30
mérites,mérite,21
;,;,p
par,par,81
exemple,exemple,21
",",",",p
je,je,51
ferai,faire,15
compliment,compliment,21
au,à,81
au,le,71
comte,comte,21
Zurla,Zurla,20
sur,sur,81
la,le,71
beauté,beauté,22
de,de,81
la,le,71
plume,plume,22
blanche,blanc,30
de,de,81
son,son,73
chapeau,chapeau,21
qu',que,52
il,il,51
vient,venir,17
de,de,81
faire,faire,14
venir,venir,14
de,de,81
Lyon,Lyon,20
par,par,81
un,un,71
courrier,courrier,21
",",",",p
et,et,82
qui,qui,52
fait,faire,17
son,son,73
bonheur,bonheur,21
/.,/.,P
choisir,choisir,14
un,un,71
amant,amant,21
dans,dans,81
le,le,71
parti,parti,21
de,de,81
la,le,71
Raversi,Raversi,20
/…,/…,P
si,si,83
le,le,71
comte,comte,21
s',se,51
en,en,52
va,aller,17
",",",",p
ce,ce,52
sera,être,15
le,le,71
parti,parti,21
ministériel,ministériel,30
;,;,p
là,là,60
sera,être,15
le,le,71
pouvoir,pouvoir,21
/.,/.,P
ce,ce,52
sera,être,15
un,un,71
ami,ami,21
de,de,81
la,le,71
Raversi,Raversi,20
qui,qui,52
régnera,régner,15
sur,sur,81
la,le,71
citadelle,citadelle,22
",",",",p
car,car,82
le,le,71
Fabio,Fabio,20
Conti,Conti,20
arrivera,arriver,15
au,à,81
au,le,71
ministère,ministère,21
/.,/.,P
comment,comment,60
le,le,71
prince,prince,21
",",",",p
homme,homme,21
de,de,81
bonne,bon,30
compagnie,compagnie,22
",",",",p
homme,homme,21
d',de,81
esprit,esprit,21
",",",",p
accoutumé,accoutumé,31
au,à,81
au,le,71
travail,travail,21
charmant,charmant,30
du,de,81
du,le,71
comte,comte,21
",",",",p
pourra,pouvoir,15
t,t,94
il,il,51
traiter,traiter,14
d',de,81
affaires,affaire,22
avec,avec,81
ce,ce,74
boeuf,boeuf,21
",",",",p
avec,avec,81
ce,ce,74
roi,roi,21
des,de,81
des,le,71
sots,sot,21
qui,qui,52
toute,tout,75
sa,son,73
vie,vie,22
s',se,51
est,être,17
occupé,occuper,12
de,de,81
ce,ce,74
problème,problème,21
capital,capital,30
:,:,p
les,le,71
soldats,soldat,21
de,de,81
son,son,73
altesse,altesse,22
doivent,devoir,17
ils,ils,51
porter,porter,14
sur,sur,81
leur,leur,73
habit,habit,21
",",",",p
à,à,81
la,le,71
poitrine,poitrine,22
",",",",p
sept,sept,72
boutons,bouton,21
ou,ou,82
bien,bien,60
neuf,neuf,72
/?,/?,P
ce,ce,52
sont,être,17
ces,ce,74
bêtes,bête,22
brutes,brut,30
fort,fort,60
jalouses,jaloux,30
de,de,81
moi,moi,51
",",",",p
et,et,82
voilà,voilà,81
ce,ce,52
qui,qui,52
fait,faire,17
ton,ton,73
danger,danger,21
",",",",p
cher,cher,30
Fabrice,Fabrice,20
!,!,p
ce,ce,52
sont,être,17
ces,ce,74
bêtes,bête,22
brutes,brut,30
qui,qui,52
vont,aller,17
décider,décider,14
de,de,81
mon,mon,73
sort,sort,21
et,et,82
du,de,81
du,le,71
tien,tien,52
/!,/!,P
donc,donc,82
",",",",p
ne,ne,60
pas,pas,60
souffrir,souffrir,14
que,que,83
le,le,71
comte,comte,21
donne,donner,17
sa,son,73
démission,démission,22
!,!,p
qu',que,52
il,il,51
reste,rester,17
",",",",p
dût,devoir,18
il,il,51
subir,subir,14
des,de,81
des,le,71
humiliations,humiliation,22
!,!,p
il,il,51
s',se,51
imagine,imaginer,17
toujours,toujours,60
que,que,83
donner,donner,14
sa,son,73
démission,démission,22
est,être,17
le,le,71
plus,plus,60
grand,grand,30
sacrifice,sacrifice,21
que,que,52
puisse,pouvoir,17
faire,faire,14
un,un,71
premier,premier,72
ministre,ministre,21
;,;,p
et,et,82
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
son,son,73
miroir,miroir,21
lui,lui,51
dit,dire,17
qu',que,83
il,il,51
vieillit,vieillir,17
",",",",p
il,il,51
m',je,51
offre,offrir,17
ce,ce,74
sacrifice,sacrifice,21
:,:,p
donc,donc,82
brouillerie,brouillerie,22
complète,complet,30
",",",",p
oui,oui,60
",",",",p
et,et,82
réconciliation,réconciliation,22
seulement,seulement,60
dans,dans,81
le,le,71
cas,cas,21
où,où,60
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
que,que,83
ce,ce,74
moyen,moyen,21
de,de,81
l',le,52
empêcher,empêcher,14
de,de,81
s',se,51
en,en,52
aller,aller,14
/.,/.,P
assurément,assurément,60
",",",",p
je,je,51
mettrai,mettre,15
à,à,81
son,son,73
congé,congé,21
toute,tout,75
la,le,71
bonne,bon,30
amitié,amitié,22
possible,possible,30
;,;,p
mais,mais,82
après,après,81
l',le,71
omission,omission,22
courtisanesque,courtisanesque,30
des,de,81
des,le,71
mots,mot,21
procédure,procédure,22
injuste,injuste,30
dans,dans,81
le,le,71
billet,billet,21
du,de,81
du,le,71
prince,prince,21
",",",",p
je,je,51
sens,sentir,17
que,que,83
pour,pour,81
ne,ne,60
pas,pas,60
le,le,52
haïr,haïr,14
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
passer,passer,14
quelques,quelque,75
mois,mois,21
sans,sans,81
le,le,52
voir,voir,14
/.,/.,P
dans,dans,81
cette,ce,74
soirée,soirée,22
décisive,décisif,30
",",",",p
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
besoin,besoin,21
de,de,81
son,son,73
esprit,esprit,21
;,;,p
il,il,51
fallait,falloir,18
seulement,seulement,60
qu',que,83
il,il,51
écrivît,écrire,18
sous,sous,81
ma,mon,73
dictée,dictée,22
",",",",p
il,il,51
n',ne,60
avait,avoir,18
qu',que,83
à,à,81
écrire,écrire,14
ce,ce,74
mot,mot,21
",",",",p
que,que,52
j',je,51
avais,avoir,18
obtenu,obtenir,12
par,par,81
mon,mon,73
caractère,caractère,21
:,:,p
ses,son,73
habitudes,habitude,22
de,de,81
bas,bas,30
courtisan,courtisan,21
l',le,52
ont,avoir,17
emporté,emporter,12
/.,/.,P
il,il,51
me,je,51
disait,dire,18
le,le,71
lendemain,lendemain,21
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
faire,faire,14
signer,signer,14
une,un,71
absurdité,absurdité,22
par,par,81
son,son,73
prince,prince,21
",",",",p
qu',que,83
il,il,51
aurait,avoir,16
fallu,falloir,12
des,de,81
des,le,71
lettres,lettre,22
de,de,81
grâce,grâce,22
:,:,p
eh,eh,93
",",",",p
bon,bon,30
dieu,dieu,21
!,!,p
avec,avec,81
de,de,81
telles,tel,75
gens,gens,22
",",",",p
avec,avec,81
des,de,81
des,le,71
monstres,monstre,21
de,de,81
vanité,vanité,22
et,et,82
de,de,81
rancune,rancune,22
qu',que,52
on,on,51
appelle,appeler,17
des,de,81
des,le,71
Farnèse,Farnèse,20
",",",",p
on,on,51
prend,prendre,17
ce,ce,52
qu',que,52
on,on,51
peut,pouvoir,17
/.,/.,P
à,à,81
cette,ce,74
idée,idée,22
",",",",p
toute,tout,75
la,le,71
colère,colère,22
de,de,81
la,le,71
duchesse,duchesse,22
se,se,51
ranima,ranimer,19
/.,/.,P
le,le,71
prince,prince,21
m',je,51
a,avoir,17
trompée,tromper,12
",",",",p
se,se,51
disait,dire,18
elle,il,51
",",",",p
et,et,82
avec,avec,81
quelle,quel,75
lâcheté,lâcheté,22
!,!,p
/…,/…,P
cet,ce,74
homme,homme,21
est,être,17
sans,sans,81
excuse,excuse,22
:,:,p
il,il,51
a,avoir,17
de,de,81
l',le,71
esprit,esprit,21
",",",",p
de,de,81
la,le,71
finesse,finesse,22
",",",",p
du,de,81
du,le,71
raisonnement,raisonnement,21
;,;,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
de,de,81
bas,bas,30
en,en,81
lui,lui,51
que,que,83
ses,son,73
passions,passion,22
/.,/.,P
vingt,vingt,72
fois,fois,22
le,le,71
comte,comte,21
et,et,82
moi,moi,51
nous,nous,51
l',le,52
avons,avoir,17
remarqué,remarquer,12
",",",",p
son,son,73
esprit,esprit,21
ne,ne,60
devient,devenir,17
vulgaire,vulgaire,30
que,que,83
lorsqu',lorsque,83
il,il,51
s',se,51
imagine,imaginer,17
qu',que,83
on,on,51
a,avoir,17
voulu,vouloir,12
l',le,52
offenser,offenser,14
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
le,le,71
crime,crime,21
de,de,81
Fabrice,Fabrice,20
est,être,17
étranger,étranger,30
à,à,81
la,le,71
politique,politique,22
",",",",p
c',ce,52
est,être,17
un,un,71
petit,petit,30
assassinat,assassinat,21
comme,comme,83
on,on,51
en,en,52
compte,compter,17
cent,cent,72
par,par,81
an,an,21
dans,dans,81
ses,son,73
heureux,heureux,30
états,état,21
",",",",p
et,et,82
le,le,71
comte,comte,21
m',je,51
a,avoir,17
juré,jurer,12
qu',que,83
il,il,51
a,avoir,17
fait,faire,12
prendre,prendre,14
les,le,71
renseignements,renseignement,21
les,le,71
plus,plus,60
exacts,exact,30
",",",",p
et,et,82
que,que,83
Fabrice,Fabrice,20
est,être,17
innocent,innocent,30
/.,/.,P
ce,ce,74
Giletti,Giletti,20
n',ne,60
était,être,18
point,point,60
sans,sans,81
courage,courage,21
:,:,p
se,se,51
voyant,voir,13
à,à,81
deux,deux,72
pas,pas,21
de,de,81
la,le,71
frontière,frontière,22
",",",",p
il,il,51
eut,avoir,19
tout,tout,60
à,à,81
coup,coup,21
la,le,71
tentation,tentation,22
de,de,81
se,se,51
défaire,défaire,14
d',de,81
un,un,71
rival,rival,21
qui,qui,52
plaisait,plaire,18
/.,/.,P
la,le,71
duchesse,duchesse,22
s',se,51
arrêta,arrêter,19
longtemps,longtemps,60
pour,pour,81
examiner,examiner,14
s',si,83
il,il,51
était,être,18
possible,possible,30
de,de,81
croire,croire,14
à,à,81
la,le,71
culpabilité,culpabilité,22
de,de,81
Fabrice,Fabrice,20
:,:,p
non,non,60
pas,pas,60
qu',que,83
elle,il,51
trouvât,trouver,18
que,que,83
ce,ce,52
fût,être,19
un,un,71
bien,bien,60
gros,gros,30
péché,péché,21
",",",",p
chez,chez,81
un,un,71
gentilhomme,gentilhomme,21
du,de,81
du,le,71
rang,rang,21
de,de,81
son,son,73
neveu,neveu,21
",",",",p
de,de,81
se,se,51
défaire,défaire,14
de,de,81
l',le,71
impertinence,impertinence,22
d',de,81
un,un,71
histrion,histrion,21
;,;,p
mais,mais,82
",",",",p
dans,dans,81
son,son,73
