11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
l',le,71
abdomen,abdomen,21
en,en,81
avant,avant,21
",",",",p
Pécuchet,Pécuchet,20
la,le,71
tête,tête,22
dans,dans,81
les,le,71
mains,main,22
",",",",p
avec,avec,81
ses,son,73
deux,deux,72
coudes,coude,21
sur,sur,81
la,le,71
table,table,22
/.,/.,P
souvent,souvent,60
à,à,81
ce,ce,74
moment,moment,21
là,là,60
",",",",p
monsieur,monsieur,21
Vaucorbeil,Vaucorbeil,20
",",",",p
qui,qui,52
terminait,terminer,18
ses,son,73
premières,premier,72
visites,visite,22
",",",",p
entr'ouvrait,entr'ouvrir,18
la,le,71
porte,porte,22
/.,/.,P
-,-,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
les,le,71
confrères,confrère,21
",",",",p
comment,comment,60
va,aller,17
l',le,71
anatomie,anatomie,22
/?,/?,P
parfaitement,parfaitement,60
!,!,p
répondaient,répondre,18
ils,ils,51
/.,/.,P
alors,alors,60
il,il,51
posait,poser,18
des,de,81
des,le,71
questions,question,22
pour,pour,81
le,le,71
plaisir,plaisir,21
de,de,81
les,le,52
confondre,confondre,14
/.,/.,P
quand,quand,83
ils,ils,51
étaient,être,18
las,las,30
d',de,81
un,un,71
organe,organe,21
",",",",p
ils,ils,51
passaient,passer,18
à,à,81
un,un,71
autre,autre,52
-,-,p
abordant,aborder,13
ainsi,ainsi,60
et,et,82
délaissant,délaisser,13
tour,tour,21
à,à,81
tour,tour,21
le,le,71
coeur,coeur,21
",",",",p
l',le,71
estomac,estomac,21
",",",",p
l',le,71
oreille,oreille,22
",",",",p
les,le,71
intestins,intestin,21
;,;,p
-,-,p
car,car,82
le,le,71
bonhomme,bonhomme,21
de,de,81
carton,carton,21
les,le,52
assommait,assommer,18
",",",",p
malgré,malgré,81
leurs,leur,73
efforts,effort,21
pour,pour,81
s',se,51
y,y,52
intéresser,intéresser,14
/.,/.,P
enfin,enfin,60
le,le,71
docteur,docteur,21
les,le,52
surprit,surprendre,19
comme,comme,83
ils,ils,51
le,le,52
reclouaient,reclouer,18
dans,dans,81
sa,son,73
boîte,boîte,22
/.,/.,P
-,-,p
“,“,p
bravo,bravo,21
/!,/!,P
je,je,51
m',je,51
y,y,52
attendais,attendre,18
/.,/.,P
“,“,p
on,on,51
ne,ne,60
pouvait,pouvoir,18
à,à,81
leur,leur,73
âge,âge,21
entreprendre,entreprendre,14
ces,ce,74
études,étude,22
;,;,p
-,-,p
et,et,82
le,le,71
sourire,sourire,21
accompagnant,accompagner,13
ses,son,73
paroles,parole,22
les,le,52
blessa,blesser,19
profondément,profondément,60
/.,/.,P
de,de,81
quel,quel,75
droit,droit,21
les,le,52
juger,juger,14
incapables,incapable,30
?,?,p
est,être,17
ce,ce,52
que,que,83
la,le,71
science,science,22
appartenait,appartenir,18
à,à,81
ce,ce,74
monsieur,monsieur,21
/!,/!,P
comme,comme,83
s',si,83
il,il,51
était,être,18
lui-même,lui-même,51
un,un,71
personnage,personnage,21
bien,bien,60
supérieur,supérieur,30
/!,/!,P
donc,donc,82
acceptant,accepter,13
son,son,73
défi,défi,21
",",",",p
ils,ils,51
allèrent,aller,19
jusqu',jusque,81
à,à,81
Bayeux,Bayeux,20
pour,pour,81
y,y,52
acheter,acheter,14
des,de,81
des,le,71
livres,livre,21
/.,/.,P
ce,ce,52
qui,qui,52
leur,leur,52
manquait,manquer,18
",",",",p
c',ce,52
était,être,18
la,le,71
physiologie,physiologie,22
;,;,p
-,-,p
et,et,82
un,un,71
bouquiniste,bouquiniste,21
leur,leur,52
procura,procurer,19
les,le,71
traités,traité,21
de,de,81
Richerand,Richerand,20
et,et,82
d',de,81
Adelon,Adelon,20
",",",",p
célèbres,célèbre,30
à,à,81
l',le,71
époque,époque,22
/.,/.,P
tous,tout,75
les,le,71
lieux,lieu,21
communs,commun,30
sur,sur,81
les,le,71
âges,âge,21
",",",",p
les,le,71
sexes,sexe,21
et,et,82
les,le,71
tempéraments,tempérament,21
leur,leur,52
semblèrent,sembler,19
de,de,81
la,le,71
plus,plus,60
haute,haut,30
importance,importance,22
/.,/.,P
ils,ils,51
furent,être,19
bien,bien,60
aises,aise,22
de,de,81
savoir,savoir,14
qu',que,83
il,il,51
y,y,52
a,avoir,17
dans,dans,81
le,le,71
tartre,tartre,21
des,de,81
des,le,71
dents,dent,22
trois,trois,72
espèces,espèce,22
d',de,81
animalcules,animalcule,21
",",",",p
que,que,83
le,le,71
siège,siège,21
du,de,81
du,le,71
goût,goût,21
est,être,17
sur,sur,81
la,le,71
langue,langue,22
",",",",p
et,et,82
la,le,71
sensation,sensation,22
de,de,81
la,le,71
faim,faim,22
dans,dans,81
l',le,71
estomac,estomac,21
/.,/.,P
pour,pour,81
en,en,52
saisir,saisir,14
mieux,mieux,60
les,le,71
fonctions,fonction,22
",",",",p
ils,ils,51
regrettaient,regretter,18
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
la,le,71
faculté,faculté,22
de,de,81
ruminer,ruminer,14
",",",",p
comme,comme,83
l',le,52
avaient,avoir,18
eue,avoir,12
Montègre,Montègre,20
",",",",p
monsieur,monsieur,21
Gosse,Gosse,20
",",",",p
et,et,82
le,le,71
frère,frère,21
de,de,81
Bérard,Bérard,20
;,;,p
-,-,p
et,et,82
ils,ils,51
mâchaient,mâcher,18
avec,avec,81
lenteur,lenteur,22
",",",",p
trituraient,triturer,18
",",",",p
insalivaient,insaliver,18
",",",",p
accompagnant,accompagner,13
de,de,81
la,le,71
pensée,pensée,22
le,le,71
bol,bol,21
alimentaire,alimentaire,30
dans,dans,81
leurs,leur,73
entrailles,entraille,22
",",",",p
le,le,52
suivaient,suivre,18
même,même,60
jusqu',jusque,81
à,à,81
ses,son,73
dernières,dernier,30
conséquences,conséquence,22
",",",",p
pleins,plein,21
d',de,81
un,un,71
scrupule,scrupule,21
méthodique,méthodique,30
",",",",p
d',de,81
une,un,71
attention,attention,22
presque,presque,60
religieuse,religieux,30
/.,/.,P
afin,afin,81
de,de,81
produire,produire,14
artificiellement,artificiellement,60
des,de,81
des,le,71
digestions,digestion,22
",",",",p
ils,ils,51
tassèrent,tasser,19
de,de,81
la,le,71
viande,viande,22
dans,dans,81
une,un,71
fiole,fiole,22
",",",",p
où,où,60
était,être,18
le,le,71
suc,suc,21
gastrique,gastrique,30
d',de,81
un,un,71
canard,canard,21
-,-,p
et,et,82
ils,ils,51
la,le,52
portèrent,porter,19
sous,sous,81
leurs,leur,73
aisselles,aisselle,22
durant,durer,13
quinze,quinze,72
jours,jour,21
",",",",p
sans,sans,81
autre,autre,75
résultat,résultat,21
que,que,83
d',de,81
infecter,infecter,14
leurs,leur,73
personnes,personne,22
/.,/.,P
on,on,51
les,le,52
vit,voir,19
courir,courir,14
le,le,71
long,long,21
de,de,81
la,le,71
grande,grand,30
route,route,22
",",",",p
revêtus,revêtu,31
d',de,81
habits,habit,21
mouillés,mouillé,31
et,et,82
à,à,81
l',le,71
ardeur,ardeur,22
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
c',ce,52
était,être,18
pour,pour,81
vérifier,vérifier,14
si,si,83
la,le,71
soif,soif,22
s',se,51
apaise,apaiser,17
par,par,81
l',le,71
application,application,22
de,de,81
l',le,71
eau,eau,22
sur,sur,81
l',le,71
épiderme,épiderme,21
/.,/.,P
ils,ils,51
rentrèrent,rentrer,19
haletants,haletant,30
;,;,p
et,et,82
tous,tout,75
les,le,71
deux,deux,72
avec,avec,81
un,un,71
rhume,rhume,21
/.,/.,P
l',le,71
audition,audition,22
",",",",p
la,le,71
phonation,phonation,22
",",",",p
la,le,71
vision,vision,22
furent,être,19
expédiées,expédier,12
lestement,lestement,60
/.,/.,P
mais,mais,82
Bouvard,Bouvard,20
s',se,51
étala,étaler,19
sur,sur,81
la,le,71
génération,génération,22
/.,/.,P
les,le,71
réserves,réserve,22
de,de,81
Pécuchet,Pécuchet,20
en,en,81
cette,ce,74
matière,matière,22
l',le,52
avaient,avoir,18
toujours,toujours,60
surpris,surprendre,12
/.,/.,P
son,son,73
ignorance,ignorance,22
lui,lui,51
parut,paraître,19
si,si,60
complète,complet,30
qu',que,83
il,il,51
le,le,52
pressa,presser,19
de,de,81
s',se,51
expliquer,expliquer,14
-,-,p
et,et,82
Pécuchet,Pécuchet,20
en,en,81
rougissant,rougir,13
finit,finir,19
par,par,81
faire,faire,14
un,un,71
aveu,aveu,21
/.,/.,P
des,de,81
des,le,71
farceurs,farceur,21
",",",",p
autrefois,autrefois,60
",",",",p
l',le,52
avaient,avoir,18
entraîné,entraîner,12
dans,dans,81
une,un,71
mauvaise,mauvais,30
maison,maison,22
-,-,p
d',de,81
où,où,60
il,il,51
s',se,51
était,être,18
enfui,enfuir,12
",",",",p
se,se,51
gardant,garder,13
pour,pour,81
la,le,71
femme,femme,22
qu',que,83
il,il,51
aimerait,aimer,16
plus,plus,60
tard,tard,60
;,;,p
-,-,p
une,un,71
circonstance,circonstance,22
heureuse,heureux,30
n',ne,60
était,être,18
jamais,jamais,60
venue,venir,12
;,;,p
si,si,60
bien,bien,60
",",",",p
que,que,83
par,par,81
fausse,faux,30
honte,honte,22
",",",",p
gêne,gêne,22
pécuniaire,pécuniaire,30
",",",",p
crainte,crainte,22
des,de,81
des,le,71
maladies,maladie,22
",",",",p
entêtement,entêtement,21
",",",",p
habitude,habitude,22
",",",",p
à,à,81
cinquante,cinquante,72
deux,deux,72
ans,an,21
et,et,82
malgré,malgré,81
le,le,71
séjour,séjour,21
de,de,81
la,le,71
capitale,capitale,22
",",",",p
il,il,51
possédait,posséder,18
encore,encore,60
sa,son,73
virginité,virginité,22
/.,/.,P
Bouvard,Bouvard,20
eut,avoir,19
peine,peine,22
à,à,81
le,le,52
croire,croire,14
-,-,p
puis,puis,60
il,il,51
rit,rire,19
énormément,énormément,60
",",",",p
mais,mais,82
s',se,51
arrêta,arrêter,19
",",",",p
en,en,81
apercevant,apercevoir,13
des,de,81
des,le,71
larmes,larme,22
dans,dans,81
les,le,71
yeux,oeil,21
de,de,81
Pécuchet,Pécuchet,20
/.,/.,P
car,car,82
les,le,71
passions,passion,22
ne,ne,60
lui,lui,51
avaient,avoir,18
pas,pas,60
manqué,manquer,12
",",",",p
s',se,51
étant,être,13
tour,tour,21
à,à,81
tour,tour,21
épris,éprendre,12
d',de,81
une,un,71
danseuse,danseuse,22
de,de,81
corde,corde,22
",",",",p
de,de,81
la,le,71
belle-soeur,belle-soeur,22
d',de,81
un,un,71
architecte,architecte,21
",",",",p
d',de,81
une,un,71
demoiselle,demoiselle,22
de,de,81
comptoir,comptoir,21
-,-,p
enfin,enfin,60
d',de,81
une,un,71
petite,petit,30
blanchisseuse,blanchisseuse,22
;,;,p
-,-,p
et,et,82
le,le,71
mariage,mariage,21
allait,aller,18
même,même,60
se,se,51
conclure,conclure,14
",",",",p
quand,quand,83
il,il,51
avait,avoir,18
découvert,découvrir,12
qu',que,83
elle,il,51
était,être,18
enceinte,enceinte,31
d',de,81
un,un,71
autre,autre,52
/.,/.,P
Bouvard,Bouvard,20
lui,lui,51
dit,dire,19
:,:,p
-,-,p
“,“,p
il,il,51
y,y,52
a,avoir,17
moyen,moyen,21
toujours,toujours,60
de,de,81
réparer,réparer,14
le,le,71
temps,temps,21
perdu,perdu,31
/!,/!,P
pas,pas,60
de,de,81
tristesse,tristesse,22
",",",",p
voyons,voir,17
!,!,p
je,je,51
me,je,51
charge,charger,17
si,si,83
tu,tu,51
veux,vouloir,17
/…,/…,P
“,“,p
Pécuchet,Pécuchet,20
répliqua,répliquer,19
",",",",p
en,en,81
soupirant,soupirer,13
",",",",p
qu',que,83
il,il,51
ne,ne,60
fallait,falloir,18
plus,plus,60
y,y,52
songer,songer,14
/.,/.,P
-,-,p
et,et,82
ils,ils,51
continuèrent,continuer,19
leur,leur,73
physiologie,physiologie,22
/.,/.,P
est,être,17
il,il,51
vrai,vrai,30
que,que,83
la,le,71
surface,surface,22
de,de,81
notre,notre,73
corps,corps,21
dégage,dégager,17
perpétuellement,perpétuellement,60
une,un,71
vapeur,vapeur,22
subtile,subtil,30
/?,/?,P
la,le,71
preuve,preuve,22
",",",",p
c',ce,52
est,être,17
que,que,83
le,le,71
poids,poids,21
d',de,81
un,un,71
homme,homme,21
décroît,décroître,17
à,à,81
chaque,chaque,75
minute,minute,22
/.,/.,P
si,si,83
chaque,chaque,75
jour,jour,21
s',se,51
opère,opérer,17
l',le,71
addition,addition,22
de,de,81
ce,ce,52
qui,qui,52
manque,manquer,17
et,et,82
la,le,71
soustraction,soustraction,22
de,de,81
ce,ce,52
qui,qui,52
excède,excéder,17
",",",",p
la,le,71
santé,santé,22
se,se,51
maintiendra,maintenir,15
en,en,81
parfait,parfait,31
équilibre,équilibre,21
/.,/.,P
Sanctorius,Sanctorius,20
",",",",p
l',le,71
inventeur,inventeur,21
de,de,81
cette,ce,74
loi,loi,22
",",",",p
employa,employer,19
un,un,71
demi-siècle,demi-siècle,21
à,à,81
peser,peser,14
quotidiennement,quotidiennement,60
sa,son,73
nourriture,nourriture,22
avec,avec,81
toutes,tout,75
ses,son,73
excrétions,excrétion,22
",",",",p
et,et,82
se,se,51
pesait,peser,18
lui-même,lui-même,51
",",",",p
ne,ne,60
prenant,prendre,13
de,de,81
relâche,relâche,22
que,que,83
pour,pour,81
écrire,écrire,14
ses,son,73
calculs,calcul,21
/.,/.,P
ils,ils,51
essayèrent,essayer,19
d',de,81
imiter,imiter,14
Sanctorius,Sanctorius,20
/.,/.,P
mais,mais,82
comme,comme,83
leur,leur,73
balance,balance,22
ne,ne,60
pouvait,pouvoir,18
les,le,52
supporter,supporter,14
tous,tout,75
les,le,71
deux,deux,72
",",",",p
ce,ce,52
fut,être,19
Pécuchet,Pécuchet,20
qui,qui,52
commença,commencer,19
/.,/.,P
il,il,51
retira,retirer,19
ses,son,73
habits,habit,21
",",",",p
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
gêner,gêner,14
la,le,71
perspiration,perspiration,22
-,-,p
et,et,82
il,il,51
se,se,51
tenait,tenir,18
sur,sur,81
le,le,71
plateau,plateau,21
",",",",p
complètement,complètement,60
nu,nu,30
",",",",p
laissant,laisser,13
voir,voir,14
",",",",p
malgré,malgré,81
la,le,71
pudeur,pudeur,22
",",",",p
son,son,73
torse,torse,21
très,très,60
long,long,60
pareil,pareil,30
à,à,81
un,un,71
cylindre,cylindre,21
",",",",p
avec,avec,81
des,de,81
des,le,71
jambes,jambe,22
courtes,court,30
",",",",p
les,le,71
pieds,pied,21
plats,plat,30
et,et,82
la,le,71
peau,peau,22
brune,brun,30
/.,/.,P
à,à,81
ses,son,73
côtés,côté,21
",",",",p
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
son,son,73
ami,ami,21
lui,lui,51
faisait,faire,18
la,le,71
lecture,lecture,22
/.,/.,P
des,de,81
des,le,71
savants,savant,21
prétendent,prétendre,17
que,que,83
la,le,71
chaleur,chaleur,22
animale,animal,30
se,se,51
développe,développer,17
par,par,81
les,le,71
contractions,contraction,22
musculaires,musculaire,30
",",",",p
et,et,82
qu',que,83
il,il,51
est,être,17
possible,possible,30
en,en,81
agitant,agiter,13
le,le,71
thorax,thorax,21
et,et,82
les,le,71
membres,membre,21
pelviens,pelvien,30
de,de,81
hausser,hausser,14
la,le,71
température,température,22
d',de,81
un,un,71
bain,bain,21
tiède,tiède,30
/.,/.,P
Bouvard,Bouvard,20
alla,aller,19
chercher,chercher,14
leur,leur,73
baignoire,baignoire,22
-,-,p
et,et,82
quand,quand,83
tout,tout,52
fut,être,19
prêt,prêt,30
",",",",p
il,il,51
s',se,51
y,y,52
plongea,plonger,19
",",",",p
muni,munir,12
d',de,81
un,un,71
thermomètre,thermomètre,21
/.,/.,P
les,le,71
ruines,ruine,22
de,de,81
la,le,71
distillerie,distillerie,22
balayées,balayé,31
vers,vers,81
le,le,71
fond,fond,21
de,de,81
l',le,71
appartement,appartement,21
dessinaient,dessiner,18
dans,dans,81
l',le,71
ombre,ombre,22
un,un,71
vague,vague,30
monticule,monticule,21
/.,/.,P
on,on,51
entendait,entendre,18
par,par,81
intervalles,intervalle,21
le,le,71
grignotement,grignotement,21
des,de,81
des,le,71
souris,souris,22
;,;,p
une,un,71
vieille,vieux,30
odeur,odeur,22
de,de,81
plantes,plante,22
aromatiques,aromatique,30
s',se,51
exhalait,exhaler,18
-,-,p
et,et,82
se,se,51
trouvant,trouver,13
là,là,60
fort,fort,60
bien,bien,60
ils,ils,51
causaient,causer,18
avec,avec,81
sérénité,sérénité,22
/.,/.,P
cependant,cependant,82
Bouvard,Bouvard,20
sentait,sentir,18
un,un,71
peu,peu,60
de,de,81
fraîcheur,fraîcheur,22
/.,/.,P
-,-,p
“,“,p
agite,agiter,17
tes,ton,73
membres,membre,21
!,!,p
dit,dire,19
Pécuchet,Pécuchet,20
/.,/.,P
il,il,51
les,le,52
agita,agiter,19
",",",",p
sans,sans,81
rien,rien,52
changer,changer,14
au,à,81
au,le,71
thermomètre,thermomètre,21
;,;,p
-,-,p
“,“,p
c',ce,52
est,être,17
froid,froid,30
",",",",p
décidément,décidément,60
/.,/.,P
“,“,p
-,-,p
“,“,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
chaud,chaud,21
",",",",p
non,non,60
plus,plus,60
“,“,p
reprit,reprendre,19
Pécuchet,Pécuchet,20
",",",",p
saisi,saisi,31
lui-même,lui-même,51
par,par,81
un,un,71
frisson,frisson,21
“,“,p
mais,mais,82
agite,agiter,17
tes,ton,73
membres,membre,21
pelviens,pelvien,30
!,!,p
agite,agiter,17
les,le,52
/!,/!,P
Bouvard,Bouvard,20
ouvrit,ouvrir,19
les,le,71
cuisses,cuisse,22
",",",",p
se,se,51
tordait,tordre,18
les,le,71
flancs,flanc,21
",",",",p
balançait,balancer,18
son,son,73
ventre,ventre,21
",",",",p
soufflait,souffler,18
comme,comme,83
un,un,71
cachalot,cachalot,21
;,;,p
-,-,p
puis,puis,60
regardait,regarder,18
le,le,71
thermomètre,thermomètre,21
",",",",p
qui,qui,52
baissait,baisser,18
toujours,toujours,60
/.,/.,P
-,-,p
“,“,p
je,je,51
n',ne,60
y,y,52
comprends,comprendre,17
rien,rien,52
/!,/!,P
je,je,51
me,je,51
remue,remuer,17
",",",",p
pourtant,pourtant,60
/!,/!,P
pas,pas,60
assez,assez,60
/!,/!,P
et,et,82
il,il,51
reprenait,reprendre,18
sa,son,73
gymnastique,gymnastique,22
/.,/.,P
elle,il,51
avait,avoir,18
duré,durer,12
trois,trois,72
heures,heure,22
",",",",p
quand,quand,83
une,un,71
fois,fois,22
encore,encore,60
il,il,51
empoigna,empoigner,19
le,le,71
tube,tube,21
/.,/.,P
-,-,p
“,“,p
comment,comment,60
!,!,p
douze,douze,72
degrés,degré,21
/!,/!,P
ah,ah,93
!,!,p
bonsoir,bonsoir,21
/!,/!,P
je,je,51
me,je,51
retire,retirer,17
/!,/!,P
un,un,71
chien,chien,21
entra,entrer,19
",",",",p
moitié,moitié,22
dogue,dogue,21
moitié,moitié,22
braque,braquer,17
",",",",p
le,le,71
poil,poil,21
jaune,jaune,30
",",",",p
galeux,galeux,30
",",",",p
la,le,71
langue,langue,22
pendante,pendant,30
/.,/.,P
que,que,52
faire,faire,14
?,?,p
pas,pas,60
de,de,81
sonnettes,sonnette,22
!,!,p
et,et,82
leur,leur,73
domestique,domestique,21
était,être,18
sourde,sourd,30
/.,/.,P
ils,ils,51
grelottaient,grelotter,18
mais,mais,82
n',ne,60
osaient,oser,18
bouger,bouger,14
",",",",p
dans,dans,81
la,le,71
peur,peur,22
d',de,81
être,être,14
mordus,mordre,12
/.,/.,P
Pécuchet,Pécuchet,20
crut,croire,19
habile,habile,30
de,de,81
lancer,lancer,14
des,de,81
des,le,71
menaces,menace,22
",",",",p
en,en,81
roulant,rouler,13
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
alors,alors,60
le,le,71
chien,chien,21
aboya,aboyer,19
;,;,p
-,-,p
et,et,82
il,il,51
sautait,sauter,18
autour,autour,60
de,de,81
la,le,71
balance,balance,22
",",",",p
où,où,60
Pécuchet,Pécuchet,20
se,se,51
cramponnant,cramponner,13
aux,à,81
aux,le,71
cordes,corde,22
",",",",p
et,et,82
pliant,plier,13
les,le,71
genoux,genou,21
",",",",p
tâchait,tâcher,18
de,de,81
s',se,51
élever,élever,14
le,le,71
plus,plus,60
haut,haut,60
possible,possible,30
/.,/.,P
-,-,p
“,“,p
tu,tu,51
t',tu,51
y,y,52
prends,prendre,17
mal,mal,60
“,“,p
dit,dire,19
Bouvard,Bouvard,20
;,;,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
faire,faire,14
des,de,81
des,le,71
risettes,risette,22
au,à,81
au,le,71
chien,chien,21
en,en,81
proférant,proférer,13
des,de,81
des,le,71
douceurs,douceur,22
/.,/.,P
le,le,71
chien,chien,21
sans,sans,81
doute,doute,21
les,le,52
comprit,comprendre,19
/.,/.,P
-,-,p
il,il,51
s',se,51
efforçait,efforcer,18
de,de,81
le,le,52
caresser,caresser,14
",",",",p
lui,lui,51
collait,coller,18
ses,son,73
pattes,patte,22
sur,sur,81
les,le,71
épaules,épaule,22
",",",",p
les,le,52
éraflait,érafler,18
avec,avec,81
ses,son,73
ongles,ongle,21
/.,/.,P
-,-,p
“,“,p
allons,aller,17
!,!,p
maintenant,maintenant,60
!,!,p
voilà,voilà,81
qu',que,83
il,il,51
a,avoir,17
emporté,emporter,12
ma,mon,73
culotte,culotte,22
/!,/!,P
il,il,51
se,se,51
coucha,coucher,19
dessus,dessus,60
",",",",p
et,et,82
demeura,demeurer,19
tranquille,tranquille,30
/.,/.,P
enfin,enfin,60
",",",",p
avec,avec,81
les,le,71
plus,plus,60
grandes,grand,30
précautions,précaution,22
",",",",p
ils,ils,51
se,se,51
hasardèrent,hasarder,19
l',le,71
un,un,52
à,à,81
descendre,descendre,14
du,de,81
du,le,71
plateau,plateau,21
",",",",p
l',le,71
autre,autre,52
à,à,81
sortir,sortir,14
de,de,81
la,le,71
baignoire,baignoire,22
;,;,p
-,-,p
et,et,82
quand,quand,83
Pécuchet,Pécuchet,20
fut,être,19
rhabillé,rhabiller,12
",",",",p
cette,ce,74
exclamation,exclamation,22
lui,lui,51
échappa,échapper,19
:,:,p
-,-,p
“,“,p
toi,toi,51
",",",",p
mon,mon,73
bonhomme,bonhomme,21
",",",",p
tu,tu,51
serviras,servir,15
à,à,81
nos,notre,73
expériences,expérience,22
/!,/!,P
quelles,quel,75
expériences,expérience,22
/?,/?,P
on,on,51
pouvait,pouvoir,18
lui,lui,51
injecter,injecter,14
du,de,81
du,le,71
phosphore,phosphore,21
",",",",p
puis,puis,60
l',le,52
enfermer,enfermer,14
dans,dans,81
une,un,71
cave,cave,22
pour,pour,81
voir,voir,14
s',si,83
il,il,51
rendrait,rendre,16
du,de,81
du,le,71
feu,feu,21
par,par,81
les,le,71
naseaux,naseau,21
/.,/.,P
mais,mais,82
comment,comment,60
injecter,injecter,14
?,?,p
et,et,82
du,de,81
du,le,71
reste,reste,21
",",",",p
on,on,51
ne,ne,60
leur,leur,52
vendrait,vendre,16
pas,pas,60
de,de,81
phosphore,phosphore,21
/.,/.,P
ils,ils,51
songèrent,songer,19
à,à,81
l',le,52
enfermer,enfermer,14
sous,sous,81
la,le,71
machine,machine,22
pneumatique,pneumatique,30
",",",",p
à,à,81
lui,lui,51
faire,faire,14
respirer,respirer,14
des,de,81
des,le,71
gaz,gaz,21
",",",",p
à,à,81
lui,lui,51
donner,donner,14
pour,pour,81
breuvage,breuvage,21
des,de,81
des,le,71
poisons,poison,21
/.,/.,P
tout,tout,75
cela,cela,52
peut,pouvoir,17
être,être,14
ne,ne,60
serait,être,16
pas,pas,60
drôle,drôle,30
/!,/!,P
enfin,enfin,60
ils,ils,51
choisirent,choisir,19
l',le,71
aimantation,aimantation,22
de,de,81
l',le,71
acier,acier,21
par,par,81
le,le,71
contact,contact,21
de,de,81
la,le,71
moelle,moelle,22
épinière,épinière,30
/.,/.,P
Bouvard,Bouvard,20
",",",",p
refoulant,refouler,13
son,son,73
émotion,émotion,22
",",",",p
tendait,tendre,18
sur,sur,81
une,un,71
assiette,assiette,22
des,de,81
des,le,71
aiguilles,aiguille,22
à,à,81
Pécuchet,Pécuchet,20
",",",",p
qui,qui,52
les,le,52
plantait,planter,18
contre,contre,81
les,le,71
vertèbres,vertèbre,22
/.,/.,P
elles,ils,51
se,se,51
cassaient,casser,18
",",",",p
glissaient,glisser,18
",",",",p
tombaient,tomber,18
par,par,81
terre,terre,22
;,;,p
il,il,51
en,en,52
prenait,prendre,18
d',de,81
autres,autre,52
",",",",p
et,et,82
les,le,52
enfonçait,enfoncer,18
vivement,vivement,60
",",",",p
au,à,81
au,le,71
hasard,hasard,21
/.,/.,P
le,le,71
chien,chien,21
rompit,rompre,19
ses,son,73
attaches,attache,22
",",",",p
passa,passer,19
comme,comme,83
un,un,71
boulet,boulet,21
de,de,81
canon,canon,21
par,par,81
les,le,71
carreaux,carreau,21
",",",",p
traversa,traverser,19
la,le,71
cour,cour,22
",",",",p
le,le,71
vestibule,vestibule,21
et,et,82
se,se,51
présenta,présenter,19
dans,dans,81
la,le,71
cuisine,cuisine,22
/.,/.,P
Germaine,Germaine,20
poussa,pousser,19
des,de,81
des,le,71
cris,cri,21
en,en,81
le,le,52
voyant,voir,13
tout,tout,52
ensanglanté,ensanglanté,31
",",",",p
avec,avec,81
des,de,81
des,le,71
ficelles,ficelle,22
autour,autour,60
des,de,81
des,le,71
pattes,patte,22
/.,/.,P
ses,son,73
maîtres,maître,21
qui,qui,52
le,le,52
poursuivaient,poursuivre,18
entrèrent,entrer,19
au,à,81
au,le,71
même,même,75
moment,moment,21
/.,/.,P
il,il,51
fit,faire,19
un,un,71
bond,bond,21
et,et,82
disparut,disparaître,19
/.,/.,P
la,le,71
vieille,vieux,30
servante,servante,22
les,le,52
apostropha,apostropher,19
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
encore,encore,60
une,un,52
de,de,81
vos,votre,73
bêtises,bêtise,22
",",",",p
j',je,51
en,en,52
suis,être,17
sûre,sûr,30
/!,/!,P
et,et,82
ma,mon,73
cuisine,cuisine,22
",",",",p
elle,il,51
est,être,17
propre,propre,30
/!,/!,P
ça,ça,52
le,le,52
rendra,rendre,15
peut-être,peut-être,60
enragé,enragé,31
/!,/!,P
on,on,51
en,en,52
fourre,fourrer,17
en,en,81
prison,prison,22
qui,qui,52
ne,ne,60
vous,vous,51
valent,valoir,17
pas,pas,60
/!,/!,P
ils,ils,51
regagnèrent,regagner,19
le,le,71
laboratoire,laboratoire,21
",",",",p
pour,pour,81
éprouver,éprouver,14
les,le,71
aiguilles,aiguille,22
/.,/.,P
pas,pas,60
une,un,52
n',ne,60
attira,attirer,19
la,le,71
moindre,moindre,30
limaille,limaille,22
/.,/.,P
puis,puis,60
",",",",p
l',le,71
hypothèse,hypothèse,22
de,de,81
Germaine,Germaine,20
les,le,52
inquiéta,inquiéter,19
/.,/.,P
il,il,51
pouvait,pouvoir,18
avoir,avoir,14
la,le,71
rage,rage,22
",",",",p
revenir,revenir,14
à l'improviste,à l'improviste,60
",",",",p
se,se,51
précipiter,précipiter,14
sur,sur,81
eux,ils,51
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
ils,ils,51
allèrent,aller,19
partout,partout,60
",",",",p
aux,à,81
aux,le,71
informations,information,22
-,-,p
et,et,82
pendant,pendant,81
plusieurs,plusieurs,75
années,année,22
",",",",p
ils,ils,51
se,se,51
détournaient,détourner,18
dans,dans,81
la,le,71
campagne,campagne,22
