11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
ferma,fermer,19
les,le,71
yeux,oeil,21
pour,pour,81
dormir,dormir,14
:,:,p
ce,ce,52
fut,être,19
en,en,81
vain,vain,30
/.,/.,P
sa,son,73
pensée,pensée,22
voyait,voir,18
",",",",p
sa,son,73
pensée,pensée,22
souffrait,souffrir,18
",",",",p
sa,son,73
pensée,pensée,22
ne,ne,60
quittait,quitter,18
point,point,60
cette,ce,74
femme,femme,22
/.,/.,P
à,à,81
qui,qui,52
serait,être,16
elle,il,51
à,à,81
présent,présent,21
/?,/?,P
au,à,81
au,le,71
comte,comte,21
de,de,81
Bernhaus,Bernhaus,20
sans,sans,81
doute,doute,21
/!,/!,P
c',ce,52
était,être,18
bien,bien,60
l',le,71
homme,homme,21
qu',que,83
il,il,51
fallait,falloir,18
à,à,81
cette,ce,74
créature,créature,22
d',de,81
apparat,apparat,21
",",",",p
l',le,71
homme,homme,21
en,en,81
vue,vue,22
",",",",p
élégant,élégant,30
",",",",p
recherché,recherché,31
/.,/.,P
il,il,51
lui,lui,51
plaisait,plaire,18
",",",",p
car,car,82
",",",",p
pour,pour,81
le,le,52
conquérir,conquérir,14
",",",",p
elle,il,51
avait,avoir,18
employé,employer,12
toutes,tout,75
ses,son,73
armes,arme,22
",",",",p
bien,bien,60
qu',que,83
étant,être,13
la,le,71
maîtresse,maîtresse,22
d',de,81
un,un,71
autre,autre,52
/.,/.,P
sous,sous,81
l',le,71
obsession,obsession,22
de,de,81
ces,ce,74
idées,idée,22
rongeuses,rongeur,30
",",",",p
son,son,73
âme,âme,22
pourtant,pourtant,60
s',se,51
engourdissait,engourdir,18
",",",",p
s',se,51
égarait,égarer,18
en,en,81
des,de,81
des,le,71
divagations,divagation,22
somnolentes,somnolent,30
où,où,60
sans,sans,81
cesse,cesse,22
ils,ils,51
reparaissaient,reparaître,18
",",",",p
cet,ce,74
homme,homme,21
et,et,82
elle,il,51
/.,/.,P
le,le,71
vrai,vrai,30
sommeil,sommeil,21
ne,ne,60
vint,venir,19
point,point,60
;,;,p
et,et,82
toute,tout,75
la,le,71
nuit,nuit,22
il,il,51
les,le,52
vit,voir,19
errer,errer,14
autour,autour,60
de,de,81
lui,lui,51
",",",",p
le,le,52
bravant,braver,13
et,et,82
l',le,71
irritant,irritant,30
",",",",p
disparaissant,disparaître,13
comme,comme,83
pour,pour,81
lui,lui,51
permettre,permettre,14
de,de,81
s',se,51
endormir,endormir,14
enfin,enfin,60
",",",",p
et,et,82
dès,dès,81
que,que,83
l',le,71
oubli,oubli,21
l',le,52
avait,avoir,18
enveloppé,envelopper,12
",",",",p
reparaissant,reparaître,13
et,et,82
le,le,52
réveillant,réveiller,13
par,par,81
un,un,71
spasme,spasme,21
aigu,aigu,30
de,de,81
jalousie,jalousie,22
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
il,il,51
sortit,sortir,19
de,de,81
son,son,73
lit,lit,21
aux,à,81
aux,le,71
premières,premier,72
lueurs,lueur,22
de,de,81
l',le,71
aube,aube,22
et,et,82
s',se,51
en,en,52
alla,aller,19
dans,dans,81
la,le,71
forêt,forêt,22
une,un,71
canne,canne,22
à,à,81
la,le,71
main,main,22
",",",",p
une,un,71
forte,fort,30
canne,canner,17
oubliée,oublié,31
dans,dans,81
sa,son,73
nouvelle,nouveau,30
maison,maison,22
par,par,81
le,le,71
dernier,dernier,21
habitant,habiter,13
/.,/.,P
le,le,71
soleil,soleil,21
levé,levé,31
tombait,tomber,18
à,à,81
travers,travers,21
les,le,71
cimes,cime,22
presque,presque,60
chauves,chauve,30
encore,encore,60
des,de,81
des,le,71
chênes,chêne,21
",",",",p
sur,sur,81
le,le,71
sol,sol,21
tapissé,tapissé,31
par,par,81
places,place,22
d',de,81
herbe,herbe,22
verdoyante,verdoyant,30
",",",",p
plus,plus,60
loin,loin,60
d',de,81
un,un,71
tapis,tapis,21
de,de,81
feuilles,feuille,22
mortes,mort,31
",",",",p
plus,plus,60
loin,loin,60
de,de,81
bruyères,bruyère,22
roussies,roussi,31
par,par,81
l',le,71
hiver,hiver,21
;,;,p
et,et,82
des,de,81
des,le,71
papillons,papillon,21
jaunes,jaune,30
voltigeaient,voltiger,18
le,le,71
long,long,21
de,de,81
la,le,71
route,route,22
",",",",p
comme,comme,83
de,de,81
petites,petit,30
flammes,flamme,22
dansantes,dansant,30
/.,/.,P
un,un,71
coteau,coteau,21
",",",",p
presque,presque,60
un,un,71
mont,mont,21
",",",",p
couvert,couvert,21
de,de,81
pins,pin,21
et,et,82
de,de,81
rocs,roc,21
bleuâtres,bleuâtre,30
",",",",p
apparut,apparaître,19
à,à,81
droite,droite,22
du,de,81
du,le,71
chemin,chemin,21
/.,/.,P
Mariolle,Mariolle,20
le,le,52
gravit,gravir,19
lentement,lentement,60
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
fut,être,19
au,à,81
au,le,71
sommet,sommet,21
",",",",p
s',se,51
assit,asseoir,19
sur,sur,81
une,un,71
grosse,gros,30
pierre,pierre,22
",",",",p
car,car,82
il,il,51
était,être,18
déjà,déjà,60
haletant,haletant,30
/.,/.,P
ses,son,73
jambes,jambe,22
ne,ne,60
le,le,52
soutenaient,soutenir,18
plus,plus,60
",",",",p
défaillantes,défaillant,30
de,de,81
faiblesse,faiblesse,22
;,;,p
son,son,73
coeur,coeur,21
battait,battre,18
;,;,p
tout,tout,75
son,son,73
corps,corps,21
semblait,sembler,18
meurtri,meurtri,31
par,par,81
une,un,71
inconcevable,inconcevable,30
courbature,courbaturer,17
/.,/.,P
cet,ce,74
accablement,accablement,21
",",",",p
il,il,51
le,le,52
savait,savoir,18
",",",",p
ne,ne,60
venait,venir,18
point,point,60
de,de,81
fatigue,fatigue,22
:,:,p
il,il,51
venait,venir,18
d',de,81
elle,il,51
",",",",p
de,de,81
cet,ce,74
amour,amour,21
pesant,pesant,30
sur,sur,81
lui,lui,51
comme,comme,83
un,un,71
poids,poids,21
intolérable,intolérable,30
;,;,p
et,et,82
il,il,51
murmura,murmurer,19
:,:,p
“,“,p
quel,quel,75
misère,misère,22
/!,/!,P
pourquoi,pourquoi,60
me,je,51
tient,tenir,17
elle,il,51
ainsi,ainsi,60
",",",",p
moi,moi,51
qui,qui,52
n',ne,60
ai,avoir,17
jamais,jamais,60
pris,prendre,12
de,de,81
l',le,71
existence,existence,22
que,que,83
ce,ce,52
qu',que,52
il,il,51
en,en,52
fallait,falloir,18
prendre,prendre,14
pour,pour,81
la,le,52
goûter,goûter,14
sans,sans,81
en,en,52
souffrir,souffrir,14
/?,/?,P
son,son,73
attention,attention,22
",",",",p
surexcitée,surexcité,31
",",",",p
aiguisée,aiguisé,31
par,par,81
la,le,71
peur,peur,22
de,de,81
ce,ce,74
mal,mal,21
qui,qui,52
serait,être,16
peut-être,peut-être,60
si,si,60
difficile,difficile,30
à,à,81
vaincre,vaincre,14
",",",",p
se,se,51
fixa,fixer,19
sur,sur,81
lui-même,lui-même,51
et,et,82
fouilla,fouiller,19
son,son,73
âme,âme,22
",",",",p
descendit,descendre,19
dans,dans,81
son,son,73
être,être,14
intime,intime,30
",",",",p
cherchant,chercher,13
à,à,81
le,le,71
mieux,mieux,60
connaître,connaître,14
",",",",p
à,à,81
le,le,71
mieux,mieux,60
comprendre,comprendre,14
",",",",p
à,à,81
dévoiler,dévoiler,14
à,à,81
ses,son,73
propres,propre,30
yeux,oeil,21
le,le,71
pourquoi,pourquoi,60
de,de,81
cette,ce,74
inexplicable,inexplicable,30
crise,crise,22
/.,/.,P
il,il,51
se,se,51
disait,dire,18
:,:,p
“,“,p
je,je,51
n',ne,60
avais,avoir,18
jamais,jamais,60
subi,subir,12
d',de,81
entraînement,entraînement,21
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
exalté,exalté,21
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
passionné,passionné,21
;,;,p
j',je,51
ai,avoir,17
plus,plus,60
de,de,81
jugement,jugement,21
que,que,83
d',de,81
instinct,instinct,21
",",",",p
de,de,81
curiosités,curiosité,22
que,que,83
d',de,81
appétits,appétit,21
",",",",p
de,de,81
fantaisie,fantaisie,22
que,que,83
de,de,81
persévérance,persévérance,22
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
au,à,81
au,le,71
fond,fond,21
qu',que,83
un,un,71
jouisseur,jouisseur,21
délicat,délicat,30
",",",",p
intelligent,intelligent,30
et,et,82
difficile,difficile,30
/.,/.,P
j',je,51
ai,avoir,17
aimé,aimer,12
les,le,71
choses,chose,22
de,de,81
la,le,71
vie,vie,22
sans,sans,81
m',je,51
y,y,52
attacher,attacher,14
jamais,jamais,60
beaucoup,beaucoup,60
",",",",p
avec,avec,81
des,de,81
des,le,71
sens,sens,21
d',de,81
expert,expert,21
qui,qui,52
savoure,savourer,17
et,et,82
ne,ne,60
se,se,51
grise,griser,17
point,point,60
",",",",p
qui,qui,52
comprend,comprendre,17
trop,trop,60
pour,pour,81
perdre,perdre,14
la,le,71
tête,tête,22
/.,/.,P
je,je,51
raisonne,raisonner,17
tout,tout,52
",",",",p
et,et,82
j',je,51
analyse,analyser,17
d',de,81
ordinaire,ordinaire,21
trop,trop,60
bien,bien,60
mes,mon,73
goûts,goût,21
pour,pour,81
les,le,52
subir,subir,14
aveuglément,aveuglément,60
/.,/.,P
c',ce,52
est,être,17
même,même,60
là,là,60
mon,mon,73
grand,grand,30
défaut,défaut,21
",",",",p
la,le,71
cause,cause,22
unique,unique,30
de,de,81
ma,mon,73
faiblesse,faiblesse,22
/.,/.,P
et,et,82
voilà,voilà,81
que,que,83
cette,ce,74
femme,femme,22
s',se,51
est,être,17
imposée,imposer,12
à,à,81
moi,moi,51
",",",",p
malgré,malgré,81
moi,moi,51
",",",",p
malgré,malgré,81
ma,mon,73
peur,peur,22
et,et,82
ma,mon,73
connaissance,connaissance,22
d',de,81
elle,il,51
;,;,p
et,et,82
elle,il,51
me,je,51
possède,posséder,17
comme,comme,83
si,si,83
elle,il,51
avait,avoir,18
cueilli,cueillir,12
une,un,52
à,à,81
une,un,52
toutes,tout,75
les,le,71
aspirations,aspiration,22
diverses,divers,30
qui,qui,52
étaient,être,18
en,en,81
moi,moi,51
/.,/.,P
c',ce,52
est,être,17
cela,cela,52
peut-être,peut-être,60
/.,/.,P
je,je,51
les,le,52
éparpillais,éparpiller,18
vers,vers,81
des,de,81
des,le,71
choses,chose,22
inanimées,inanimé,30
",",",",p
vers,vers,81
la,le,71
nature,nature,22
qui,qui,52
me,je,51
séduit,séduire,17
et,et,82
m',je,51
attendrit,attendrir,17
",",",",p
vers,vers,81
la,le,71
musique,musique,22
",",",",p
qui,qui,52
est,être,17
une,un,71
espèce,espèce,22
de,de,81
caresse,caresse,22
idéale,idéal,30
",",",",p
vers,vers,81
la,le,71
pensée,pensée,22
qui,qui,52
est,être,17
la,le,71
gourmandise,gourmandise,22
de,de,81
l',le,71
esprit,esprit,21
",",",",p
et,et,82
vers,vers,81
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
agréable,agréable,30
et,et,82
beau,beau,30
sur,sur,81
la,le,71
terre,terre,22
/.,/.,P
“,“,p
puis,puis,60
",",",",p
j',je,51
ai,avoir,17
rencontré,rencontrer,12
une,un,71
créature,créature,22
qui,qui,52
a,avoir,17
ramassé,ramasser,12
tous,tout,75
mes,mon,73
désirs,désir,21
un,un,71
peu,peu,60
hésitants,hésitant,30
et,et,82
changeants,changeant,30
",",",",p
et,et,82
",",",",p
les,le,52
tournant,tourner,13
vers,vers,81
elle,il,51
",",",",p
en,en,52
a,avoir,17
fait,faire,12
de,de,81
l',le,71
amour,amour,21
/.,/.,P
élégante,élégant,30
et,et,82
jolie,joli,30
",",",",p
elle,il,51
a,avoir,17
plu,plaire,12
à,à,81
mes,mon,73
yeux,oeil,21
;,;,p
fine,fine,22
",",",",p
intelligente,intelligent,30
et,et,82
rusée,rusé,31
",",",",p
elle,il,51
a,avoir,17
plu,plaire,12
à,à,81
mon,mon,73
âme,âme,22
;,;,p
et,et,82
elle,il,51
a,avoir,17
plu,plaire,12
à,à,81
mon,mon,73
coeur,coeur,21
par,par,81
un,un,71
agrément,agrément,21
mystérieux,mystérieux,30
de,de,81
son,son,73
contact,contact,21
et,et,82
de,de,81
sa,son,73
présence,présence,22
",",",",p
par,par,81
une,un,71
secrète,secret,30
et,et,82
irrésistible,irrésistible,30
émanation,émanation,22
de,de,81
sa,son,73
personne,personne,22
qui,qui,52
m',je,51
ont,avoir,17
conquis,conquérir,12
comme,comme,83
engourdissent,engourdir,17
certaines,certain,75
fleurs,fleur,22
/.,/.,P
“,“,p
elle,il,51
a,avoir,17
tout,tout,52
remplacé,remplacer,12
pour,pour,81
moi,moi,51
",",",",p
car,car,82
je,je,51
n',ne,60
aspire,aspirer,17
plus,plus,60
à,à,81
rien,rien,52
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
besoin,besoin,21
",",",",p
envie,envie,22
ni,ni,82
souci,souci,21
de,de,81
rien,rien,52
/.,/.,P
“,“,p
autrefois,autrefois,60
",",",",p
comme,comme,83
j',je,51
aurais,avoir,16
tressailli,tressaillir,12
et,et,82
vibré,vibrer,12
dans,dans,81
cette,ce,74
forêt,forêt,22
qui,qui,52
renaît,renaître,17
/!,/!,P
aujourd'hui,aujourd'hui,60
je,je,51
ne,ne,60
la,le,52
vois,voir,17
pas,pas,60
",",",",p
je,je,51
ne,ne,60
la,le,52
sens,sentir,17
pas,pas,60
",",",",p
je,je,51
n',ne,60
y,y,52
suis,être,17
point,point,60
;,;,p
je,je,51
suis,être,17
toujours,toujours,60
près,près,81
de,de,81
cette,ce,74
femme,femme,22
",",",",p
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
aimer,aimer,14
/.,/.,P
“,“,p
allons,aller,17
/!,/!,P
il,il,51
faut,falloir,17
que,que,83
je,je,51
tue,tuer,17
mes,mon,73
idées,idée,22
par,par,81
la,le,71
fatigue,fatigue,22
",",",",p
sans,sans,81
quoi,quoi,52
je,je,51
ne,ne,60
me,je,51
guérirai,guérir,15
pas,pas,60
/.,/.,P
“,“,p
il,il,51
se,se,51
leva,lever,19
",",",",p
descendit,descendre,19
le,le,71
coteau,coteau,21
rocheux,rocheux,30
",",",",p
et,et,82
se,se,51
remit,remettre,19
en,en,81
marche,marche,22
à,à,81
grands,grand,30
pas,pas,21
/.,/.,P
mais,mais,82
l',le,71
obsession,obsession,22
l',le,52
écrasait,écraser,18
comme,comme,83
s',si,83
il,il,51
l',le,52
eût,avoir,19
portée,porter,12
sur,sur,81
ses,son,73
reins,rein,21
/.,/.,P
il,il,51
allait,aller,18
hâtant,hâter,13
toujours,toujours,60
sa,son,73
marche,marche,22
",",",",p
et,et,82
rencontrant,rencontrer,13
parfois,parfois,60
",",",",p
à,à,81
la,le,71
vue,vue,22
du,de,81
du,le,71
soleil,soleil,21
plongeant,plongeant,30
dans,dans,81
les,le,71
feuillages,feuillage,21
ou,ou,82
bien,bien,60
au,à,81
au,le,71
passage,passage,21
d',de,81
un,un,71
souffle,souffle,21
résineux,résineux,30
tombé,tombé,31
d',de,81
un,un,71
bouquet,bouquet,21
de,de,81
sapin,sapin,21
",",",",p
une,un,71
courte,court,30
sensation,sensation,22
de,de,81
soulagement,soulagement,21
",",",",p
pareille,pareil,30
au,à,81
au,le,71
pressentiment,pressentiment,21
de,de,81
la,le,71
consolation,consolation,22
lointaine,lointain,30
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
il,il,51
s',se,51
arrêta,arrêter,19
:,:,p
“,“,p
je,je,51
ne,ne,60
me,je,51
promène,promener,17
plus,plus,60
",",",",p
se,se,51
dit,dire,19
il,il,51
:,:,p
je,je,51
fuis,fuir,19
/.,/.,P
“,“,p
il,il,51
fuyait,fuir,18
",",",",p
en,en,81
effet,effet,21
",",",",p
devant,devant,81
lui,lui,51
",",",",p
n',ne,60
importe,importer,17
où,où,60
;,;,p
il,il,51
fuyait,fuir,18
",",",",p
poursuivi,poursuivi,31
par,par,81
l',le,71
angoisse,angoisse,22
de,de,81
cet,ce,74
amour,amour,21
rompu,rompu,31
/.,/.,P
puis,puis,60
il,il,51
repartit,repartir,19
à,à,81
pas,pas,21
plus,plus,60
tranquilles,tranquille,30
/.,/.,P
la,le,71
forêt,forêt,22
changeait,changer,18
d',de,81
aspect,aspect,21
",",",",p
devenait,devenir,18
plus,plus,60
épanouie,épanoui,31
et,et,82
plus,plus,60
ombrée,ombré,31
",",",",p
car,car,82
il,il,51
entrait,entrer,18
dans,dans,81
la,le,71
partie,partie,22
la,le,71
plus,plus,60
chaude,chaud,30
",",",",p
dans,dans,81
l',le,71
admirable,admirable,30
région,région,22
des,de,81
des,le,71
hêtres,hêtre,21
/.,/.,P
aucune,aucun,75
sensation,sensation,22
de,de,81
l',le,71
hiver,hiver,21
ne,ne,60
restait,rester,18
plus,plus,60
/.,/.,P
c',ce,52
était,être,18
un,un,71
printemps,printemps,21
extraordinaire,extraordinaire,30
",",",",p
qui,qui,52
semblait,sembler,18
né,né,31
dans,dans,81
la,le,71
nuit,nuit,22
même,même,30
",",",",p
tant,tant,60
il,il,51
était,être,18
frais,frais,30
et,et,82
jeune,jeune,30
/.,/.,P
Mariolle,Mariolle,20
pénétra,pénétrer,19
dans,dans,81
les,le,71
fourrés,fourré,21
",",",",p
sous,sous,81
les,le,71
arbres,arbre,21
gigantesques,gigantesque,30
qui,qui,52
s',se,51
élevaient,élever,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
",",",",p
et,et,82
il,il,51
alla,aller,19
devant,devant,81
lui,lui,51
longtemps,longtemps,60
",",",",p
une,un,71
heure,heure,22
",",",",p
deux,deux,72
heures,heure,22
",",",",p
à,à,81
travers,travers,21
les,le,71
branches,branche,22
",",",",p
à,à,81
travers,travers,21
l',le,71
innombrable,innombrable,30
multitude,multitude,22
des,de,81
des,le,71
petites,petit,30
feuilles,feuille,22
luisantes,luisant,30
",",",",p
huilées,huilé,31
et,et,82
vernies,verni,31
de,de,81
sève,sève,22
/.,/.,P
la,le,71
voûte,voûte,22
immense,immense,30
des,de,81
des,le,71
cimes,cime,22
voilait,voiler,18
tout,tout,75
le,le,71
ciel,ciel,21
",",",",p
supportée,supporté,31
par,par,81
de,de,81
longues,long,30
colonnes,colonne,22
",",",",p
droites,droite,22
ou,ou,82
penchées,penché,31
",",",",p
parfois,parfois,60
blanchâtres,blanchâtre,30
",",",",p
parfois,parfois,60
sombres,sombre,30
sous,sous,81
une,un,71
mousse,mousse,22
noire,noir,30
attachée,attaché,31
à,à,81
l',le,71
écorce,écorce,22
/.,/.,P
elles,ils,51
montaient,monter,18
indéfiniment,indéfiniment,60
",",",",p
les,le,71
unes,un,52
derrière,derrière,81
les,le,71
autres,autre,52
",",",",p
dominant,dominer,13
les,le,71
jeunes,jeune,30
taillis,taillis,21
emmêlés,emmêlé,31
et,et,82
poussés,poussé,31
à,à,81
leur,leur,73
pied,pied,21
",",",",p
et,et,82
les,le,52
couvrant,couvrir,13
d',de,81
un,un,71
nuage,nuage,21
épais,épais,30
que,que,52
traversaient,traverser,18
cependant,cependant,82
des,de,81
des,le,71
cataractes,cataracte,22
de,de,81
soleil,soleil,21
/.,/.,P
la,le,71
pluie,pluie,22
de,de,81
feu,feu,21
glissait,glisser,18
",",",",p
coulait,couler,18
dans,dans,81
tout,tout,75
ce,ce,74
feuillage,feuillage,21
épandu,épandu,31
qui,qui,52
n',ne,60
avait,avoir,18
plus,plus,60
l',le,71
air,air,21
d',de,81
un,un,71
bois,bois,21
",",",",p
mais,mais,82
d',de,81
une,un,71
éclatante,éclatant,30
vapeur,vapeur,22
de,de,81
verdure,verdure,22
illuminée,illuminé,31
de,de,81
rayons,rayon,21
jaunes,jaune,30
/.,/.,P
Mariolle,Mariolle,20
s',se,51
arrêta,arrêter,19
",",",",p
ému,ému,31
d',de,81
une,un,71
inexprimable,inexprimable,30
surprise,surpris,31
/.,/.,P
où,où,60
était,être,18
il,il,51
/?,/?,P
dans,dans,81
une,un,71
forêt,forêt,22
ou,ou,82
bien,bien,60
tombé,tombé,31
au,à,81
au,le,71
fond,fond,21
d',de,81
une,un,71
mer,mer,22
",",",",p
d',de,81
une,un,71
mer,mer,22
toute,tout,52
en,en,81
feuilles,feuille,22
et,et,82
toute,tout,52
en,en,81
lumière,lumière,22
",",",",p
d',de,81
un,un,71
océan,océan,21
doré,doré,31
de,de,81
clarté,clarté,22
verte,vert,30
/?,/?,P
il,il,51
se,se,51
sentit,sentir,19
mieux,mieux,60
",",",",p
plus,plus,60
loin,loin,60
de,de,81
son,son,73
malheur,malheur,21
",",",",p
plus,plus,60
caché,caché,31
",",",",p
plus,plus,60
calme,calme,30
",",",",p
et,et,82
il,il,51
se,se,51
coucha,coucher,19
par,par,81
terre,terre,22
sur,sur,81
le,le,71
tapis,tapis,21
roux,roux,30
de,de,81
feuillage,feuillage,21
mort,mort,31
que,que,52
ces,ce,74
arbres,arbre,21
ne,ne,60
laissent,laisser,17
tomber,tomber,14
qu',que,83
au,à,81
au,le,71
moment,moment,21
où,où,60
ils,ils,51
se,se,51
couvrent,couvrir,17
d',de,81
une,un,71
vêture,vêture,22
nouvelle,nouveau,30
/.,/.,P
jouissant,jouir,13
du,de,81
du,le,71
contact,contact,21
frais,frais,30
de,de,81
la,le,71
terre,terre,22
et,et,82
de,de,81
la,le,71
pure,pur,30
douceur,douceur,22
de,de,81
l',le,71
air,air,21
",",",",p
il,il,51
fut,être,19
d'abord,d'abord,60
envahi,envahir,12
par,par,81
une,un,71
envie,envie,22
",",",",p
vague,vague,22
d'abord,d'abord,60
",",",",p
puis,puis,60
plus,plus,60
précise,précis,30
",",",",p
de,de,81
n',ne,60
être,être,14
pas,pas,60
seul,seul,30
en,en,81
ce,ce,74
lieu,lieu,21
charmant,charmant,30
",",",",p
et,et,82
il,il,51
se,se,51
dit,dire,19
:,:,p
“,“,p
ah,ah,93
!,!,p
si,si,83
je,je,51
l',le,52
avais,avoir,18
ici,ici,60
",",",",p
avec,avec,81
moi,moi,51
/!,/!,P
il,il,51
revit,revoir,19
brusquement,brusquement,60
le,le,71
Mont Saint-Michel,Mont Saint-Michel,20
",",",",p
et,et,82
",",",",p
se,se,51
rappelant,rappeler,13
combien,combien,60
elle,il,51
avait,avoir,18
été,être,12
différente,différent,30
",",",",p
là-bas,là-bas,60
",",",",p
de,de,81
ce,ce,52
qu',que,52
elle,il,51
était,être,18
à,à,81
Paris,Paris,20
",",",",p
en,en,81
cet,ce,74
éveil,éveil,21
d',de,81
affection,affection,22
éclose,éclos,31
au,à,81
au,le,71
vent,vent,21
du,de,81
du,le,71
large,large,21
",",",",p
en,en,81
face,face,22
des,de,81
des,le,71
sables,sable,21
blonds,blond,30
",",",",p
il,il,51
pensa,penser,19
que,que,83
ce,ce,74
jour,jour,21
là,là,60
seulement,seulement,60
elle,il,51
l',le,52
avait,avoir,18
aimé,aimer,12
un,un,71
peu,peu,60
",",",",p
pendant,pendant,81
quelques,quelque,75
heures,heure,22
/.,/.,P
certes,certes,60
",",",",p
sur,sur,81
la,le,71
route,route,22
où,où,60
fuyait,fuir,18
le,le,71
flot,flot,21
",",",",p
dans,dans,81
le,le,71
cloître,cloître,21
où,où,60
",",",",p
murmurant,murmurer,13
son,son,73
prénom,prénom,21
seul,seul,30
:,:,p
“,“,p
André,André,20
“,“,p
",",",",p
elle,il,51
avait,avoir,18
semblé,sembler,12
dire,dire,14
:,:,p
“,“,p
je,je,51
suis,être,17
à,à,81
vous,vous,51
“,“,p
",",",",p
et,et,82
sur,sur,81
le,le,71
chemin,chemin,21
des,de,81
des,le,71
fous,fou,21
où,où,60
il,il,51
l',le,52
avait,avoir,18
presque,presque,60
portée,porter,12
dans,dans,81
l',le,71
espace,espace,21
",",",",p
elle,il,51
avait,avoir,18
eu,avoir,12
pour,pour,81
lui,lui,51
une,un,71
sorte,sorte,22
d',de,81
entraînement,entraînement,21
",",",",p
jamais,jamais,60
revenu,revenu,31
depuis,depuis,81
que,que,83
son,son,73
pied,pied,21
de,de,81
coquette,coquette,22
avait,avoir,18
retrouvé,retrouver,12
le,le,71
pavé,pavé,21
parisien,parisien,30
/.,/.,P
mais,mais,82
ici,ici,60
",",",",p
avec,avec,81
lui,lui,51
",",",",p
dans,dans,81
ce,ce,74
bain,bain,21
verdoyant,verdoyant,30
",",",",p
dans,dans,81
cette,ce,74
autre,autre,75
marée,marée,22
faite,fait,31
de,de,81
sève,sève,22
nouvelle,nouveau,30
",",",",p
ne,ne,60
serait,être,16
elle,il,51
pas,pas,60
rentrée,rentrer,12
en,en,81
son,son,73
coeur,coeur,21
",",",",p
l',le,71
émotion,émotion,22
fugace,fugace,30
et,et,82
douce,doux,30
rencontrée,rencontré,31
sur,sur,81
la,le,71
côte,côte,22
normande,normand,30
/?,/?,P
il,il,51
demeurait,demeurer,18
allongé,allongé,31
sur,sur,81
le,le,71
dos,dos,21
",",",",p
toujours,toujours,60
meurtri,meurtri,31
par,par,81
sa,son,73
songerie,songerie,22
",",",",p
le,le,71
regard,regard,21
perdu,perdu,31
dans,dans,81
l',le,71
onde,onde,22
ensoleillée,ensoleillé,31
des,de,81
des,le,71
cimes,cime,22
;,;,p
et,et,82
",",",",p
peu,peu,60
à,à,81
peu,peu,60
",",",",p
il,il,51
fermait,fermer,18
les,le,71
yeux,oeil,21
",",",",p
engourdi,engourdi,31
sous,sous,81
la,le,71
grande,grand,30
tranquillité,tranquillité,22
des,de,81
des,le,71
arbres,arbre,21
/.,/.,P
à,à,81
la,le,71
fin,fin,22
",",",",p
il,il,51
s',se,51
endormit,endormir,19
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
se,se,51
réveilla,réveiller,19
",",",",p
il,il,51
s',se,51
aperçut,apercevoir,19
qu',que,83
il,il,51
était,être,18
plus,plus,60
de,de,81
deux,deux,72
heures,heure,22
de,de,81
l',le,71
après-midi,après-midi,21
/.,/.,P
s',se,51
étant,être,13
relevé,relever,12
",",",",p
il,il,51
se,se,51
sentit,sentir,19
un,un,71
peu,peu,60
moins,moins,60
triste,triste,30
",",",",p
un,un,71
peu,peu,60
moins,moins,60
malade,malade,30
",",",",p
et,et,82
se,se,51
remit,remettre,19
en,en,81
route,route,22
/.,/.,P
il,il,51
sortit,sortir,19
enfin,enfin,60
de,de,81
l',le,71
épaisseur,épaisseur,22
du,de,81
du,le,71
bois,bois,21
",",",",p
et,et,82
entra,entrer,19
dans,dans,81
un,un,71
large,large,30
carrefour,carrefour,21
où,où,60
aboutissaient,aboutir,18
",",",",p
comme,comme,83
les,le,71
rayons,rayon,21
d',de,81
une,un,71
couronne,couronne,22
",",",",p
six,six,72
avenues,avenue,22
incroyablement,incroyablement,60
hautes,haut,30
",",",",p
qui,qui,52
se,se,51
perdaient,perdre,18
en,en,81
des,de,81
des,le,71
lointains,lointain,21
feuillus,feuillu,30
et,et,82
transparents,transparent,30
",",",",p
dans,dans,81
un,un,71
air,air,21
teinté,teinté,31
d',de,81
émeraude,émeraude,22
/.,/.,P
un,un,71
poteau,poteau,21
indiquait,indiquer,18
le,le,71
nom,nom,21
de,de,81
ce,ce,74
lieu,lieu,21
:,:,p
“,“,p
le,le,71
Bouquet,Bouquet,20
du,de,81
du,le,71
roi,roi,21
“,“,p
/.,/.,P
c',ce,52
était,être,18
vraiment,vraiment,60
la,le,71
capitale,capitale,22
du,de,81
du,le,71
royal,royal,30
pays,pays,21
des,de,81
des,le,71
hêtres,hêtre,21
/.,/.,P
une,un,71
voiture,voiture,22
passa,passer,19
/.,/.,P
elle,il,51
