11335
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente et unième extrait>,<>,<>
de,de,81
la,le,71
garnison,garnison,22
de,de,81
la,le,71
citadelle,citadelle,22
/.,/.,P
cet,ce,74
homme,homme,21
",",",",p
frondeur,frondeur,30
adroit,adroit,30
",",",",p
trompait,tromper,18
les,le,71
soldats,soldat,21
placés,placé,31
en,en,81
sentinelle,sentinelle,22
aux,à,81
aux,le,71
angles,angle,21
et,et,82
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
palais,palais,21
du,de,81
du,le,71
gouverneur,gouverneur,21
ou,ou,82
s',se,51
arrangeait,arranger,18
avec,avec,81
eux,ils,51
/.,/.,P
“,“,p
il,il,51
faut,falloir,17
te,tu,51
sauver,sauver,14
avec,avec,81
des,de,81
des,le,71
cordes,corde,22
:,:,p
je,je,51
frémis,frémir,17
en,en,81
te,tu,51
donnant,donner,13
cet,ce,74
avis,avis,21
étrange,étrange,30
",",",",p
j',je,51
hésite,hésiter,17
depuis,depuis,81
plus,plus,60
de,de,81
deux,deux,72
mois,mois,21
entiers,entier,30
à,à,81
te,tu,51
dire,dire,14
cette,ce,74
parole,parole,22
;,;,p
mais,mais,82
l',le,71
avenir,avenir,21
officiel,officiel,30
se,se,51
rembrunit,rembrunir,17
chaque,chaque,75
jour,jour,21
",",",",p
et,et,82
l',l',94
on,on,51
peut,pouvoir,17
s',se,51
attendre,attendre,14
à,à,81
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
pis,pis,60
/.,/.,P
à,à,81
propos,propos,21
",",",",p
recommence,recommencer,17
à,à,81
l',le,71
instant,instant,21
les,le,71
signaux,signal,21
avec,avec,81
ta,ton,73
lampe,lampe,22
",",",",p
pour,pour,81
nous,nous,51
prouver,prouver,14
que,que,83
tu,tu,51
as,avoir,17
reçu,recevoir,12
cette,ce,74
lettre,lettre,22
dangereuse,dangereux,30
;,;,p
marque,marque,22
P,P,20
",",",",p
B,B,20
et,et,82
G,G,20
à,à,81
la,le,71
monaca,monaca,92
",",",",p
c'est-à-dire,c'est-à-dire,91
quatre,quatre,72
",",",",p
douze,douze,72
et,et,82
deux,deux,72
;,;,p
je,je,51
ne,ne,60
respirerai,respirer,15
pas,pas,60
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
j',je,51
aie,avoir,17
vu,voir,12
ce,ce,74
signal,signal,21
;,;,p
je,je,51
suis,être,17
à,à,81
la,le,71
tour,tour,22
",",",",p
on,on,51
répondra,répondre,15
par,par,81
N,N,20
et,et,82
O,O,20
",",",",p
sept,sept,72
et,et,82
cinq,cinq,72
/.,/.,P
la,le,71
réponse,réponse,22
reçue,reçu,31
",",",",p
ne,ne,60
fais,faire,17
plus,plus,60
aucun,aucun,75
signal,signal,21
",",",",p
et,et,82
occupe,occuper,17
toi,toi,51
uniquement,uniquement,60
à,à,81
comprendre,comprendre,14
ma,mon,73
lettre,lettre,22
/.,/.,P
“,“,p
Fabrice,Fabrice,20
se,se,51
hâta,hâter,19
d',de,81
obéir,obéir,14
",",",",p
et,et,82
fit,faire,19
les,le,71
signaux,signal,21
convenus,convenu,31
qui,qui,52
furent,être,19
suivis,suivre,12
des,de,81
des,le,71
réponses,réponse,22
annoncées,annoncé,31
",",",",p
puis,puis,60
il,il,51
continua,continuer,19
la,le,71
lecture,lecture,22
de,de,81
la,le,71
lettre,lettre,22
/.,/.,P
“,“,p
on,on,51
peut,pouvoir,17
s',se,51
attendre,attendre,14
à,à,81
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
pis,pis,60
;,;,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
m',je,51
ont,avoir,17
déclaré,déclarer,12
les,le,71
trois,trois,72
hommes,homme,21
dans,dans,81
lesquels,lequel,52
j',je,51
ai,avoir,17
le,le,71
plus,plus,60
de,de,81
confiance,confiance,22
",",",",p
après,après,81
que,que,83
je,je,51
leur,leur,52
ai,avoir,17
fait,faire,12
jurer,jurer,14
sur,sur,81
l',le,71
Evangile,évangile,21
de,de,81
me,je,51
dire,dire,14
la,le,71
vérité,vérité,22
",",",",p
quelque,quelque,75
cruelle,cruel,30
qu',que,52
elle,il,51
pût,pouvoir,18
être,être,14
pour,pour,81
moi,moi,51
/.,/.,P
le,le,71
premier,premier,72
de,de,81
ces,ce,74
hommes,homme,21
menaça,menacer,19
le,le,71
chirurgien,chirurgien,21
dénonciateur,dénonciateur,30
à,à,81
Ferrare,Ferrare,20
de,de,81
tomber,tomber,14
sur,sur,81
lui,lui,51
avec,avec,81
un,un,71
couteau,couteau,21
ouvert,ouvert,31
à,à,81
la,le,71
main,main,22
;,;,p
le,le,71
second,second,72
te,tu,51
dit,dire,19
à,à,81
ton,ton,73
retour,retour,21
de,de,81
Belgirate,Belgirate,20
",",",",p
qu',que,83
il,il,51
aurait,avoir,16
été,être,12
plus,plus,60
strictement,strictement,60
prudent,prudent,30
de,de,81
donner,donner,14
un,un,71
coup,coup,21
de,de,81
pistolet,pistolet,21
au,à,81
au,le,71
valet,valet,21
de,de,81
chambre,chambre,22
qui,qui,52
arrivait,arriver,18
en,en,81
chantant,chanter,13
dans,dans,81
le,le,71
bois,bois,21
et,et,82
conduisant,conduire,13
en,en,81
laisse,laisse,22
un,un,71
beau,beau,30
cheval,cheval,21
un,un,71
peu,peu,60
maigre,maigre,30
;,;,p
tu,tu,51
ne,ne,60
connais,connaître,17
pas,pas,60
le,le,71
troisième,troisième,72
",",",",p
c',ce,52
est,être,17
un,un,71
voleur,voleur,21
de,de,81
grand,grand,30
chemin,chemin,21
de,de,81
mes,mon,73
amis,ami,21
",",",",p
homme,homme,21
d',de,81
exécution,exécution,22
s',si,83
il,il,51
en,en,52
fut,être,19
",",",",p
et,et,82
qui,qui,52
autant,autant,60
de,de,81
courage,courage,21
que,que,83
toi,toi,51
;,;,p
c',ce,52
est,être,17
pourquoi,pourquoi,60
surtout,surtout,60
je,je,51
lui,lui,51
ai,avoir,17
demandé,demander,12
de,de,81
me,je,51
déclarer,déclarer,14
ce,ce,52
que,que,52
tu,tu,51
devais,devoir,18
faire,faire,14
/.,/.,P
tous,tout,75
les,le,71
trois,trois,72
m',je,51
ont,avoir,17
dit,dire,12
",",",",p
sans,sans,81
savoir,savoir,14
chacun,chacun,52
que,que,83
j',je,51
eusse,avoir,18
consulté,consulter,12
les,le,71
deux,deux,72
autres,autre,52
",",",",p
qu',que,83
il,il,51
vaut,valoir,17
mieux,mieux,60
s',se,51
exposer,exposer,14
à,à,81
se,se,51
casser,casser,14
le,le,71
cou,cou,21
que,que,83
de,de,81
passer,passer,14
encore,encore,60
onze,onze,72
années,année,22
et,et,82
quatre,quatre,72
mois,mois,21
dans,dans,81
la,le,71
crainte,crainte,22
continuelle,continuel,30
d',de,81
un,un,71
poison,poison,21
fort,fort,60
probable,probable,30
/.,/.,P
“,“,p
il,il,51
faut,falloir,17
pendant,pendant,81
un,un,71
mois,mois,21
t',tu,51
exercer,exercer,14
dans,dans,81
ta,ton,73
chambre,chambre,22
à,à,81
monter,monter,14
et,et,82
descendre,descendre,14
au,à,81
au,le,71
moyen,moyen,21
d',de,81
une,un,71
corde,corde,22
nouée,noué,31
/.,/.,P
ensuite,ensuite,60
",",",",p
un,un,71
jour,jour,21
de,de,81
fête,fête,22
où,où,60
la,le,71
garnison,garnison,22
de,de,81
la,le,71
citadelle,citadelle,22
aura,avoir,15
reçu,recevoir,12
une,un,71
gratification,gratification,22
de,de,81
vin,vin,21
",",",",p
tu,tu,51
tenteras,tenter,15
la,le,71
grande,grand,30
entreprise,entreprise,22
/.,/.,P
tu,tu,51
auras,avoir,15
trois,trois,72
cordes,corde,22
en,en,81
soie,soie,22
et,et,82
chanvre,chanvre,21
",",",",p
de,de,81
la,le,71
grosseur,grosseur,22
d',de,81
une,un,71
plume,plume,22
de,de,81
cygne,cygne,21
",",",",p
la,le,71
première,premier,72
de,de,81
quatre,quatre,72
vingts,vingt,72
pieds,pied,21
pour,pour,81
descendre,descendre,14
les,le,71
trente,trente,72
cinq,cinq,72
pieds,pied,21
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
ta,ton,73
fenêtre,fenêtre,22
au,à,81
au,le,71
bois,bois,21
d',de,81
orangers,oranger,21
",",",",p
la,le,71
seconde,seconde,22
de,de,81
trois,trois,72
cents,cent,72
pieds,pied,21
",",",",p
et,et,82
c',ce,52
est,être,17
là,là,60
la,le,71
difficulté,difficulté,22
à,à,81
cause,cause,22
du,de,81
du,le,71
poids,poids,21
",",",",p
pour,pour,81
descendre,descendre,14
les,le,71
cent,cent,72
quatre,quatre,72
vingts,vingt,72
pieds,pied,21
qu',que,52
a,avoir,17
de,de,81
hauteur,hauteur,22
le,le,71
mur,mur,21
de,de,81
la,le,71
grosse,gros,30
tour,tour,22
;,;,p
une,un,71
troisième,troisième,72
de,de,81
trente,trente,72
pieds,pied,21
te,tu,51
servira,servir,15
à,à,81
descendre,descendre,14
le,le,71
rempart,rempart,21
/.,/.,P
je,je,51
passe,passer,17
ma,mon,73
vie,vie,22
à,à,81
étudier,étudier,14
le,le,71
grand,grand,30
mur,mur,21
à,à,81
l',le,71
orient,orient,21
",",",",p
c'est-à-dire,c'est-à-dire,91
du,de,81
du,le,71
côté,côté,21
de,de,81
Ferrare,Ferrare,20
:,:,p
une,un,71
fente,fente,22
causée,causé,31
par,par,81
un,un,71
tremblement,tremblement,21
de,de,81
terre,terre,22
a,avoir,17
été,être,12
remplie,remplir,12
au,à,81
au,le,71
moyen,moyen,21
d',de,81
un,un,71
contrefort,contrefort,21
qui,qui,52
forme,former,17
plan,plan,21
incliné,incliné,31
/.,/.,P
mon,mon,73
voleur,voleur,21
de,de,81
grand,grand,30
chemin,chemin,21
m',je,51
assure,assurer,17
qu',que,83
il,il,51
se,se,51
ferait,faire,16
fort,fort,30
de,de,81
descendre,descendre,14
de,de,81
ce,ce,74
côté,côté,21
là,là,60
sans,sans,81
trop,trop,60
de,de,81
difficulté,difficulté,22
et,et,82
sous,sous,81
peine,peine,22
seulement,seulement,60
de,de,81
quelques,quelque,75
écorchures,écorchure,22
",",",",p
en,en,81
se,se,51
laissant,laisser,13
glisser,glisser,14
sur,sur,81
le,le,71
plan,plan,21
incliné,incliné,31
formé,formé,31
par,par,81
ce,ce,74
contrefort,contrefort,21
/.,/.,P
l',le,71
espace,espace,21
vertical,vertical,30
n',ne,60
est,être,17
que,que,83
de,de,81
vingt,vingt,72
huit,huit,72
pieds,pied,21
tout,tout,60
à,à,81
fait,fait,21
au,à,81
au,le,71
bas,bas,21
;,;,p
ce,ce,74
côté,côté,21
est,être,17
le,le,71
moins,moins,60
bien,bien,60
gardé,garder,12
/.,/.,P
“,“,p
“,“,p
cependant,cependant,82
",",",",p
à,à,81
tout,tout,52
prendre,prendre,14
",",",",p
mon,mon,73
voleur,voleur,21
",",",",p
qui,qui,52
trois,trois,72
fois,fois,22
s',se,51
est,être,17
sauvé,sauver,12
de,de,81
prison,prison,22
",",",",p
et,et,82
que,que,52
tu,tu,51
aimerais,aimer,16
si,si,83
tu,tu,51
le,le,52
connaissais,connaître,18
",",",",p
quoiqu',quoique,83
il,il,51
exècre,exécrer,17
les,le,71
gens,gens,21
de,de,81
ta,ton,73
caste,caste,22
;,;,p
mon,mon,73
voleur,voleur,21
de,de,81
grand,grand,30
chemin,chemin,21
",",",",p
dis,dire,17
je,je,51
",",",",p
agile,agile,30
et,et,82
leste,leste,30
comme,comme,83
toi,toi,51
",",",",p
pense,penser,17
qu',que,83
il,il,51
aimerait,aimer,16
mieux,mieux,60
descendre,descendre,14
par,par,81
le,le,71
côté,côté,21
du,de,81
du,le,71
couchant,couchant,21
",",",",p
exactement,exactement,60
vis-à-vis,vis-à-vis,60
le,le,71
petit,petit,30
palais,palais,21
occupé,occupé,31
jadis,jadis,60
par,par,81
la,le,71
Fausta,Fausta,20
",",",",p
de,de,81
vous,vous,51
bien,bien,60
connu,connu,31
/.,/.,P
ce,ce,52
qui,qui,52
le,le,52
déciderait,décider,16
pour,pour,81
ce,ce,74
côté,côté,21
",",",",p
c',ce,52
est,être,17
que,que,83
la,le,71
muraille,muraille,22
",",",",p
quoique,quoique,83
très,très,60
peu,peu,60
inclinée,incliné,31
",",",",p
est,être,17
presque,presque,60
constamment,constamment,60
garnie,garnir,12
de,de,81
broussailles,broussaille,22
;,;,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
brins,brin,21
de,de,81
bois,bois,21
",",",",p
gros,gros,30
comme,comme,83
le,le,71
petit,petit,30
doigt,doigt,21
",",",",p
qui,qui,52
peuvent,pouvoir,17
fort,fort,60
bien,bien,60
écorcher,écorcher,14
si,si,83
l',l',94
on,on,51
n',ne,60
y,y,52
prend,prendre,17
garde,garde,22
",",",",p
mais,mais,82
qui,qui,52
",",",",p
aussi,aussi,60
",",",",p
sont,être,17
excellents,excellent,30
pour,pour,81
se,se,51
retenir,retenir,14
/.,/.,P
encore,encore,60
ce,ce,74
matin,matin,21
",",",",p
je,je,51
regardais,regarder,18
ce,ce,74
côté,côté,21
du,de,81
du,le,71
couchant,couchant,21
avec,avec,81
une,un,71
excellente,excellent,30
lunette,lunette,22
;,;,p
la,le,71
place,place,22
à,à,81
choisir,choisir,14
",",",",p
c',ce,52
est,être,17
précisément,précisément,60
au-dessous,au-dessous,60
d',de,81
une,un,71
pierre,pierre,22
neuve,neuf,30
que,que,52
l',l',94
on,on,51
a,avoir,17
placée,placer,12
à,à,81
la,le,71
balustrade,balustrade,22
d',de,81
en,en,81
haut,haut,21
",",",",p
il,il,51
y,y,52
a,avoir,17
deux,deux,72
ou,ou,82
trois,trois,72
ans,an,21
/.,/.,P
verticalement,verticalement,60
au-dessous,au-dessous,60
de,de,81
cette,ce,74
pierre,pierre,22
",",",",p
tu,tu,51
trouveras,trouver,15
d'abord,d'abord,60
un,un,71
espace,espace,21
nu,nu,30
d',de,81
une,un,71
vingtaine,vingtaine,22
de,de,81
pieds,pied,21
;,;,p
il,il,51
faut,falloir,17
aller,aller,14
là,là,60
très,très,60
lentement,lentement,60
(,(,p
tu,tu,51
sens,sentir,17
si,si,83
mon,mon,73
coeur,coeur,21
frémit,frémir,17
en,en,81
te,tu,51
donnant,donner,13
ces,ce,74
instructions,instruction,22
terribles,terrible,30
",",",",p
mais,mais,82
le,le,71
courage,courage,21
consiste,consister,17
à,à,81
savoir,savoir,14
choisir,choisir,14
le,le,71
moindre,moindre,30
mal,mal,21
",",",",p
si,si,60
affreux,affreux,30
qu',que,83
il,il,51
soit,être,17
encore,encore,60
),),p
;,;,p
après,après,81
l',le,71
espace,espace,21
nu,nu,30
",",",",p
tu,tu,51
trouveras,trouver,15
quatre,quatre,72
vingts,vingt,72
ou,ou,82
quatre,quatre,72
vingt,vingt,72
dix,dix,72
pieds,pied,21
de,de,81
broussailles,broussaille,22
fort,fort,60
grandes,grand,30
",",",",p
où,où,60
l',l',94
on,on,51
voit,voir,17
voler,voler,14
des,de,81
des,le,71
oiseaux,oiseau,21
",",",",p
puis,puis,60
un,un,71
espace,espace,21
de,de,81
trente,trente,72
pieds,pied,21
qui,qui,52
n',ne,60
a,avoir,17
que,que,83
des,de,81
des,le,71
herbes,herbe,22
",",",",p
des,de,81
des,le,71
violiers,violier,21
et,et,82
des,de,81
des,le,71
pariétaires,pariétaire,22
/.,/.,P
ensuite,ensuite,60
",",",",p
en,en,81
approchant,approcher,13
de,de,81
terre,terre,22
",",",",p
vingt,vingt,72
pieds,pied,21
de,de,81
broussailles,broussaille,22
",",",",p
et,et,82
enfin,enfin,60
vingt,vingt,72
cinq,cinq,72
ou,ou,82
trente,trente,72
pieds,pied,21
récemment,récemment,60
éparvérés,éparvéré,31
/.,/.,P
“,“,p
“,“,p
ce,ce,52
qui,qui,52
me,je,51
déciderait,décider,16
pour,pour,81
ce,ce,74
côté,côté,21
",",",",p
c',ce,52
est,être,17
que,que,83
là,là,60
se,se,51
trouve,trouver,17
verticalement,verticalement,60
",",",",p
au-dessous,au-dessous,60
de,de,81
la,le,71
pierre,pierre,22
neuve,neuf,30
de,de,81
la,le,71
balustrade,balustrade,22
d',de,81
en,en,81
haut,haut,21
",",",",p
une,un,71
cabane,cabane,22
en,en,81
bois,bois,21
bâtie,bâti,31
par,par,81
un,un,71
soldat,soldat,21
dans,dans,81
son,son,73
jardin,jardin,21
",",",",p
et,et,82
que,que,52
le,le,71
capitaine,capitaine,21
du,de,81
du,le,71
génie,génie,21
employé,employé,31
à,à,81
la,le,71
forteresse,forteresse,22
veut,vouloir,17
le,le,52
forcer,forcer,14
à,à,81
démolir,démolir,14
;,;,p
elle,il,51
a,avoir,17
dix,dix,72
sept,sept,72
pieds,pied,21
de,de,81
haut,haut,21
",",",",p
elle,il,51
est,être,17
couverte,couvrir,12
en,en,81
chaume,chaume,21
",",",",p
et,et,82
le,le,71
toit,toit,21
touche,toucher,17
au,à,81
au,le,71
grand,grand,30
mur,mur,21
de,de,81
la,le,71
citadelle,citadelle,22
/.,/.,P
c',ce,52
est,être,17
ce,ce,74
toit,toit,21
qui,qui,52
me,je,51
tente,tenter,17
;,;,p
dans,dans,81
le,le,71
cas,cas,21
affreux,affreux,30
d',de,81
un,un,71
accident,accident,21
",",",",p
il,il,51
amortirait,amortir,16
la,le,71
chute,chute,22
/.,/.,P
une,un,71
fois,fois,22
arrivé,arrivé,31
là,là,60
",",",",p
tu,tu,51
es,être,17
dans,dans,81
l',le,71
enceinte,enceinte,22
des,de,81
des,le,71
remparts,rempart,21
assez,assez,60
négligemment,négligemment,60
gardés,gardé,31
;,;,p
si,si,83
l',l',94
on,on,51
t',tu,51
arrêtait,arrêter,18
là,là,60
",",",",p
tire,tirer,17
des,de,81
des,le,71
coups,coup,21
de,de,81
pistolet,pistolet,21
et,et,82
défends,défendre,17
toi,toi,51
quelques,quelque,75
minutes,minute,22
/.,/.,P
ton,ton,73
ami,ami,21
de,de,81
Ferrare,Ferrare,20
et,et,82
un,un,71
autre,autre,75
homme,homme,21
de,de,81
coeur,coeur,21
",",",",p
celui,celui,52
que,que,52
j',je,51
appelle,appeler,17
le,le,71
voleur,voleur,21
de,de,81
grand,grand,30
chemin,chemin,21
",",",",p
auront,avoir,15
des,de,81
des,le,71
échelles,échelle,22
",",",",p
et,et,82
n',ne,60
hésiteront,hésiter,15
pas,pas,60
à,à,81
escalader,escalader,14
ce,ce,74
rempart,rempart,21
assez,assez,60
bas,bas,30
",",",",p
et,et,82
à,à,81
voler,voler,14
à,à,81
ton,ton,73
secours,secours,21
/.,/.,P
“,“,p
“,“,p
le,le,71
rempart,rempart,21
n',ne,60
a,avoir,17
que,que,83
vingt,vingt,72
trois,trois,72
pieds,pied,21
de,de,81
haut,haut,21
",",",",p
et,et,82
un,un,71
fort,fort,60
grand,grand,30
talus,talus,21
/.,/.,P
je,je,51
serai,être,16
au,à,81
au,le,71
pied,pied,21
de,de,81
ce,ce,74
dernier,dernier,30
mur,mur,21
avec,avec,81
bon,bon,30
nombre,nombre,21
de,de,81
gens,gens,21
armés,armé,31
/.,/.,P
“,“,p
“,“,p
j',je,51
ai,avoir,17
l',le,71
espoir,espoir,21
de,de,81
te,tu,51
faire,faire,14
parvenir,parvenir,14
cinq,cinq,72
ou,ou,82
six,six,72
lettres,lettre,22
par,par,81
la,le,71
même,même,75
voie,voie,22
que,que,83
celle-ci,celui-ci,52
/.,/.,P
je,je,51
répéterai,répéter,15
sans,sans,81
cesse,cesse,22
les,le,71
mêmes,même,75
choses,chose,22
en,en,81
d',de,81
autres,autre,75
termes,terme,21
",",",",p
afin,afin,81
que,que,83
nous,nous,51
soyons,être,17
bien,bien,60
d'accord,d'accord,60
/.,/.,P
tu,tu,51
devines,deviner,17
de,de,81
quel,quel,75
coeur,coeur,21
je,je,51
te,tu,51
dis,dire,17
que,que,83
l',le,71
homme,homme,21
du,de,81
du,le,71
coup,coup,21
de,de,81
pistolet,pistolet,21
au,à,81
au,le,71
valet,valet,21
de,de,81
chambre,chambre,22
",",",",p
qui,qui,52
",",",",p
après,après,81
tout,tout,52
",",",",p
est,être,17
le,le,71
meilleur,meilleur,30
des,de,81
des,le,71
êtres,être,21
et,et,82
se,se,51
meurt,mourir,17
de,de,81
repentir,repentir,21
",",",",p
pense,penser,17
que,que,83
tu,tu,51
en,en,52
seras,être,15
quitte,quitte,30
pour,pour,81
un,un,71
bras,bras,21
cassé,cassé,31
/.,/.,P
le,le,71
voleur,voleur,21
de,de,81
grand,grand,30
chemin,chemin,21
",",",",p
qui,qui,52
a,avoir,17
plus,plus,60
d',de,81
expérience,expérience,22
de,de,81
ces,ce,74
sortes,sorte,22
d',de,81
expéditions,expédition,22
",",",",p
pense,penser,17
que,que,83
",",",",p
si,si,83
tu,tu,51
veux,vouloir,17
descendre,descendre,14
fort,fort,60
lentement,lentement,60
",",",",p
et,et,82
surtout,surtout,60
sans,sans,81
te,tu,51
presser,presser,14
",",",",p
ta,ton,73
liberté,liberté,22
ne,ne,60
te,tu,51
coûtera,coûter,15
que,que,83
des,de,81
des,le,71
écorchures,écorchure,22
/.,/.,P
la,le,71
grande,grand,30
difficulté,difficulté,22
",",",",p
c',ce,52
est,être,17
d',de,81
avoir,avoir,14
des,de,81
des,le,71
cordes,corde,22
;,;,p
c',ce,52
est,être,17
à,à,81
quoi,quoi,52
aussi,aussi,60
je,je,51
pense,penser,17
uniquement,uniquement,60
depuis,depuis,81
quinze,quinze,72
jours,jour,21
que,que,83
cette,ce,74
grande,grand,30
idée,idée,22
occupe,occuper,17
tous,tout,75
mes,mon,73
instants,instant,21
/.,/.,P
“,“,p
“,“,p
je,je,51
ne,ne,60
réponds,répondre,17
pas,pas,60
à,à,81
cette,ce,74
folie,folie,22
",",",",p
la,le,71
seule,seul,30
chose,chose,22
sans,sans,81
esprit,esprit,21
que,que,52
tu,tu,51
aies,avoir,17
dite,dire,12
de,de,81
ta,ton,73
vie,vie,22
:,:,p
“,“,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
me,je,51
sauver,sauver,14
/!,/!,P
l',le,71
homme,homme,21
du,de,81
du,le,71
coup,coup,21
de,de,81
pistolet,pistolet,21
au,à,81
au,le,71
valet,valet,21
de,de,81
chambre,chambre,22
s',se,51
écria,écrier,19
que,que,83
l',le,71
ennui,ennui,21
t',tu,51
avait,avoir,18
rendu,rendre,12
fou,fou,30
/.,/.,P
je,je,51
ne,ne,60
te,tu,51
cacherai,cacher,15
point,point,60
que,que,83
nous,nous,51
redoutons,redouter,17
un,un,71
fort,fort,60
imminent,imminent,30
danger,danger,21
qui,qui,52
peut-être,peut-être,60
fera,faire,15
hâter,hâter,14
le,le,71
jour,jour,21
de,de,81
ta,ton,73
fuite,fuite,22
/.,/.,P
pour,pour,81
t',tu,51
annoncer,annoncer,14
ce,ce,74
danger,danger,21
",",",",p
la,le,71
lampe,lampe,22
dira,dire,15
plusieurs,plusieurs,75
fois,fois,22
de,de,81
suite,suite,22
:,:,p
le,le,71
feu,feu,21
a,avoir,17
pris,prendre,12
au,à,81
au,le,71
château,château,21
/!,/!,P
“,“,p
tu,tu,51
répondras,répondre,15
:,:,p
“,“,p
“,“,p
mes,mon,73
livres,livre,21
sont,être,17
ils,ils,51
brûlés,brûler,12
/?,/?,P
cette,ce,74
lettre,lettre,22
contenait,contenir,18
encore,encore,60
cinq,cinq,72
ou,ou,82
six,six,72
pages,page,22
de,de,81
détails,détail,21
;,;,p
elle,il,51
était,être,18
écrite,écrire,12
en,en,81
caractères,caractère,21
microscopiques,microscopique,30
sur,sur,81
du,de,81
du,le,71
papier,papier,21
très,très,60
fin,fin,30
/.,/.,P
-,-,p
tout,tout,75
cela,cela,52
est,être,17
fort,fort,60
beau,beau,30
et,et,82
fort,fort,60
bien,bien,60
inventé,inventer,12
",",",",p
se,se,51
dit,dire,19
Fabrice,Fabrice,20
;,;,p
je,je,51
dois,devoir,17
une,un,71
reconnaissance,reconnaissance,22
éternelle,éternel,30
au,à,81
au,le,71
comte,comte,21
et,et,82
à,à,81
la,le,71
duchesse,duchesse,22
;,;,p
ils,ils,51
croiront,croire,15
peut-être,peut-être,60
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
peur,peur,22
",",",",p
mais,mais,82
je,je,51
ne,ne,60
me,je,51
sauverai,sauver,15
point,point,60
/.,/.,P
est,être,17
ce,ce,52
que,que,83
jamais,jamais,60
l',l',94
on,on,51
se,se,51
sauva,sauver,19
d',de,81
un,un,71
lieu,lieu,21
où,où,60
l',l',94
on,on,51
est,être,17
au,à,81
au,le,71
comble,comble,21
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
pour,pour,81
aller,aller,14
se,se,51
jeter,jeter,14
dans,dans,81
un,un,71
exil,exil,21
affreux,affreux,30
où,où,60
tout,tout,52
manquera,manquer,15
jusqu',jusque,81
à,à,81
l',le,71
air,air,21
pour,pour,81
respirer,respirer,14
/?,/?,P
que,que,52
ferais,faire,16
je,je,51
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
que,que,83
je,je,51
serais,être,16
à,à,81
Florence,Florence,20
?,?,p
je,je,51
prendrais,prendre,16
un,un,71
déguisement,déguisement,21
pour,pour,81
venir,venir,14
rôder,rôder,14
auprès,auprès,60
de,de,81
la,le,71
porte,porte,22
de,de,81
cette,ce,74
forteresse,forteresse,22
",",",",p
et,et,82
tâcher,tâcher,14
d',de,81
épier,épier,14
un,un,71
regard,regard,21
/!,/!,P
le,le,71
lendemain,lendemain,21
",",",",p
Fabrice,Fabrice,20
eut,avoir,19
peur,peur,22
;,;,p
il,il,51
était,être,18
à,à,81
sa,son,73
fenêtre,fenêtre,22
vers,vers,81
les,le,71
onze,onze,72
heures,heure,22
",",",",p
regardant,regarder,13
le,le,71
magnifique,magnifique,30
paysage,paysage,21
et,et,82
attendant,attendre,13
l',le,71
instant,instant,21
heureux,heureux,30
où,où,60
il,il,51
pourrait,pouvoir,16
voir,voir,14
Clélia,Clélia,20
",",",",p
lorsque,lorsque,83
Grillo,Grillo,20
entra,entrer,19
hors,hors,81
d',de,81
haleine,haleine,22
dans,dans,81
sa,son,73
chambre,chambre,22
:,:,p
-,-,p
et,et,82
vite,vite,60
!,!,p
vite,vite,60
!,!,p
monseigneur,monseigneur,21
",",",",p
jetez,jeter,17
vous,vous,51
sur,sur,81
votre,votre,73
lit,lit,21
",",",",p
faites,fait,31
semblant,sembler,13
d',de,81
être,être,14
malade,malade,30
;,;,p
voici,voici,81
trois,trois,72
juges,juge,21
qui,qui,52
montent,monter,17
/!,/!,P
ils,ils,51
vont,aller,17
vous,vous,51
interroger,interroger,14
:,:,p
réfléchissez,réfléchir,17
bien,bien,60
avant,avant,81
de,de,81
parler,parler,14
;,;,p
ils,ils,51
viennent,venir,17
pour,pour,81
vous,vous,51
entortiller,entortiller,14
/.,/.,P
en,en,81
disant,dire,13
ces,ce,74
paroles,parole,22
Grillo,Grillo,20
se,se,51
hâtait,hâter,18
de,de,81
fermer,fermer,14
la,le,71
petite,petit,30
trappe,trappe,22
de,de,81
l',le,71
abat-jour,abat-jour,21
",",",",p
poussait,pousser,18
Fabrice,Fabrice,20
sur,sur,81
son,son,73
lit,lit,21
",",",",p
et,et,82
jetait,jeter,18
sur,sur,81
lui,lui,51
deux,deux,72
ou,ou,82
trois,trois,72
manteaux,manteau,21
/.,/.,P
-,-,p
dites,dire,17
que,que,83
vous,vous,51
souffrez,souffrir,17
beaucoup,beaucoup,60
et,et,82
parlez,parler,17
peu,peu,60
",",",",p
surtout,surtout,60
faites,faire,17
répéter,répéter,14
les,le,71
questions,question,22
pour,pour,81
réfléchir,réfléchir,14
/.,/.,P
les,le,71
