11441
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-quatrième extrait>,<>,<>
sous,sous,81
les,le,71
tilleuls,tilleul,21
",",",",p
regarde,regarder,17
cette,ce,74
maison,maison,22
déserte,désert,30
:,:,p
il,il,51
doit,devoir,17
y,y,52
avoir,avoir,14
là,là,60
un,un,71
fantôme,fantôme,21
",",",",p
car,car,82
l',le,71
homme,homme,21
qui,qui,52
en,en,52
sort,sortir,17
avec,avec,81
toi,toi,51
n',ne,60
est,être,17
pas,pas,60
celui,celui,52
qui,qui,52
y,y,52
était,être,18
entré,entrer,12
/.,/.,P
-,-,p
est,être,17
ce,ce,52
bien,bien,60
vrai,vrai,30
?,?,p
disait,dire,18
Brigitte,Brigitte,20
",",",",p
et,et,82
son,son,73
beau,beau,30
front,front,21
",",",",p
tout,tout,60
radieux,radieux,30
d',de,81
amour,amour,21
",",",",p
se,se,51
levait,lever,18
alors,alors,60
vers,vers,81
le,le,71
ciel,ciel,21
",",",",p
est,être,17
ce,ce,52
bien,bien,60
vrai,vrai,30
que,que,83
je,je,51
suis,être,17
à,à,81
toi,toi,51
/?,/?,P
oui,oui,60
",",",",p
loin,loin,60
de,de,81
ce,ce,74
monde,monde,21
odieux,odieux,30
qui,qui,52
t',tu,51
avait,avoir,18
vieilli,vieillir,12
avant,avant,81
l',le,71
âge,âge,21
",",",",p
oui,oui,60
",",",",p
enfant,enfant,21
",",",",p
vous,vous,51
allez,aller,17
aimer,aimer,14
/.,/.,P
je,je,51
vous,vous,51
aurai,avoir,15
tel,tel,75
que,que,83
vous,vous,51
êtes,être,17
",",",",p
et,et,82
",",",",p
quel,quel,52
que,que,52
soit,être,17
le,le,71
coin,coin,21
de,de,81
la,le,71
terre,terre,22
où,où,60
nous,nous,51
allons,aller,17
trouver,trouver,14
la,le,71
vie,vie,22
",",",",p
vous,vous,51
m',je,51
y,y,52
pourrez,pouvoir,15
oublier,oublier,14
sans,sans,81
remords,remords,21
le,le,71
jour,jour,21
où,où,60
vous,vous,51
n',ne,60
aimerez,aimer,15
plus,plus,60
/.,/.,P
ma,mon,73
mission,mission,22
sera,être,15
remplie,remplir,12
",",",",p
et,et,82
il,il,51
me,je,51
restera,rester,15
toujours,toujours,60
là-haut,là-haut,60
un,un,71
dieu,dieu,21
pour,pour,81
l',le,52
en,en,52
remercier,remercier,14
/.,/.,P
de,de,81
quel,quel,75
poignant,poignant,30
et,et,82
affreux,affreux,30
souvenir,souvenir,21
me,je,51
remplissent,remplir,17
encore,encore,60
ces,ce,74
paroles,parole,22
/!,/!,P
enfin,enfin,60
il,il,51
était,être,18
décidé,décider,12
que,que,83
nous,nous,51
irions,aller,16
d'abord,d'abord,60
à,à,81
Genève,Genève,20
",",",",p
et,et,82
que,que,52
nous,nous,51
choisirions,choisir,16
au,à,81
au,le,71
pied,pied,21
des,de,81
des,le,71
Alpes,Alpe,20
un,un,71
lieu,lieu,21
tranquille,tranquille,30
pour,pour,81
le,le,71
printemps,printemps,21
/.,/.,P
déjà,déjà,60
Brigitte,Brigitte,20
parlait,parler,18
du,de,81
du,le,71
beau,beau,30
lac,lac,21
;,;,p
déjà,déjà,60
j',je,51
aspirais,aspirer,18
dans,dans,81
mon,mon,73
coeur,coeur,21
le,le,71
souffle,souffle,21
du,de,81
du,le,71
vent,vent,21
qui,qui,52
l',le,52
agite,agiter,17
",",",",p
et,et,82
la,le,71
vivace,vivace,30
odeur,odeur,22
de,de,81
la,le,71
verte,vert,30
vallée,vallée,22
;,;,p
déjà,déjà,60
Lausanne,Lausanne,20
",",",",p
Vevey,Vevey,20
",",",",p
l',le,71
Oberland,Oberland,20
",",",",p
et,et,82
",",",",p
par-delà,par-delà,60
les,le,71
sommets,sommet,21
du,de,81
du,le,71
mont,mont,21
Rose,Rose,20
",",",",p
la,le,71
plaine,plaine,22
immense,immense,30
de,de,81
la,le,71
Lombardie,Lombardie,20
;,;,p
déjà,déjà,60
l',le,71
oubli,oubli,21
",",",",p
le,le,71
repos,repos,21
",",",",p
la,le,71
fuite,fuite,22
",",",",p
tous,tout,75
les,le,71
esprits,esprit,21
des,de,81
des,le,71
solitudes,solitude,22
heureuses,heureux,30
nous,nous,51
conviaient,convier,18
et,et,82
nous,nous,51
invitaient,inviter,18
;,;,p
déjà,déjà,60
",",",",p
quand,quand,83
le,le,71
soir,soir,21
",",",",p
les,le,71
mains,main,22
jointes,joint,31
",",",",p
nous,nous,51
nous,nous,51
regardions,regarder,18
l',le,71
un,un,52
l',le,71
autre,autre,52
en,en,81
silence,silence,21
",",",",p
nous,nous,51
sentions,sentir,18
s',se,51
élever,élever,14
en,en,81
nous,nous,51
ce,ce,74
sentiment,sentiment,21
plein,plein,30
d',de,81
une,un,71
grandeur,grandeur,22
étrange,étrange,30
qui,qui,52
s',se,51
empare,emparer,17
du,de,81
du,le,71
coeur,coeur,21
à,à,81
la,le,71
veille,veille,22
des,de,81
des,le,71
longs,long,30
voyages,voyage,21
",",",",p
vertige,vertige,21
secret,secret,30
et,et,82
inexplicable,inexplicable,30
qui,qui,52
tient,tenir,17
à,à,81
la,le,71
fois,fois,22
des,de,81
des,le,71
terreurs,terreur,22
de,de,81
l',le,71
exil,exil,21
et,et,82
des,de,81
des,le,71
espérances,espérance,22
du,de,81
du,le,71
pèlerinage,pèlerinage,21
/.,/.,P
o,oh,93
dieu,dieu,21
!,!,p
c',ce,52
est,être,17
ta,ton,73
voix,voix,22
elle-même,lui-même,51
qui,qui,52
appelle,appeler,17
alors,alors,60
",",",",p
et,et,82
qui,qui,52
avertit,avertir,17
l',le,71
homme,homme,21
qu',que,83
il,il,51
va,aller,17
venir,venir,14
à,à,81
toi,toi,51
/.,/.,P
n',ne,60
y,y,52
a,avoir,17
t,t,94
il,il,51
pas,pas,60
dans,dans,81
la,le,71
pensée,pensée,22
humaine,humain,30
des,de,81
des,le,71
ailes,aile,22
qui,qui,52
frémissent,frémir,17
et,et,82
des,de,81
des,le,71
cordes,corde,22
sonores,sonore,30
qui,qui,52
se,se,51
tendent,tendre,17
/?,/?,P
que,que,52
vous,vous,51
dirai,dire,15
je,je,51
?,?,p
n',ne,60
y,y,52
a,avoir,17
t,t,94
il,il,51
pas,pas,60
un,un,71
monde,monde,21
dans,dans,81
ces,ce,74
seuls,seul,30
mots,mot,21
:,:,p
tout,tout,52
était,être,18
prêt,prêt,30
",",",",p
nous,nous,51
allions,aller,18
partir,partir,14
/?,/?,P
tout,tout,60
à,à,81
coup,coup,21
Brigitte,Brigitte,20
languit,languir,17
;,;,p
elle,il,51
baisse,baisser,17
la,le,71
tête,tête,22
",",",",p
elle,il,51
garde,garder,17
le,le,71
silence,silence,21
/.,/.,P
quand,quand,83
je,je,51
lui,lui,51
demande,demander,17
si,si,83
elle,il,51
souffre,souffrir,17
",",",",p
elle,il,51
me,je,51
dit,dire,19
que,que,83
non,non,60
d',de,81
une,un,71
voix,voix,22
éteinte,éteint,31
;,;,p
quand,quand,83
je,je,51
lui,lui,51
parle,parler,17
du,de,81
du,le,71
jour,jour,21
du,de,81
du,le,71
départ,départ,21
",",",",p
elle,il,51
se,se,51
lève,lever,17
",",",",p
froide,froid,30
et,et,82
résignée,résigné,31
",",",",p
et,et,82
continue,continuer,17
ses,son,73
préparatifs,préparatif,21
;,;,p
quand,quand,83
je,je,51
lui,lui,51
jure,jurer,17
qu',que,83
elle,il,51
va,aller,17
être,être,14
heureuse,heureux,30
et,et,82
que,que,83
je,je,51
veux,vouloir,17
lui,lui,51
consacrer,consacrer,14
ma,mon,73
vie,vie,22
",",",",p
elle,il,51
s',se,51
enferme,enfermer,17
pour,pour,81
pleurer,pleurer,14
;,;,p
quand,quand,83
je,je,51
l',le,52
embrasse,embrasser,17
",",",",p
elle,il,51
devient,devenir,17
pâle,pâle,30
et,et,82
détourne,détourner,17
les,le,71
yeux,oeil,21
en,en,81
me,je,51
tendant,tendre,13
les,le,71
lèvres,lèvre,22
;,;,p
quand,quand,83
je,je,51
lui,lui,51
dis,dire,17
que,que,83
rien,rien,52
n',ne,60
est,être,17
encore,encore,60
fait,faire,12
",",",",p
qu',que,83
elle,il,51
peut,pouvoir,17
renoncer,renoncer,14
à,à,81
nos,notre,73
projets,projet,21
",",",",p
elle,il,51
fronce,froncer,17
le,le,71
sourcil,sourcil,21
d',de,81
un,un,71
air,air,21
dur,dur,30
et,et,82
farouche,farouche,30
;,;,p
quand,quand,83
je,je,51
la,le,52
supplie,supplier,17
de,de,81
m',je,51
ouvrir,ouvrir,14
son,son,73
coeur,coeur,21
",",",",p
quand,quand,83
je,je,51
lui,lui,51
répète,répéter,17
que,que,83
",",",",p
dussé,devoir,17
je,je,51
en,en,52
mourir,mourir,14
",",",",p
je,je,51
sacrifierai,sacrifier,15
mon,mon,73
bonheur,bonheur,21
s',si,83
il,il,51
doit,devoir,17
jamais,jamais,60
lui,lui,51
coûter,coûter,14
un,un,71
regret,regret,21
",",",",p
elle,il,51
se,se,51
jette,jeter,17
à,à,81
mon,mon,73
cou,cou,21
",",",",p
puis,puis,60
s',se,51
arrête,arrêter,17
",",",",p
et,et,82
me,je,51
repousse,repousser,17
comme,comme,83
involontairement,involontairement,60
/.,/.,P
enfin,enfin,60
j',je,51
entre,entrer,17
un,un,71
jour,jour,21
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
tenant,tenir,13
à,à,81
la,le,71
main,main,22
un,un,71
billet,billet,21
où,où,60
nos,notre,73
places,place,22
sont,être,17
marquées,marquer,12
pour,pour,81
la,le,71
voiture,voiture,22
de,de,81
Besançon,Besançon,20
/.,/.,P
je,je,51
m',je,51
approche,approcher,17
d',de,81
elle,il,51
",",",",p
je,je,51
le,le,52
pose,poser,17
sur,sur,81
ses,son,73
genoux,genou,21
;,;,p
elle,il,51
étend,étendre,17
les,le,71
bras,bras,21
",",",",p
pousse,pousser,17
un,un,71
cri,cri,21
",",",",p
et,et,82
tombe,tomber,17
sans,sans,81
connaissance,connaissance,22
à,à,81
mes,mon,73
pieds,pied,21
/.,/.,P
<Chapitre II>,<>,<>
tous,tout,75
mes,mon,73
efforts,effort,21
pour,pour,81
deviner,deviner,14
la,le,71
cause,cause,22
d',de,81
un,un,71
changement,changement,21
aussi,aussi,60
inattendu,inattendu,30
étaient,être,18
restés,rester,12
sans,sans,81
résultat,résultat,21
comme,comme,83
les,le,71
questions,question,22
que,que,52
j',je,51
avais,avoir,18
pu,pouvoir,12
faire,faire,14
/.,/.,P
Brigitte,Brigitte,20
était,être,18
malade,malade,30
et,et,82
gardait,garder,18
opiniâtrement,opiniâtrement,60
le,le,71
silence,silence,21
/.,/.,P
après,après,81
une,un,71
journée,journée,22
entière,entier,30
passée,passé,31
",",",",p
tantôt,tantôt,60
à,à,81
la,le,52
supplier,supplier,14
de,de,81
s',se,51
expliquer,expliquer,14
",",",",p
tantôt,tantôt,60
à,à,81
m',je,51
épuiser,épuiser,14
en,en,81
conjectures,conjecture,22
",",",",p
j',je,51
étais,être,18
sorti,sortir,12
sans,sans,81
savoir,savoir,14
où,où,60
j',je,51
allais,aller,18
/.,/.,P
en,en,81
passant,passer,13
près,près,81
de,de,81
l',le,71
Opéra,Opéra,20
",",",",p
un,un,71
commissionnaire,commissionnaire,21
m',je,51
offrit,offrir,19
un,un,71
billet,billet,21
et,et,82
machinalement,machinalement,60
j',je,51
y,y,52
entrai,entrer,19
",",",",p
comme,comme,83
c',ce,52
était,être,18
mon,mon,73
habitude,habitude,22
/.,/.,P
je,je,51
ne,ne,60
pouvais,pouvoir,18
faire,faire,14
attention,attention,22
à,à,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
ni,ni,82
sur,sur,81
le,le,71
théâtre,théâtre,21
ni,ni,82
dans,dans,81
la,le,71
salle,salle,22
;,;,p
j',je,51
étais,être,18
navré,navrer,12
d',de,81
une,un,71
telle,tel,75
douleur,douleur,22
et,et,82
en,en,81
même,même,75
temps,temps,21
si,si,60
stupéfait,stupéfait,30
",",",",p
que,que,83
je,je,51
ne,ne,60
vivais,vivre,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
qu',que,83
en,en,81
moi,moi,51
",",",",p
et,et,82
que,que,83
les,le,71
objets,objet,21
extérieurs,extérieur,30
ne,ne,60
semblaient,sembler,18
plus,plus,60
frapper,frapper,14
mes,mon,73
sens,sens,21
/.,/.,P
toutes,tout,75
mes,mon,73
forces,force,22
concentrées,concentré,31
se,se,51
portaient,porter,18
sur,sur,81
une,un,71
pensée,pensée,22
",",",",p
et,et,82
plus,plus,60
je,je,51
la,le,52
remuais,remuer,18
dans,dans,81
ma,mon,73
tête,tête,22
",",",",p
moins,moins,60
j',je,51
y,y,52
pouvais,pouvoir,18
voir,voir,14
nettement,nettement,60
/.,/.,P
quel,quel,75
obstacle,obstacle,21
affreux,affreux,30
",",",",p
survenu,survenu,31
tout,tout,60
à,à,81
coup,coup,21
",",",",p
renversait,renverser,18
ainsi,ainsi,60
",",",",p
à,à,81
la,le,71
veille,veille,22
du,de,81
du,le,71
départ,départ,21
",",",",p
tant,tant,60
de,de,81
projets,projet,21
et,et,82
d',de,81
espérances,espérance,22
/?,/?,P
s',si,83
il,il,51
s',se,51
agissait,agir,18
d',de,81
un,un,71
événement,événement,21
ordinaire,ordinaire,30
ou,ou,82
même,même,60
d',de,81
un,un,71
malheur,malheur,21
véritable,véritable,30
",",",",p
comme,comme,83
d',de,81
un,un,71
accident,accident,21
de,de,81
fortune,fortune,22
ou,ou,82
de,de,81
la,le,71
perte,perte,22
de,de,81
quelque,quelque,75
ami,ami,21
",",",",p
pourquoi,pourquoi,60
ce,ce,74
silence,silence,21
obstiné,obstiné,31
/?,/?,P
après,après,81
tout,tout,52
ce,ce,52
qu',que,52
avait,avoir,18
fait,faire,12
Brigitte,Brigitte,20
",",",",p
dans,dans,81
un,un,71
moment,moment,21
où,où,60
nos,notre,73
rêves,rêve,21
les,le,71
plus,plus,60
chers,cher,30
paraissaient,paraître,18
près,près,81
de,de,81
se,se,51
réaliser,réaliser,14
",",",",p
de,de,81
quelle,quel,75
nature,nature,22
pouvait,pouvoir,18
être,être,14
un,un,71
secret,secret,21
qui,qui,52
détruisait,détruire,18
notre,notre,73
bonheur,bonheur,21
et,et,82
qu',que,52
elle,il,51
refusait,refuser,18
de,de,81
me,je,51
confier,confier,14
/?,/?,P
quoi,quoi,52
!,!,p
c',ce,52
est,être,17
de,de,81
moi,moi,51
qu',que,83
elle,il,51
se,se,51
cache,cacher,17
/?,/?,P
que,que,52
ses,son,73
chagrins,chagrin,21
",",",",p
que,que,52
ses,son,73
affaires,affaire,22
",",",",p
la,le,71
crainte,crainte,22
même,même,30
de,de,81
l',le,71
avenir,avenir,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
motif,motif,21
de,de,81
tristesse,tristesse,22
",",",",p
d',de,81
incertitude,incertitude,22
ou,ou,82
de,de,81
colère,colère,22
la,le,52
retiennent,retenir,17
ici,ici,60
quelque,quelque,75
temps,temps,21
ou,ou,82
la,le,52
fassent,faire,17
renoncer,renoncer,14
pour,pour,81
toujours,toujours,60
à,à,81
ce,ce,74
voyage,voyage,21
si,si,60
désiré,désiré,31
",",",",p
par,par,81
quelle,quel,75
raison,raison,22
ne,ne,60
pas,pas,60
s',se,51
ouvrir,ouvrir,14
à,à,81
moi,moi,51
/?,/?,P
dans,dans,81
l',le,71
état,état,21
où,où,60
se,se,51
trouvait,trouver,18
mon,mon,73
coeur,coeur,21
",",",",p
je,je,51
ne,ne,60
pouvais,pouvoir,18
cependant,cependant,82
supposer,supposer,14
qu',que,83
il,il,51
y,y,52
eût,avoir,19
là,là,60
rien,rien,52
de,de,81
blâmable,blâmable,30
/.,/.,P
l',le,71
apparence,apparence,22
seule,seul,30
d',de,81
un,un,71
soupçon,soupçon,21
me,je,51
révoltait,révolter,18
et,et,82
me,je,51
faisait,faire,18
horreur,horreur,22
/.,/.,P
comment,comment,60
",",",",p
d',de,81
autre,autre,75
part,part,22
",",",",p
croire,croire,14
à,à,81
de,de,81
l',le,71
inconstance,inconstance,22
ou,ou,82
à,à,81
du,de,81
du,le,71
caprice,caprice,21
seulement,seulement,60
dans,dans,81
cette,ce,74
femme,femme,22
telle,tel,75
que,que,83
je,je,51
la,le,52
connaissais,connaître,18
/?,/?,P
je,je,51
me,je,51
perdais,perdre,18
dans,dans,81
un,un,71
abîme,abîme,21
",",",",p
et,et,82
ne,ne,60
voyais,voir,18
pas,pas,60
même,même,60
la,le,71
plus,plus,60
faible,faible,30
lueur,lueur,22
",",",",p
le,le,71
moindre,moindre,30
point,point,21
qui,qui,52
pût,pouvoir,18
me,je,51
fixer,fixer,14
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
en,en,81
face,face,22
de,de,81
moi,moi,51
",",",",p
à,à,81
la,le,71
galerie,galerie,22
",",",",p
un,un,71
jeune,jeune,30
homme,homme,21
dont,dont,52
les,le,71
traits,trait,21
ne,ne,60
m',je,51
étaient,être,18
pas,pas,60
inconnus,inconnu,30
/.,/.,P
comme,comme,83
il,il,51
arrive,arriver,17
souvent,souvent,60
quand,quand,83
on,on,51
a,avoir,17
l',le,71
esprit,esprit,21
préoccupé,préoccupé,31
",",",",p
je,je,51
le,le,52
regardais,regarder,18
sans,sans,81
m',je,51
en,en,52
rendre,rendre,14
compte,compte,21
",",",",p
et,et,82
je,je,51
cherchais,chercher,18
à,à,81
mettre,mettre,14
son,son,73
nom,nom,21
sur,sur,81
son,son,73
visage,visage,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
je,je,51
le,le,52
reconnus,reconnaître,19
:,:,p
c',ce,52
était,être,18
lui,lui,51
qui,qui,52
",",",",p
comme,comme,83
je,je,51
l',le,52
ai,avoir,17
dit,dire,12
plus,plus,60
haut,haut,60
",",",",p
avait,avoir,18
apporté,apporter,12
à,à,81
Brigitte,Brigitte,20
des,de,81
des,le,71
lettres,lettre,22
de,de,81
N,N,20
/.,/.,P
je,je,51
me,je,51
levai,lever,19
précipitamment,précipitamment,60
pour,pour,81
aller,aller,14
lui,lui,51
parler,parler,14
",",",",p
sans,sans,81
songer,songer,14
à,à,81
ce,ce,52
que,que,52
je,je,51
faisais,faire,18
/.,/.,P
il,il,51
occupait,occuper,18
une,un,71
place,place,22
à,à,81
laquelle,lequel,52
je,je,51
ne,ne,60
pouvais,pouvoir,18
arriver,arriver,14
sans,sans,81
déranger,déranger,14
un,un,71
grand,grand,30
nombre,nombre,21
de,de,81
spectateurs,spectateur,21
",",",",p
et,et,82
je,je,51
fus,être,19
contraint,contraindre,12
d',de,81
attendre,attendre,14
l',le,71
entr'acte,entracte,21
/.,/.,P
mon,mon,73
premier,premier,72
mouvement,mouvement,21
avait,avoir,18
été,être,12
de,de,81
penser,penser,14
que,que,83
",",",",p
si,si,83
quelqu'un,quelqu'un,52
pouvait,pouvoir,18
m',je,51
éclairer,éclairer,14
sur,sur,81
l',le,71
unique,unique,30
souci,souci,21
qui,qui,52
m',je,51
inquiétait,inquiéter,18
",",",",p
c',ce,52
était,être,18
ce,ce,74
jeune,jeune,30
homme,homme,21
plus,plus,60
que,que,83
tout,tout,75
autre,autre,52
/.,/.,P
il,il,51
avait,avoir,18
eu,avoir,12
avec,avec,81
madame,madame,22
Pierson,Pierson,20
plusieurs,plusieurs,75
entretiens,entretien,21
depuis,depuis,81
quelques,quelque,75
jours,jour,21
",",",",p
et,et,82
je,je,51
me,je,51
souvins,souvenir,19
que,que,83
",",",",p
lorsqu',lorsque,83
il,il,51
l',le,52
avait,avoir,18
quittée,quitter,12
",",",",p
je,je,51
l',le,52
avais,avoir,18
trouvée,trouver,12
constamment,constamment,60
triste,triste,30
",",",",p
non,non,60
seulement,seulement,60
le,le,71
premier,premier,72
jour,jour,21
",",",",p
mais,mais,82
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
il,il,51
était,être,18
venu,venir,12
/.,/.,P
il,il,51
l',le,52
avait,avoir,18
vue,voir,12
la,le,71
veille,veille,22
",",",",p
le,le,71
matin,matin,21
même,même,30
du,de,81
du,le,71
jour,jour,21
où,où,60
elle,il,51
était,être,18
tombée,tomber,12
malade,malade,30
/.,/.,P
les,le,71
lettres,lettre,22
qu',que,52
il,il,51
apportait,apporter,18
",",",",p
Brigitte,Brigitte,20
ne,ne,60
me,je,51
les,le,52
avait,avoir,18
point,point,60
montrées,montrer,12
;,;,p
il,il,51
était,être,18
possible,possible,30
qu',que,83
il,il,51
connût,connaître,18
la,le,71
véritable,véritable,30
raison,raison,22
qui,qui,52
retardait,retarder,18
notre,notre,73
départ,départ,21
/.,/.,P
peut-être,peut-être,60
n',ne,60
était,être,18
il,il,51
pas,pas,60
entièrement,entièrement,60
dans,dans,81
la,le,71
confidence,confidence,22
",",",",p
mais,mais,82
il,il,51
ne,ne,60
pouvait,pouvoir,18
manquer,manquer,14
de,de,81
m',je,51
apprendre,apprendre,14
au,à,81
au,le,71
moins,moins,60
quel,quel,52
était,être,18
le,le,71
contenu,contenu,21
de,de,81
ces,ce,74
lettres,lettre,22
",",",",p
et,et,82
je,je,51
devais,devoir,18
le,le,52
supposer,supposer,14
assez,assez,60
au,à,81
au,le,71
fait,fait,21
de,de,81
nos,notre,73
affaires,affaire,22
pour,pour,81
ne,ne,60
pas,pas,60
craindre,craindre,14
de,de,81
l',le,52
interroger,interroger,14
/.,/.,P
j',je,51
étais,être,18
ravi,ravir,12
de,de,81
l',le,52
avoir,avoir,14
trouvé,trouver,12
",",",",p
et,et,82
",",",",p
dès,dès,81
que,que,83
la,le,71
toile,toile,22
fut,être,19
baissée,baisser,12
",",",",p
je,je,51
courus,courir,19
le,le,52
joindre,joindre,14
dans,dans,81
le,le,71
corridor,corridor,21
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
s',si,83
il,il,51
me,je,51
vit,voir,19
venir,venir,14
",",",",p
mais,mais,82
il,il,51
s',se,51
éloigna,éloigner,19
et,et,82
entra,entrer,19
dans,dans,81
une,un,71
loge,loge,22
/.,/.,P
je,je,51
résolus,résoudre,19
d',de,81
attendre,attendre,14
qu',que,83
il,il,51
en,en,52
sortît,sortir,18
",",",",p
et,et,82
demeurai,demeurer,19
un,un,71
quart,quart,21
d',de,81
heure,heure,22
à,à,81
me,je,51
promener,promener,14
",",",",p
regardant,regarder,13
toujours,toujours,60
la,le,71
porte,porte,22
de,de,81
la,le,71
loge,loge,22
/.,/.,P
elle,il,51
s',se,51
ouvrit,ouvrir,19
enfin,enfin,60
",",",",p
il,il,51
sortit,sortir,19
;,;,p
je,je,51
le,le,52
saluai,saluer,19
aussitôt,aussitôt,60
de,de,81
loin,loin,60
en,en,81
m',je,51
avançant,avancer,13
à,à,81
sa,son,73
rencontre,rencontre,22
/.,/.,P
il,il,51
fit,faire,19
quelques,quelque,75
pas,pas,21
d',de,81
un,un,71
air,air,21
irrésolu,irrésolu,30
;,;,p
puis,puis,60
",",",",p
tournant,tourner,13
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
descendit,descendre,19
l',le,71
escalier,escalier,21
et,et,82
disparut,disparaître,19
/.,/.,P
mon,mon,73
intention,intention,22
de,de,81
l',le,52
aborder,aborder,14
avait,avoir,18
été,être,12
trop,trop,60
évidente,évident,30
pour,pour,81
qu',que,83
il,il,51
pût,pouvoir,18
m',je,51
échapper,échapper,14
ainsi,ainsi,60
sans,sans,81
un,un,71
dessein,dessein,21
formel,formel,30
de,de,81
m',je,51
éviter,éviter,14
/.,/.,P
il,il,51
devait,devoir,18
connaître,connaître,14
mon,mon,73
visage,visage,21
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
même,même,60
",",",",p
sans,sans,81
qu',que,83
il,il,51
le,le,52
connût,connaître,18
",",",",p
un,un,71
homme,homme,21
qui,qui,52
en,en,52
voit,voir,17
un,un,71
autre,autre,52
venir,venir,14
à,à,81
lui,lui,51
doit,devoir,17
au,à,81
au,le,71
moins,moins,60
l',le,52
attendre,attendre,14
/.,/.,P
nous,nous,51
étions,être,18
seuls,seul,30
dans,dans,81
le,le,71
corridor,corridor,21
quand,quand,83
je,je,51
m',je,51
étais,être,18
avancé,avancer,12
vers,vers,81
lui,lui,51
;,;,p
ainsi,ainsi,60
",",",",p
il,il,51
était,être,18
hors,hors,81
de,de,81
doute,doute,21
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
voulu,vouloir,12
me,je,51
parler,parler,14
/.,/.,P
je,je,51
ne,ne,60
songeai,songer,19
pas,pas,60
à,à,81
y,y,52
voir,voir,14
une,un,71
impertinence,impertinence,22
;,;,p
un,un,71
homme,homme,21
qui,qui,52
venait,venir,18
tous,tout,75
les,le,71
jours,jour,21
dans,dans,81
un,un,71
appartement,appartement,21
où,où,60
je,je,51
demeurais,demeurer,18
",",",",p
à,à,81
qui,qui,52
j',je,51
avais,avoir,18
toujours,toujours,60
fait,faire,12
bon,bon,30
accueil,accueil,21
quand,quand,83
je,je,51
m',je,51
étais,être,18
rencontré,rencontrer,12
avec,avec,81
lui,lui,51
",",",",p
dont,dont,52
les,le,71
manières,manière,22
étaient,être,18
simples,simple,30
et,et,82
modestes,modeste,30
",",",",p
comment,comment,60
penser,penser,14
qu',que,83
il,il,51
voulût,vouloir,18
m',je,51
insulter,insulter,14
?,?,p
il,il,51
n',ne,60
avait,avoir,18
voulu,vouloir,12
que,que,83
me,je,51
fuir,fuir,14
",",",",p
et,et,82
se,se,51
dispenser,dispenser,14
d',de,81
un,un,71
entretien,entretien,21
fâcheux,fâcheux,30
/.,/.,P
pourquoi,pourquoi,60
encore,encore,60
/?,/?,P
ce,ce,74
second,second,72
mystère,mystère,21
me,je,51
troubla,troubler,19
presque,presque,60
autant,autant,60
que,que,83
le,le,71
premier,premier,72
/.,/.,P
quoi,quoi,52
que,que,52
je,je,51
fisse,faire,18
pour,pour,81
écarter,écarter,14
cette,ce,74
idée,idée,22
",",",",p
la,le,71
disparition,disparition,22
de,de,81
ce,ce,74
jeune,jeune,30
homme,homme,21
se,se,51
liait,lier,18
invinciblement,invinciblement,60
dans,dans,81
ma,mon,73
tête,tête,22
avec,avec,81
le,le,71
silence,silence,21
obstiné,obstiné,31
de,de,81
Brigitte,Brigitte,20
/.,/.,P
l',le,71
incertitude,incertitude,22
est,être,17
de,de,81
tous,tout,75
les,le,71
tourments,tourment,21
le,le,71
plus,plus,60
difficile,difficile,30
à,à,81
supporter,supporter,14
",",",",p
et,et,82
",",",",p
dans,dans,81
plusieurs,plusieurs,75
circonstances,circonstance,22
de,de,81
ma,mon,73
vie,vie,22
",",",",p
je,je,51
me,je,51
suis,être,17
exposé,exposer,12
à,à,81
de,de,81
grands,grand,30
malheurs,malheur,21
faute,faute,22
de,de,81
pouvoir,pouvoir,14
attendre,attendre,14
patiemment,patiemment,60
/.,/.,P
lorsque,lorsque,83
je,je,51
rentrai,rentrer,19
à,à,81
la,le,71
maison,maison,22
",",",",p
je,je,51
trouvai,trouver,19
Brigitte,Brigitte,20
lisant,lire,13
précisément,précisément,60
ces,ce,74
fatales,fatal,30
lettres,lettre,22
de,de,81
N,N,20
/.,/.,P
je,je,51
lui,lui,51
dis,dire,19
qu',que,83
il,il,51
m',je,51
était,être,18
impossible,impossible,30
de,de,81
rester,rester,14
plus,plus,60
longtemps,longtemps,60
dans,dans,81
la,le,71
situation,situation,22
d',de,81
esprit,esprit,21
où,où,60
je,je,51
me,je,51
trouvais,trouver,18
",",",",p
et,et,82
qu',que,83
à,à,81
tout,tout,75
prix,prix,21
j',je,51
en,en,52
voulais,vouloir,18
sortir,sortir,14
;,;,p
que,que,83
je,je,51
voulais,vouloir,18
savoir,savoir,14
",",",",p
