11802
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-septième extrait>,<>,<>
émue,ému,31
",",",",p
tant,tant,60
le,le,71
contraste,contraste,21
était,être,18
douloureux,douloureux,30
de,de,81
ces,ce,74
moments,moment,21
de,de,81
joie,joie,22
avec,avec,81
la,le,71
lugubre,lugubre,30
cérémonie,cérémonie,22
qui,qui,52
s',se,51
accomplissait,accomplir,18
",",",",p
tant,tant,60
le,le,71
visage,visage,21
sombre,sombre,30
de,de,81
monsieur,monsieur,21
de,de,81
Villefort,Villefort,20
faisait,faire,18
briller,briller,14
de,de,81
toute,tout,75
sa,son,73
lumière,lumière,22
la,le,71
rayonnante,rayonnant,30
figure,figure,22
de,de,81
Mercédès,Mercédès,20
/.,/.,P
“,“,p
vous,vous,51
assistiez,assister,18
au,à,81
au,le,71
repas,repas,21
de,de,81
vos,votre,73
fiançailles,fiançaille,22
?,?,p
dit,dire,19
le,le,71
substitut,substitut,21
en,en,81
tressaillant,tressaillir,13
malgré,malgré,81
lui,lui,51
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
suis,être,17
sur,sur,81
le,le,71
point,point,21
d',de,81
épouser,épouser,14
une,un,71
femme,femme,22
que,que,52
j',je,51
aime,aimer,17
depuis,depuis,81
trois,trois,72
ans,an,21
/.,/.,P
“,“,p
Villefort,Villefort,20
",",",",p
tout,tout,60
impassible,impassible,30
qu',que,83
il,il,51
était,être,18
d',de,81
ordinaire,ordinaire,21
",",",",p
fut,être,19
cependant,cependant,82
frappé,frapper,12
de,de,81
coïncidence,coïncidence,22
",",",",p
et,et,82
cette,ce,74
voix,voix,22
émue,ému,31
de,de,81
Dantès,Dantès,20
surpris,surpris,31
au,à,81
au,le,71
milieu,milieu,21
de,de,81
son,son,73
bonheur,bonheur,21
alla,aller,19
éveiller,éveiller,14
une,un,71
fibre,fibre,22
sympathique,sympathique,30
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
:,:,p
lui,lui,51
aussi,aussi,60
se,se,51
mariait,marier,18
",",",",p
lui,lui,51
aussi,aussi,60
était,être,18
heureux,heureux,30
",",",",p
et,et,82
on,on,51
venait,venir,18
troubler,troubler,14
son,son,73
bonheur,bonheur,21
pour,pour,81
qu',que,83
il,il,51
contribuât,contribuer,18
à,à,81
détruire,détruire,14
la,le,71
joie,joie,22
d',de,81
un,un,71
homme,homme,21
qui,qui,52
",",",",p
comme,comme,83
lui,lui,51
",",",",p
touchait,toucher,18
déjà,déjà,60
au,à,81
au,le,71
bonheur,bonheur,21
/.,/.,P
ce,ce,74
rapprochement,rapprochement,21
philosophique,philosophique,30
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
fera,faire,15
grand,grand,30
effet,effet,21
à,à,81
mon,mon,73
retour,retour,21
dans,dans,81
le,le,71
salon,salon,21
de,de,81
monsieur,monsieur,21
de,de,81
Saint Méran,Saint Méran,20
;,;,p
et,et,82
il,il,51
arrangea,arranger,19
d',de,81
avance,avance,22
dans,dans,81
son,son,73
esprit,esprit,21
",",",",p
et,et,82
pendant,pendant,81
que,que,83
Dantès,Dantès,20
attendait,attendre,18
de,de,81
nouvelles,nouveau,30
questions,question,22
",",",",p
les,le,71
mots,mot,21
antithétiques,antithétique,30
à,à,81
l',le,71
aide,aide,22
desquels,de,81
desquels,lequel,52
les,le,71
orateurs,orateur,21
construisent,construire,17
ces,ce,74
phrases,phrase,22
ambitieuses,ambitieux,30
d',de,81
applaudissements,applaudissement,21
qui,qui,52
parfois,parfois,60
font,faire,17
croire,croire,14
à,à,81
une,un,71
véritable,véritable,30
éloquence,éloquence,22
/.,/.,P
lorsque,lorsque,83
son,son,73
petit,petit,30
speech,speech,21
intérieur,intérieur,30
fut,être,19
arrangé,arranger,12
",",",",p
Villefort,Villefort,20
sourit,sourire,19
à,à,81
son,son,73
effet,effet,21
",",",",p
et,et,82
revenant,revenir,13
à,à,81
Dantès,Dantès,20
:,:,p
“,“,p
continuez,continuer,17
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
que,que,83
je,je,51
continue,continuer,17
/?,/?,P
d',de,81
éclairer,éclairer,14
la,le,71
justice,justice,22
/.,/.,P
-,-,p
que,que,52
la,le,71
justice,justice,22
me,je,51
dise,dire,17
sur,sur,81
quel,quel,75
point,point,21
elle,il,51
veut,vouloir,17
être,être,14
éclairée,éclairer,12
",",",",p
et,et,82
je,je,51
lui,lui,51
dirai,dire,15
tout,tout,52
ce,ce,52
que,que,52
je,je,51
sais,savoir,17
;,;,p
seulement,seulement,60
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
à,à,81
son,son,73
tour,tour,21
avec,avec,81
un,un,71
sourire,sourire,21
",",",",p
je,je,51
la,le,52
préviens,prévenir,17
que,que,83
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
grand-chose,grand-chose,22
/.,/.,P
-,-,p
avez,avoir,17
vous,vous,51
servi,servir,12
sous,sous,81
l',le,71
usurpateur,usurpateur,21
/?,/?,P
j',je,51
allais,aller,18
être,être,14
incorporé,incorporer,12
dans,dans,81
la,le,71
marine,marine,22
militaire,militaire,30
lorsqu',lorsque,83
il,il,51
est,être,17
tombé,tomber,12
/.,/.,P
-,-,p
on,on,51
dit,dire,17
vos,votre,73
opinions,opinion,22
politiques,politique,30
exagérées,exagéré,31
",",",",p
dit,dire,19
Villefort,Villefort,20
",",",",p
à,à,81
qui,qui,52
l',l',94
on,on,51
n',ne,60
avait,avoir,18
pas,pas,60
soufflé,souffler,12
un,un,71
mot,mot,21
de,de,81
cela,cela,52
",",",",p
mais,mais,82
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
fâché,fâcher,12
de,de,81
poser,poser,14
la,le,71
demande,demande,22
comme,comme,83
on,on,51
pose,poser,17
une,un,71
accusation,accusation,22
/.,/.,P
-,-,p
mes,mon,73
opinions,opinion,22
politiques,politique,30
",",",",p
à,à,81
moi,moi,51
",",",",p
monsieur,monsieur,21
/?,/?,P
hélas,hélas,60
!,!,p
c',ce,52
est,être,17
presque,presque,60
honteux,honteux,30
à,à,81
dire,dire,14
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
eu,avoir,12
ce,ce,52
qu',que,83
on,on,51
appelle,appeler,17
une,un,71
opinion,opinion,22
:,:,p
j',je,51
ai,avoir,17
dix,dix,72
neuf,neuf,72
ans,an,21
à,à,81
peine,peine,22
",",",",p
comme,comme,83
j',je,51
ai,avoir,17
eu,avoir,12
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
le,le,52
dire,dire,14
;,;,p
je,je,51
ne,ne,60
sais,savoir,17
rien,rien,52
",",",",p
je,je,51
ne,ne,60
suis,être,17
destiné,destiner,12
à,à,81
jouer,jouer,14
aucun,aucun,75
rôle,rôle,21
;,;,p
le,le,71
peu,peu,60
que,que,52
je,je,51
suis,être,17
et,et,82
que,que,52
je,je,51
serai,être,16
",",",",p
si,si,83
l',l',94
on,on,51
m',je,51
accorde,accorder,17
la,le,71
place,place,22
que,que,52
j',je,51
ambitionne,ambitionner,17
",",",",p
c',ce,52
est,être,17
à,à,81
monsieur,monsieur,21
Morrel,Morrel,20
que,que,83
le,le,52
devrai,devoir,15
/.,/.,P
aussi,aussi,60
",",",",p
toutes,tout,75
mes,mon,73
opinions,opinion,22
",",",",p
je,je,51
ne,ne,60
dirai,dire,15
pas,pas,60
politiques,politique,30
",",",",p
mais,mais,82
privées,privé,31
",",",",p
se,se,51
bornent,borner,17
elles,ils,51
à,à,81
ces,ce,74
trois,trois,72
sentiments,sentiment,21
:,:,p
j',je,51
aime,aimer,17
mon,mon,73
père,père,21
",",",",p
je,je,51
respecte,respecter,17
monsieur,monsieur,21
Morrel,Morrel,20
et,et,82
j',je,51
adore,adorer,17
Mercédès,Mercédès,20
/.,/.,P
voilà,voilà,81
",",",",p
monsieur,monsieur,21
",",",",p
tout,tout,52
ce,ce,52
que,que,52
je,je,51
puis,pouvoir,17
dire,dire,14
à,à,81
la,le,71
justice,justice,22
;,;,p
vous,vous,51
voyez,voir,17
que,que,83
c',ce,52
est,être,17
peu,peu,60
intéressant,intéressant,30
pour,pour,81
elle,il,51
/.,/.,P
“,“,p
à,à,81
mesure,mesure,22
que,que,83
Dantès,Dantès,20
parlait,parler,18
",",",",p
Villefort,Villefort,20
regardait,regarder,18
son,son,73
visage,visage,21
à,à,81
la,le,71
fois,fois,22
si,si,60
doux,doux,30
et,et,82
si,si,60
ouvert,ouvert,31
",",",",p
et,et,82
se,se,51
sentait,sentir,18
revenir,revenir,14
à,à,81
la,le,71
mémoire,mémoire,22
les,le,71
paroles,parole,22
de,de,81
Renée,Renée,20
",",",",p
qui,qui,52
",",",",p
sans,sans,81
le,le,52
connaître,connaître,14
",",",",p
lui,lui,51
avait,avoir,18
demandé,demander,12
son,son,73
indulgence,indulgence,22
pour,pour,81
le,le,71
prévenu,prévenu,21
/.,/.,P
avec,avec,81
l',le,71
habitude,habitude,22
qu',que,52
avait,avoir,18
déjà,déjà,60
le,le,71
substitut,substitut,21
du,de,81
du,le,71
crime,crime,21
et,et,82
des,de,81
des,le,71
criminels,criminel,21
",",",",p
il,il,51
voyait,voir,18
",",",",p
à,à,81
chaque,chaque,75
parole,parole,22
de,de,81
Dantès,Dantès,20
",",",",p
surgir,surgir,14
la,le,71
preuve,preuve,22
de,de,81
son,son,73
innocence,innocence,22
/.,/.,P
en,en,81
effet,effet,21
",",",",p
ce,ce,74
jeune,jeune,30
homme,homme,21
",",",",p
on,on,51
pourrait,pouvoir,16
presque,presque,60
dire,dire,14
cet,ce,74
enfant,enfant,21
",",",",p
simple,simple,30
",",",",p
naturel,naturel,30
",",",",p
éloquent,éloquent,30
de,de,81
cette,ce,74
éloquence,éloquence,22
du,de,81
du,le,71
coeur,coeur,21
qu',que,52
on,on,51
ne,ne,60
trouve,trouver,17
jamais,jamais,60
quand,quand,83
on,on,51
la,le,52
cherche,chercher,17
",",",",p
plein,plein,30
d',de,81
affection,affection,22
pour,pour,81
tous,tout,52
",",",",p
parce qu',parce que,83
il,il,51
était,être,18
heureux,heureux,30
",",",",p
et,et,82
que,que,83
le,le,71
bonheur,bonheur,21
rend,rendre,17
bons,bon,30
les,le,71
méchants,méchant,21
eux-mêmes,eux-mêmes,51
",",",",p
versait,verser,18
jusque,jusque,81
sur,sur,81
son,son,73
juge,juge,21
la,le,71
douce,doux,30
affabilité,affabilité,22
qui,qui,52
débordait,déborder,18
de,de,81
son,son,73
coeur,coeur,21
",",",",p
Edmond,Edmond,20
n',ne,60
avait,avoir,18
dans,dans,81
le,le,71
regard,regard,21
",",",",p
dans,dans,81
la,le,71
voix,voix,22
",",",",p
dans,dans,81
le,le,71
geste,geste,21
",",",",p
tout,tout,60
rude,rude,30
et,et,82
tout,tout,60
sévère,sévère,30
qu',que,83
avait,avoir,18
été,être,12
Villefort,Villefort,20
envers,envers,81
lui,lui,51
",",",",p
que,que,83
caresses,caresse,22
et,et,82
bonté,bonté,22
pour,pour,81
celui,celui,52
qui,qui,52
l',le,52
interrogeait,interroger,18
/.,/.,P
“,“,p
pardieu,pardieu,93
",",",",p
se,se,51
dit,dire,19
Villefort,Villefort,20
",",",",p
voici,voici,81
un,un,71
charmant,charmant,30
garçon,garçon,21
",",",",p
et,et,82
je,je,51
n',ne,60
aurai,avoir,15
pas,pas,60
grand-peine,grand-peine,22
",",",",p
je,je,51
l',le,52
espère,espérer,17
",",",",p
à,à,81
me,je,51
faire,faire,14
bien,bien,60
voir,voir,14
de,de,81
Renée,Renée,20
en,en,81
accomplissant,accomplir,13
la,le,71
première,premier,72
recommandation,recommandation,22
qu',que,52
elle,il,51
m',je,51
a,avoir,17
faite,faire,12
:,:,p
cela,cela,52
me,je,51
vaudra,valoir,15
un,un,71
bon,bon,30
serrement,serrement,21
de,de,81
main,main,22
devant,devant,81
tout,tout,75
le,le,71
monde,monde,21
et,et,82
un,un,71
charmant,charmant,30
baiser,baiser,21
dans,dans,81
un,un,71
coin,coin,21
/.,/.,P
“,“,p
et,et,82
à,à,81
cette,ce,74
douce,doux,30
espérance,espérance,22
la,le,71
figure,figure,22
de,de,81
Villefort,Villefort,20
s',se,51
épanouit,épanouir,19
;,;,p
de,de,81
sorte,sorte,22
que,que,83
",",",",p
lorsqu',lorsque,83
il,il,51
reporta,reporter,19
ses,son,73
regards,regard,21
de,de,81
sa,son,73
pensée,pensée,22
à,à,81
Dantès,Dantès,20
",",",",p
Dantès,Dantès,20
",",",",p
qui,qui,52
avait,avoir,18
suivi,suivre,12
tous,tout,75
les,le,71
mouvements,mouvement,21
de,de,81
physionomie,physionomie,22
de,de,81
son,son,73
juge,juge,21
",",",",p
souriait,sourire,18
comme,comme,83
sa,son,73
pensée,pensée,22
/.,/.,P
“,“,p
monsieur,monsieur,21
",",",",p
dit,dire,19
Villefort,Villefort,20
",",",",p
vous,vous,51
connaissez,connaître,17
vous,vous,51
quelques,quelque,75
ennemis,ennemi,21
/?,/?,P
des,de,81
des,le,71
ennemis,ennemi,21
à,à,81
moi,moi,51
",",",",p
dit,dire,19
Dantès,Dantès,20
:,:,p
j',je,51
ai,avoir,17
le,le,71
bonheur,bonheur,21
d',de,81
être,être,14
trop,trop,60
peu,peu,60
de,de,81
chose,chose,22
pour,pour,81
que,que,83
ma,mon,73
position,position,22
m',je,51
en,en,52
ait,avoir,17
fait,faire,12
/.,/.,P
quant,quand,83
à,à,81
mon,mon,73
caractère,caractère,21
",",",",p
un,un,71
peu,peu,60
vif,vif,30
peut-être,peut-être,60
",",",",p
j',je,51
ai,avoir,17
toujours,toujours,60
essayé,essayer,12
de,de,81
l',le,52
adoucir,adoucir,14
envers,envers,81
mes,mon,73
subordonnés,subordonné,21
/.,/.,P
j',je,51
ai,avoir,17
dix,dix,72
ou,ou,82
douze,douze,72
matelots,matelot,21
sous,sous,81
mes,mon,73
ordres,ordre,21
:,:,p
qu',que,52
on,on,51
les,le,52
interroge,interroger,17
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
ils,ils,51
vous,vous,51
diront,dire,15
qu',que,83
ils,ils,51
m',je,51
aiment,aimer,17
et,et,82
me,je,51
respectent,respecter,17
",",",",p
non,non,60
pas,pas,60
comme,comme,83
un,un,71
père,père,21
",",",",p
je,je,51
suis,être,17
trop,trop,60
jeune,jeune,30
pour,pour,81
cela,cela,52
",",",",p
mais,mais,82
comme,comme,83
un,un,71
frère,frère,21
aîné,aîné,30
/.,/.,P
-,-,p
mais,mais,82
",",",",p
à,à,81
défaut,défaut,21
d',de,81
ennemis,ennemi,21
",",",",p
peut-être,peut-être,60
avez,avoir,17
vous,vous,51
des,de,81
des,le,71
jaloux,jaloux,21
:,:,p
vous,vous,51
allez,aller,17
être,être,14
nommé,nommer,12
capitaine,capitaine,21
à,à,81
dix,dix,72
neuf,neuf,72
ans,an,21
",",",",p
ce,ce,52
qui,qui,52
est,être,17
un,un,71
poste,poste,21
élevé,élevé,31
dans,dans,81
votre,votre,73
état,état,21
;,;,p
vous,vous,51
allez,aller,17
épouser,épouser,14
une,un,71
jolie,joli,30
femme,femme,22
qui,qui,52
vous,vous,51
aime,aimer,17
",",",",p
ce,ce,52
qui,qui,52
est,être,17
un,un,71
bonheur,bonheur,21
rare,rare,30
dans,dans,81
tous,tout,75
les,le,71
états,état,21
de,de,81
la,le,71
terre,terre,22
;,;,p
ces,ce,74
deux,deux,72
préférences,préférence,22
du,de,81
du,le,71
destin,destin,21
ont,avoir,17
pu,pouvoir,12
vous,vous,51
faire,faire,14
des,de,81
des,le,71
envieux,envieux,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
/.,/.,P
vous,vous,51
devez,devoir,17
mieux,mieux,60
connaître,connaître,14
les,le,71
hommes,homme,21
que,que,83
moi,moi,51
",",",",p
et,et,82
c',ce,52
est,être,17
possible,possible,30
;,;,p
mais,mais,82
si,si,83
ces,ce,74
envieux,envieux,21
devaient,devoir,18
être,être,14
parmi,parmi,81
mes,mon,73
amis,ami,21
",",",",p
je,je,51
vous,vous,51
avoue,avouer,17
que,que,83
j',je,51
aime,aimer,17
mieux,mieux,60
ne,ne,60
pas,pas,60
les,le,52
connaître,connaître,14
pour,pour,81
ne,ne,60
point,point,60
être,être,14
forcé,forcer,12
de,de,81
les,le,52
haïr,haïr,14
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
tort,tort,21
",",",",p
monsieur,monsieur,21
/.,/.,P
il,il,51
faut,falloir,17
toujours,toujours,60
",",",",p
autant,autant,60
que,que,83
possible,possible,30
",",",",p
voir,voir,14
clair,clair,60
autour,autour,60
de,de,81
soi,soi,51
;,;,p
et,et,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
vous,vous,51
me,je,51
paraissez,paraître,17
un,un,71
si,si,60
digne,digne,30
jeune,jeune,30
homme,homme,21
",",",",p
que,que,83
je,je,51
vais,aller,17
m',je,51
écarter,écarter,14
pour,pour,81
vous,vous,51
des,de,81
des,le,71
règles,règle,22
ordinaires,ordinaire,30
de,de,81
la,le,71
justice,justice,22
et,et,82
vous,vous,51
aider,aider,14
à,à,81
faire,faire,14
jaillir,jaillir,14
la,le,71
lumière,lumière,22
en,en,81
vous,vous,51
communiquant,communiquer,13
la,le,71
dénonciation,dénonciation,22
qui,qui,52
vous,vous,51
amène,amener,17
devant,devant,81
moi,moi,51
:,:,p
voici,voici,81
le,le,71
papier,papier,21
accusateur,accusateur,30
;,;,p
reconnaissez,reconnaître,17
vous,vous,51
l',le,71
écriture,écriture,22
/?,/?,P
et,et,82
Villefort,Villefort,20
tira,tirer,19
la,le,71
lettre,lettre,22
de,de,81
sa,son,73
poche,poche,22
et,et,82
la,le,52
présenta,présenter,19
à,à,81
Dantès,Dantès,20
/.,/.,P
Dantès,Dantès,20
regarda,regarder,19
et,et,82
lut,lire,19
/.,/.,P
un,un,71
nuage,nuage,21
passa,passer,19
sur,sur,81
son,son,73
front,front,21
",",",",p
et,et,82
il,il,51
dit,dire,19
:,:,p
“,“,p
non,non,60
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
cette,ce,74
écriture,écriture,22
",",",",p
elle,il,51
est,être,17
déguisée,déguiser,12
",",",",p
et,et,82
cependant,cependant,82
elle,il,51
est,être,17
d',de,81
une,un,71
forme,forme,22
assez,assez,60
franche,franc,30
/.,/.,P
en,en,81
tout,tout,75
cas,cas,21
",",",",p
c',ce,52
est,être,17
une,un,71
main,main,22
habile,habile,30
qui,qui,52
l',le,52
a,avoir,17
tracée,tracer,12
/.,/.,P
je,je,51
suis,être,17
bien,bien,60
heureux,heureux,30
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
regardant,regarder,13
avec,avec,81
reconnaissance,reconnaissance,22
Villefort,Villefort,20
",",",",p
d',de,81
avoir,avoir,14
affaire,affaire,22
à,à,81
un,un,71
homme,homme,21
tel,tel,75
que,que,83
vous,vous,51
",",",",p
car,car,82
en,en,81
effet,effet,21
mon,mon,73
envieux,envieux,21
est,être,17
un,un,71
véritable,véritable,30
ennemi,ennemi,21
/.,/.,P
“,“,p
et,et,82
à,à,81
l',le,71
éclair,éclair,21
qui,qui,52
passa,passer,19
dans,dans,81
les,le,71
yeux,oeil,21
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
en,en,81
prononçant,prononcer,13
ces,ce,74
paroles,parole,22
",",",",p
Villefort,Villefort,20
put,pouvoir,19
distinguer,distinguer,14
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
violente,violent,30
énergie,énergie,22
cachée,caché,31
sous,sous,81
cette,ce,74
première,premier,72
douceur,douceur,22
/.,/.,P
“,“,p
et,et,82
maintenant,maintenant,60
",",",",p
voyons,voir,17
",",",",p
dit,dire,19
le,le,71
substitut,substitut,21
",",",",p
répondez,répondre,17
moi,moi,51
franchement,franchement,60
",",",",p
monsieur,monsieur,21
",",",",p
non,non,60
pas,pas,60
comme,comme,83
un,un,71
prévenu,prévenu,21
à,à,81
son,son,73
juge,juge,21
",",",",p
mais,mais,82
comme,comme,83
un,un,71
homme,homme,21
dans,dans,81
une,un,71
fausse,faux,30
position,position,22
répond,répondre,17
à,à,81
un,un,71
autre,autre,75
homme,homme,21
qui,qui,52
s',se,51
intéresse,intéresser,17
à,à,81
lui,lui,51
:,:,p
qu',que,83
y,y,52
a,avoir,17
t,t,94
il,il,51
de,de,81
vrai,vrai,30
dans,dans,81
cette,ce,74
accusation,accusation,22
anonyme,anonyme,30
/?,/?,P
et,et,82
Villefort,Villefort,20
jeta,jeter,19
avec,avec,81
dégoût,dégoût,21
sur,sur,81
le,le,71
bureau,bureau,21
la,le,71
lettre,lettre,22
que,que,52
Dantès,Dantès,20
venait,venir,18
de,de,81
lui,lui,51
rendre,rendre,14
/.,/.,P
“,“,p
tout,tout,52
et,et,82
rien,rien,52
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
voici,voici,81
la,le,71
vérité,vérité,22
pure,pur,30
",",",",p
sur,sur,81
mon,mon,73
honneur,honneur,21
de,de,81
marin,marin,21
",",",",p
sur,sur,81
mon,mon,73
amour,amour,21
pour,pour,81
Mercédès,Mercédès,20
",",",",p
sur,sur,81
la,le,71
vie,vie,22
de,de,81
mon,mon,73
père,père,21
/.,/.,P
-,-,p
parlez,parler,17
",",",",p
monsieur,monsieur,21
“,“,p
",",",",p
dit,dire,19
tout,tout,75
haut,haut,30
Villefort,Villefort,20
/.,/.,P
puis,puis,60
tout,tout,60
bas,bas,30
",",",",p
il,il,51
ajouta,ajouter,19
:,:,p
“,“,p
si,si,83
Renée,Renée,20
pouvait,pouvoir,18
me,je,51
voir,voir,14
",",",",p
j',je,51
espère,espérer,17
qu',que,83
elle,il,51
serait,être,16
contente,content,30
de,de,81
moi,moi,51
",",",",p
et,et,82
qu',que,83
elle,il,51
ne,ne,60
m',je,51
appellerait,appeler,16
plus,plus,60
un,un,71
coupeur,coupeur,21
de,de,81
têtes,tête,22
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
en,en,81
quittant,quitter,13
Naples,Naples,20
",",",",p
le,le,71
capitaine,capitaine,21
Leclère,Leclère,20
tomba,tomber,19
malade,malade,30
d',de,81
une,un,71
fièvre,fièvre,22
cérébrale,cérébral,30
;,;,p
comme,comme,83
nous,nous,51
n',ne,60
avions,avoir,18
pas,pas,60
de,de,81
médecin,médecin,21
à,à,81
bord,bord,21
et,et,82
qu',que,52
il,il,51
ne,ne,60
voulut,vouloir,19
relâcher,relâcher,14
sur,sur,81
aucun,aucun,75
point,point,21
de,de,81
la,le,71
côte,côte,22
",",",",p
pressé,pressé,31
qu',que,83
il,il,51
était,être,18
de,de,81
se,se,51
rendre,rendre,14
à,à,81
l',le,71
île,île,22
d',de,81
Elbe,Elbe,20
",",",",p
sa,son,73
maladie,maladie,22
empira,empirer,19
au,à,81
au,le,71
point,point,21
que,que,83
vers,vers,81
la,le,71
fin,fin,22
du,de,81
du,le,71
troisième,troisième,72
jour,jour,21
",",",",p
sentant,sentir,13
qu',que,83
il,il,51
allait,aller,18
mourir,mourir,14
",",",",p
il,il,51
m',je,51
appela,appeler,19
près,près,81
de,de,81
lui,lui,51
/.,/.,P
“,“,p
-,-,p
mon,mon,73
cher,cher,30
Dantès,Dantès,20
",",",",p
me,je,51
dit,dire,19
il,il,51
",",",",p
jurez,jurer,17
moi,moi,51
sur,sur,81
votre,votre,73
honneur,honneur,21
de,de,81
faire,faire,14
ce,ce,52
que,que,52
je,je,51
vais,aller,17
vous,vous,51
dire,dire,14
;,;,p
il,il,51
y,y,52
va,aller,17
des,de,81
des,le,71
plus,plus,60
hauts,haut,30
intérêts,intérêt,21
/.,/.,P
“,“,p
-,-,p
je,je,51
vous,vous,51
le,le,52
jure,jurer,17
",",",",p
capitaine,capitaine,21
",",",",p
lui,lui,51
répondis,répondre,19
je,je,51
/.,/.,P
“,“,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
comme,comme,83
après,après,81
ma,mon,73
mort,mort,22
le,le,71
commandement,commandement,21
du,de,81
du,le,71
navire,navire,21
vous,vous,51
appartient,appartenir,17
",",",",p
en,en,81
qualité,qualité,22
de,de,81
second,second,72
",",",",p
vous,vous,51
prendrez,prendre,15
ce,ce,74
commandement,commandement,21
",",",",p
vous,vous,51
mettrez,mettre,15
le,le,71
cap,cap,21
sur,sur,81
l',le,71
île,île,22
d',de,81
Elbe,Elbe,20
",",",",p
vous,vous,51
débarquerez,débarquer,15
à,à,81
Porto,Porto,20
Ferrajo,Ferrajo,20
",",",",p
vous,vous,51
demanderez,demander,15
le,le,71
grand,grand,30
maréchal,maréchal,21
",",",",p
vous,vous,51
lui,lui,51
remettrez,remettre,15
cette,ce,74
lettre,lettre,22
:,:,p
peut-être,peut-être,60
alors,alors,60
vous,vous,51
remettra,remettre,15
t,t,94
on,on,51
une,un,71
autre,autre,75
lettre,lettre,22
et,et,82
vous,vous,51
chargera,charger,15
t,t,94
on,on,51
de,de,81
quelque,quelque,75
mission,mission,22
/.,/.,P
cette,ce,74
mission,mission,22
qui,qui,52
m',je,51
était,être,18
réservée,réserver,12
",",",",p
Dantès,Dantès,20
",",",",p
vous,vous,51
l',le,52
accomplirez,accomplir,15
à,à,81
ma,mon,73
place,place,22
",",",",p
et,et,82
tout,tout,75
l',le,71
honneur,honneur,21
en,en,52
sera,être,15
pour,pour,81
vous,vous,51
/.,/.,P
“,“,p
-,-,p
je,je,51
le,le,52
ferai,faire,15
",",",",p
capitaine,capitaine,21
",",",",p
mais,mais,82
peut-être,peut-être,60
n',ne,60
arrive,arriver,17
t,t,94
on,on,51
pas,pas,60
si,si,60
facilement,facilement,60
que,que,83
vous,vous,51
le,le,52
pensez,penser,17
près,près,81
du,de,81
du,le,71
grand,grand,30
maréchal,maréchal,21
/.,/.,P
“,“,p
-,-,p
voici,voici,81
une,un,71
bague,bague,22
que,que,52
vous,vous,51
lui,lui,51
ferez,faire,15
parvenir,parvenir,14
",",",",p
dit,dire,19
le,le,71
capitaine,capitaine,21
",",",",p
et,et,82
qui,qui,52
lèvera,lever,15
toutes,tout,75
les,le,71
difficultés,difficulté,22
/.,/.,P
“,“,p
“,“,p
et,et,82
à,à,81
ces,ce,74
mots,mot,21
",",",",p
il,il,51
me,je,51
remit,remettre,19
une,un,71
bague,bague,22
/.,/.,P
“,“,p
il,il,51
était,être,18
temps,temps,21
:,:,p
deux,deux,72
heures,heure,22
après,après,81
le,le,71
délire,délire,21
le,le,52
prit,prendre,19
;,;,p
le,le,71
lendemain,lendemain,21
il,il,51
était,être,18
mort,mourir,12
/.,/.,P
-,-,p
et,et,82
que,que,52
fîtes,faire,19
vous,vous,51
alors,alors,60
/?,/?,P
ce,ce,52
que,que,52
je,je,51
devais,devoir,18
faire,faire,14
",",",",p
monsieur,monsieur,21
",",",",p
ce,ce,52
que,que,52
tout,tout,75
autre,autre,52
eût,avoir,19
fait,faire,12
à,à,81
ma,mon,73
place,place,22
:,:,p
en,en,81
tout,tout,75
cas,cas,21
",",",",p
les,le,71
prières,prière,22
d',de,81
un,un,71
mourant,mourant,21
sont,être,17
sacrées,sacrer,12
;,;,p
mais,mais,82
",",",",p
chez,chez,81
les,le,71
marins,marin,21
",",",",p
les,le,71
prières,prière,22
d',de,81
un,un,71
supérieur,supérieur,21
sont,être,17
des,de,81
des,le,71
ordres,ordre,21
que,que,52
l',l',94
on,on,51
doit,devoir,17
accomplir,accomplir,14
/.,/.,P
